Sample	custom_content_dupradar-dupRadar_intercept	qualimap_rnaseq-5_3_bias	qualimap_rnaseq-reads_aligned	qualimap_rnaseq-reads_aligned_exonic	qualimap_rnaseq-reads_aligned_intronic	qualimap_rnaseq-reads_aligned_intergenic	qualimap_rnaseq-reads_aligned_overlapping_exon	rseqc_bam_stat-proper_pairs_percent
IT1G	0.0955432768535927	1.2	21.382835	19.476634999999998	12.11967	8.288516	3.284305	53.53272389841368
P1G	0.205925603920402	1.28	25.404729999999997	20.488086	15.454428	10.61336	4.056875	41.8901098351379
P2G	0.140574851429023	1.27	23.882412	16.628305	16.674872999999998	10.52451	4.129283	49.0551544484133
P31	0.805205391606173	1.25	22.255506999999998	16.462474	9.5979	15.210199	3.436091	25.793005554093057
P32	0.242499680649619	1.2	22.760241	16.256598999999998	10.952062	14.572147999999999	3.530127	38.78062994929527
P33	0.287295371299529	1.37	41.773821	32.7316	21.222323	24.068987	6.367642	37.8430065088609
P34	0.536933854399225	1.26	20.232620999999998	14.975558	8.713298	13.975748	3.04173	29.90592185488837
P35	0.433756952618851	1.32	21.214906	17.261844	10.434351999999999	11.696093999999999	3.273401	29.22998409587131
P36	0.480838283049518	1.33	24.110212	18.252516999999997	9.978031999999999	16.657177	3.603958	28.597660923677985
P41	0.238287681754878	1.28	24.141837	21.541344	10.844159999999999	11.786246	3.435689	32.22492515640163
P42	0.756317271876611	1.36	27.490022999999997	21.706792999999998	12.627419999999999	16.428085	4.1043389999999995	22.78226830232461
P43	0.975668921821174	1.38	20.433795999999997	15.575007999999999	9.989994	12.076202	3.455238	17.916139370216833
P44	0.87059968883375	1.39	24.482854	19.286756999999998	11.0346	13.640362999999999	3.56823	18.63160887117111
P45	0.733049259475672	1.35	23.149542	16.99824	10.373816999999999	15.446632	3.798409	23.39562330995126
P46	0.690071521634926	1.39	20.754538	16.203912	10.13312	12.212709	3.1893089999999997	26.87410643950467
P47	1.0554955021949	1.34	20.137757999999998	16.192539	8.948457	12.043802	3.0138979999999997	18.840514956894186
P48	0.816931794772781	1.31	24.979822	19.502568999999998	10.375478	16.866854	3.9800259999999996	24.213204455996852
P49	1.57325960413809	1.18	21.992589	17.085551	9.25623	14.471017	3.378295	14.752495069966413
P50	0.490677140531476	1.26	28.962249	23.398101999999998	12.519703999999999	17.477498999999998	4.118188	27.41254787598618
P51	0.130448680938651	1.3	22.743361	17.922207	11.963773999999999	11.550257	3.523738	42.02841636752055
P52	0.339905832346132	1.33	24.117027	20.020705	12.203377999999999	12.325458999999999	3.754825	32.63604265454578
PNKD	0.396907523173786	1.29	24.728423	19.791524	14.239528	10.678409	3.8616789999999996	32.98840311503471
PNKIT	0.0771588181159502	1.2	22.880582999999998	22.085943	12.022133	8.525197	3.485477	51.48238859291956
PNKV	0.344772560634033	1.31	19.780143	16.414082	11.236326	8.735235	3.1225359999999998	37.51016210586867
