Sample	pe_sense	pe_antisense	failed
IT1G	0.1236	0.5158	0.3606
P1G	0.2293	0.6958	0.0749
P2G	0.2221	0.6986	0.0793
P31	0.1951	0.7718	0.0331
P32	0.215	0.7331	0.0519
P33	0.2203	0.7157	0.0641
P34	0.2063	0.7647	0.029
P35	0.2131	0.7597	0.0273
P36	0.2284	0.742	0.0295
P41	0.1836	0.7843	0.0322
P42	0.2027	0.7644	0.0329
P43	0.2109	0.7729	0.0162
P44	0.208	0.7713	0.0207
P45	0.2121	0.7591	0.0288
P46	0.2111	0.7633	0.0257
P47	0.1944	0.7897	0.0159
P48	0.2042	0.7734	0.0224
P49	0.1897	0.7714	0.0389
P50	0.2055	0.7539	0.0406
P51	0.223	0.717	0.06
P52	0.2115	0.7483	0.0402
PNKD	0.2422	0.6991	0.0586
PNKIT	0.0934	0.4532	0.4534
PNKV	0.2129	0.7355	0.0515
