Sample	total_splicing_events	known_splicing_events	partial_novel_splicing_events	novel_splicing_events	total_splicing_junctions	known_splicing_junctions	partial_novel_splicing_junctions	novel_splicing_junctions	known_splicing_events_pct	partial_novel_splicing_events_pct	novel_splicing_events_pct	known_splicing_junctions_pct	partial_novel_splicing_junctions_pct	novel_splicing_junctions_pct
IT1G	17088034	15238074	477013	1357122	227936	159028	25657	43251	89.17394476157995	2.791503106793912	7.94194346757503	69.76870700547522	11.256229818896532	18.975063175628247
P1G	16658454	14587778	478261	1563887	235444	161827	26661	46956	87.56981890396311	2.8709807044519255	9.387948005259071	68.73269227502081	11.323711795586211	19.943595929392977
P2G	15374768	13416432	458735	1472075	243203	162610	28392	52201	87.26266308538769	2.9836872985660663	9.574616020222223	66.8618396977011	11.674198097885306	21.463962204413598
P31	5675400	4943012	130803	589532	172658	132631	11481	28546	87.09539415724001	2.3047362300454592	10.387496916516897	76.81717615169873	6.649561561004992	16.533262287296274
P32	10561644	9247539	274675	1019920	216559	157975	18451	40133	87.55776089404263	2.600684135916719	9.656829940490324	72.94778790075684	8.520079978204553	18.532132121038607
P33	19562342	17086633	472984	1967926	243109	168301	24303	50505	87.34451631609345	2.417829112690086	10.059766872494102	69.2286176159665	9.996750428819995	20.774631955213504
P34	6531413	5758175	149257	611315	187854	145538	12656	29660	88.16124474137526	2.2852176091145973	9.359613302665135	77.47399576266675	6.737146933256678	15.78885730407657
P35	8617186	7636607	192647	775930	188862	145094	13125	30643	88.62065876261693	2.2356138071059393	9.004447623620983	76.82540691086614	6.949518696190869	16.225074392942997
P36	8025232	7100939	178965	735191	180172	138974	11947	29251	88.48266318032924	2.23002898857005	9.160993725788861	77.13407188686367	6.630886042226317	16.23504207091002
P41	12935653	11423909	302528	1191237	200714	151606	15628	33480	88.31335379821954	2.338714558901665	9.208943684559257	75.53334595494086	7.786203254381857	16.68045079067728
P42	8188783	7236807	184760	755169	195052	148170	13717	33165	88.37463393522579	2.2562571263641984	9.221993060507282	75.96435822242273	7.032483645386871	17.00315813219039
P43	4849979	4319303	102351	420597	135544	108111	7364	20069	89.05817942716865	2.1103390344576747	8.672140642258451	79.76081567609043	5.432922150740719	14.80626217316886
P44	6509757	5787602	142228	570638	161139	125812	9745	25582	88.90657516094687	2.1848434588264967	8.76588788183645	78.0766915520141	6.047573833770844	15.875734614215057
P45	6390387	5651125	140707	586390	182414	141195	12150	29069	88.43165523465167	2.201854128709263	9.176126578875426	77.40359840801693	6.660672974662033	15.935728617321038
P46	7370402	6494283	167494	696455	188544	145359	12972	30213	88.11300930397013	2.2725219058607657	9.44934889575901	77.09553207739307	6.880091649694502	16.024376272912424
P47	5242537	4649338	113388	472074	147566	118198	8277	21091	88.68488672564447	2.1628459656078727	9.00468608995988	80.09839664963474	5.609015626905927	14.292587723459333
P48	6964844	6178816	148697	625058	175519	136037	11298	28184	88.71434880666386	2.1349652626821216	8.97447236434872	77.50556919763673	6.436909964163425	16.057520838199853
P49	4287197	3799657	104962	375945	141077	113934	7250	19893	88.62800099925428	2.4482663147972907	8.76901621269095	80.76015225727794	5.139037546871567	14.100810195850494
P50	11286181	9946457	304491	1018912	205895	155291	16274	34330	88.1295187450919	2.6979099484582076	9.027960831037532	75.42242405109401	7.904028752519487	16.673547196386508
P51	15223076	13382953	427946	1386775	227401	162940	21767	42694	87.91227870109826	2.8111664160383882	9.109689789369769	71.65315895708461	9.572077519448023	18.774763523467357
P52	12728015	11207347	343419	1157774	215983	160322	17995	37666	88.05259107567048	2.6981347837820744	9.096265207104173	74.22899024460258	8.331674252140214	17.4393355032572
PNKD	13213640	11707170	323626	1161807	219051	157048	22795	39208	88.59912938448453	2.4491813005349017	8.792482616447852	71.69471949454693	10.406252425234307	17.899028080218763
PNKIT	17635153	15697426	512853	1404647	213976	150244	23858	39874	89.01213388962375	2.9081290080103077	7.965040053806168	70.21535125434627	11.149848581149287	18.63480016450443
PNKV	11022525	9749360	284298	969306	215971	156697	21427	37847	88.44942515439975	2.5792456810032185	8.793865289486757	72.55464854077631	9.92123942566363	17.524112033560062
