Sample	total_reads	total_tags	total_assigned_tags	cds_exons_total_bases	cds_exons_tag_count	cds_exons_tags_kb	5_utr_exons_total_bases	5_utr_exons_tag_count	5_utr_exons_tags_kb	3_utr_exons_total_bases	3_utr_exons_tag_count	3_utr_exons_tags_kb	introns_total_bases	introns_tag_count	introns_tags_kb	tss_up_1kb_total_bases	tss_up_1kb_tag_count	tss_up_1kb_tags_kb	tss_up_5kb_tags_kb	tss_up_10kb_tags_kb	tes_down_1kb_total_bases	tes_down_1kb_tag_count	tes_down_1kb_tags_kb	tes_down_5kb_tags_kb	tes_down_10kb_tags_kb	other_intergenic_tag_count	cds_exons_tag_pct	5_utr_exons_tag_pct	3_utr_exons_tag_pct	introns_tag_pct	tss_up_1kb_tag_pct	tss_up_5kb_tag_pct	tss_up_10kb_tag_pct	tes_down_1kb_tag_pct	tes_down_5kb_tag_pct	tes_down_10kb_tag_pct	other_intergenic_tag_pct	tss_up_5kb-10kb_total_bases	tss_up_1kb-5kb_total_bases	tss_up_5kb-10kb_tag_count	tss_up_1kb-5kb_tag_count	tes_down_5kb-10kb_total_bases	tes_down_1kb-5kb_total_bases	tes_down_5kb-10kb_tag_count	tes_down_1kb-5kb_tag_count
IT1G	31608402	51066903	46608800	43698597	34998351	800.9	3642929	723148	198.51	8005581	3252859	406.32	263286795	4490606	17.06	19425391	361656	18.62	11.11	9.77	19374043	1273362	65.73	35.64	25.7	4458103	68.53431272305666	1.4160796083522043	6.369798849951798	8.793574186396226	0.7082003778455098	1.3489558981088006	1.74815966419581	2.493517180785371	4.1719917888891755	4.408148659416452	8.729926308630857	29372481	42605423	203861	327214	27828377	40400570	120598	857145
P1G	31786232	51077664	46222073	43698597	34413698	787.52	3642929	634922	174.29	8005581	3161060	394.86	263286795	4570625	17.36	19425391	276007	14.21	10.41	9.54	19374043	1483064	76.55	39.94	29.34	4855591	67.37523861702054	1.2430521489784654	6.188732515253634	8.948382995745458	0.5403673120211606	1.2646173482013585	1.7067773498803704	2.903547037703212	4.674634298075965	5.031526108946564	9.506290264174963	29372481	42605423	225845	369930	27828377	40400570	182292	904630
P2G	34450004	52768744	47444967	43698597	32465434	742.94	3642929	623076	171.04	8005581	3096720	386.82	263286795	7315635	27.79	19425391	307816	15.85	12.67	11.77	19374043	1533077	79.13	43.94	32.74	5323777	61.52398472853551	1.1807671601961949	5.868473958751037	13.863576135145456	0.5833301622642373	1.489250909591481	2.0395994265089956	2.905274758861041	4.977196349414722	5.434715292825617	10.088883298037187	29372481	42605423	290412	478043	27828377	40400570	241427	1093327
P31	15775603	22995324	19319106	43698597	11943901	273.32	3642929	153394	42.11	8005581	2741504	342.45	263286795	1877668	7.13	19425391	79040	4.07	4.26	4.49	19374043	1271778	65.64	34.84	25.02	3676218	51.9405640903342	0.6670660522113104	11.922006404432484	8.165433981273758	0.3437220541010859	1.1490988341803752	1.785293392691488	5.530593959015319	9.055140949525217	9.532829370005832	15.986806709050935	29372481	42605423	146295	185199	27828377	40400570	109846	810481
P32	25456932	38420221	33231400	43698597	21814381	499.2	3642929	300427	82.47	8005581	3873502	483.85	263286795	3476065	13.2	19425391	169136	8.71	7.96	7.66	19374043	1702917	87.9	48.08	35.0	5188821	56.77838500720753	0.7819502131442712	10.081935759817727	9.047488300496761	0.44022651509474664	1.2852711076284542	1.8233627547327227	4.432345665060073	7.480852335544869	7.981435088569637	13.50544287603135	29372481	42605423	206736	324668	27828377	40400570	192325	1171243
P33	43187500	66674233	58130898	43698597	39072547	894.14	3642929	557264	152.97	8005581	6511548	813.38	263286795	5614777	21.33	19425391	323026	16.63	16.09	14.68	19374043	2785057	143.75	78.91	57.45	8543335	58.60216944677864	0.8358011407495307	9.76621358358933	8.421209734801149	0.48448401348688935	1.4972995639859854	2.0126350759820513	4.17711141873953	7.074113623474304	7.548422791755249	12.813548226344052	29372481	42605423	343596	675287	27828377	40400570	316242	1931554
P34	16606360	24802589	21050658	43698597	13260520	303.45	3642929	191478	52.56	8005581	3005650	375.44	263286795	1986380	7.54	19425391	103860	5.35	5.03	4.53	19374043	1218659	62.9	34.97	25.03	3751931	53.46425729991333	0.7720081157656566	12.118291360631748	8.008760698328711	0.4187466074610195	1.2585540969130278	1.6705191542705482	4.913434641843237	8.427999189923279	8.838988542688025	15.127174828401987	29372481	42605423	102178	208294	27828377	40400570	101936	871703
P35	18062831	28354866	24809157	43698597	17235883	394.43	3642929	239056	65.62	8005581	2938781	367.09	263286795	1899322	7.21	19425391	132330	6.81	5.98	5.49	19374043	1137769	58.73	31.7	22.76	3545709	60.78633205320032	0.8430863330477385	10.36429161753048	6.698398786296504	0.466692383592996	1.3083715507595768	1.7706696268640452	4.0126058081177325	6.682750678490246	7.032457850444435	12.504763732616475	29372481	42605423	131084	238657	27828377	40400570	99159	757116
P36	18789985	28605868	24376257	43698597	15854452	362.81	3642929	224746	61.69	8005581	3456500	431.76	263286795	1874979	7.12	19425391	137614	7.08	6.12	5.38	19374043	1377232	71.09	39.63	28.24	4229611	55.42377528974125	0.7856639763561798	12.083185170259473	6.554525805684344	0.48106912889341447	1.3268955865978267	1.7183257644899992	4.81450868751824	8.280559778853764	8.64870802032646	14.785815973142293	29372481	42605423	111972	241956	27828377	40400570	105312	991494
P41	24592886	39733875	35235998	43698597	25707667	588.3	3642929	340215	93.39	8005581	3594613	449.01	263286795	2347777	8.92	19425391	218314	11.24	8.75	8.01	19374043	1385290	71.5	39.44	28.69	4497877	64.6996221737749	0.8562341327142142	9.046721468771924	5.908754180154842	0.549440496301959	1.3663202997442359	1.8424706877947343	3.4864205920011577	5.933325153914638	6.3261914424404875	11.320005914348902	29372481	42605423	189193	324578	27828377	40400570	156101	972250
