Sample	provided	salmon_inferred	rseqc_inferred	rseqc_s	rseqc_a	rseqc_u	status	rseqc_pct
IT1G	reverse	-	reverse	12.4	51.6	36.1	pass	80.7
P1G	reverse	-	undetermined	22.9	69.6	7.5	fail	
P2G	reverse	-	undetermined	22.2	69.9	7.9	fail	
P31	reverse	-	undetermined	19.5	77.2	3.3	fail	
P32	reverse	-	undetermined	21.5	73.3	5.2	fail	
P33	reverse	-	undetermined	22.0	71.6	6.4	fail	
P34	reverse	-	undetermined	20.6	76.5	2.9	fail	
P35	reverse	-	undetermined	21.3	76.0	2.7	fail	
P36	reverse	-	undetermined	22.8	74.2	3.0	fail	
P41	reverse	-	reverse	18.4	78.4	3.2	pass	81.0
P42	reverse	-	undetermined	20.3	76.4	3.3	fail	
P43	reverse	-	undetermined	21.1	77.3	1.6	fail	
P44	reverse	-	undetermined	20.8	77.1	2.1	fail	
P45	reverse	-	undetermined	21.2	75.9	2.9	fail	
P46	reverse	-	undetermined	21.1	76.3	2.6	fail	
P47	reverse	-	reverse	19.4	79.0	1.6	pass	80.2
P48	reverse	-	undetermined	20.4	77.3	2.2	fail	
P49	reverse	-	reverse	19.0	77.1	3.9	pass	80.3
P50	reverse	-	undetermined	20.6	75.4	4.1	fail	
P51	reverse	-	undetermined	22.3	71.7	6.0	fail	
P52	reverse	-	undetermined	21.1	74.8	4.0	fail	
PNKD	reverse	-	undetermined	24.2	69.9	5.9	fail	
PNKIT	reverse	-	reverse	9.3	45.3	45.3	pass	82.9
PNKV	reverse	-	undetermined	21.3	73.6	5.2	fail	
