Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
IT1G	(0, 30568.64711554286)	(1, 42447.07373300767)	(2, 50260.646490339794)	(3, 56191.07605916362)	(4, 61023.466559425)	(5, 64045.47759475111)	(6, 65993.21533085706)	(7, 67647.86260382282)	(8, 68589.66628776006)	(9, 70267.42189779386)	(10, 71240.50967877763)	(11, 72094.2000764889)	(12, 72663.38153765364)	(13, 73529.77212179087)	(14, 75064.91208580806)	(15, 76628.69699683321)	(16, 78693.69785480821)	(17, 79563.08459100618)	(18, 80600.05807652108)	(19, 81957.20951969136)	(20, 83590.80133987291)	(21, 84637.38893929013)	(22, 85482.25222979409)	(23, 86681.33641451628)	(24, 87647.51096511615)	(25, 88088.93339159047)	(26, 89499.95785529472)	(27, 89506.94841073759)	(28, 90165.41148864027)	(29, 90626.83233329431)	(30, 90929.78517261389)	(31, 91243.82627094624)	(32, 91646.52532467364)	(33, 91984.4273680125)	(34, 92248.24169385707)	(35, 92454.23128835123)	(36, 92515.9658503627)	(37, 93417.13794234346)	(38, 93776.33836626053)	(39, 93733.76422913228)	(40, 94151.0952568369)	(41, 94860.60435347307)	(42, 95536.78383638429)	(43, 95572.01523405449)	(44, 95525.94211181508)	(45, 95893.36667163749)	(46, 95517.33846209478)	(47, 95338.18346396231)	(48, 95139.23393531243)	(49, 95654.29091047222)	(50, 95801.50209423757)	(51, 95361.47743563628)	(52, 94092.903581978)	(53, 94693.17519026906)	(54, 94726.79654956626)	(55, 94998.49950608415)	(56, 94756.66468118128)	(57, 94878.17214472606)	(58, 94983.11792114633)	(59, 94469.58970404915)	(60, 94490.48188665893)	(61, 95108.77230233334)	(62, 95356.19905343906)	(63, 94910.9962485979)	(64, 94892.26513502724)	(65, 94293.35192521084)	(66, 93894.04283306887)	(67, 92939.04932986294)	(68, 91932.6425448533)	(69, 91081.58656096243)	(70, 91365.66103346541)	(71, 90344.16089427401)	(72, 89810.55798848937)	(73, 89093.73289540307)	(74, 88556.66855689537)	(75, 87727.6916966889)	(76, 86802.86268888986)	(77, 85384.14560551579)	(78, 84417.74015372757)	(79, 82980.9879048576)	(80, 81814.09265681593)	(81, 80489.51035511668)	(82, 79090.12306832621)	(83, 77298.53654035466)	(84, 76013.7033744698)	(85, 73516.46961259516)	(86, 71624.72680940195)	(87, 69281.16210873853)	(88, 67394.45220963258)	(89, 64392.372417780345)	(90, 61281.85096681776)	(91, 58050.26720623567)	(92, 54333.2777954039)	(93, 49622.86355246379)	(94, 44463.41628193502)	(95, 39345.84633855574)	(96, 31517.589488990056)	(97, 22663.579607485033)	(98, 13017.70947495409)	(99, 3888.231313988681)
P1G	(0, 37902.09917503655)	(1, 48794.270609524014)	(2, 56771.854271413606)	(3, 64338.584853991546)	(4, 70756.31666513167)	(5, 74584.25723314127)	(6, 77285.0493383153)	(7, 79985.27143639865)	(8, 82109.0008297405)	(9, 83999.60271200108)	(10, 85093.14842876897)	(11, 86271.46813327762)	(12, 87353.43176436145)	(13, 88951.0387493647)	(14, 90671.8828773197)	(15, 92669.48726604227)	(16, 95617.71913900056)	(17, 97581.0759209521)	(18, 98641.48595350578)	(19, 99984.43614131505)	(20, 101629.46765860856)	(21, 102604.86151597997)	(22, 103042.39723227477)	(23, 103673.10948471232)	(24, 104845.77897973768)	(25, 105512.40623386436)	(26, 107418.60092551434)	(27, 107441.38193517062)	(28, 108163.33244209277)	(29, 108992.36665315182)	(30, 109162.10822684022)	(31, 110144.95230066274)	(32, 111181.44190496465)	(33, 112163.72534504616)	(34, 111362.16848937841)	(35, 111345.36024207406)	(36, 111753.39934191137)	(37, 111980.40147349307)	(38, 112129.90340747198)	(39, 112253.59128753764)	(40, 112147.48589730577)	(41, 111583.78851280473)	(42, 111482.8595678238)	(43, 111361.20548662073)	(44, 111089.72853943735)	(45, 111535.47676641315)	(46, 111564.77557382123)	(47, 111229.56642686299)	(48, 111424.92124536166)	(49, 111791.5553892849)	(50, 111075.0504347274)	(51, 110936.86704604157)	(52, 110875.15886898221)	(53, 111275.06131374814)	(54, 111184.49684123145)	(55, 111592.61058190675)	(56, 111625.61878163228)	(57, 110189.63121707676)	(58, 109402.05768260307)	(59, 108203.71610648406)	(60, 108190.99645216267)	(61, 107612.5194257643)	(62, 106532.14981125067)	(63, 105746.96303539677)	(64, 104971.30504803911)	(65, 104118.30999412031)	(66, 103399.76550502391)	(67, 102345.58167116271)	(68, 101322.46392996682)	(69, 99593.76376461021)	(70, 98801.01971347416)	(71, 98196.60920926454)	(72, 97254.90912139401)	(73, 95844.44259421797)	(74, 94713.19501545336)	(75, 93328.93491702355)	(76, 91811.23323185845)	(77, 90048.85957592673)	(78, 88850.07346414165)	(79, 86994.58736942429)	(80, 84626.12942948048)	(81, 81965.60204097861)	(82, 79488.93195679641)	(83, 76988.9023767035)	(84, 75297.56848006746)	(85, 72918.66406549103)	(86, 70886.73194576801)	(87, 69313.00348183844)	(88, 67763.43410320685)	(89, 65337.71846261885)	(90, 62599.16805947864)	(91, 58687.84466580554)	(92, 54906.5186164502)	(93, 49859.036995233604)	(94, 44675.93974283712)	(95, 38954.07459619405)	(96, 31605.443696348564)	(97, 22296.201137341086)	(98, 12848.685760936572)	(99, 4416.998040509735)
P2G	(0, 28405.83758441177)	(1, 36668.65212501711)	(2, 42668.94627264373)	(3, 48132.0747071475)	(4, 52584.28142802655)	(5, 55328.05448427997)	(6, 57361.27256564031)	(7, 59215.830838573216)	(8, 60728.35587407009)	(9, 62195.65128301548)	(10, 63150.456668594765)	(11, 64054.87341295544)	(12, 64757.45532784055)	(13, 65779.67518032188)	(14, 66922.42577718536)	(15, 68176.50960892362)	(16, 70085.2932687887)	(17, 71455.84282279598)	(18, 72243.04156540171)	(19, 73276.98258101966)	(20, 74468.21263885955)	(21, 75163.21421140601)	(22, 75569.8402776907)	(23, 76038.77149870897)	(24, 76859.49280560005)	(25, 77362.75702776382)	(26, 78740.11995513043)	(27, 78841.41212868238)	(28, 79368.28947874413)	(29, 80014.27435114564)	(30, 80169.6828578452)	(31, 80855.43376867799)	(32, 81570.52474550295)	(33, 82359.19967407554)	(34, 81894.69273798996)	(35, 81902.26998550368)	(36, 82254.64901561185)	(37, 82518.40742001458)	(38, 82501.80984618227)	(39, 82602.41684677504)	(40, 82651.07876844933)	(41, 82361.74939680543)	(42, 82397.3591468714)	(43, 82464.73073612759)	(44, 82263.40601909363)	(45, 82440.4078365538)	(46, 82413.25514163867)	(47, 82178.07988603773)	(48, 82299.6857965511)	(49, 82435.66483268276)	(50, 81889.48930280989)	(51, 81884.33014688258)	(52, 81754.72241868272)	(53, 82058.63458596112)	(54, 82087.93171988233)	(55, 82273.9560007031)	(56, 82180.67618001647)	(57, 81021.53237779877)	(58, 80387.65975692566)	(59, 79699.32315225853)	(60, 79801.7679702304)	(61, 79443.43935837781)	(62, 78685.91532601355)	(63, 78203.08234512534)	(64, 77920.18604054315)	(65, 77605.6039714281)	(66, 77257.44180570806)	(67, 76691.24778010261)	(68, 76139.71676791123)	(69, 75293.05429510852)	(70, 74781.20319025547)	(71, 74353.04699821287)	(72, 73847.34820620784)	(73, 73018.92402838352)	(74, 72431.42694786507)	(75, 71569.38707751218)	(76, 70608.0309959101)	(77, 69518.97943674841)	(78, 68840.50785236747)	(79, 67702.80326960621)	(80, 66256.61519649797)	(81, 64603.36489947862)	(82, 63005.28851623794)	(83, 61365.352673865236)	(84, 60200.775193376525)	(85, 58632.064938537034)	(86, 57192.90177467098)	(87, 56032.08711397561)	(88, 54850.69541062242)	(89, 53004.643080103524)	(90, 50905.703701634986)	(91, 48020.86633043135)	(92, 45146.21566038752)	(93, 41454.670869162626)	(94, 37506.38852801389)	(95, 32787.9071430905)	(96, 26770.398614698286)	(97, 19060.301935154654)	(98, 10973.761601700837)	(99, 3544.1275947260183)
P31	(0, 13448.954089320177)	(1, 17093.13593453027)	(2, 20307.217223059368)	(3, 24873.381333424513)	(4, 28236.741309278998)	(5, 30667.874523173236)	(6, 32333.110377032957)	(7, 33668.4295520287)	(8, 35215.17036940492)	(9, 36487.17949588706)	(10, 37218.79075027675)	(11, 38112.39875656332)	(12, 38813.197155106616)	(13, 40182.42575163786)	(14, 41693.162628037004)	(15, 43333.16868084759)	(16, 45432.13607970116)	(17, 46402.69732238951)	(18, 47561.275061389184)	(19, 48640.90874056232)	(20, 50364.310818437596)	(21, 51495.25604414926)	(22, 52440.66216282443)	(23, 53517.743719937556)	(24, 54497.4620856201)	(25, 55057.15802906545)	(26, 56824.45065112741)	(27, 57417.94978584136)	(28, 58735.772063697215)	(29, 59444.22330258088)	(30, 59840.60522029752)	(31, 60944.00919143818)	(32, 62659.34501568638)	(33, 64430.75048325058)	(34, 65065.64223877547)	(35, 66651.11780874262)	(36, 67591.73492805364)	(37, 68301.75165225053)	(38, 69190.80935686748)	(39, 70216.33860835478)	(40, 70946.07264180956)	(41, 71404.62054372721)	(42, 72484.15578209961)	(43, 73437.19380275192)	(44, 74439.50762503372)	(45, 75695.95532371708)	(46, 76495.75554766765)	(47, 77245.18036253899)	(48, 78558.27704725417)	(49, 79671.01454420022)	(50, 79880.43802595262)	(51, 81205.85585740465)	(52, 82776.4690560564)	(53, 84710.32661766195)	(54, 85593.53185739984)	(55, 86857.44988039773)	(56, 88217.69629252474)	(57, 87501.30835900817)	(58, 87380.76701413206)	(59, 87535.4836468933)	(60, 88636.41333743444)	(61, 89509.18856307078)	(62, 90081.37110893812)	(63, 90442.39771837069)	(64, 91341.44044748813)	(65, 91592.77111212115)	(66, 92101.06085248866)	(67, 92576.1349959688)	(68, 92359.86326041482)	(69, 91676.07787182258)	(70, 92676.17713920547)	(71, 93577.3156212739)	(72, 94457.02386164365)	(73, 94839.16513978137)	(74, 95299.16767940811)	(75, 95710.41102397548)	(76, 95573.27318559506)	(77, 95369.96343475752)	(78, 96289.004514649)	(79, 96321.56868520915)	(80, 95028.8456502405)	(81, 94573.71660164553)	(82, 95394.800909357)	(83, 101334.55841159663)	(84, 119502.8059824319)	(85, 138016.94806722304)	(86, 147214.2311151608)	(87, 137356.41425890027)	(88, 122053.66868360883)	(89, 107810.69936770068)	(90, 101981.68714728918)	(91, 99948.82331705767)	(92, 95357.62511257906)	(93, 89318.56870676731)	(94, 81841.84984587839)	(95, 72495.35463527276)	(96, 58118.24779457167)	(97, 38005.527940178195)	(98, 18569.49229971711)	(99, 4992.301057441067)
P32	(0, 14739.334658176094)	(1, 18848.40443785922)	(2, 22196.088877488983)	(3, 25750.489233777866)	(4, 28517.686971737792)	(5, 30581.61216055961)	(6, 32120.89563127575)	(7, 33310.26179521682)	(8, 34707.87717595051)	(9, 36052.03601158784)	(10, 36784.2142019053)	(11, 37695.65736177485)	(12, 38715.47203234827)	(13, 39941.4822886505)	(14, 41071.567821848614)	(15, 42362.1105469701)	(16, 43878.53587778995)	(17, 44644.182794117565)	(18, 45573.891804267645)	(19, 46491.95460680205)	(20, 47689.77721890719)	(21, 48695.9428593206)	(22, 49523.35357332804)	(23, 50474.70001372777)	(24, 51339.78040687908)	(25, 51900.99687943631)	(26, 53113.24896408265)	(27, 53523.93465094413)	(28, 54300.920549148876)	(29, 54806.802328356505)	(30, 55090.642618171434)	(31, 55792.84869573882)	(32, 56850.75562163582)	(33, 57988.310976876266)	(34, 58524.40547088817)	(35, 59437.12279465497)	(36, 60292.91459341832)	(37, 60870.32009444239)	(38, 61256.15077760504)	(39, 62299.369497379186)	(40, 62792.09458365731)	(41, 63147.588695263534)	(42, 64013.18182066649)	(43, 64959.49705957166)	(44, 65837.09854678047)	(45, 66887.51960122117)	(46, 67506.44625066036)	(47, 68146.24215905405)	(48, 69165.80905189249)	(49, 69988.42305035739)	(50, 70112.69583066198)	(51, 71101.78480495265)	(52, 71824.6233824909)	(53, 72958.23219663216)	(54, 73859.04102974995)	(55, 74765.29819154165)	(56, 76434.5821327759)	(57, 75968.97559644503)	(58, 75816.98769881723)	(59, 76136.40268171161)	(60, 76917.60099139923)	(61, 77387.28986627038)	(62, 77936.36539134869)	(63, 78321.22455738703)	(64, 78321.01582083594)	(65, 78205.7209201445)	(66, 78399.50939337326)	(67, 78873.85627005616)	(68, 78681.37089584349)	(69, 78933.58707440263)	(70, 79358.34099397401)	(71, 79732.3085593395)	(72, 80395.44784102675)	(73, 81510.08133356852)	(74, 82807.040044769)	(75, 84613.622891503)	(76, 84739.53058190644)	(77, 85142.35041607033)	(78, 86674.99419722217)	(79, 87628.39263973513)	(80, 87347.21112273037)	(81, 87491.38120737391)	(82, 88132.95960295635)	(83, 91285.39416549221)	(84, 102181.38236383209)	(85, 115408.09308073939)	(86, 122942.77169417671)	(87, 118805.7869857575)	(88, 110001.13028007309)	(89, 101375.10057078247)	(90, 97937.98469947733)	(91, 96499.06303112679)	(92, 92513.5534935627)	(93, 85685.68440387172)	(94, 78146.65906576614)	(95, 70606.72344534025)	(96, 59480.39238107784)	(97, 41779.51694527337)	(98, 21701.356087638225)	(99, 6100.150518744969)
P33	(0, 41442.37222718609)	(1, 54729.09578465997)	(2, 64538.22288199548)	(3, 73571.34453722477)	(4, 81022.08318011959)	(5, 86586.11017167682)	(6, 90386.75085510791)	(7, 93956.46144515437)	(8, 98475.37382678385)	(9, 103288.4547925915)	(10, 105793.91922013635)	(11, 109536.10352397195)	(12, 115461.88600257068)	(13, 118548.63356828682)	(14, 121839.2489292013)	(15, 125720.89027702014)	(16, 129082.36045480307)	(17, 130827.33631245584)	(18, 132932.57602728746)	(19, 134763.95654200565)	(20, 137428.92319273288)	(21, 139270.57408720985)	(22, 140379.37216282185)	(23, 143034.07529664465)	(24, 145447.08806051925)	(25, 147151.6040622209)	(26, 149342.64936385312)	(27, 151051.61450409822)	(28, 152459.4987187975)	(29, 153565.7234044841)	(30, 154654.8576079796)	(31, 156489.6800166722)	(32, 158631.3010576359)	(33, 161156.65552650674)	(34, 161616.68062918482)	(35, 163266.52518510947)	(36, 165051.33240067598)	(37, 166310.70946008264)	(38, 165748.23297433002)	(39, 167513.60501463254)	(40, 166979.44055046668)	(41, 166769.78609227907)	(42, 168339.36635357433)	(43, 169605.68959401335)	(44, 169746.8372594299)	(45, 172529.12106035082)	(46, 173508.10840308794)	(47, 175010.5468526921)	(48, 177230.97628725754)	(49, 180451.31216335806)	(50, 181227.7147073594)	(51, 182396.92715188197)	(52, 182992.85530058583)	(53, 184587.70826424236)	(54, 185726.67534741404)	(55, 186830.09654143587)	(56, 189049.2011902421)	(57, 189111.242178194)	(58, 188529.94473868265)	(59, 189215.0136760189)	(60, 188192.24958418394)	(61, 186611.86615514205)	(62, 187777.88777955517)	(63, 189265.54664874895)	(64, 189336.49550078783)	(65, 188355.86887653763)	(66, 188423.44488312013)	(67, 187515.87637674788)	(68, 186011.17294320383)	(69, 185185.24345486378)	(70, 183944.84964774048)	(71, 183928.6562063309)	(72, 184035.86240485116)	(73, 184157.21881970586)	(74, 183680.1928378846)	(75, 184967.51726624044)	(76, 183182.23211091285)	(77, 182441.81993636477)	(78, 184805.76662544606)	(79, 186413.23784309137)	(80, 184359.80066753773)	(81, 180831.9899042756)	(82, 180384.15649553508)	(83, 183695.00539996213)	(84, 195364.4459171258)	(85, 207381.7662855478)	(86, 215668.68580566908)	(87, 209742.34333168328)	(88, 198335.17149384005)	(89, 184593.08757827873)	(90, 176850.6873592699)	(91, 171471.39740376343)	(92, 163930.98508132252)	(93, 152882.93935264772)	(94, 141169.35556156436)	(95, 126118.20830204523)	(96, 102285.39607481718)	(97, 73690.05450098474)	(98, 41228.91570177155)	(99, 11752.072035397228)
P34	(0, 13630.614556745662)	(1, 17225.048552969216)	(2, 20250.108367283625)	(3, 23951.553192964704)	(4, 26810.165991855625)	(5, 28864.00845832369)	(6, 30309.103512832222)	(7, 31512.9046009535)	(8, 33021.540830357815)	(9, 34111.96383760823)	(10, 34710.53912264305)	(11, 35541.16718214082)	(12, 36393.76765740916)	(13, 37475.86937379033)	(14, 38803.09835968162)	(15, 40431.20093146546)	(16, 42136.899207036404)	(17, 42984.027056534534)	(18, 43963.8040272734)	(19, 44868.819753516655)	(20, 46162.31614556323)	(21, 47071.24504082187)	(22, 47867.51038480488)	(23, 49057.83801072217)	(24, 49825.83913724649)	(25, 50200.601578842245)	(26, 51262.43739167892)	(27, 51433.71515780863)	(28, 52096.08142536655)	(29, 52390.49876222647)	(30, 52518.88636457139)	(31, 53115.82649330451)	(32, 54239.98962937308)	(33, 55413.96700399436)	(34, 55748.76509371023)	(35, 56705.830600934205)	(36, 57391.039295204755)	(37, 57868.786849164935)	(38, 58092.390456532106)	(39, 58950.89391056654)	(40, 59070.868187327986)	(41, 59237.4521792352)	(42, 59989.78364947304)	(43, 60818.016324650445)	(44, 61559.85015448723)	(45, 62673.230731955286)	(46, 63122.498068412475)	(47, 63793.12987901268)	(48, 64863.48811984831)	(49, 65997.0667567821)	(50, 66284.59766816923)	(51, 67028.23811933395)	(52, 67878.22288237778)	(53, 69083.66919512828)	(54, 69903.9080304297)	(55, 70804.07049145522)	(56, 72492.36697385208)	(57, 72340.561761386)	(58, 72492.24366000906)	(59, 72885.60332045137)	(60, 73523.47851244146)	(61, 73976.98782305741)	(62, 74407.74727001046)	(63, 74745.72158637537)	(64, 75001.27166849595)	(65, 74861.8497050072)	(66, 75094.97024721155)	(67, 75246.32105157024)	(68, 74906.6264156594)	(69, 74710.97825579373)	(70, 75133.30817716739)	(71, 75724.1004751122)	(72, 76242.72104867338)	(73, 77205.23525799032)	(74, 78567.46681449567)	(75, 80211.23607463023)	(76, 80306.34667765748)	(77, 80791.58267464777)	(78, 82681.0944225566)	(79, 84011.48346753464)	(80, 83797.11733294363)	(81, 84192.82659490212)	(82, 85138.36740761428)	(83, 90372.85105113317)	(84, 106576.18474039866)	(85, 126143.59366380809)	(86, 138956.33233760548)	(87, 134777.7096597314)	(88, 124293.28335697949)	(89, 114098.67719614516)	(90, 110854.44532391427)	(91, 110434.63454719973)	(92, 105311.7121136741)	(93, 96203.79060910147)	(94, 86552.43664852087)	(95, 78117.30757545166)	(96, 64711.61682581763)	(97, 43096.02650235601)	(98, 21432.164877787458)	(99, 5876.257433118046)
P35	(0, 22810.472739150588)	(1, 31907.60486589011)	(2, 38164.6551671627)	(3, 43640.78630887692)	(4, 47707.88099241278)	(5, 50780.52850814496)	(6, 52653.85866078795)	(7, 54147.512746141256)	(8, 56643.04799445057)	(9, 59882.47830990336)	(10, 61355.914683112744)	(11, 64120.85902908926)	(12, 69616.05218393762)	(13, 71192.96756968055)	(14, 73306.6549463861)	(15, 76132.87916002773)	(16, 78396.29665496059)	(17, 79703.85692671087)	(18, 80958.67098123714)	(19, 82308.58299414419)	(20, 83836.72840466286)	(21, 84899.5470987485)	(22, 85337.966160534)	(23, 87130.90199187171)	(24, 88721.77624256631)	(25, 89617.6461552795)	(26, 90308.43105584006)	(27, 91737.5798176579)	(28, 92462.92787502105)	(29, 92959.43513866827)	(30, 93515.23583459228)	(31, 94535.52940615718)	(32, 95647.77305946383)	(33, 96763.78318885865)	(34, 96904.63524459272)	(35, 97611.76099049862)	(36, 98662.09205570196)	(37, 99364.23983478903)	(38, 97344.82059180489)	(39, 98010.25095180285)	(40, 96942.78947617838)	(41, 96828.25926175763)	(42, 97840.32033504047)	(43, 98453.07569941353)	(44, 98265.65392359871)	(45, 99589.72197257204)	(46, 100234.12804562824)	(47, 101355.3871253931)	(48, 102757.84734214644)	(49, 105174.76360758611)	(50, 105623.83352896097)	(51, 106032.78229361321)	(52, 106613.52817542682)	(53, 107359.48275729317)	(54, 108207.05762057636)	(55, 108682.6328543711)	(56, 109536.18812644118)	(57, 110212.38322067016)	(58, 109638.76873373192)	(59, 110141.98917474956)	(60, 108820.39635765078)	(61, 107288.17037727933)	(62, 109615.10490096852)	(63, 110307.31499768748)	(64, 109654.91233955459)	(65, 108044.68086404339)	(66, 107644.41543629402)	(67, 106842.57997701078)	(68, 105598.14464889027)	(69, 104503.69370067456)	(70, 102693.27053474411)	(71, 102142.72623630524)	(72, 102099.1660937438)	(73, 102248.20332919197)	(74, 101344.63910935484)	(75, 102039.32226088535)	(76, 100826.21951678244)	(77, 100529.47474295326)	(78, 101771.56888716095)	(79, 102330.44415301782)	(80, 100566.63156782418)	(81, 98099.53869700966)	(82, 98212.03677919229)	(83, 102011.16638325846)	(84, 111839.94381196679)	(85, 123360.50603056993)	(86, 131426.3067825253)	(87, 126986.17893747916)	(88, 117741.67849529674)	(89, 107070.44102056135)	(90, 102486.83746219256)	(91, 101104.39273751219)	(92, 97368.11430540842)	(93, 91174.01807250442)	(94, 84337.23750930751)	(95, 75806.73865412762)	(96, 61642.01083364971)	(97, 43534.8175938151)	(98, 23430.945515101703)	(99, 6469.738674779338)
P36	(0, 18784.450458727828)	(1, 24357.104632522023)	(2, 29073.19902922417)	(3, 34890.45475758003)	(4, 39288.37607615048)	(5, 42307.98646376552)	(6, 44407.265107030966)	(7, 46180.21549745328)	(8, 48711.63193014727)	(9, 50540.93650480293)	(10, 51426.02876345833)	(11, 52653.82200645822)	(12, 53972.26817568321)	(13, 55237.58315881182)	(14, 57139.876030750755)	(15, 59131.37563308839)	(16, 61525.964291164964)	(17, 62566.6658941046)	(18, 63857.496746618424)	(19, 65084.25993650117)	(20, 67077.11266404531)	(21, 68223.50094417854)	(22, 69193.03281403359)	(23, 70655.1781073388)	(24, 71896.32998320162)	(25, 72599.54301697007)	(26, 74475.47877060248)	(27, 74929.62385113862)	(28, 75843.13471774635)	(29, 76353.59219834271)	(30, 76571.74887972562)	(31, 77434.24982126862)	(32, 78877.84514996014)	(33, 80640.48297794236)	(34, 80682.96335901754)	(35, 82001.95346158296)	(36, 83041.81317994188)	(37, 83738.05099779383)	(38, 83668.46837159603)	(39, 84511.17147428072)	(40, 84664.68897340262)	(41, 84374.50194190996)	(42, 85120.9543720843)	(43, 86114.99126254946)	(44, 86837.40747345422)	(45, 88270.63530436096)	(46, 88607.51873906016)	(47, 89428.92613786591)	(48, 90898.4481218561)	(49, 92563.29252148776)	(50, 92888.6465997294)	(51, 93462.54389044453)	(52, 94328.58705139131)	(53, 95608.24003487642)	(54, 96483.25540650518)	(55, 97381.51853163766)	(56, 99404.80413717464)	(57, 98643.20350080126)	(58, 98478.68895830041)	(59, 98802.78748791655)	(60, 99569.08097254382)	(61, 99697.55186521537)	(62, 100064.00076670446)	(63, 100275.96087637727)	(64, 100142.85088534067)	(65, 99330.02358400969)	(66, 99115.66465419007)	(67, 98930.21538835394)	(68, 98063.28306509662)	(69, 97600.32769727746)	(70, 97869.30170992092)	(71, 98494.24731233473)	(72, 98930.35504971808)	(73, 99634.85744176863)	(74, 100765.3428733813)	(75, 102618.24128999822)	(76, 102178.23863667811)	(77, 102408.49786768093)	(78, 104610.97159424017)	(79, 106097.29349586071)	(80, 105757.99563860206)	(81, 106140.35674176391)	(82, 107658.8157777069)	(83, 114548.56765831394)	(84, 135247.35298547844)	(85, 160426.2881505553)	(86, 176099.07571637252)	(87, 168345.8407012221)	(88, 153061.4211250984)	(89, 138767.17101138836)	(90, 134509.0542693537)	(91, 135685.9606534383)	(92, 132691.62509756107)	(93, 126493.06562725495)	(94, 117983.03897235276)	(95, 106626.56374204329)	(96, 86321.07543238488)	(97, 56276.98562773264)	(98, 26932.16657953532)	(99, 7194.269764955906)
P41	(0, 26856.77051159158)	(1, 36153.88918510407)	(2, 42950.685032491434)	(3, 48358.80845186156)	(4, 53195.23954790615)	(5, 56875.37159335922)	(6, 59206.82359923787)	(7, 61084.06087526772)	(8, 63752.82809389157)	(9, 67525.54083322956)	(10, 69235.26199165349)	(11, 71781.40183719828)	(12, 76044.64288021004)	(13, 77881.27078293386)	(14, 80028.8802091105)	(15, 82459.73669484889)	(16, 84304.46125944107)	(17, 85322.2932360908)	(18, 86777.06689495828)	(19, 87733.9565291541)	(20, 89019.8634745529)	(21, 90254.82759207094)	(22, 91003.55711060324)	(23, 93048.94562269842)	(24, 94580.76270506543)	(25, 95651.00534269371)	(26, 96397.12360192223)	(27, 97635.10981926425)	(28, 98166.38585849311)	(29, 98815.8181665276)	(30, 99516.93892474908)	(31, 100615.31936378714)	(32, 101959.52402394396)	(33, 103201.67291130537)	(34, 103871.00515493608)	(35, 104764.35920873751)	(36, 106075.47269100897)	(37, 106795.79596300056)	(38, 106100.63532903386)	(39, 107074.05995703522)	(40, 106550.46684768)	(41, 106072.56710049564)	(42, 107129.60327697376)	(43, 107810.97769630924)	(44, 107765.56661146457)	(45, 109386.15740782008)	(46, 109611.96141706705)	(47, 110763.7098887918)	(48, 112060.95524146227)	(49, 114286.11429525724)	(50, 115088.36415295841)	(51, 115514.86077660143)	(52, 115553.1985428415)	(53, 115732.81907864971)	(54, 116579.69546354319)	(55, 117270.09049350009)	(56, 119120.86903553996)	(57, 119605.46829107922)	(58, 119281.22624846493)	(59, 119747.1038829552)	(60, 118499.11208361787)	(61, 117170.71631853272)	(62, 117806.37805722008)	(63, 118865.02992842648)	(64, 117826.25795282001)	(65, 116298.30528704045)	(66, 115562.45846928551)	(67, 114972.3460354874)	(68, 113795.09186764604)	(69, 113837.3247194564)	(70, 112527.00462671454)	(71, 112465.00175045119)	(72, 112708.27280226283)	(73, 113623.35918810216)	(74, 113526.74039440983)	(75, 115956.47794704251)	(76, 114588.0695743016)	(77, 114406.70089127036)	(78, 116434.3386788875)	(79, 117952.98092957097)	(80, 116728.86513823448)	(81, 114459.39881675053)	(82, 113933.32590702485)	(83, 115826.572609673)	(84, 122593.41580274016)	(85, 130423.36371612547)	(86, 136741.90152820898)	(87, 134710.23443193192)	(88, 128736.45859865734)	(89, 120659.55743077512)	(90, 116288.9401741199)	(91, 113538.07217546823)	(92, 107456.03875874513)	(93, 98504.66589337244)	(94, 90169.76354828448)	(95, 81718.46079738594)	(96, 68308.01745556005)	(97, 51458.0088121797)	(98, 29904.284316821813)	(99, 8801.660794039186)
