Sample	Exonic	Intronic	Intergenic
IT1G	19476635.0	12119670.0	8288516.0
P1G	20488086.0	15454428.0	10613360.0
P2G	16628305.0	16674873.0	10524510.0
P31	16462474.0	9597900.0	15210199.0
P32	16256599.0	10952062.0	14572148.0
P33	32731600.0	21222323.0	24068987.0
P34	14975558.0	8713298.0	13975748.0
P35	17261844.0	10434352.0	11696094.0
P36	18252517.0	9978032.0	16657177.0
P41	21541344.0	10844160.0	11786246.0
P42	21706793.0	12627420.0	16428085.0
P43	15575008.0	9989994.0	12076202.0
P44	19286757.0	11034600.0	13640363.0
P45	16998240.0	10373817.0	15446632.0
P46	16203912.0	10133120.0	12212709.0
P47	16192539.0	8948457.0	12043802.0
P48	19502569.0	10375478.0	16866854.0
P49	17085551.0	9256230.0	14471017.0
P50	23398102.0	12519704.0	17477499.0
P51	17922207.0	11963774.0	11550257.0
P52	20020705.0	12203378.0	12325459.0
PNKD	19791524.0	14239528.0	10678409.0
PNKIT	22085943.0	12022133.0	8525197.0
PNKV	16414082.0	11236326.0	8735235.0
