Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
IT1G	30568.64711554286	42447.07373300767	50260.646490339794	56191.07605916362	61023.466559425	64045.47759475111	65993.21533085706	67647.86260382282	68589.66628776006	70267.42189779386	71240.50967877763	72094.2000764889	72663.38153765364	73529.77212179087	75064.91208580806	76628.69699683321	78693.69785480821	79563.08459100618	80600.05807652108	81957.20951969136	83590.80133987291	84637.38893929013	85482.25222979409	86681.33641451628	87647.51096511615	88088.93339159047	89499.95785529472	89506.94841073759	90165.41148864027	90626.83233329431	90929.78517261389	91243.82627094624	91646.52532467364	91984.4273680125	92248.24169385707	92454.23128835123	92515.9658503627	93417.13794234346	93776.33836626053	93733.76422913228	94151.0952568369	94860.60435347307	95536.78383638429	95572.01523405449	95525.94211181508	95893.36667163749	95517.33846209478	95338.18346396231	95139.23393531243	95654.29091047222	95801.50209423757	95361.47743563628	94092.903581978	94693.17519026906	94726.79654956626	94998.49950608415	94756.66468118128	94878.17214472606	94983.11792114633	94469.58970404915	94490.48188665893	95108.77230233334	95356.19905343906	94910.9962485979	94892.26513502724	94293.35192521084	93894.04283306887	92939.04932986294	91932.6425448533	91081.58656096243	91365.66103346541	90344.16089427401	89810.55798848937	89093.73289540307	88556.66855689537	87727.6916966889	86802.86268888986	85384.14560551579	84417.74015372757	82980.9879048576	81814.09265681593	80489.51035511668	79090.12306832621	77298.53654035466	76013.7033744698	73516.46961259516	71624.72680940195	69281.16210873853	67394.45220963258	64392.372417780345	61281.85096681776	58050.26720623567	54333.2777954039	49622.86355246379	44463.41628193502	39345.84633855574	31517.589488990056	22663.579607485033	13017.70947495409	3888.231313988681
P1G	37902.09917503655	48794.270609524014	56771.854271413606	64338.584853991546	70756.31666513167	74584.25723314127	77285.0493383153	79985.27143639865	82109.0008297405	83999.60271200108	85093.14842876897	86271.46813327762	87353.43176436145	88951.0387493647	90671.8828773197	92669.48726604227	95617.71913900056	97581.0759209521	98641.48595350578	99984.43614131505	101629.46765860856	102604.86151597997	103042.39723227477	103673.10948471232	104845.77897973768	105512.40623386436	107418.60092551434	107441.38193517062	108163.33244209277	108992.36665315182	109162.10822684022	110144.95230066274	111181.44190496465	112163.72534504616	111362.16848937841	111345.36024207406	111753.39934191137	111980.40147349307	112129.90340747198	112253.59128753764	112147.48589730577	111583.78851280473	111482.8595678238	111361.20548662073	111089.72853943735	111535.47676641315	111564.77557382123	111229.56642686299	111424.92124536166	111791.5553892849	111075.0504347274	110936.86704604157	110875.15886898221	111275.06131374814	111184.49684123145	111592.61058190675	111625.61878163228	110189.63121707676	109402.05768260307	108203.71610648406	108190.99645216267	107612.5194257643	106532.14981125067	105746.96303539677	104971.30504803911	104118.30999412031	103399.76550502391	102345.58167116271	101322.46392996682	99593.76376461021	98801.01971347416	98196.60920926454	97254.90912139401	95844.44259421797	94713.19501545336	93328.93491702355	91811.23323185845	90048.85957592673	88850.07346414165	86994.58736942429	84626.12942948048	81965.60204097861	79488.93195679641	76988.9023767035	75297.56848006746	72918.66406549103	70886.73194576801	69313.00348183844	67763.43410320685	65337.71846261885	62599.16805947864	58687.84466580554	54906.5186164502	49859.036995233604	44675.93974283712	38954.07459619405	31605.443696348564	22296.201137341086	12848.685760936572	4416.998040509735
P2G	28405.83758441177	36668.65212501711	42668.94627264373	48132.0747071475	52584.28142802655	55328.05448427997	57361.27256564031	59215.830838573216	60728.35587407009	62195.65128301548	63150.456668594765	64054.87341295544	64757.45532784055	65779.67518032188	66922.42577718536	68176.50960892362	70085.2932687887	71455.84282279598	72243.04156540171	73276.98258101966	74468.21263885955	75163.21421140601	75569.8402776907	76038.77149870897	76859.49280560005	77362.75702776382	78740.11995513043	78841.41212868238	79368.28947874413	80014.27435114564	80169.6828578452	80855.43376867799	81570.52474550295	82359.19967407554	81894.69273798996	81902.26998550368	82254.64901561185	82518.40742001458	82501.80984618227	82602.41684677504	82651.07876844933	82361.74939680543	82397.3591468714	82464.73073612759	82263.40601909363	82440.4078365538	82413.25514163867	82178.07988603773	82299.6857965511	82435.66483268276	81889.48930280989	81884.33014688258	81754.72241868272	82058.63458596112	82087.93171988233	82273.9560007031	82180.67618001647	81021.53237779877	80387.65975692566	79699.32315225853	79801.7679702304	79443.43935837781	78685.91532601355	78203.08234512534	77920.18604054315	77605.6039714281	77257.44180570806	76691.24778010261	76139.71676791123	75293.05429510852	74781.20319025547	74353.04699821287	73847.34820620784	73018.92402838352	72431.42694786507	71569.38707751218	70608.0309959101	69518.97943674841	68840.50785236747	67702.80326960621	66256.61519649797	64603.36489947862	63005.28851623794	61365.352673865236	60200.775193376525	58632.064938537034	57192.90177467098	56032.08711397561	54850.69541062242	53004.643080103524	50905.703701634986	48020.86633043135	45146.21566038752	41454.670869162626	37506.38852801389	32787.9071430905	26770.398614698286	19060.301935154654	10973.761601700837	3544.1275947260183
P31	13448.954089320177	17093.13593453027	20307.217223059368	24873.381333424513	28236.741309278998	30667.874523173236	32333.110377032957	33668.4295520287	35215.17036940492	36487.17949588706	37218.79075027675	38112.39875656332	38813.197155106616	40182.42575163786	41693.162628037004	43333.16868084759	45432.13607970116	46402.69732238951	47561.275061389184	48640.90874056232	50364.310818437596	51495.25604414926	52440.66216282443	53517.743719937556	54497.4620856201	55057.15802906545	56824.45065112741	57417.94978584136	58735.772063697215	59444.22330258088	59840.60522029752	60944.00919143818	62659.34501568638	64430.75048325058	65065.64223877547	66651.11780874262	67591.73492805364	68301.75165225053	69190.80935686748	70216.33860835478	70946.07264180956	71404.62054372721	72484.15578209961	73437.19380275192	74439.50762503372	75695.95532371708	76495.75554766765	77245.18036253899	78558.27704725417	79671.01454420022	79880.43802595262	81205.85585740465	82776.4690560564	84710.32661766195	85593.53185739984	86857.44988039773	88217.69629252474	87501.30835900817	87380.76701413206	87535.4836468933	88636.41333743444	89509.18856307078	90081.37110893812	90442.39771837069	91341.44044748813	91592.77111212115	92101.06085248866	92576.1349959688	92359.86326041482	91676.07787182258	92676.17713920547	93577.3156212739	94457.02386164365	94839.16513978137	95299.16767940811	95710.41102397548	95573.27318559506	95369.96343475752	96289.004514649	96321.56868520915	95028.8456502405	94573.71660164553	95394.800909357	101334.55841159663	119502.8059824319	138016.94806722304	147214.2311151608	137356.41425890027	122053.66868360883	107810.69936770068	101981.68714728918	99948.82331705767	95357.62511257906	89318.56870676731	81841.84984587839	72495.35463527276	58118.24779457167	38005.527940178195	18569.49229971711	4992.301057441067
P32	14739.334658176094	18848.40443785922	22196.088877488983	25750.489233777866	28517.686971737792	30581.61216055961	32120.89563127575	33310.26179521682	34707.87717595051	36052.03601158784	36784.2142019053	37695.65736177485	38715.47203234827	39941.4822886505	41071.567821848614	42362.1105469701	43878.53587778995	44644.182794117565	45573.891804267645	46491.95460680205	47689.77721890719	48695.9428593206	49523.35357332804	50474.70001372777	51339.78040687908	51900.99687943631	53113.24896408265	53523.93465094413	54300.920549148876	54806.802328356505	55090.642618171434	55792.84869573882	56850.75562163582	57988.310976876266	58524.40547088817	59437.12279465497	60292.91459341832	60870.32009444239	61256.15077760504	62299.369497379186	62792.09458365731	63147.588695263534	64013.18182066649	64959.49705957166	65837.09854678047	66887.51960122117	67506.44625066036	68146.24215905405	69165.80905189249	69988.42305035739	70112.69583066198	71101.78480495265	71824.6233824909	72958.23219663216	73859.04102974995	74765.29819154165	76434.5821327759	75968.97559644503	75816.98769881723	76136.40268171161	76917.60099139923	77387.28986627038	77936.36539134869	78321.22455738703	78321.01582083594	78205.7209201445	78399.50939337326	78873.85627005616	78681.37089584349	78933.58707440263	79358.34099397401	79732.3085593395	80395.44784102675	81510.08133356852	82807.040044769	84613.622891503	84739.53058190644	85142.35041607033	86674.99419722217	87628.39263973513	87347.21112273037	87491.38120737391	88132.95960295635	91285.39416549221	102181.38236383209	115408.09308073939	122942.77169417671	118805.7869857575	110001.13028007309	101375.10057078247	97937.98469947733	96499.06303112679	92513.5534935627	85685.68440387172	78146.65906576614	70606.72344534025	59480.39238107784	41779.51694527337	21701.356087638225	6100.150518744969
P33	41442.37222718609	54729.09578465997	64538.22288199548	73571.34453722477	81022.08318011959	86586.11017167682	90386.75085510791	93956.46144515437	98475.37382678385	103288.4547925915	105793.91922013635	109536.10352397195	115461.88600257068	118548.63356828682	121839.2489292013	125720.89027702014	129082.36045480307	130827.33631245584	132932.57602728746	134763.95654200565	137428.92319273288	139270.57408720985	140379.37216282185	143034.07529664465	145447.08806051925	147151.6040622209	149342.64936385312	151051.61450409822	152459.4987187975	153565.7234044841	154654.8576079796	156489.6800166722	158631.3010576359	161156.65552650674	161616.68062918482	163266.52518510947	165051.33240067598	166310.70946008264	165748.23297433002	167513.60501463254	166979.44055046668	166769.78609227907	168339.36635357433	169605.68959401335	169746.8372594299	172529.12106035082	173508.10840308794	175010.5468526921	177230.97628725754	180451.31216335806	181227.7147073594	182396.92715188197	182992.85530058583	184587.70826424236	185726.67534741404	186830.09654143587	189049.2011902421	189111.242178194	188529.94473868265	189215.0136760189	188192.24958418394	186611.86615514205	187777.88777955517	189265.54664874895	189336.49550078783	188355.86887653763	188423.44488312013	187515.87637674788	186011.17294320383	185185.24345486378	183944.84964774048	183928.6562063309	184035.86240485116	184157.21881970586	183680.1928378846	184967.51726624044	183182.23211091285	182441.81993636477	184805.76662544606	186413.23784309137	184359.80066753773	180831.9899042756	180384.15649553508	183695.00539996213	195364.4459171258	207381.7662855478	215668.68580566908	209742.34333168328	198335.17149384005	184593.08757827873	176850.6873592699	171471.39740376343	163930.98508132252	152882.93935264772	141169.35556156436	126118.20830204523	102285.39607481718	73690.05450098474	41228.91570177155	11752.072035397228
P34	13630.614556745662	17225.048552969216	20250.108367283625	23951.553192964704	26810.165991855625	28864.00845832369	30309.103512832222	31512.9046009535	33021.540830357815	34111.96383760823	34710.53912264305	35541.16718214082	36393.76765740916	37475.86937379033	38803.09835968162	40431.20093146546	42136.899207036404	42984.027056534534	43963.8040272734	44868.819753516655	46162.31614556323	47071.24504082187	47867.51038480488	49057.83801072217	49825.83913724649	50200.601578842245	51262.43739167892	51433.71515780863	52096.08142536655	52390.49876222647	52518.88636457139	53115.82649330451	54239.98962937308	55413.96700399436	55748.76509371023	56705.830600934205	57391.039295204755	57868.786849164935	58092.390456532106	58950.89391056654	59070.868187327986	59237.4521792352	59989.78364947304	60818.016324650445	61559.85015448723	62673.230731955286	63122.498068412475	63793.12987901268	64863.48811984831	65997.0667567821	66284.59766816923	67028.23811933395	67878.22288237778	69083.66919512828	69903.9080304297	70804.07049145522	72492.36697385208	72340.561761386	72492.24366000906	72885.60332045137	73523.47851244146	73976.98782305741	74407.74727001046	74745.72158637537	75001.27166849595	74861.8497050072	75094.97024721155	75246.32105157024	74906.6264156594	74710.97825579373	75133.30817716739	75724.1004751122	76242.72104867338	77205.23525799032	78567.46681449567	80211.23607463023	80306.34667765748	80791.58267464777	82681.0944225566	84011.48346753464	83797.11733294363	84192.82659490212	85138.36740761428	90372.85105113317	106576.18474039866	126143.59366380809	138956.33233760548	134777.7096597314	124293.28335697949	114098.67719614516	110854.44532391427	110434.63454719973	105311.7121136741	96203.79060910147	86552.43664852087	78117.30757545166	64711.61682581763	43096.02650235601	21432.164877787458	5876.257433118046
P35	22810.472739150588	31907.60486589011	38164.6551671627	43640.78630887692	47707.88099241278	50780.52850814496	52653.85866078795	54147.512746141256	56643.04799445057	59882.47830990336	61355.914683112744	64120.85902908926	69616.05218393762	71192.96756968055	73306.6549463861	76132.87916002773	78396.29665496059	79703.85692671087	80958.67098123714	82308.58299414419	83836.72840466286	84899.5470987485	85337.966160534	87130.90199187171	88721.77624256631	89617.6461552795	90308.43105584006	91737.5798176579	92462.92787502105	92959.43513866827	93515.23583459228	94535.52940615718	95647.77305946383	96763.78318885865	96904.63524459272	97611.76099049862	98662.09205570196	99364.23983478903	97344.82059180489	98010.25095180285	96942.78947617838	96828.25926175763	97840.32033504047	98453.07569941353	98265.65392359871	99589.72197257204	100234.12804562824	101355.3871253931	102757.84734214644	105174.76360758611	105623.83352896097	106032.78229361321	106613.52817542682	107359.48275729317	108207.05762057636	108682.6328543711	109536.18812644118	110212.38322067016	109638.76873373192	110141.98917474956	108820.39635765078	107288.17037727933	109615.10490096852	110307.31499768748	109654.91233955459	108044.68086404339	107644.41543629402	106842.57997701078	105598.14464889027	104503.69370067456	102693.27053474411	102142.72623630524	102099.1660937438	102248.20332919197	101344.63910935484	102039.32226088535	100826.21951678244	100529.47474295326	101771.56888716095	102330.44415301782	100566.63156782418	98099.53869700966	98212.03677919229	102011.16638325846	111839.94381196679	123360.50603056993	131426.3067825253	126986.17893747916	117741.67849529674	107070.44102056135	102486.83746219256	101104.39273751219	97368.11430540842	91174.01807250442	84337.23750930751	75806.73865412762	61642.01083364971	43534.8175938151	23430.945515101703	6469.738674779338
P36	18784.450458727828	24357.104632522023	29073.19902922417	34890.45475758003	39288.37607615048	42307.98646376552	44407.265107030966	46180.21549745328	48711.63193014727	50540.93650480293	51426.02876345833	52653.82200645822	53972.26817568321	55237.58315881182	57139.876030750755	59131.37563308839	61525.964291164964	62566.6658941046	63857.496746618424	65084.25993650117	67077.11266404531	68223.50094417854	69193.03281403359	70655.1781073388	71896.32998320162	72599.54301697007	74475.47877060248	74929.62385113862	75843.13471774635	76353.59219834271	76571.74887972562	77434.24982126862	78877.84514996014	80640.48297794236	80682.96335901754	82001.95346158296	83041.81317994188	83738.05099779383	83668.46837159603	84511.17147428072	84664.68897340262	84374.50194190996	85120.9543720843	86114.99126254946	86837.40747345422	88270.63530436096	88607.51873906016	89428.92613786591	90898.4481218561	92563.29252148776	92888.6465997294	93462.54389044453	94328.58705139131	95608.24003487642	96483.25540650518	97381.51853163766	99404.80413717464	98643.20350080126	98478.68895830041	98802.78748791655	99569.08097254382	99697.55186521537	100064.00076670446	100275.96087637727	100142.85088534067	99330.02358400969	99115.66465419007	98930.21538835394	98063.28306509662	97600.32769727746	97869.30170992092	98494.24731233473	98930.35504971808	99634.85744176863	100765.3428733813	102618.24128999822	102178.23863667811	102408.49786768093	104610.97159424017	106097.29349586071	105757.99563860206	106140.35674176391	107658.8157777069	114548.56765831394	135247.35298547844	160426.2881505553	176099.07571637252	168345.8407012221	153061.4211250984	138767.17101138836	134509.0542693537	135685.9606534383	132691.62509756107	126493.06562725495	117983.03897235276	106626.56374204329	86321.07543238488	56276.98562773264	26932.16657953532	7194.269764955906
P41	26856.77051159158	36153.88918510407	42950.685032491434	48358.80845186156	53195.23954790615	56875.37159335922	59206.82359923787	61084.06087526772	63752.82809389157	67525.54083322956	69235.26199165349	71781.40183719828	76044.64288021004	77881.27078293386	80028.8802091105	82459.73669484889	84304.46125944107	85322.2932360908	86777.06689495828	87733.9565291541	89019.8634745529	90254.82759207094	91003.55711060324	93048.94562269842	94580.76270506543	95651.00534269371	96397.12360192223	97635.10981926425	98166.38585849311	98815.8181665276	99516.93892474908	100615.31936378714	101959.52402394396	103201.67291130537	103871.00515493608	104764.35920873751	106075.47269100897	106795.79596300056	106100.63532903386	107074.05995703522	106550.46684768	106072.56710049564	107129.60327697376	107810.97769630924	107765.56661146457	109386.15740782008	109611.96141706705	110763.7098887918	112060.95524146227	114286.11429525724	115088.36415295841	115514.86077660143	115553.1985428415	115732.81907864971	116579.69546354319	117270.09049350009	119120.86903553996	119605.46829107922	119281.22624846493	119747.1038829552	118499.11208361787	117170.71631853272	117806.37805722008	118865.02992842648	117826.25795282001	116298.30528704045	115562.45846928551	114972.3460354874	113795.09186764604	113837.3247194564	112527.00462671454	112465.00175045119	112708.27280226283	113623.35918810216	113526.74039440983	115956.47794704251	114588.0695743016	114406.70089127036	116434.3386788875	117952.98092957097	116728.86513823448	114459.39881675053	113933.32590702485	115826.572609673	122593.41580274016	130423.36371612547	136741.90152820898	134710.23443193192	128736.45859865734	120659.55743077512	116288.9401741199	113538.07217546823	107456.03875874513	98504.66589337244	90169.76354828448	81718.46079738594	68308.01745556005	51458.0088121797	29904.284316821813	8801.660794039186
