Sample	Sense	Antisense	Undetermined
IT1G	12.36	51.580000000000005	36.059999999999995
P1G	22.93	69.58	7.489999999999999
P2G	22.21	69.86	7.93
P31	19.509999999999998	77.18	3.3099999999999996
P32	21.5	73.31	5.19
P33	22.03	71.57	6.41
P34	20.630000000000003	76.47	2.9000000000000004
P35	21.310000000000002	75.97	2.73
P36	22.84	74.2	2.9499999999999997
P41	18.360000000000003	78.43	3.2199999999999998
P42	20.27	76.44	3.29
P43	21.09	77.29	1.6199999999999999
P44	20.8	77.13	2.07
P45	21.21	75.91	2.88
P46	21.11	76.33	2.5700000000000003
P47	19.439999999999998	78.97	1.59
P48	20.419999999999998	77.34	2.2399999999999998
P49	18.970000000000002	77.14	3.8899999999999997
P50	20.549999999999997	75.39	4.06
P51	22.3	71.7	6.0
P52	21.15	74.83	4.02
PNKD	24.22	69.91000000000001	5.86
PNKIT	9.34	45.32	45.34
PNKV	21.29	73.55000000000001	5.1499999999999995
