Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
IT1G	(-247.5, 0.0)	(-242.5, 0.0)	(-237.5, 0.0)	(-232.5, 0.0)	(-227.5, 0.0)	(-222.5, 0.0)	(-217.5, 0.0)	(-212.5, 0.0)	(-207.5, 0.0)	(-202.5, 0.0)	(-197.5, 0.0)	(-192.5, 0.0)	(-187.5, 0.0)	(-182.5, 0.0)	(-177.5, 0.0)	(-172.5, 0.0)	(-167.5, 0.0)	(-162.5, 0.0)	(-157.5, 0.0)	(-152.5, 1417.0)	(-147.5, 15590.0)	(-142.5, 16040.0)	(-137.5, 16438.0)	(-132.5, 16817.0)	(-127.5, 17362.0)	(-122.5, 17643.0)	(-117.5, 18529.0)	(-112.5, 18875.0)	(-107.5, 19565.0)	(-102.5, 20307.0)	(-97.5, 21137.0)	(-92.5, 22146.0)	(-87.5, 22911.0)	(-82.5, 24030.0)	(-77.5, 25065.0)	(-72.5, 26275.0)	(-67.5, 28102.0)	(-62.5, 28925.0)	(-57.5, 30024.0)	(-52.5, 30987.0)	(-47.5, 31733.0)	(-42.5, 32013.0)	(-37.5, 32784.0)	(-32.5, 32822.0)	(-27.5, 32471.0)	(-22.5, 31827.0)	(-17.5, 31033.0)	(-12.5, 30226.0)	(-7.5, 28970.0)	(-2.5, 28583.0)	(2.5, 26058.0)	(7.5, 24000.0)	(12.5, 21860.0)	(17.5, 19762.0)	(22.5, 18360.0)	(27.5, 16181.0)	(32.5, 14262.0)	(37.5, 13001.0)	(42.5, 11381.0)	(47.5, 10176.0)	(52.5, 8800.0)	(57.5, 7582.0)	(62.5, 6643.0)	(67.5, 5956.0)	(72.5, 4995.0)	(77.5, 4482.0)	(82.5, 3743.0)	(87.5, 3381.0)	(92.5, 2899.0)	(97.5, 2507.0)	(102.5, 2252.0)	(107.5, 1880.0)	(112.5, 1655.0)	(117.5, 1493.0)	(122.5, 1275.0)	(127.5, 1204.0)	(132.5, 1046.0)	(137.5, 871.0)	(142.5, 796.0)	(147.5, 699.0)	(152.5, 616.0)	(157.5, 522.0)	(162.5, 521.0)	(167.5, 426.0)	(172.5, 410.0)	(177.5, 369.0)	(182.5, 340.0)	(187.5, 292.0)	(192.5, 270.0)	(197.5, 231.0)	(202.5, 228.0)	(207.5, 204.0)	(212.5, 157.0)	(217.5, 176.0)	(222.5, 143.0)	(227.5, 143.0)	(232.5, 132.0)	(237.5, 112.0)	(242.5, 108.0)	(247.5, 93.0)
P1G	(-247.5, 0.0)	(-242.5, 0.0)	(-237.5, 0.0)	(-232.5, 0.0)	(-227.5, 0.0)	(-222.5, 0.0)	(-217.5, 0.0)	(-212.5, 0.0)	(-207.5, 0.0)	(-202.5, 0.0)	(-197.5, 0.0)	(-192.5, 0.0)	(-187.5, 0.0)	(-182.5, 0.0)	(-177.5, 0.0)	(-172.5, 0.0)	(-167.5, 0.0)	(-162.5, 0.0)	(-157.5, 0.0)	(-152.5, 1084.0)	(-147.5, 11781.0)	(-142.5, 12515.0)	(-137.5, 13088.0)	(-132.5, 13375.0)	(-127.5, 14085.0)	(-122.5, 14576.0)	(-117.5, 15528.0)	(-112.5, 16212.0)	(-107.5, 17547.0)	(-102.5, 18688.0)	(-97.5, 20107.0)	(-92.5, 21656.0)	(-87.5, 22845.0)	(-82.5, 25047.0)	(-77.5, 26719.0)	(-72.5, 28704.0)	(-67.5, 30228.0)	(-62.5, 31993.0)	(-57.5, 33085.0)	(-52.5, 34057.0)	(-47.5, 35299.0)	(-42.5, 36091.0)	(-37.5, 35895.0)	(-32.5, 35701.0)	(-27.5, 35297.0)	(-22.5, 34352.0)	(-17.5, 33157.0)	(-12.5, 31807.0)	(-7.5, 30140.0)	(-2.5, 29670.0)	(2.5, 26702.0)	(7.5, 24207.0)	(12.5, 22406.0)	(17.5, 19939.0)	(22.5, 17598.0)	(27.5, 15794.0)	(32.5, 14184.0)	(37.5, 12461.0)	(42.5, 10939.0)	(47.5, 9597.0)	(52.5, 8258.0)	(57.5, 7208.0)	(62.5, 6341.0)	(67.5, 5502.0)	(72.5, 4739.0)	(77.5, 4175.0)	(82.5, 3524.0)	(87.5, 2949.0)	(92.5, 2598.0)	(97.5, 2185.0)	(102.5, 1888.0)	(107.5, 1699.0)	(112.5, 1461.0)	(117.5, 1251.0)	(122.5, 1060.0)	(127.5, 932.0)	(132.5, 851.0)	(137.5, 706.0)	(142.5, 609.0)	(147.5, 532.0)	(152.5, 460.0)	(157.5, 432.0)	(162.5, 376.0)	(167.5, 298.0)	(172.5, 293.0)	(177.5, 256.0)	(182.5, 239.0)	(187.5, 212.0)	(192.5, 196.0)	(197.5, 186.0)	(202.5, 186.0)	(207.5, 148.0)	(212.5, 147.0)	(217.5, 117.0)	(222.5, 112.0)	(227.5, 100.0)	(232.5, 90.0)	(237.5, 86.0)	(242.5, 72.0)	(247.5, 62.0)
P2G	(-247.5, 0.0)	(-242.5, 0.0)	(-237.5, 0.0)	(-232.5, 0.0)	(-227.5, 0.0)	(-222.5, 0.0)	(-217.5, 0.0)	(-212.5, 0.0)	(-207.5, 0.0)	(-202.5, 0.0)	(-197.5, 0.0)	(-192.5, 0.0)	(-187.5, 0.0)	(-182.5, 0.0)	(-177.5, 0.0)	(-172.5, 0.0)	(-167.5, 0.0)	(-162.5, 0.0)	(-157.5, 0.0)	(-152.5, 935.0)	(-147.5, 10560.0)	(-142.5, 11111.0)	(-137.5, 11389.0)	(-132.5, 11959.0)	(-127.5, 12492.0)	(-122.5, 13117.0)	(-117.5, 14181.0)	(-112.5, 14901.0)	(-107.5, 16058.0)	(-102.5, 17291.0)	(-97.5, 18533.0)	(-92.5, 20470.0)	(-87.5, 21762.0)	(-82.5, 23738.0)	(-77.5, 25493.0)	(-72.5, 27539.0)	(-67.5, 29202.0)	(-62.5, 31381.0)	(-57.5, 32555.0)	(-52.5, 34144.0)	(-47.5, 35425.0)	(-42.5, 35944.0)	(-37.5, 36233.0)	(-32.5, 36460.0)	(-27.5, 36095.0)	(-22.5, 35397.0)	(-17.5, 34212.0)	(-12.5, 32920.0)	(-7.5, 31433.0)	(-2.5, 30704.0)	(2.5, 27959.0)	(7.5, 25898.0)	(12.5, 23347.0)	(17.5, 21035.0)	(22.5, 18888.0)	(27.5, 17193.0)	(32.5, 15112.0)	(37.5, 13185.0)	(42.5, 11938.0)	(47.5, 10312.0)	(52.5, 8948.0)	(57.5, 7876.0)	(62.5, 6834.0)	(67.5, 5837.0)	(72.5, 5146.0)	(77.5, 4508.0)	(82.5, 3831.0)	(87.5, 3173.0)	(92.5, 2774.0)	(97.5, 2458.0)	(102.5, 2172.0)	(107.5, 1809.0)	(112.5, 1576.0)	(117.5, 1370.0)	(122.5, 1232.0)	(127.5, 1033.0)	(132.5, 889.0)	(137.5, 758.0)	(142.5, 711.0)	(147.5, 549.0)	(152.5, 491.0)	(157.5, 462.0)	(162.5, 388.0)	(167.5, 360.0)	(172.5, 325.0)	(177.5, 259.0)	(182.5, 252.0)	(187.5, 231.0)	(192.5, 219.0)	(197.5, 179.0)	(202.5, 177.0)	(207.5, 166.0)	(212.5, 145.0)	(217.5, 124.0)	(222.5, 109.0)	(227.5, 76.0)	(232.5, 99.0)	(237.5, 91.0)	(242.5, 94.0)	(247.5, 68.0)
P31	(-247.5, 0.0)	(-242.5, 0.0)	(-237.5, 0.0)	(-232.5, 0.0)	(-227.5, 0.0)	(-222.5, 0.0)	(-217.5, 0.0)	(-212.5, 0.0)	(-207.5, 0.0)	(-202.5, 0.0)	(-197.5, 0.0)	(-192.5, 0.0)	(-187.5, 0.0)	(-182.5, 0.0)	(-177.5, 0.0)	(-172.5, 0.0)	(-167.5, 0.0)	(-162.5, 0.0)	(-157.5, 0.0)	(-152.5, 1107.0)	(-147.5, 11666.0)	(-142.5, 12413.0)	(-137.5, 12684.0)	(-132.5, 13270.0)	(-127.5, 13502.0)	(-122.5, 14088.0)	(-117.5, 15372.0)	(-112.5, 16336.0)	(-107.5, 17395.0)	(-102.5, 18619.0)	(-97.5, 19749.0)	(-92.5, 20926.0)	(-87.5, 22537.0)	(-82.5, 24137.0)	(-77.5, 25834.0)	(-72.5, 27781.0)	(-67.5, 29354.0)	(-62.5, 30682.0)	(-57.5, 32139.0)	(-52.5, 33567.0)	(-47.5, 34337.0)	(-42.5, 35061.0)	(-37.5, 35441.0)	(-32.5, 35308.0)	(-27.5, 34924.0)	(-22.5, 34359.0)	(-17.5, 33419.0)	(-12.5, 31916.0)	(-7.5, 30391.0)	(-2.5, 30587.0)	(2.5, 27463.0)	(7.5, 24868.0)	(12.5, 22691.0)	(17.5, 20706.0)	(22.5, 18746.0)	(27.5, 16632.0)	(32.5, 14997.0)	(37.5, 13165.0)	(42.5, 11643.0)	(47.5, 10323.0)	(52.5, 8831.0)	(57.5, 7691.0)	(62.5, 6619.0)	(67.5, 5707.0)	(72.5, 4851.0)	(77.5, 4316.0)	(82.5, 3708.0)	(87.5, 3097.0)	(92.5, 2808.0)	(97.5, 2313.0)	(102.5, 1959.0)	(107.5, 1666.0)	(112.5, 1470.0)	(117.5, 1277.0)	(122.5, 1087.0)	(127.5, 926.0)	(132.5, 820.0)	(137.5, 692.0)	(142.5, 636.0)	(147.5, 605.0)	(152.5, 513.0)	(157.5, 478.0)	(162.5, 418.0)	(167.5, 365.0)	(172.5, 310.0)	(177.5, 316.0)	(182.5, 289.0)	(187.5, 241.0)	(192.5, 219.0)	(197.5, 185.0)	(202.5, 166.0)	(207.5, 164.0)	(212.5, 153.0)	(217.5, 117.0)	(222.5, 116.0)	(227.5, 116.0)	(232.5, 92.0)	(237.5, 82.0)	(242.5, 61.0)	(247.5, 68.0)
P32	(-247.5, 0.0)	(-242.5, 0.0)	(-237.5, 0.0)	(-232.5, 0.0)	(-227.5, 0.0)	(-222.5, 0.0)	(-217.5, 0.0)	(-212.5, 0.0)	(-207.5, 0.0)	(-202.5, 0.0)	(-197.5, 0.0)	(-192.5, 0.0)	(-187.5, 0.0)	(-182.5, 0.0)	(-177.5, 0.0)	(-172.5, 0.0)	(-167.5, 0.0)	(-162.5, 0.0)	(-157.5, 0.0)	(-152.5, 848.0)	(-147.5, 9612.0)	(-142.5, 10212.0)	(-137.5, 10619.0)	(-132.5, 11050.0)	(-127.5, 11325.0)	(-122.5, 11966.0)	(-117.5, 12525.0)	(-112.5, 13783.0)	(-107.5, 14786.0)	(-102.5, 16013.0)	(-97.5, 17183.0)	(-92.5, 18466.0)	(-87.5, 20209.0)	(-82.5, 21972.0)	(-77.5, 23861.0)	(-72.5, 25833.0)	(-67.5, 27932.0)	(-62.5, 29883.0)	(-57.5, 31415.0)	(-52.5, 33044.0)	(-47.5, 34370.0)	(-42.5, 35253.0)	(-37.5, 36091.0)	(-32.5, 36515.0)	(-27.5, 36069.0)	(-22.5, 36191.0)	(-17.5, 35034.0)	(-12.5, 33644.0)	(-7.5, 32491.0)	(-2.5, 32282.0)	(2.5, 29669.0)	(7.5, 26912.0)	(12.5, 25156.0)	(17.5, 22995.0)	(22.5, 20539.0)	(27.5, 18845.0)	(32.5, 16533.0)	(37.5, 14754.0)	(42.5, 13070.0)	(47.5, 11495.0)	(52.5, 9953.0)	(57.5, 8804.0)	(62.5, 7683.0)	(67.5, 6718.0)	(72.5, 5754.0)	(77.5, 4995.0)	(82.5, 4350.0)	(87.5, 3788.0)	(92.5, 3266.0)	(97.5, 2891.0)	(102.5, 2364.0)	(107.5, 2070.0)	(112.5, 1755.0)	(117.5, 1479.0)	(122.5, 1313.0)	(127.5, 1094.0)	(132.5, 950.0)	(137.5, 852.0)	(142.5, 676.0)	(147.5, 654.0)	(152.5, 575.0)	(157.5, 495.0)	(162.5, 496.0)	(167.5, 396.0)	(172.5, 346.0)	(177.5, 319.0)	(182.5, 305.0)	(187.5, 270.0)	(192.5, 257.0)	(197.5, 212.0)	(202.5, 187.0)	(207.5, 179.0)	(212.5, 160.0)	(217.5, 130.0)	(222.5, 137.0)	(227.5, 94.0)	(232.5, 114.0)	(237.5, 109.0)	(242.5, 101.0)	(247.5, 76.0)
P33	(-247.5, 0.0)	(-242.5, 0.0)	(-237.5, 0.0)	(-232.5, 0.0)	(-227.5, 0.0)	(-222.5, 0.0)	(-217.5, 0.0)	(-212.5, 0.0)	(-207.5, 0.0)	(-202.5, 0.0)	(-197.5, 0.0)	(-192.5, 0.0)	(-187.5, 0.0)	(-182.5, 0.0)	(-177.5, 0.0)	(-172.5, 0.0)	(-167.5, 0.0)	(-162.5, 0.0)	(-157.5, 0.0)	(-152.5, 1173.0)	(-147.5, 12954.0)	(-142.5, 13434.0)	(-137.5, 13710.0)	(-132.5, 14210.0)	(-127.5, 14566.0)	(-122.5, 15274.0)	(-117.5, 15783.0)	(-112.5, 16900.0)	(-107.5, 17582.0)	(-102.5, 18710.0)	(-97.5, 19577.0)	(-92.5, 21063.0)	(-87.5, 22259.0)	(-82.5, 23736.0)	(-77.5, 25255.0)	(-72.5, 26898.0)	(-67.5, 28272.0)	(-62.5, 29902.0)	(-57.5, 31009.0)	(-52.5, 32530.0)	(-47.5, 33334.0)	(-42.5, 34022.0)	(-37.5, 33699.0)	(-32.5, 34192.0)	(-27.5, 34080.0)	(-22.5, 33271.0)	(-17.5, 32261.0)	(-12.5, 31037.0)	(-7.5, 29905.0)	(-2.5, 29862.0)	(2.5, 26971.0)	(7.5, 25030.0)	(12.5, 23137.0)	(17.5, 21073.0)	(22.5, 19194.0)	(27.5, 16916.0)	(32.5, 15320.0)	(37.5, 13642.0)	(42.5, 12100.0)	(47.5, 10625.0)	(52.5, 9389.0)	(57.5, 8159.0)	(62.5, 7274.0)	(67.5, 6324.0)	(72.5, 5629.0)	(77.5, 4771.0)	(82.5, 4167.0)	(87.5, 3668.0)	(92.5, 3208.0)	(97.5, 2637.0)	(102.5, 2351.0)	(107.5, 2071.0)	(112.5, 1771.0)	(117.5, 1520.0)	(122.5, 1395.0)	(127.5, 1168.0)	(132.5, 946.0)	(137.5, 908.0)	(142.5, 695.0)	(147.5, 676.0)	(152.5, 583.0)	(157.5, 532.0)	(162.5, 443.0)	(167.5, 349.0)	(172.5, 370.0)	(177.5, 308.0)	(182.5, 273.0)	(187.5, 236.0)	(192.5, 205.0)	(197.5, 191.0)	(202.5, 193.0)	(207.5, 133.0)	(212.5, 138.0)	(217.5, 125.0)	(222.5, 107.0)	(227.5, 97.0)	(232.5, 67.0)	(237.5, 82.0)	(242.5, 65.0)	(247.5, 55.0)
P34	(-247.5, 0.0)	(-242.5, 0.0)	(-237.5, 0.0)	(-232.5, 0.0)	(-227.5, 0.0)	(-222.5, 0.0)	(-217.5, 0.0)	(-212.5, 0.0)	(-207.5, 0.0)	(-202.5, 0.0)	(-197.5, 0.0)	(-192.5, 0.0)	(-187.5, 0.0)	(-182.5, 0.0)	(-177.5, 0.0)	(-172.5, 0.0)	(-167.5, 0.0)	(-162.5, 0.0)	(-157.5, 0.0)	(-152.5, 770.0)	(-147.5, 8252.0)	(-142.5, 8887.0)	(-137.5, 9077.0)	(-132.5, 9385.0)	(-127.5, 9990.0)	(-122.5, 10653.0)	(-117.5, 11336.0)	(-112.5, 12243.0)	(-107.5, 13458.0)	(-102.5, 14790.0)	(-97.5, 16091.0)	(-92.5, 17821.0)	(-87.5, 19538.0)	(-82.5, 21776.0)	(-77.5, 23364.0)	(-72.5, 25692.0)	(-67.5, 27843.0)	(-62.5, 29893.0)	(-57.5, 31822.0)	(-52.5, 33324.0)	(-47.5, 34561.0)	(-42.5, 35793.0)	(-37.5, 36839.0)	(-32.5, 37546.0)	(-27.5, 37128.0)	(-22.5, 36810.0)	(-17.5, 36010.0)	(-12.5, 35005.0)	(-7.5, 33437.0)	(-2.5, 33283.0)	(2.5, 30332.0)	(7.5, 28272.0)	(12.5, 25672.0)	(17.5, 23438.0)	(22.5, 21337.0)	(27.5, 18875.0)	(32.5, 17079.0)	(37.5, 15279.0)	(42.5, 13339.0)	(47.5, 11640.0)	(52.5, 10301.0)	(57.5, 9035.0)	(62.5, 7997.0)	(67.5, 6803.0)	(72.5, 5911.0)	(77.5, 5163.0)	(82.5, 4438.0)	(87.5, 3771.0)	(92.5, 3293.0)	(97.5, 2866.0)	(102.5, 2366.0)	(107.5, 2100.0)	(112.5, 1860.0)	(117.5, 1577.0)	(122.5, 1364.0)	(127.5, 1214.0)	(132.5, 1077.0)	(137.5, 927.0)	(142.5, 875.0)	(147.5, 696.0)	(152.5, 618.0)	(157.5, 523.0)	(162.5, 517.0)	(167.5, 426.0)	(172.5, 372.0)	(177.5, 382.0)	(182.5, 321.0)	(187.5, 282.0)	(192.5, 247.0)	(197.5, 214.0)	(202.5, 198.0)	(207.5, 189.0)	(212.5, 153.0)	(217.5, 170.0)	(222.5, 124.0)	(227.5, 113.0)	(232.5, 97.0)	(237.5, 92.0)	(242.5, 95.0)	(247.5, 97.0)
P35	(-247.5, 0.0)	(-242.5, 0.0)	(-237.5, 0.0)	(-232.5, 0.0)	(-227.5, 0.0)	(-222.5, 0.0)	(-217.5, 0.0)	(-212.5, 0.0)	(-207.5, 0.0)	(-202.5, 0.0)	(-197.5, 0.0)	(-192.5, 0.0)	(-187.5, 0.0)	(-182.5, 0.0)	(-177.5, 0.0)	(-172.5, 0.0)	(-167.5, 0.0)	(-162.5, 0.0)	(-157.5, 0.0)	(-152.5, 875.0)	(-147.5, 9685.0)	(-142.5, 10271.0)	(-137.5, 10598.0)	(-132.5, 11165.0)	(-127.5, 11535.0)	(-122.5, 12536.0)	(-117.5, 13312.0)	(-112.5, 14432.0)	(-107.5, 15586.0)	(-102.5, 16858.0)	(-97.5, 18450.0)	(-92.5, 20092.0)	(-87.5, 22037.0)	(-82.5, 23700.0)	(-77.5, 25809.0)	(-72.5, 27339.0)	(-67.5, 29447.0)	(-62.5, 31113.0)	(-57.5, 33261.0)	(-52.5, 33743.0)	(-47.5, 34862.0)	(-42.5, 35710.0)	(-37.5, 36401.0)	(-32.5, 36229.0)	(-27.5, 35918.0)	(-22.5, 34783.0)	(-17.5, 34030.0)	(-12.5, 32197.0)	(-7.5, 31353.0)	(-2.5, 30224.0)	(2.5, 27790.0)	(7.5, 25244.0)	(12.5, 23283.0)	(17.5, 21309.0)	(22.5, 19175.0)	(27.5, 17082.0)	(32.5, 15476.0)	(37.5, 13661.0)	(42.5, 12280.0)	(47.5, 10806.0)	(52.5, 9408.0)	(57.5, 8410.0)	(62.5, 7377.0)	(67.5, 6433.0)	(72.5, 5628.0)	(77.5, 4947.0)	(82.5, 4271.0)	(87.5, 3673.0)	(92.5, 3237.0)	(97.5, 2755.0)	(102.5, 2415.0)	(107.5, 2060.0)	(112.5, 1766.0)	(117.5, 1619.0)	(122.5, 1360.0)	(127.5, 1215.0)	(132.5, 1051.0)	(137.5, 883.0)	(142.5, 780.0)	(147.5, 715.0)	(152.5, 677.0)	(157.5, 539.0)	(162.5, 513.0)	(167.5, 468.0)	(172.5, 417.0)	(177.5, 376.0)	(182.5, 327.0)	(187.5, 343.0)	(192.5, 270.0)	(197.5, 225.0)	(202.5, 219.0)	(207.5, 227.0)	(212.5, 188.0)	(217.5, 161.0)	(222.5, 157.0)	(227.5, 144.0)	(232.5, 124.0)	(237.5, 110.0)	(242.5, 104.0)	(247.5, 84.0)
P36	(-247.5, 0.0)	(-242.5, 0.0)	(-237.5, 0.0)	(-232.5, 0.0)	(-227.5, 0.0)	(-222.5, 0.0)	(-217.5, 0.0)	(-212.5, 0.0)	(-207.5, 0.0)	(-202.5, 0.0)	(-197.5, 0.0)	(-192.5, 0.0)	(-187.5, 0.0)	(-182.5, 0.0)	(-177.5, 0.0)	(-172.5, 0.0)	(-167.5, 0.0)	(-162.5, 0.0)	(-157.5, 0.0)	(-152.5, 1062.0)	(-147.5, 11387.0)	(-142.5, 12128.0)	(-137.5, 12520.0)	(-132.5, 13033.0)	(-127.5, 13703.0)	(-122.5, 14594.0)	(-117.5, 15540.0)	(-112.5, 16782.0)	(-107.5, 17914.0)	(-102.5, 19645.0)	(-97.5, 21042.0)	(-92.5, 22771.0)	(-87.5, 24756.0)	(-82.5, 26403.0)	(-77.5, 28488.0)	(-72.5, 30187.0)	(-67.5, 32099.0)	(-62.5, 33886.0)	(-57.5, 34624.0)	(-52.5, 36124.0)	(-47.5, 36701.0)	(-42.5, 36779.0)	(-37.5, 36408.0)	(-32.5, 35959.0)	(-27.5, 35331.0)	(-22.5, 33977.0)	(-17.5, 32772.0)	(-12.5, 30773.0)	(-7.5, 29317.0)	(-2.5, 28264.0)	(2.5, 25475.0)	(7.5, 22658.0)	(12.5, 20852.0)	(17.5, 18769.0)	(22.5, 17051.0)	(27.5, 14942.0)	(32.5, 13228.0)	(37.5, 11643.0)	(42.5, 10080.0)	(47.5, 8844.0)	(52.5, 7726.0)	(57.5, 6847.0)	(62.5, 5949.0)	(67.5, 5234.0)	(72.5, 4501.0)	(77.5, 3839.0)	(82.5, 3390.0)	(87.5, 2886.0)	(92.5, 2440.0)	(97.5, 2001.0)	(102.5, 1760.0)	(107.5, 1588.0)	(112.5, 1332.0)	(117.5, 1164.0)	(122.5, 981.0)	(127.5, 843.0)	(132.5, 755.0)	(137.5, 692.0)	(142.5, 598.0)	(147.5, 531.0)	(152.5, 495.0)	(157.5, 429.0)	(162.5, 335.0)	(167.5, 309.0)	(172.5, 281.0)	(177.5, 265.0)	(182.5, 231.0)	(187.5, 232.0)	(192.5, 193.0)	(197.5, 154.0)	(202.5, 180.0)	(207.5, 144.0)	(212.5, 125.0)	(217.5, 143.0)	(222.5, 119.0)	(227.5, 94.0)	(232.5, 106.0)	(237.5, 83.0)	(242.5, 62.0)	(247.5, 78.0)
P41	(-247.5, 0.0)	(-242.5, 0.0)	(-237.5, 0.0)	(-232.5, 0.0)	(-227.5, 0.0)	(-222.5, 0.0)	(-217.5, 0.0)	(-212.5, 0.0)	(-207.5, 0.0)	(-202.5, 0.0)	(-197.5, 0.0)	(-192.5, 0.0)	(-187.5, 0.0)	(-182.5, 0.0)	(-177.5, 0.0)	(-172.5, 0.0)	(-167.5, 0.0)	(-162.5, 0.0)	(-157.5, 0.0)	(-152.5, 914.0)	(-147.5, 10431.0)	(-142.5, 10797.0)	(-137.5, 11171.0)	(-132.5, 11605.0)	(-127.5, 11866.0)	(-122.5, 12632.0)	(-117.5, 13256.0)	(-112.5, 14105.0)	(-107.5, 15004.0)	(-102.5, 16328.0)	(-97.5, 17279.0)	(-92.5, 18698.0)	(-87.5, 20237.0)	(-82.5, 21732.0)	(-77.5, 23435.0)	(-72.5, 25076.0)	(-67.5, 26956.0)	(-62.5, 28445.0)	(-57.5, 30186.0)	(-52.5, 31459.0)	(-47.5, 32477.0)	(-42.5, 33675.0)	(-37.5, 34513.0)	(-32.5, 34439.0)	(-27.5, 34475.0)	(-22.5, 34369.0)	(-17.5, 33898.0)	(-12.5, 32635.0)	(-7.5, 31902.0)	(-2.5, 31777.0)	(2.5, 29418.0)	(7.5, 26615.0)	(12.5, 24944.0)	(17.5, 23137.0)	(22.5, 20946.0)	(27.5, 19295.0)	(32.5, 17110.0)	(37.5, 15589.0)	(42.5, 13752.0)	(47.5, 12379.0)	(52.5, 10911.0)	(57.5, 9704.0)	(62.5, 8566.0)	(67.5, 7462.0)	(72.5, 6409.0)	(77.5, 5688.0)	(82.5, 5122.0)	(87.5, 4486.0)	(92.5, 3813.0)	(97.5, 3346.0)	(102.5, 2929.0)	(107.5, 2557.0)	(112.5, 2197.0)	(117.5, 1881.0)	(122.5, 1676.0)	(127.5, 1508.0)	(132.5, 1285.0)	(137.5, 1078.0)	(142.5, 929.0)	(147.5, 859.0)	(152.5, 718.0)	(157.5, 606.0)	(162.5, 573.0)	(167.5, 515.0)	(172.5, 459.0)	(177.5, 393.0)	(182.5, 330.0)	(187.5, 326.0)	(192.5, 283.0)	(197.5, 265.0)	(202.5, 218.0)	(207.5, 195.0)	(212.5, 191.0)	(217.5, 163.0)	(222.5, 153.0)	(227.5, 137.0)	(232.5, 122.0)	(237.5, 115.0)	(242.5, 97.0)	(247.5, 102.0)
