Sample	Known Splicing Junctions	Partial Novel Splicing Junctions	Novel Splicing Junctions
IT1G	159028.0	25657.0	43251.0
P1G	161827.0	26661.0	46956.0
P2G	162610.0	28392.0	52201.0
P31	132631.0	11481.0	28546.0
P32	157975.0	18451.0	40133.0
P33	168301.0	24303.0	50505.0
P34	145538.0	12656.0	29660.0
P35	145094.0	13125.0	30643.0
P36	138974.0	11947.0	29251.0
P41	151606.0	15628.0	33480.0
P42	148170.0	13717.0	33165.0
P43	108111.0	7364.0	20069.0
P44	125812.0	9745.0	25582.0
P45	141195.0	12150.0	29069.0
P46	145359.0	12972.0	30213.0
P47	118198.0	8277.0	21091.0
P48	136037.0	11298.0	28184.0
P49	113934.0	7250.0	19893.0
P50	155291.0	16274.0	34330.0
P51	162940.0	21767.0	42694.0
P52	160322.0	17995.0	37666.0
PNKD	157048.0	22795.0	39208.0
PNKIT	150244.0	23858.0	39874.0
PNKV	156697.0	21427.0	37847.0
