Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
IT1G	(5.0, 52.34499763087236)	(10.0, 63.927399399821)	(15.0, 70.27490655107664)	(20.0, 74.6279592159065)	(25.0, 77.96491936191495)	(30.0, 80.67318323008617)	(35.0, 83.01291613288174)	(40.0, 85.01833880280084)	(45.0, 86.84037344471157)	(50.0, 88.50402751697875)	(55.0, 90.0233402944738)	(60.0, 91.44174578383027)	(65.0, 92.75178562027271)	(70.0, 93.98022217152484)	(75.0, 95.10029306986294)	(80.0, 96.21466051278452)	(85.0, 97.2465472158363)	(90.0, 98.21394099994735)	(95.0, 99.13395223136725)	(100.0, 100.0)
P1G	(5.0, 52.71570380627541)	(10.0, 64.31675211424349)	(15.0, 70.4732252460423)	(20.0, 74.78114234985792)	(25.0, 78.05561808968385)	(30.0, 80.83227497270916)	(35.0, 83.20286118414626)	(40.0, 85.19838421251598)	(45.0, 86.98619954380763)	(50.0, 88.62832215506293)	(55.0, 90.12815012721566)	(60.0, 91.46869305559686)	(65.0, 92.73150488261754)	(70.0, 93.94207121528117)	(75.0, 95.10421489463825)	(80.0, 96.18522939170104)	(85.0, 97.20677747242244)	(90.0, 98.197318064623)	(95.0, 99.13094080118253)	(100.0, 100.0)
P2G	(5.0, 52.70376417270862)	(10.0, 63.96543853660743)	(15.0, 70.13460217715834)	(20.0, 74.41078133417777)	(25.0, 77.66664884582643)	(30.0, 80.35745863851523)	(35.0, 82.64483202487241)	(40.0, 84.64885405143094)	(45.0, 86.48960976472378)	(50.0, 88.15023790821719)	(55.0, 89.71216601346433)	(60.0, 91.1926665871583)	(65.0, 92.53210835619198)	(70.0, 93.80122634797522)	(75.0, 94.98480430661166)	(80.0, 96.08407598257945)	(85.0, 97.13975514165512)	(90.0, 98.15430928479485)	(95.0, 99.10923215482747)	(100.0, 100.0)
P31	(5.0, 33.17520996235158)	(10.0, 47.21980886185925)	(15.0, 56.278019113814075)	(20.0, 62.97075007240081)	(25.0, 68.29539530842746)	(30.0, 72.70547350130322)	(35.0, 76.36895453229076)	(40.0, 79.48682305241819)	(45.0, 82.19461337966985)	(50.0, 84.66608746017955)	(55.0, 86.90645815233131)	(60.0, 88.88039386041123)	(65.0, 90.65044888502752)	(70.0, 92.27512308137851)	(75.0, 93.77932232841007)	(80.0, 95.208224732117)	(85.0, 96.53692441355344)	(90.0, 97.789168838691)	(95.0, 98.95569070373588)	(100.0, 100.0)
P32	(5.0, 45.67801462982119)	(10.0, 59.57449756169647)	(15.0, 67.47958844391901)	(20.0, 72.85355401211763)	(25.0, 76.87629303975173)	(30.0, 80.0169942367371)	(35.0, 82.65387173045663)	(40.0, 84.91022609723659)	(45.0, 86.87379932023053)	(50.0, 88.58892419092656)	(55.0, 90.19460248263633)	(60.0, 91.56984261859022)	(65.0, 92.90305896261268)	(70.0, 94.11251293039751)	(75.0, 95.25731491059554)	(80.0, 96.29867371065465)	(85.0, 97.32571671346238)	(90.0, 98.26963573222994)	(95.0, 99.12673636766662)	(100.0, 100.0)
P33	(5.0, 48.84230879993417)	(10.0, 61.74558769078866)	(15.0, 68.90278520590776)	(20.0, 73.81248200106965)	(25.0, 77.45916814086478)	(30.0, 80.42827169128235)	(35.0, 82.8415682725141)	(40.0, 84.9940346402271)	(45.0, 86.88608219854363)	(50.0, 88.61233389558564)	(55.0, 90.17854938906488)	(60.0, 91.59707080264944)	(65.0, 92.87160077343975)	(70.0, 94.05932447443124)	(75.0, 95.17546385814786)	(80.0, 96.22001892458962)	(85.0, 97.2147940922368)	(90.0, 98.21244908873987)	(95.0, 99.12823466491135)	(100.0, 100.0)
P34	(5.0, 34.708469090057285)	(10.0, 49.40692944909389)	(15.0, 58.80129474648097)	(20.0, 65.67005259907579)	(25.0, 70.87139845397049)	(30.0, 75.10221682744522)	(35.0, 78.49613492621222)	(40.0, 81.45509912902745)	(45.0, 84.0259588151366)	(50.0, 86.2896356396005)	(55.0, 88.31107987819162)	(60.0, 90.12968759982112)	(65.0, 91.7694158734215)	(70.0, 93.21056666453715)	(75.0, 94.58463766264188)	(80.0, 95.83093762644009)	(85.0, 97.01228731446581)	(90.0, 98.08343448540217)	(95.0, 99.09016375987564)	(100.0, 100.0)
P35	(5.0, 34.31911930569603)	(10.0, 48.68335354326956)	(15.0, 57.966333246845394)	(20.0, 64.74628145998697)	(25.0, 70.10765100528988)	(30.0, 74.30566954900954)	(35.0, 77.89791952385744)	(40.0, 80.93205754801404)	(45.0, 83.60188720207995)	(50.0, 85.8714012634299)	(55.0, 87.95081837003775)	(60.0, 89.81736924877285)	(65.0, 91.48005570529148)	(70.0, 93.02360061635893)	(75.0, 94.41623290318823)	(80.0, 95.6849579827483)	(85.0, 96.91343969584487)	(90.0, 98.00954191399569)	(95.0, 99.05692847800647)	(100.0, 100.0)
P36	(5.0, 33.367005422686475)	(10.0, 47.37551965099434)	(15.0, 56.47808446514106)	(20.0, 63.20343677325178)	(25.0, 68.46349816006084)	(30.0, 72.87657699160233)	(35.0, 76.57088622349016)	(40.0, 79.78120542379655)	(45.0, 82.57080851866858)	(50.0, 84.99131371101576)	(55.0, 87.16593864649302)	(60.0, 89.10911422053738)	(65.0, 90.83860153522527)	(70.0, 92.46207727189473)	(75.0, 94.02449922017661)	(80.0, 95.39210408005816)	(85.0, 96.64814701752243)	(90.0, 97.84091602883959)	(95.0, 98.94265939201527)	(100.0, 100.0)
P41	(5.0, 39.11514124856758)	(10.0, 53.43131881819541)	(15.0, 62.236560211250065)	(20.0, 68.38672711872852)	(25.0, 73.12440835035623)	(30.0, 76.95331572916147)	(35.0, 80.14149768322456)	(40.0, 82.77763938020028)	(45.0, 85.06153156295152)	(50.0, 87.1247072891236)	(55.0, 88.93627621942106)	(60.0, 90.60435454137811)	(65.0, 92.08210851477256)	(70.0, 93.49907827213393)	(75.0, 94.78003089033929)	(80.0, 95.95934432763688)	(85.0, 97.06890538588013)	(90.0, 98.09376712670021)	(95.0, 99.06133227043993)	(100.0, 100.0)
