Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
IT1G	(5.0, 27.126535831433813)	(10.0, 38.04692277756157)	(15.0, 45.79140490354145)	(20.0, 51.97920720520376)	(25.0, 57.22883193417468)	(30.0, 61.78073052760327)	(35.0, 65.96013787735586)	(40.0, 69.59470728859732)	(45.0, 73.02218268749652)	(50.0, 76.17862900984044)	(55.0, 79.13215099794296)	(60.0, 81.98560071162507)	(65.0, 84.62917662756435)	(70.0, 87.15600155667983)	(75.0, 89.52298882526269)	(80.0, 91.87329738144216)	(85.0, 94.05820870628787)	(90.0, 96.15972646911658)	(95.0, 98.16256185022516)	(100.0, 100.0)
P1G	(5.0, 27.421836292993298)	(10.0, 38.084435056976716)	(15.0, 45.494015489321754)	(20.0, 51.70538997105531)	(25.0, 56.86458577798639)	(30.0, 61.54137004876268)	(35.0, 65.76573052752353)	(40.0, 69.46334976140186)	(45.0, 72.89368692795118)	(50.0, 76.04761532243344)	(55.0, 79.05160499621894)	(60.0, 81.73746381913479)	(65.0, 84.32292888993194)	(70.0, 86.88883673629039)	(75.0, 89.37781949985659)	(80.0, 91.65819186940989)	(85.0, 93.87728493572192)	(90.0, 96.02857962397977)	(95.0, 98.0468851860544)	(100.0, 100.0)
P2G	(5.0, 27.038805970149255)	(10.0, 37.40776119402985)	(15.0, 45.03164179104478)	(20.0, 51.23223880597015)	(25.0, 56.30925373134328)	(30.0, 60.88597014925373)	(35.0, 64.93850746268657)	(40.0, 68.62925373134328)	(45.0, 72.14567164179104)	(50.0, 75.37432835820896)	(55.0, 78.48477611940298)	(60.0, 81.46149253731343)	(65.0, 84.14089552238806)	(70.0, 86.80955223880596)	(75.0, 89.28477611940299)	(80.0, 91.58805970149254)	(85.0, 93.83880597014925)	(90.0, 95.96179104477612)	(95.0, 98.05850746268656)	(100.0, 100.0)
P31	(5.0, 22.273950680148396)	(10.0, 33.34788196212507)	(15.0, 41.30355713973958)	(20.0, 47.97167866928542)	(25.0, 53.59229892582624)	(30.0, 58.58005382992653)	(35.0, 63.022235154336705)	(40.0, 67.18071821730801)	(45.0, 70.87849470187435)	(50.0, 74.37501515482165)	(55.0, 77.68482820494168)	(60.0, 80.80793385223443)	(65.0, 83.64491646662302)	(70.0, 86.3024659925802)	(75.0, 88.82422831648117)	(80.0, 91.25627409616644)	(85.0, 93.54525835939963)	(90.0, 95.80757013651463)	(95.0, 98.00926262699741)	(100.0, 100.0)
P32	(5.0, 25.852029738798606)	(10.0, 37.04191065201658)	(15.0, 44.96183959471018)	(20.0, 51.228699256530035)	(25.0, 56.66984670044082)	(30.0, 61.22442265938549)	(35.0, 65.4483847621554)	(40.0, 69.28251858674913)	(45.0, 72.83373906178038)	(50.0, 76.00500032896902)	(55.0, 79.06605697743272)	(60.0, 81.85571419172314)	(65.0, 84.51378380156589)	(70.0, 86.98763076518192)	(75.0, 89.3627870254622)	(80.0, 91.63102835712876)	(85.0, 93.88446608329495)	(90.0, 96.02440950062504)	(95.0, 98.0212513981183)	(100.0, 100.0)
P33	(5.0, 26.79238981025911)	(10.0, 37.814575491694825)	(15.0, 45.5275361946482)	(20.0, 51.736186940379994)	(25.0, 56.924835887619956)	(30.0, 61.549529180530044)	(35.0, 65.53061932351014)	(40.0, 69.28689798697378)	(45.0, 72.78496460824994)	(50.0, 76.06207366108706)	(55.0, 79.10152486414964)	(60.0, 81.8776254769215)	(65.0, 84.50085428362216)	(70.0, 87.01617358015493)	(75.0, 89.39789062600363)	(80.0, 91.66655961358119)	(85.0, 93.76822578780366)	(90.0, 95.96238582788433)	(95.0, 98.0473517207713)	(100.0, 100.0)
P34	(5.0, 22.520015510595105)	(10.0, 33.89521224424625)	(15.0, 42.35532948609749)	(20.0, 48.972423074291186)	(25.0, 54.7478387810497)	(30.0, 59.67701466663625)	(35.0, 63.98804771788965)	(40.0, 67.97974498756871)	(45.0, 71.7387833306722)	(50.0, 75.094090007071)	(55.0, 78.30569558176137)	(60.0, 81.25955156132387)	(65.0, 84.11988777628248)	(70.0, 86.58789717387833)	(75.0, 89.14258342647294)	(80.0, 91.47829657170229)	(85.0, 93.89384366232522)	(90.0, 96.00374079058416)	(95.0, 98.02468009397596)	(100.0, 100.0)
P35	(5.0, 22.695755862739038)	(10.0, 34.00388641081129)	(15.0, 42.52307556419203)	(20.0, 49.30221260433688)	(25.0, 55.122996069425426)	(30.0, 59.850726493839154)	(35.0, 64.27593516760146)	(40.0, 68.2771717528596)	(45.0, 72.02667491056839)	(50.0, 75.40299430287506)	(55.0, 78.5805767786954)	(60.0, 81.54617321026366)	(65.0, 84.36823742436957)	(70.0, 87.08872499227134)	(75.0, 89.5287726891313)	(80.0, 91.84957823609946)	(85.0, 94.07543170074636)	(90.0, 96.08267455725831)	(95.0, 98.0766682860045)	(100.0, 100.0)
P36	(5.0, 22.14362927104385)	(10.0, 33.15787000046999)	(15.0, 41.39681346054425)	(20.0, 48.10828594256709)	(25.0, 53.7387789631997)	(30.0, 58.84288198524228)	(35.0, 63.46054424965926)	(40.0, 67.57766602434553)	(45.0, 71.36579404991305)	(50.0, 74.84372796916858)	(55.0, 78.06551675518165)	(60.0, 81.0335103633031)	(65.0, 83.81820745405837)	(70.0, 86.54415566104244)	(75.0, 89.17610565399258)	(80.0, 91.59890962071721)	(85.0, 93.84546693612822)	(90.0, 96.03327536776801)	(95.0, 98.01898763923485)	(100.0, 100.0)
P41	(5.0, 24.54834032213818)	(10.0, 35.83885252968609)	(15.0, 43.962848297213625)	(20.0, 50.28608378727907)	(25.0, 55.815730689344356)	(30.0, 60.82611592271819)	(35.0, 65.19379237371164)	(40.0, 68.95011169024572)	(45.0, 72.4575773014069)	(50.0, 75.79260884900262)	(55.0, 78.71810949563036)	(60.0, 81.61225849433711)	(65.0, 84.18309362385861)	(70.0, 86.8362268291727)	(75.0, 89.27577693302504)	(80.0, 91.59579887917859)	(85.0, 93.78453579966298)	(90.0, 95.9144883802955)	(95.0, 97.98565662107615)	(100.0, 100.0)
P42	(5.0, 23.066776586974445)	(10.0, 34.424979389942294)	(15.0, 42.53709810387469)	(20.0, 49.185902720527615)	(25.0, 54.87015663643858)	(30.0, 59.81244847485573)	(35.0, 64.11170651277824)	(40.0, 67.96166529266281)	(45.0, 71.59315746084089)	(50.0, 74.9237427864798)	(55.0, 78.27906018136851)	(60.0, 81.17889530090685)	(65.0, 83.93652102225886)	(70.0, 86.42415498763397)	(75.0, 88.93858202802969)	(80.0, 91.26545754328112)	(85.0, 93.52844187963726)	(90.0, 95.86356141797197)	(95.0, 97.95136026380874)	(100.0, 100.0)
P43	(5.0, 19.72851638446039)	(10.0, 30.220226943334865)	(15.0, 38.70055498603698)	(20.0, 45.317968114814946)	(25.0, 51.111739545406344)	(30.0, 56.40001413977164)	(35.0, 61.00957969528792)	(40.0, 65.55198133550144)	(45.0, 69.53586199582877)	(50.0, 73.13089893598219)	(55.0, 76.549188730602)	(60.0, 79.88617483827636)	(65.0, 82.97571494220368)	(70.0, 85.74711018417052)	(75.0, 88.55031991233342)	(80.0, 91.07073420764254)	(85.0, 93.38258687122203)	(90.0, 95.6202057336774)	(95.0, 97.83307999575807)	(100.0, 100.0)
