Sample	CDS_Exons	5'UTR_Exons	3'UTR_Exons	Introns	TSS_up_1kb	TSS_up_1kb-5kb	TSS_up_5kb-10kb	TES_down_1kb	TES_down_1kb-5kb	TES_down_5kb-10kb	Other_intergenic
IT1G	34998351.0	723148.0	3252859.0	4490606.0	361656.0	327214.0	203861.0	1273362.0	857145.0	120598.0	4458103.0
P1G	34413698.0	634922.0	3161060.0	4570625.0	276007.0	369930.0	225845.0	1483064.0	904630.0	182292.0	4855591.0
P2G	32465434.0	623076.0	3096720.0	7315635.0	307816.0	478043.0	290412.0	1533077.0	1093327.0	241427.0	5323777.0
P31	11943901.0	153394.0	2741504.0	1877668.0	79040.0	185199.0	146295.0	1271778.0	810481.0	109846.0	3676218.0
P32	21814381.0	300427.0	3873502.0	3476065.0	169136.0	324668.0	206736.0	1702917.0	1171243.0	192325.0	5188821.0
P33	39072547.0	557264.0	6511548.0	5614777.0	323026.0	675287.0	343596.0	2785057.0	1931554.0	316242.0	8543335.0
P34	13260520.0	191478.0	3005650.0	1986380.0	103860.0	208294.0	102178.0	1218659.0	871703.0	101936.0	3751931.0
P35	17235883.0	239056.0	2938781.0	1899322.0	132330.0	238657.0	131084.0	1137769.0	757116.0	99159.0	3545709.0
P36	15854452.0	224746.0	3456500.0	1874979.0	137614.0	241956.0	111972.0	1377232.0	991494.0	105312.0	4229611.0
P41	25707667.0	340215.0	3594613.0	2347777.0	218314.0	324578.0	189193.0	1385290.0	972250.0	156101.0	4497877.0
P42	16677801.0	239702.0	3023424.0	2112190.0	149829.0	274158.0	128087.0	1229080.0	884496.0	119948.0	3798872.0
P43	9805593.0	141061.0	2014063.0	960613.0	82749.0	110493.0	64812.0	727812.0	493095.0	51926.0	2288628.0
P44	13357810.0	186740.0	2469947.0	1365829.0	113013.0	154644.0	88033.0	930689.0	661605.0	76118.0	2901760.0
P45	13085355.0	174123.0	2852459.0	1707833.0	78653.0	178233.0	106595.0	1123059.0	808794.0	106395.0	3521862.0
P46	14681920.0	212862.0	2527098.0	1668654.0	142156.0	235528.0	110818.0	993899.0	660055.0	97069.0	3222753.0
P47	10289595.0	142815.0	1981398.0	971144.0	127222.0	139295.0	59919.0	680132.0	458725.0	52472.0	2393395.0
P48	13882992.0	193359.0	3022860.0	1484378.0	102154.0	172389.0	96320.0	1142360.0	815080.0	100270.0	3613917.0
P49	8545031.0	112883.0	1744141.0	736626.0	49444.0	82039.0	68593.0	644217.0	396311.0	45403.0	2103706.0
P50	22258700.0	306500.0	3825668.0	2222761.0	156288.0	297860.0	127413.0	1457325.0	1013508.0	121663.0	4609201.0
P51	30755401.0	461945.0	3823166.0	3380944.0	222990.0	324775.0	244723.0	1658825.0	1020689.0	204278.0	5115632.0
P52	25088139.0	346584.0	3341398.0	2435018.0	170709.0	268675.0	163858.0	1329716.0	876194.0	144129.0	4211280.0
PNKD	27130053.0	456613.0	2954346.0	2732602.0	182936.0	255332.0	171035.0	1309021.0	747124.0	131052.0	4050321.0
PNKIT	36226266.0	729984.0	3722383.0	4263279.0	341793.0	310708.0	190914.0	1352850.0	850364.0	103348.0	4593006.0
PNKV	22887514.0	379281.0	2500945.0	2804886.0	166840.0	221232.0	128238.0	1175795.0	743941.0	114066.0	3533570.0
