Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
IT1G	56181662	0	13415803	0	0	0	11157457	0	56181662	0	100.0	nan	42765859	0	21383013	0	21382846	0	42765670	0	100.0	nan	42765670	0	189	0	0.0	nan	0	0	0	0	56181662
P1G	71165113	0	20355543	0	0	0	19023338	0	71165113	0	100.0	nan	50809570	0	25404817	0	25404753	0	50809460	0	100.0	nan	50809460	0	110	0	0.0	nan	0	0	0	0	71165113
P2G	65961733	0	18196779	0	0	0	13314950	0	65961733	0	100.0	nan	47764954	0	23882510	0	23882444	0	47764824	0	100.0	nan	47764824	0	130	0	0.0	nan	0	0	0	0	65961733
P31	57413154	0	12902062	0	0	0	28735489	0	57413154	0	100.0	nan	44511092	0	22255548	0	22255544	0	44511014	0	100.0	nan	44511014	0	78	0	0.0	nan	0	0	0	0	57413154
P32	61744144	0	16223597	0	0	0	20063615	0	61744144	0	100.0	nan	45520547	0	22760296	0	22760251	0	45520482	0	100.0	nan	45520482	0	65	0	0.0	nan	0	0	0	0	61744144
P33	108231073	0	24683329	0	0	0	40360244	0	108231073	0	100.0	nan	83547744	0	41773881	0	41773863	0	83547642	0	100.0	nan	83547642	0	102	0	0.0	nan	0	0	0	0	108231073
P34	52337554	0	11872253	0	0	0	23858941	0	52337554	0	100.0	nan	40465301	0	20232666	0	20232635	0	40465242	0	100.0	nan	40465242	0	59	0	0.0	nan	0	0	0	0	52337554
P35	57912635	0	15482775	0	0	0	24367029	0	57912635	0	100.0	nan	42429860	0	21214946	0	21214914	0	42429812	0	100.0	nan	42429812	0	48	0	0.0	nan	0	0	0	0	57912635
P36	62120675	0	13900182	0	0	0	29430508	0	62120675	0	100.0	nan	48220493	0	24110263	0	24110230	0	48220424	0	100.0	nan	48220424	0	69	0	0.0	nan	0	0	0	0	62120675
P41	71487744	0	23203993	0	0	0	23690865	0	71487744	0	100.0	nan	48283751	0	24141896	0	24141855	0	48283674	0	100.0	nan	48283674	0	77	0	0.0	nan	0	0	0	0	71487744
P42	76231505	0	21251359	0	0	0	36392898	0	76231505	0	100.0	nan	54980146	0	27490083	0	27490063	0	54980046	0	100.0	nan	54980046	0	100	0	0.0	nan	0	0	0	0	76231505
P43	55332568	0	14464854	0	0	0	30147474	0	55332568	0	100.0	nan	40867714	0	20433867	0	20433847	0	40867592	0	100.0	nan	40867592	0	122	0	0.0	nan	0	0	0	0	55332568
P44	70843093	0	21877214	0	0	0	34663079	0	70843093	0	100.0	nan	48965879	0	24482914	0	24482965	0	48965708	0	100.0	nan	48965708	0	171	0	0.0	nan	0	0	0	0	70843093
P45	63621686	0	17322504	0	0	0	30452762	0	63621686	0	100.0	nan	46299182	0	23149610	0	23149572	0	46299084	0	100.0	nan	46299084	0	98	0	0.0	nan	0	0	0	0	63621686
P46	54659142	0	13149980	0	0	0	25825570	0	54659142	0	100.0	nan	41509162	0	20754614	0	20754548	0	41509076	0	100.0	nan	41509076	0	86	0	0.0	nan	0	0	0	0	54659142
P47	54252774	0	13977093	0	0	0	29335591	0	54252774	0	100.0	nan	40275681	0	20137812	0	20137869	0	40275516	0	100.0	nan	40275516	0	165	0	0.0	nan	0	0	0	0	54252774
P48	63169524	0	13209801	0	0	0	33819297	0	63169524	0	100.0	nan	49959723	0	24979869	0	24979854	0	49959644	0	100.0	nan	49959644	0	79	0	0.0	nan	0	0	0	0	63169524
P49	58629418	0	14644010	0	0	0	34660945	0	58629418	0	100.0	nan	43985408	0	21992656	0	21992752	0	43985178	0	100.0	nan	43985178	0	230	0	0.0	nan	0	0	0	0	58629418
P50	78864694	0	20940143	0	0	0	34940968	0	78864694	0	100.0	nan	57924551	0	28962283	0	28962268	0	57924498	0	100.0	nan	57924498	0	53	0	0.0	nan	0	0	0	0	78864694
P51	65636820	0	20149968	0	0	0	16044729	0	65636820	0	100.0	nan	45486852	0	22743466	0	22743386	0	45486722	0	100.0	nan	45486722	0	130	0	0.0	nan	0	0	0	0	65636820
P52	68111193	0	19877046	0	0	0	24606678	0	68111193	0	100.0	nan	48234147	0	24117100	0	24117047	0	48234054	0	100.0	nan	48234054	0	93	0	0.0	nan	0	0	0	0	68111193
PNKD	69785033	0	20328068	0	0	0	24737824	0	69785033	0	100.0	nan	49456965	0	24728517	0	24728448	0	49456846	0	100.0	nan	49456846	0	119	0	0.0	nan	0	0	0	0	69785033
PNKIT	60203310	0	14441940	0	0	0	13206996	0	60203310	0	100.0	nan	45761370	0	22880762	0	22880608	0	45761166	0	100.0	nan	45761166	0	204	0	0.0	nan	0	0	0	0	60203310
PNKV	54363732	0	14803323	0	0	0	17794455	0	54363732	0	100.0	nan	39560409	0	19780251	0	19780158	0	39560286	0	100.0	nan	39560286	0	123	0	0.0	nan	0	0	0	0	54363732
