Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	JABGBL010000105.1	JABGBL010000122.1	JABGBL010000103.1	JABGBL010000051.1	JABGBL010000101.1	JABGBL010000121.1	JABGBL010000115.1	JABGBL010000052.1	JABGBL010000124.1	JABGBL010000126.1	JABGBL010000117.1	JABGBL010000027.1	JABGBL010000056.1	JABGBL010000104.1	JABGBL010000053.1	JABGBL010000065.1	JABGBL010000114.1	JABGBL010000088.1	JABGBL010000112.1	JABGBL010000029.1	JABGBL010000059.1	JABGBL010000045.1	JABGBL010000109.1	JABGBL010000063.1	JABGBL010000094.1	JABGBL010000050.1	JABGBL010000061.1	JABGBL010000118.1	JABGBL010000085.1	JABGBL010000089.1	JABGBL010000055.1	JABGBL010000099.1	JABGBL010000097.1	JABGBL010000023.1	JABGBL010000076.1	JABGBL010000032.1	JABGBL010000044.1	JABGBL010000123.1	JABGBL010000039.1	JABGBL010000060.1	JABGBL010000087.1	JABGBL010000106.1	JABGBL010000066.1	JABGBL010000107.1	JABGBL010000092.1	JABGBL010000062.1	JABGBL010000058.1	JABGBL010000075.1	JABGBL010000091.1	JABGBL010000110.1	JABGBL010000031.1	JABGBL010000037.1	JABGBL010000064.1	JABGBL010000093.1	JABGBL010000096.1	JABGBL010000079.1	JABGBL010000086.1	JABGBL010000069.1	JABGBL010000038.1	JABGBL010000125.1	MT	JABGBL010000095.1	JABGBL010000068.1	JABGBL010000035.1	JABGBL010000074.1	JABGBL010000116.1	JABGBL010000043.1	JABGBL010000082.1	JABGBL010000034.1	JABGBL010000111.1	JABGBL010000036.1	JABGBL010000113.1	JABGBL010000071.1	JABGBL010000078.1	JABGBL010000042.1	JABGBL010000046.1	JABGBL010000083.1	JABGBL010000090.1	JABGBL010000048.1	JABGBL010000025.1	JABGBL010000028.1	JABGBL010000070.1	JABGBL010000057.1	JABGBL010000047.1	JABGBL010000026.1	JABGBL010000081.1	JABGBL010000033.1	JABGBL010000120.1	JABGBL010000098.1	JABGBL010000040.1	JABGBL010000049.1	JABGBL010000119.1	JABGBL010000108.1	JABGBL010000030.1	JABGBL010000072.1	JABGBL010000077.1	JABGBL010000054.1	JABGBL010000067.1	JABGBL010000024.1	JABGBL010000102.1	JABGBL010000084.1	JABGBL010000100.1	JABGBL010000080.1	JABGBL010000073.1	JABGBL010000041.1	*
IT1G	[3183586, 32119850]	[1613934, 25180939]	[13483048, 25665789]	[2879616, 31577461]	[1798496, 30917075]	[2051654, 27601780]	[2094644, 28393506]	[2036672, 25851785]	[1847900, 26283457]	[1889502, 25992650]	[1912032, 26127079]	[1746632, 27870118]	[3896992, 25949660]	[1702584, 23203612]	[1246002, 23583831]	[1512230, 22562637]	[1510370, 23140758]	[1433396, 21926842]	[2153258, 21085167]	[1870420, 20466349]	[980718, 15987373]	[2714620, 15313470]	[150, 734684]	[2, 663028]	[14, 456284]	[1816, 396661]	[0, 387508]	[0, 366410]	[0, 355565]	[0, 313636]	[36, 312114]	[1286, 284748]	[14, 269542]	[68, 267905]	[0, 262368]	[128, 255828]	[460, 255525]	[0, 237754]	[0, 209868]	[0, 197706]	[0, 182211]	[0, 177484]	[0, 173752]	[0, 170077]	[86, 165076]	[0, 152858]	[924, 148969]	[2082, 146700]	[2170, 142023]	[0, 130955]	[42, 117560]	[22, 117522]	[0, 105387]	[42, 101492]	[10, 90080]	[0, 81241]	[0, 80797]	[110, 76435]	[0, 74917]	[0, 74601]	[34, 73722]	[0, 60620]	[18, 52610]	[1292, 49987]	[30, 48452]	[0, 48053]	[0, 47328]	[54, 45745]	[0, 36111]	[4, 35689]	[12, 33834]	[0, 33310]	[0, 33296]	[8, 26089]	[0, 25164]	[2, 24722]	[10, 22729]	[2, 22487]	[10, 21911]	[0, 21566]	[0, 19420]	[12, 18692]	[610742, 17583]	[0, 17221]	[68, 17179]	[2, 15787]	[4, 15656]	[1116, 15462]	[2, 14934]	[0, 13838]	[2, 12781]	[0, 12465]	[6, 11504]	[0, 11373]	[0, 11367]	[14, 11102]	[0, 10694]	[0, 10630]	[0, 10571]	[10, 10332]	[0, 10065]	[408, 7985]	[0, 7519]	[24, 7005]	[0, 6879]	[0, 6749]	[6, 6721]	[0, 6478]	[0, 5760]	[0, 4774]	[0, 4515]	[0, 4363]	[0, 4179]	[0, 4128]	[0, 4127]	[0, 4000]	[0, 3474]	[0, 2958]	[0, 2301]	[0, 2265]	[0, 2203]	[0, 2136]	[0, 2042]	[0, 1794]	[2, 868]	[0, 655]	[0, 480]	[0, 0]
P1G	[3165108, 32119850]	[3102542, 25180939]	[19549159, 25665789]	[2960824, 31577461]	[2615746, 30917075]	[2363702, 27601780]	[2521518, 28393506]	[2783714, 25851785]	[1952022, 26283457]	[1852974, 25992650]	[4048960, 26127079]	[2217576, 27870118]	[2648564, 25949660]	[1423378, 23203612]	[1685484, 23583831]	[1959742, 22562637]	[1627024, 23140758]	[1871934, 21926842]	[3233628, 21085167]	[1673372, 20466349]	[1258428, 15987373]	[3865752, 15313470]	[372, 734684]	[0, 663028]	[16, 456284]	[2842, 396661]	[0, 387508]	[0, 366410]	[0, 355565]	[0, 313636]	[0, 312114]	[32364, 284748]	[12, 269542]	[124, 267905]	[0, 262368]	[698, 255828]	[628, 255525]	[0, 237754]	[0, 209868]	[0, 197706]	[30, 182211]	[8, 177484]	[0, 173752]	[0, 170077]	[244, 165076]	[16, 152858]	[1900, 148969]	[1708, 146700]	[63196, 142023]	[0, 130955]	[326, 117560]	[36, 117522]	[0, 105387]	[200, 101492]	[50, 90080]	[0, 81241]	[0, 80797]	[130, 76435]	[0, 74917]	[0, 74601]	[364, 73722]	[0, 60620]	[46, 52610]	[1290, 49987]	[176, 48452]	[0, 48053]	[0, 47328]	[1632, 45745]	[10, 36111]	[70, 35689]	[50, 33834]	[0, 33310]	[0, 33296]	[14, 26089]	[22, 25164]	[0, 24722]	[94, 22729]	[34, 22487]	[8, 21911]	[0, 21566]	[0, 19420]	[20, 18692]	[672590, 17583]	[0, 17221]	[66, 17179]	[100, 15787]	[66, 15656]	[1054, 15462]	[102, 14934]	[0, 13838]	[10, 12781]	[458, 12465]	[26, 11504]	[0, 11373]	[10, 11367]	[16, 11102]	[0, 10694]	[72, 10630]	[0, 10571]	[0, 10332]	[0, 10065]	[566, 7985]	[0, 7519]	[50, 7005]	[0, 6879]	[2, 6749]	[12, 6721]	[0, 6478]	[6, 5760]	[0, 4774]	[2, 4515]	[0, 4363]	[0, 4179]	[0, 4128]	[0, 4127]	[0, 4000]	[0, 3474]	[0, 2958]	[0, 2301]	[20, 2265]	[0, 2203]	[0, 2136]	[0, 2042]	[0, 1794]	[4, 868]	[0, 655]	[0, 480]	[0, 0]
P2G	[3012250, 32119850]	[2652462, 25180939]	[17502369, 25665789]	[2742936, 31577461]	[2022958, 30917075]	[2320146, 27601780]	[2295354, 28393506]	[2482480, 25851785]	[1868226, 26283457]	[1803140, 25992650]	[4347054, 26127079]	[2321136, 27870118]	[2463712, 25949660]	[1417211, 23203612]	[1694092, 23583831]	[1763686, 22562637]	[1728282, 23140758]	[1768827, 21926842]	[3113122, 21085167]	[1606826, 20466349]	[1217182, 15987373]	[3115614, 15313470]	[582, 734684]	[0, 663028]	[30, 456284]	[5862, 396661]	[0, 387508]	[0, 366410]	[0, 355565]	[0, 313636]	[4, 312114]	[81512, 284748]	[16, 269542]	[142, 267905]	[0, 262368]	[1766, 255828]	[1594, 255525]	[0, 237754]	[0, 209868]	[0, 197706]	[86, 182211]	[10, 177484]	[0, 173752]	[0, 170077]	[1070, 165076]	[24, 152858]	[3314, 148969]	[2460, 146700]	[168788, 142023]	[0, 130955]	[770, 117560]	[40, 117522]	[0, 105387]	[480, 101492]	[18, 90080]	[0, 81241]	[0, 80797]	[222, 76435]	[0, 74917]	[0, 74601]	[906, 73722]	[0, 60620]	[108, 52610]	[2364, 49987]	[334, 48452]	[0, 48053]	[0, 47328]	[5546, 45745]	[2, 36111]	[150, 35689]	[140, 33834]	[0, 33310]	[0, 33296]	[30, 26089]	[42, 25164]	[64, 24722]	[216, 22729]	[36, 22487]	[34, 21911]	[0, 21566]	[0, 19420]	[44, 18692]	[419538, 17583]	[0, 17221]	[68, 17179]	[108, 15787]	[134, 15656]	[2268, 15462]	[136, 14934]	[2, 13838]	[4, 12781]	[594, 12465]	[26, 11504]	[0, 11373]	[4, 11367]	[14, 11102]	[28, 10694]	[94, 10630]	[0, 10571]	[2, 10332]	[4, 10065]	[738, 7985]	[0, 7519]	[98, 7005]	[0, 6879]	[0, 6749]	[0, 6721]	[0, 6478]	[0, 5760]	[0, 4774]	[0, 4515]	[0, 4363]	[0, 4179]	[0, 4128]	[0, 4127]	[0, 4000]	[0, 3474]	[0, 2958]	[0, 2301]	[2, 2265]	[0, 2203]	[0, 2136]	[0, 2042]	[0, 1794]	[0, 868]	[0, 655]	[0, 480]	[0, 0]
P31	[2297688, 32119850]	[1913788, 25180939]	[12617332, 25665789]	[1870028, 31577461]	[1593974, 30917075]	[2094452, 27601780]	[1967174, 28393506]	[2057812, 25851785]	[1340134, 26283457]	[1517960, 25992650]	[3477326, 26127079]	[1675470, 27870118]	[1846918, 25949660]	[1227520, 23203612]	[1360518, 23583831]	[1654340, 22562637]	[1171266, 23140758]	[2794674, 21926842]	[4803966, 21085167]	[1327642, 20466349]	[947078, 15987373]	[4243320, 15313470]	[92, 734684]	[2, 663028]	[6, 456284]	[1178, 396661]	[0, 387508]	[0, 366410]	[0, 355565]	[0, 313636]	[30, 312114]	[33358, 284748]	[0, 269542]	[10, 267905]	[0, 262368]	[288, 255828]	[572, 255525]	[0, 237754]	[0, 209868]	[0, 197706]	[4, 182211]	[0, 177484]	[0, 173752]	[0, 170077]	[106, 165076]	[0, 152858]	[1446, 148969]	[13162, 146700]	[58816, 142023]	[0, 130955]	[118, 117560]	[48, 117522]	[0, 105387]	[182, 101492]	[0, 90080]	[0, 81241]	[0, 80797]	[20, 76435]	[0, 74917]	[0, 74601]	[124, 73722]	[2, 60620]	[16, 52610]	[200, 49987]	[54, 48452]	[0, 48053]	[0, 47328]	[4334, 45745]	[0, 36111]	[16, 35689]	[76, 33834]	[0, 33310]	[0, 33296]	[64, 26089]	[82, 25164]	[12, 24722]	[66, 22729]	[8, 22487]	[0, 21911]	[2, 21566]	[0, 19420]	[8, 18692]	[1497422, 17583]	[0, 17221]	[52, 17179]	[6, 15787]	[26, 15656]	[238, 15462]	[44, 14934]	[0, 13838]	[4, 12781]	[156, 12465]	[4, 11504]	[0, 11373]	[4, 11367]	[0, 11102]	[74, 10694]	[12, 10630]	[0, 10571]	[0, 10332]	[0, 10065]	[78, 7985]	[0, 7519]	[6, 7005]	[0, 6879]	[8, 6749]	[58, 6721]	[0, 6478]	[2, 5760]	[0, 4774]	[0, 4515]	[0, 4363]	[0, 4179]	[0, 4128]	[0, 4127]	[18, 4000]	[0, 3474]	[0, 2958]	[0, 2301]	[60, 2265]	[0, 2203]	[0, 2136]	[0, 2042]	[0, 1794]	[0, 868]	[0, 655]	[0, 480]	[0, 0]
P32	[2246600, 32119850]	[1900638, 25180939]	[15868284, 25665789]	[1856408, 31577461]	[1483746, 30917075]	[2042731, 27601780]	[1961752, 28393506]	[1783430, 25851785]	[1338238, 26283457]	[1567490, 25992650]	[3657904, 26127079]	[1685010, 27870118]	[1859132, 25949660]	[1380978, 23203612]	[1379618, 23583831]	[1559142, 22562637]	[1247450, 23140758]	[3950060, 21926842]	[5496373, 21085167]	[1234800, 20466349]	[841062, 15987373]	[4678460, 15313470]	[192, 734684]	[0, 663028]	[34, 456284]	[1986, 396661]	[0, 387508]	[0, 366410]	[0, 355565]	[0, 313636]	[0, 312114]	[32834, 284748]	[4, 269542]	[52, 267905]	[0, 262368]	[520, 255828]	[822, 255525]	[0, 237754]	[0, 209868]	[0, 197706]	[2, 182211]	[0, 177484]	[0, 173752]	[0, 170077]	[150, 165076]	[0, 152858]	[1852, 148969]	[5230, 146700]	[57980, 142023]	[0, 130955]	[174, 117560]	[44, 117522]	[0, 105387]	[292, 101492]	[0, 90080]	[0, 81241]	[0, 80797]	[28, 76435]	[0, 74917]	[0, 74601]	[156, 73722]	[0, 60620]	[16, 52610]	[356, 49987]	[66, 48452]	[0, 48053]	[0, 47328]	[3000, 45745]	[2, 36111]	[50, 35689]	[82, 33834]	[0, 33310]	[0, 33296]	[116, 26089]	[74, 25164]	[10, 24722]	[128, 22729]	[10, 22487]	[10, 21911]	[0, 21566]	[0, 19420]	[6, 18692]	[617456, 17583]	[0, 17221]	[32, 17179]	[22, 15787]	[34, 15656]	[408, 15462]	[72, 14934]	[0, 13838]	[0, 12781]	[304, 12465]	[6, 11504]	[0, 11373]	[0, 11367]	[0, 11102]	[2, 10694]	[16, 10630]	[0, 10571]	[0, 10332]	[0, 10065]	[144, 7985]	[0, 7519]	[12, 7005]	[0, 6879]	[14, 6749]	[30, 6721]	[0, 6478]	[0, 5760]	[0, 4774]	[0, 4515]	[0, 4363]	[0, 4179]	[0, 4128]	[0, 4127]	[0, 4000]	[0, 3474]	[0, 2958]	[0, 2301]	[8, 2265]	[0, 2203]	[0, 2136]	[0, 2042]	[0, 1794]	[0, 868]	[0, 655]	[0, 480]	[0, 0]
P33	[4537600, 32119850]	[3387258, 25180939]	[24883790, 25665789]	[3786417, 31577461]	[3586154, 30917075]	[4748679, 27601780]	[4299344, 28393506]	[3634446, 25851785]	[2539029, 26283457]	[5918186, 25992650]	[5174753, 26127079]	[2756364, 27870118]	[3560394, 25949660]	[2773582, 23203612]	[2368190, 23583831]	[2900658, 22562637]	[2051714, 23140758]	[5141407, 21926842]	[8506848, 21085167]	[2151192, 20466349]	[1563532, 15987373]	[6272848, 15313470]	[208, 734684]	[28, 663028]	[68, 456284]	[3220, 396661]	[0, 387508]	[0, 366410]	[0, 355565]	[0, 313636]	[0, 312114]	[58632, 284748]	[6, 269542]	[38, 267905]	[0, 262368]	[1562, 255828]	[1062, 255525]	[0, 237754]	[0, 209868]	[0, 197706]	[32, 182211]	[0, 177484]	[0, 173752]	[0, 170077]	[864, 165076]	[0, 152858]	[3186, 148969]	[5084, 146700]	[120444, 142023]	[0, 130955]	[600, 117560]	[540, 117522]	[0, 105387]	[522, 101492]	[30, 90080]	[0, 81241]	[0, 80797]	[30, 76435]	[0, 74917]	[0, 74601]	[464, 73722]	[0, 60620]	[30, 52610]	[526, 49987]	[164, 48452]	[0, 48053]	[0, 47328]	[2446, 45745]	[0, 36111]	[204, 35689]	[98, 33834]	[0, 33310]	[0, 33296]	[34, 26089]	[62, 25164]	[4, 24722]	[206, 22729]	[54, 22487]	[6, 21911]	[0, 21566]	[0, 19420]	[46, 18692]	[1486370, 17583]	[0, 17221]	[124, 17179]	[122, 15787]	[56, 15656]	[518, 15462]	[86, 14934]	[0, 13838]	[0, 12781]	[406, 12465]	[8, 11504]	[0, 11373]	[2, 11367]	[10, 11102]	[2, 10694]	[20, 10630]	[0, 10571]	[10, 10332]	[0, 10065]	[384, 7985]	[0, 7519]	[34, 7005]	[0, 6879]	[8, 6749]	[0, 6721]	[0, 6478]	[20, 5760]	[0, 4774]	[0, 4515]	[2, 4363]	[0, 4179]	[0, 4128]	[0, 4127]	[0, 4000]	[0, 3474]	[0, 2958]	[0, 2301]	[0, 2265]	[0, 2203]	[0, 2136]	[0, 2042]	[0, 1794]	[0, 868]	[6, 655]	[0, 480]	[0, 0]
P34	[1836598, 32119850]	[1589276, 25180939]	[11896714, 25665789]	[1567440, 31577461]	[1309342, 30917075]	[1842238, 27601780]	[1864648, 28393506]	[1465268, 25851785]	[1184298, 26283457]	[1539530, 25992650]	[2201598, 26127079]	[1297056, 27870118]	[1753460, 25949660]	[1232456, 23203612]	[1074280, 23583831]	[1460012, 22562637]	[953716, 23140758]	[4079516, 21926842]	[5166148, 21085167]	[1065086, 20466349]	[754982, 15987373]	[4735466, 15313470]	[108, 734684]	[2, 663028]	[54, 456284]	[1078, 396661]	[0, 387508]	[0, 366410]	[0, 355565]	[0, 313636]	[18, 312114]	[19026, 284748]	[2, 269542]	[76, 267905]	[0, 262368]	[592, 255828]	[360, 255525]	[0, 237754]	[0, 209868]	[0, 197706]	[22, 182211]	[4, 177484]	[0, 173752]	[0, 170077]	[238, 165076]	[6, 152858]	[1340, 148969]	[4968, 146700]	[37566, 142023]	[0, 130955]	[192, 117560]	[178, 117522]	[0, 105387]	[210, 101492]	[22, 90080]	[0, 81241]	[0, 80797]	[18, 76435]	[0, 74917]	[0, 74601]	[172, 73722]	[2, 60620]	[38, 52610]	[252, 49987]	[30, 48452]	[0, 48053]	[0, 47328]	[1094, 45745]	[0, 36111]	[72, 35689]	[16, 33834]	[0, 33310]	[0, 33296]	[4, 26089]	[58, 25164]	[2, 24722]	[36, 22729]	[16, 22487]	[0, 21911]	[2, 21566]	[0, 19420]	[16, 18692]	[399938, 17583]	[0, 17221]	[48, 17179]	[52, 15787]	[0, 15656]	[248, 15462]	[20, 14934]	[0, 13838]	[2, 12781]	[68, 12465]	[14, 11504]	[0, 11373]	[2, 11367]	[0, 11102]	[20, 10694]	[4, 10630]	[0, 10571]	[0, 10332]	[0, 10065]	[48, 7985]	[0, 7519]	[10, 7005]	[0, 6879]	[34, 6749]	[0, 6721]	[0, 6478]	[2, 5760]	[0, 4774]	[0, 4515]	[0, 4363]	[0, 4179]	[0, 4128]	[0, 4127]	[0, 4000]	[0, 3474]	[0, 2958]	[0, 2301]	[24, 2265]	[0, 2203]	[0, 2136]	[0, 2042]	[0, 1794]	[0, 868]	[2, 655]	[0, 480]	[0, 0]
P35	[2398444, 32119850]	[1551412, 25180939]	[16347525, 25665789]	[1897198, 31577461]	[1816034, 30917075]	[1883246, 27601780]	[1787368, 28393506]	[1587330, 25851785]	[1034544, 26283457]	[3152390, 25992650]	[1941296, 26127079]	[1117676, 27870118]	[1462358, 25949660]	[1250160, 23203612]	[926370, 23583831]	[1396742, 22562637]	[814086, 23140758]	[3316004, 21926842]	[6203602, 21085167]	[947478, 20466349]	[725576, 15987373]	[3523668, 15313470]	[58, 734684]	[4, 663028]	[16, 456284]	[890, 396661]	[0, 387508]	[0, 366410]	[0, 355565]	[0, 313636]	[2, 312114]	[19362, 284748]	[0, 269542]	[12, 267905]	[0, 262368]	[138, 255828]	[164, 255525]	[0, 237754]	[0, 209868]	[0, 197706]	[0, 182211]	[0, 177484]	[0, 173752]	[0, 170077]	[1464, 165076]	[0, 152858]	[1574, 148969]	[3814, 146700]	[33828, 142023]	[0, 130955]	[70, 117560]	[50, 117522]	[0, 105387]	[82, 101492]	[2, 90080]	[0, 81241]	[0, 80797]	[10, 76435]	[0, 74917]	[0, 74601]	[70, 73722]	[2, 60620]	[18, 52610]	[120, 49987]	[54, 48452]	[0, 48053]	[0, 47328]	[1156, 45745]	[0, 36111]	[14, 35689]	[50, 33834]	[0, 33310]	[0, 33296]	[8, 26089]	[64, 25164]	[0, 24722]	[16, 22729]	[18, 22487]	[2, 21911]	[2, 21566]	[0, 19420]	[26, 18692]	[768596, 17583]	[0, 17221]	[28, 17179]	[0, 15787]	[14, 15656]	[194, 15462]	[2, 14934]	[0, 13838]	[2, 12781]	[44, 12465]	[0, 11504]	[0, 11373]	[0, 11367]	[0, 11102]	[12, 10694]	[0, 10630]	[0, 10571]	[0, 10332]	[0, 10065]	[56, 7985]	[0, 7519]	[8, 7005]	[0, 6879]	[0, 6749]	[0, 6721]	[0, 6478]	[0, 5760]	[0, 4774]	[0, 4515]	[0, 4363]	[0, 4179]	[0, 4128]	[0, 4127]	[0, 4000]	[0, 3474]	[0, 2958]	[0, 2301]	[12, 2265]	[0, 2203]	[0, 2136]	[0, 2042]	[0, 1794]	[0, 868]	[0, 655]	[0, 480]	[0, 0]
P36	[2141136, 32119850]	[1854676, 25180939]	[13897616, 25665789]	[1747084, 31577461]	[1478616, 30917075]	[2220340, 27601780]	[2288426, 28393506]	[1540726, 25851785]	[1274858, 26283457]	[1928024, 25992650]	[2058692, 26127079]	[1354638, 27870118]	[2149925, 25949660]	[1404002, 23203612]	[1115798, 23583831]	[1709028, 22562637]	[956718, 23140758]	[5144476, 21926842]	[6436600, 21085167]	[1219354, 20466349]	[935112, 15987373]	[6666148, 15313470]	[62, 734684]	[10, 663028]	[18, 456284]	[966, 396661]	[4, 387508]	[0, 366410]	[0, 355565]	[0, 313636]	[12, 312114]	[10904, 284748]	[0, 269542]	[100, 267905]	[0, 262368]	[146, 255828]	[126, 255525]	[0, 237754]	[0, 209868]	[0, 197706]	[0, 182211]	[0, 177484]	[0, 173752]	[0, 170077]	[2832, 165076]	[0, 152858]	[2002, 148969]	[6486, 146700]	[19692, 142023]	[0, 130955]	[80, 117560]	[68, 117522]	[0, 105387]	[54, 101492]	[0, 90080]	[0, 81241]	[0, 80797]	[4, 76435]	[0, 74917]	[52, 74601]	[66, 73722]	[6, 60620]	[0, 52610]	[168, 49987]	[18, 48452]	[0, 48053]	[0, 47328]	[1224, 45745]	[2, 36111]	[22, 35689]	[78, 33834]	[0, 33310]	[0, 33296]	[8, 26089]	[2, 25164]	[2, 24722]	[32, 22729]	[16, 22487]	[16, 21911]	[6, 21566]	[0, 19420]	[18, 18692]	[552868, 17583]	[0, 17221]	[58, 17179]	[6, 15787]	[14, 15656]	[198, 15462]	[4, 14934]	[0, 13838]	[0, 12781]	[62, 12465]	[0, 11504]	[0, 11373]	[6, 11367]	[4, 11102]	[40, 10694]	[0, 10630]	[0, 10571]	[0, 10332]	[2, 10065]	[104, 7985]	[0, 7519]	[8, 7005]	[0, 6879]	[0, 6749]	[0, 6721]	[0, 6478]	[0, 5760]	[0, 4774]	[0, 4515]	[0, 4363]	[0, 4179]	[0, 4128]	[0, 4127]	[0, 4000]	[0, 3474]	[0, 2958]	[0, 2301]	[6, 2265]	[0, 2203]	[0, 2136]	[0, 2042]	[0, 1794]	[0, 868]	[0, 655]	[0, 480]	[0, 0]
P41	[2509994, 32119850]	[1825576, 25180939]	[24796376, 25665789]	[2431564, 31577461]	[2102850, 30917075]	[2691056, 27601780]	[2385120, 28393506]	[1741996, 25851785]	[1156206, 26283457]	[3935684, 25992650]	[1941916, 26127079]	[1211782, 27870118]	[1603416, 25949660]	[1597956, 23203612]	[930432, 23583831]	[1638204, 22562637]	[973908, 23140758]	[4301048, 21926842]	[5167492, 21085167]	[991698, 20466349]	[681582, 15987373]	[3737182, 15313470]	[46, 734684]	[2, 663028]	[30, 456284]	[650, 396661]	[0, 387508]	[0, 366410]	[0, 355565]	[0, 313636]	[0, 312114]	[5132, 284748]	[0, 269542]	[18, 267905]	[0, 262368]	[408, 255828]	[214, 255525]	[0, 237754]	[0, 209868]	[0, 197706]	[0, 182211]	[0, 177484]	[0, 173752]	[0, 170077]	[190, 165076]	[0, 152858]	[1226, 148969]	[2746, 146700]	[9140, 142023]	[0, 130955]	[118, 117560]	[18, 117522]	[0, 105387]	[146, 101492]	[14, 90080]	[0, 81241]	[0, 80797]	[14, 76435]	[0, 74917]	[0, 74601]	[90, 73722]	[0, 60620]	[8, 52610]	[162, 49987]	[16, 48452]	[0, 48053]	[0, 47328]	[386, 45745]	[2, 36111]	[30, 35689]	[20, 33834]	[0, 33310]	[0, 33296]	[0, 26089]	[4, 25164]	[0, 24722]	[30, 22729]	[10, 22487]	[0, 21911]	[0, 21566]	[0, 19420]	[12, 18692]	[1113490, 17583]	[0, 17221]	[38, 17179]	[18, 15787]	[2, 15656]	[142, 15462]	[8, 14934]	[0, 13838]	[0, 12781]	[8, 12465]	[0, 11504]	[0, 11373]	[4, 11367]	[0, 11102]	[16, 10694]	[0, 10630]	[0, 10571]	[14, 10332]	[0, 10065]	[52, 7985]	[0, 7519]	[22, 7005]	[0, 6879]	[0, 6749]	[0, 6721]	[0, 6478]	[0, 5760]	[0, 4774]	[0, 4515]	[0, 4363]	[0, 4179]	[0, 4128]	[0, 4127]	[0, 4000]	[0, 3474]	[0, 2958]	[0, 2301]	[10, 2265]	[0, 2203]	[0, 2136]	[0, 2042]	[0, 1794]	[0, 868]	[0, 655]	[0, 480]	[0, 0]
