Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other	mapped_percent	mapped
IT1G	22015824.0	293.0	19973492.0	90.72	292.22	24122015.0	24089206.0	23888020.0	188827.0	12567.0	32601.0	0.41	0.03	2.09	0.03	1.99	1409532.0	6.4	10138.0	0.05	0.0	2.1	0.73	0	462046	160616	97.12	21383024.0
P1G	26003329.0	295.0	23312813.0	89.65	293.77	28713012.0	28660983.0	28399097.0	249954.0	15377.0	48584.0	0.4	0.03	2.18	0.04	2.13	2092027.0	8.05	13284.0	0.05	0.0	1.51	0.74	0	392738	192467	97.7	25404840.0
P2G	24572580.0	295.0	21945216.0	89.31	293.81	22527501.0	22477243.0	22265992.0	204244.0	13724.0	43541.0	0.5	0.04	2.2	0.04	2.05	1937326.0	7.88	13056.0	0.05	0.0	1.88	0.87	0	462810	214172	97.19	23882542.0
P31	22803002.0	295.0	20667759.0	90.64	294.34	17245708.0	17219486.0	17032394.0	180217.0	5538.0	27559.0	0.41	0.04	2.03	0.05	1.78	1587826.0	6.96	7739.0	0.03	0.0	1.82	0.55	0	414436	125242	97.6	22255585.0
P32	23307021.0	296.0	20918433.0	89.75	294.16	18520280.0	18488707.0	18332292.0	148532.0	8694.0	30762.0	0.39	0.04	1.98	0.06	1.82	1841873.0	7.9	10866.0	0.05	0.0	1.74	0.56	0	405381	130468	97.65	22760306.0
P33	42916522.0	295.0	39059536.0	91.01	293.88	41064554.0	40998859.0	40645968.0	339271.0	23549.0	55766.0	0.32	0.03	2.01	0.05	1.83	2714387.0	6.32	30846.0	0.07	0.0	1.59	1.0	0	682505	429248	97.33000000000001	41773923.0
P34	20728002.0	297.0	18853025.0	90.95	295.37	15780963.0	15760962.0	15591023.0	158162.0	12031.0	19747.0	0.38	0.04	1.85	0.07	1.75	1379655.0	6.66	9010.0	0.04	0.0	1.91	0.44	0	395258	91054	97.61	20232680.0
P35	21682581.0	297.0	19715841.0	90.93	295.55	22177716.0	22156522.0	21985315.0	163595.0	8697.0	20109.0	0.41	0.03	1.93	0.05	1.76	1499113.0	6.91	7978.0	0.04	0.0	1.18	0.94	0	255842	203807	97.84	21214954.0
P36	24627694.0	296.0	22467607.0	91.23	294.3	20871128.0	20849336.0	20651688.0	192665.0	10110.0	16665.0	0.42	0.04	1.8	0.06	1.69	1642674.0	6.67	11048.0	0.04	0.0	1.58	0.48	0	388377	117988	97.9	24110281.0
P41	24764687.0	296.0	22108636.0	89.27	294.8	26272058.0	26241677.0	26050570.0	183190.0	10835.0	27463.0	0.36	0.03	1.89	0.05	1.84	2033278.0	8.21	13974.0	0.06	0.0	1.36	1.1	0	336572	272227	97.47999999999999	24141914.0
P42	28110953.0	296.0	25409534.0	90.39	295.27	25574151.0	25539240.0	25305186.0	225897.0	12191.0	30877.0	0.35	0.04	1.87	0.06	1.76	2080589.0	7.4	15184.0	0.05	0.0	1.4	0.76	0	392548	213098	97.79	27490123.0
P43	21188192.0	287.0	18838945.0	88.91	284.78	18764460.0	18747250.0	18573967.0	142689.0	27413.0	20391.0	0.41	0.04	1.82	0.06	1.83	1594973.0	7.53	5130.0	0.02	0.0	1.67	1.87	0	353410	395734	96.44	20433918.0
P44	25419003.0	290.0	22003624.0	86.56	293.34	23478562.0	23457760.0	23251434.0	204421.0	4802.0	17905.0	0.39	0.04	1.87	0.06	1.85	2479401.0	9.75	14484.0	0.06	0.0	1.81	1.81	0	460747	460747	96.31	24483025.0
P45	23595318.0	291.0	21435722.0	90.85	289.27	18428089.0	18397204.0	18214627.0	179810.0	9213.0	24439.0	0.44	0.04	1.9	0.06	1.68	1713918.0	7.26	11122.0	0.05	0.0	1.46	0.38	0	344811	89745	98.11	23149640.0
P46	21307206.0	296.0	19295364.0	90.56	295.32	20696954.0	20668303.0	20478481.0	180943.0	10029.0	27501.0	0.42	0.03	1.93	0.05	1.76	1459260.0	6.85	8568.0	0.04	0.0	1.32	1.23	0	281607	262407	97.41	20754624.0
P47	20870955.0	293.0	18608528.0	89.16	294.62	19954661.0	19932723.0	19790737.0	132595.0	5077.0	26252.0	0.38	0.03	1.84	0.06	1.75	1529395.0	7.33	2736.0	0.01	0.0	1.68	1.82	0	350542	379754	96.49	20137923.0
P48	25516143.0	296.0	23400614.0	91.71	294.43	21680026.0	21649993.0	21428245.0	213312.0	10559.0	27910.0	0.43	0.04	1.86	0.06	1.66	1579287.0	6.19	7835.0	0.03	0.0	1.57	0.5	0	400772	127635	97.89999999999999	24979901.0
P49	22575390.0	292.0	20429892.0	90.5	289.82	20945982.0	20913536.0	20744472.0	167129.0	8436.0	25945.0	0.51	0.03	1.88	0.06	1.67	1562927.0	6.92	8778.0	0.04	0.0	1.87	0.67	0	422438	151355	97.42	21992819.0
P50	29479134.0	297.0	26725302.0	90.66	295.55	29146278.0	29107027.0	28902884.0	196531.0	11044.0	35819.0	0.37	0.03	1.86	0.05	1.7	2237000.0	7.59	13676.0	0.05	0.0	1.3	0.41	0	382516	120640	98.25	28962302.0
P51	23377830.0	294.0	20748979.0	88.75	292.37	24008928.0	23951995.0	23779093.0	166792.0	12617.0	50426.0	0.49	0.03	2.02	0.05	1.9	1994512.0	8.53	15274.0	0.07	0.0	1.89	0.75	0	443194	175871	97.28	22743491.0
P52	24661614.0	297.0	22300174.0	90.42	295.24	27124549.0	27080463.0	26904891.0	166372.0	11703.0	41583.0	0.48	0.03	1.9	0.05	1.77	1816946.0	7.37	15620.0	0.06	0.0	1.5	0.65	0	368982	159892	97.79	24117120.0
PNKD	25153519.0	295.0	22391566.0	89.02	294.53	28158892.0	28120378.0	27846573.0	247464.0	16315.0	48540.0	0.38	0.03	2.13	0.04	1.98	2336976.0	9.29	12677.0	0.05	0.0	1.1	0.54	0	276543	135757	98.31	24728542.0
PNKIT	23512588.0	292.0	21348873.0	90.8	290.84	25691712.0	25659510.0	25445241.0	202556.0	12186.0	31729.0	0.4	0.03	2.08	0.03	1.89	1531914.0	6.52	11432.0	0.05	0.0	1.97	0.66	0	464687	155682	97.32	22880787.0
PNKV	20146870.0	296.0	18219925.0	90.44	295.4	21563372.0	21531339.0	21322642.0	193914.0	10598.0	36218.0	0.42	0.03	2.15	0.04	2.0	1560341.0	7.74	12622.0	0.06	0.0	1.18	0.57	0	238685	115297	98.17999999999999	19780266.0
