Sample	provided	salmon_inferred	salmon_pct	salmon_s	salmon_a	salmon_u	rseqc_inferred	status
IT1G	auto	reverse	97.2	2.8	97.2	0.0	-	-
P1G	auto	reverse	97.2	2.8	97.2	0.0	-	-
P2G	auto	reverse	96.7	3.3	96.7	0.0	-	-
P31	auto	reverse	96.8	3.2	96.8	0.0	-	-
P32	auto	reverse	96.6	3.4	96.6	0.0	-	-
P33	auto	reverse	96.7	3.3	96.7	0.0	-	-
P34	auto	reverse	96.6	3.4	96.6	0.0	-	-
P35	auto	reverse	96.8	3.2	96.8	0.0	-	-
P36	auto	reverse	97.0	3.0	97.0	0.0	-	-
P41	auto	reverse	97.2	2.8	97.2	0.0	-	-
P42	auto	reverse	97.1	2.9	97.1	0.0	-	-
P43	auto	reverse	96.7	3.3	96.7	0.0	-	-
P44	auto	reverse	96.8	3.2	96.8	0.0	-	-
P45	auto	reverse	97.2	2.8	97.2	0.0	-	-
P46	auto	reverse	96.9	3.1	96.9	0.0	-	-
P47	auto	reverse	96.9	3.1	96.9	0.0	-	-
P48	auto	reverse	96.8	3.2	96.8	0.0	-	-
P49	auto	reverse	97.1	2.9	97.1	0.0	-	-
P50	auto	reverse	97.0	3.0	97.0	0.0	-	-
P51	auto	reverse	97.0	3.0	97.0	0.0	-	-
P52	auto	reverse	97.3	2.7	97.3	0.0	-	-
PNKD	auto	reverse	97.3	2.7	97.3	0.0	-	-
PNKIT	auto	reverse	97.5	2.5	97.5	0.0	-	-
PNKV	auto	reverse	97.6	2.4	97.6	0.0	-	-
