Sample	Total sequences	Mapped &amp; paired	Properly paired	Duplicated	QC Failed	Reads MQ0	Mapped bases (CIGAR)	Bases Trimmed	Duplicated bases	Diff chromosomes	Other orientation	Inward pairs	Outward pairs
IT1G	42.765859	42.76567	42.76567	11.157456999999999	0.0	1.1709209999999999	6247.116077	0.0	1656.316312	0.0	0.0	21.365857	0.016978
P1G	50.80957	50.809459999999994	50.809459999999994	19.023338	0.0	1.843507	7452.2006169999995	0.0	2822.267339	0.0	0.0	25.383467	0.021263
P2G	47.764953999999996	47.764824	47.764824	13.31495	0.0	1.607332	7013.451491999999	0.0	1983.9365739999998	0.0	0.0	23.863723	0.018689
P31	44.511092	44.511013999999996	44.511013999999996	28.735488999999998	0.0	1.068417	6547.2076879999995	0.0	4269.798126	0.0	0.0	22.241927999999998	0.013578999999999999
P32	45.520547	45.520482	45.520482	20.063615	0.0	1.3898739999999998	6696.358085999999	0.0	2985.483401	0.0	0.0	22.749425	0.010816
P33	83.547744	83.547642	83.547642	40.360244	0.0	2.156392	12273.112194	0.0	6000.816217	0.0	0.0	41.745869	0.027951999999999998
P34	40.465301	40.465241999999996	40.465241999999996	23.858940999999998	0.0	1.016078	5974.246329	0.0	3554.664258	0.0	0.0	20.225877	0.006744
P35	42.42986	42.429812	42.429812	24.367029	0.0	1.3924189999999999	6272.748359	0.0	3636.4128149999997	0.0	0.0	21.206744999999998	0.008161
P36	48.220493	48.220424	48.220424	29.430508	0.0	1.171401	7098.010577999999	0.0	4375.3586239999995	0.0	0.0	24.094987999999997	0.015224
P41	48.283750999999995	48.283674	48.283674	23.690865	0.0	2.131807	7117.7852459999995	0.0	3533.065651	0.0	0.0	24.131173	0.010664
P42	54.980146	54.980045999999994	54.980045999999994	36.392897999999995	0.0	1.928753	8107.792637	0.0	5414.721054	0.0	0.0	27.475118	0.014905
P43	40.867714	40.867591999999995	40.867591999999995	30.147474	0.0	1.241444	5823.737743	0.0	4287.65471	0.0	0.0	20.42481	0.008986
P44	48.965879	48.965708	48.965708	34.663078999999996	0.0	1.895131	7070.352312999999	0.0	5019.933736999999	0.0	0.0	24.472229	0.010624999999999999
P45	46.299181999999995	46.299084	46.299084	30.452762	0.0	1.534475	6701.404418	0.0	4406.035081999999	0.0	0.0	23.138164	0.011378
P46	41.509161999999996	41.509076	41.509076	25.82557	0.0	1.139435	6126.937468	0.0	3846.649674	0.0	0.0	20.744891	0.009647
P47	40.275681	40.275515999999996	40.275515999999996	29.335590999999997	0.0	1.3736819999999998	5883.13913	0.0	4310.2565859999995	0.0	0.0	20.121662999999998	0.016094999999999998
P48	49.959723	49.959644	49.959644	33.819297	0.0	1.108014	7350.527779	0.0	5021.197684	0.0	0.0	24.963874999999998	0.015947
P49	43.985408	43.985178	43.985178	34.660945	0.0	1.27068	6378.559316	0.0	5055.342207	0.0	0.0	21.978068999999998	0.01452
P50	57.924550999999994	57.924498	57.924498	34.940968	0.0	1.846167	8562.2766	0.0	5215.045435	0.0	0.0	28.950383	0.011866
P51	45.486852	45.486722	45.486722	16.044729	0.0	1.8184449999999999	6650.754376999999	0.0	2382.309058	0.0	0.0	22.720948	0.022413
P52	48.234147	48.234054	48.234054	24.606678	0.0	1.811697	7121.029672	0.0	3673.633708	0.0	0.0	24.103768	0.013259
PNKD	49.456965	49.456846	49.456846	24.737824	0.0	1.7719779999999998	7282.959425	0.0	3666.489818	0.0	0.0	24.71529	0.013132999999999999
PNKIT	45.76137	45.761165999999996	45.761165999999996	13.206996	0.0	1.2591409999999998	6654.339295	0.0	1954.8154359999999	0.0	0.0	22.861518	0.019065
PNKV	39.560409	39.560286	39.560286	17.794455	0.0	1.341403	5833.991639	0.0	2645.258582	0.0	0.0	19.768463999999998	0.011679
