Sample	Mapped (with MQ>0)	MQ0
IT1G	41594938.0	1170921.0
P1G	48966063.0	1843507.0
P2G	46157622.0	1607332.0
P31	43442675.0	1068417.0
P32	44130673.0	1389874.0
P33	81391352.0	2156392.0
P34	39449223.0	1016078.0
P35	41037441.0	1392419.0
P36	47049092.0	1171401.0
P41	46151944.0	2131807.0
P42	53051393.0	1928753.0
P43	39626270.0	1241444.0
P44	47070748.0	1895131.0
P45	44764707.0	1534475.0
P46	40369727.0	1139435.0
P47	38901999.0	1373682.0
P48	48851709.0	1108014.0
P49	42714728.0	1270680.0
P50	56078384.0	1846167.0
P51	43668407.0	1818445.0
P52	46422450.0	1811697.0
PNKD	47684987.0	1771978.0
PNKIT	44502229.0	1259141.0
PNKV	38219006.0	1341403.0
