Sample	Total reads	Aligned	Uniq aligned	Multimapped	Avg. read len	Avg. mapped len	Splices	Annotated splices	GT/AG splices	GC/AG splices	AT/AC splices	Non-canonical splices	Mismatch rate	Del rate	Del len	Ins rate	Ins len
IT1G	22.015824	97.12	90.72	1.409532	293.0	292.22	24.122014999999998	24.089205999999997	23.888019999999997	0.188827	0.012567	0.032601	0.41	0.03	2.09	0.03	1.99
P1G	26.003328999999997	97.7	89.65	2.092027	295.0	293.77	28.713012	28.660982999999998	28.399096999999998	0.24995399999999998	0.015377	0.048583999999999995	0.4	0.03	2.18	0.04	2.13
P2G	24.57258	97.19	89.31	1.9373259999999999	295.0	293.81	22.527500999999997	22.477242999999998	22.265992	0.20424399999999998	0.013724	0.043540999999999996	0.5	0.04	2.2	0.04	2.05
P31	22.803002	97.6	90.64	1.587826	295.0	294.34	17.245708	17.219486	17.032394	0.180217	0.0055379999999999995	0.027559	0.41	0.04	2.03	0.05	1.78
P32	23.307021	97.65	89.75	1.8418729999999999	296.0	294.16	18.52028	18.488706999999998	18.332292	0.148532	0.008694	0.030761999999999998	0.39	0.04	1.98	0.06	1.82
P33	42.916522	97.33000000000001	91.01	2.714387	295.0	293.88	41.064554	40.998858999999996	40.645967999999996	0.339271	0.023549	0.055765999999999996	0.32	0.03	2.01	0.05	1.83
P34	20.728002	97.61	90.95	1.3796549999999999	297.0	295.37	15.780963	15.760962	15.591023	0.158162	0.012031	0.019747	0.38	0.04	1.85	0.07	1.75
P35	21.682581	97.84	90.93	1.499113	297.0	295.55	22.177716	22.156522	21.985315	0.163595	0.008697	0.020109	0.41	0.03	1.93	0.05	1.76
P36	24.627693999999998	97.9	91.23	1.642674	296.0	294.3	20.871128	20.849335999999997	20.651688	0.192665	0.01011	0.016665	0.42	0.04	1.8	0.06	1.69
P41	24.764687	97.47999999999999	89.27	2.0332779999999997	296.0	294.8	26.272057999999998	26.241677	26.05057	0.18319	0.010835	0.027462999999999998	0.36	0.03	1.89	0.05	1.84
P42	28.110953	97.79	90.39	2.080589	296.0	295.27	25.574151	25.53924	25.305186	0.225897	0.012190999999999999	0.030876999999999998	0.35	0.04	1.87	0.06	1.76
P43	21.188192	96.44	88.91	1.594973	287.0	284.78	18.76446	18.747249999999998	18.573967	0.14268899999999998	0.027413	0.020391	0.41	0.04	1.82	0.06	1.83
P44	25.419003	96.31	86.56	2.4794009999999997	290.0	293.34	23.478562	23.45776	23.251434	0.204421	0.004802	0.017905	0.39	0.04	1.87	0.06	1.85
P45	23.595318	98.11	90.85	1.7139179999999998	291.0	289.27	18.428089	18.397204	18.214627	0.17981	0.009212999999999999	0.024439	0.44	0.04	1.9	0.06	1.68
P46	21.307206	97.41	90.56	1.45926	296.0	295.32	20.696953999999998	20.668302999999998	20.478481	0.180943	0.010029	0.027500999999999998	0.42	0.03	1.93	0.05	1.76
P47	20.870955	96.49	89.16	1.5293949999999998	293.0	294.62	19.954660999999998	19.932723	19.790737	0.132595	0.005077	0.026251999999999998	0.38	0.03	1.84	0.06	1.75
P48	25.516143	97.89999999999999	91.71	1.5792869999999999	296.0	294.43	21.680025999999998	21.649993	21.428245	0.213312	0.010558999999999999	0.027909999999999997	0.43	0.04	1.86	0.06	1.66
P49	22.57539	97.42	90.5	1.562927	292.0	289.82	20.945982	20.913536	20.744472	0.167129	0.008435999999999999	0.025945	0.51	0.03	1.88	0.06	1.67
P50	29.479134	98.25	90.66	2.237	297.0	295.55	29.146278	29.107027	28.902884	0.19653099999999998	0.011044	0.035819	0.37	0.03	1.86	0.05	1.7
P51	23.37783	97.28	88.75	1.9945119999999998	294.0	292.37	24.008927999999997	23.951995	23.779093	0.166792	0.012617	0.050426	0.49	0.03	2.02	0.05	1.9
P52	24.661614	97.79	90.42	1.816946	297.0	295.24	27.124549	27.080462999999998	26.904891	0.166372	0.011703	0.041582999999999995	0.48	0.03	1.9	0.05	1.77
PNKD	25.153519	98.31	89.02	2.336976	295.0	294.53	28.158891999999998	28.120378	27.846573	0.247464	0.016315	0.04854	0.38	0.03	2.13	0.04	1.98
PNKIT	23.512587999999997	97.32	90.8	1.531914	292.0	290.84	25.691712	25.659509999999997	25.445241	0.20255599999999999	0.012185999999999999	0.031729	0.4	0.03	2.08	0.03	1.89
PNKV	20.14687	98.17999999999999	90.44	1.560341	296.0	295.4	21.563371999999998	21.531339	21.322642	0.193914	0.010598	0.036218	0.42	0.03	2.15	0.04	2.0
