sample	PC1	PC2	PC3	PC4	PC5	tank	turbot_id	collection_date	tissue	phenotype	malpigmentation_type	surface	pigmentation	condition	group_code	group_label	territory_status	phenotype_group	surface_pigmentation
P31	-23.060625169369057	9.660592087847169	-15.228582551042047	-9.672808278611063	3.7697424831158868	E6	46	2024-03-27	Skin	Normal	NA	Ocular	Dark	Skin_Normal_Ocular_Dark	N_OD	Normal ocular dark	normal_expected	Normal	Ocular dark
P32	-30.740919596487128	-0.2024723545875031	10.62346152181334	10.082341181124384	-6.546253143043833	E6	46	2024-03-27	Skin	Normal	NA	Blind	Light	Skin_Normal_Blind_Light	N_BL	Normal blind light	normal_expected	Normal	Blind light
P33	-39.692438854295006	-11.809664422079997	-7.41614197263529	-1.860341980113502	5.901670948839633	E8	52	2024-02-24	Skin	Normal	NA	Ocular	Dark	Skin_Normal_Ocular_Dark	N_OD	Normal ocular dark	normal_expected	Normal	Ocular dark
P34	-14.109105911561102	21.267784155339687	2.8110209434065356	2.2698748826268123	-8.678181608767575	E8	52	2024-02-24	Skin	Normal	NA	Blind	Light	Skin_Normal_Blind_Light	N_BL	Normal blind light	normal_expected	Normal	Blind light
P35	-37.38299097070213	-4.265977122977663	-6.835382008676704	-3.142732547116878	10.069012429222264	E8	70	2024-04-28	Skin	Normal	NA	Ocular	Dark	Skin_Normal_Ocular_Dark	N_OD	Normal ocular dark	normal_expected	Normal	Ocular dark
P36	-16.41855379515412	13.724096856237352	2.23026097944798	3.5522654496301693	-12.845523089150229	E8	70	2024-04-28	Skin	Normal	NA	Blind	Light	Skin_Normal_Blind_Light	N_BL	Normal blind light	normal_expected	Normal	Blind light
P41	14.567302901553836	-21.540961535447483	2.766901578966214	-3.0215056586251072	-7.947706177245775	E8	142	2024-04-04	Skin	Malpigmented	Pseudoalbinism	Ocular	Dark	Skin_Malpigmented_Pseudoalbinism_Ocular_Dark	P_OD	Pseudoalbino ocular dark	locally_expected_within_pseudoalbino	Pseudoalbinism	Ocular dark
P42	33.184770005289636	12.436525637518534	-11.743967878485677	13.230404115746065	4.980497983252375	E8	142	2024-04-04	Skin	Malpigmented	Pseudoalbinism	Ocular	Light	Skin_Malpigmented_Pseudoalbinism_Ocular_Light	P_OL	Pseudoalbino ocular light	abnormal_ocular_hypopigmented	Pseudoalbinism	Ocular light
P43	10.77209486108451	5.654666503701263	15.437813425149104	-4.677537956063327	5.590973923147279	E8	142	2024-04-04	Skin	Malpigmented	Pseudoalbinism	Blind	Dark	Skin_Malpigmented_Pseudoalbinism_Blind_Dark	P_BD	Pseudoalbino blind dark	abnormal_blind_ectopic_dark	Pseudoalbinism	Blind dark
P44	13.211225253213566	-9.16105691678531	-0.3205857533246425	-6.077404371075358	1.078248484083388	E8	142	2024-04-04	Skin	Malpigmented	Pseudoalbinism	Blind	Light	Skin_Malpigmented_Pseudoalbinism_Blind_Light	P_BL	Pseudoalbino blind light	locally_expected_within_pseudoalbino	Pseudoalbinism	Blind light
P45	27.627546845917205	-6.673286736835723	-16.660440313871455	1.8664912678676662	-7.939527414681479	E6	24	2024-04-05	Skin	Malpigmented	Pseudoalbinism	Ocular	Dark	Skin_Malpigmented_Pseudoalbinism_Ocular_Dark	P_OD	Pseudoalbino ocular dark	locally_expected_within_pseudoalbino	Pseudoalbinism	Ocular dark
P46	16.157410287489377	6.198500613813914	3.141113694288427	14.083011874574103	15.639343328021573	E6	24	2024-04-05	Skin	Malpigmented	Pseudoalbinism	Ocular	Light	Skin_Malpigmented_Pseudoalbinism_Ocular_Light	P_OL	Pseudoalbino ocular light	abnormal_ocular_hypopigmented	Pseudoalbinism	Ocular light
P47	4.482707846325231	-0.4111095348204787	25.813542961022453	-12.17562486691882	2.8459382990519084	E6	24	2024-04-05	Skin	Malpigmented	Pseudoalbinism	Blind	Dark	Skin_Malpigmented_Pseudoalbinism_Blind_Dark	P_BD	Pseudoalbino blind dark	abnormal_blind_ectopic_dark	Pseudoalbinism	Blind dark
P48	23.467728041409753	-11.724930653170624	-6.154054969134467	-4.319922145540692	-6.843739999154728	E6	24	2024-04-05	Skin	Malpigmented	Pseudoalbinism	Blind	Light	Skin_Malpigmented_Pseudoalbinism_Blind_Light	P_BL	Pseudoalbino blind light	locally_expected_within_pseudoalbino	Pseudoalbinism	Blind light
P49	29.595360323186032	9.653674632630072	-3.5066250247888173	-16.656315411655502	4.9714063099922345	E6	12	2024-04-16	Skin	Malpigmented	Pseudoalbinism	Ocular	Dark	Skin_Malpigmented_Pseudoalbinism_Ocular_Dark	P_OD	Pseudoalbino ocular dark	locally_expected_within_pseudoalbino	Pseudoalbinism	Ocular dark
P50	30.261791526167432	15.848707289308086	0.6087639222150196	-3.965872177583349	-3.2533905852043716	E6	12	2024-04-16	Skin	Malpigmented	Pseudoalbinism	Ocular	Light	Skin_Malpigmented_Pseudoalbinism_Ocular_Light	P_OL	Pseudoalbino ocular light	abnormal_ocular_hypopigmented	Pseudoalbinism	Ocular light
P51	13.465003870947745	-8.435951548980572	7.284911799777731	17.300952591720122	1.9669117763236952	E6	12	2024-04-16	Skin	Malpigmented	Pseudoalbinism	Blind	Light	Skin_Malpigmented_Pseudoalbinism_Blind_Light	P_BL	Pseudoalbino blind light	locally_expected_within_pseudoalbino	Pseudoalbinism	Blind light
P52	-1.5867626991596104	-29.67725668397051	1.7531106751010634	2.7751911275009906	0.01708671212571522	E6	12	2024-04-16	Skin	Malpigmented	Pseudoalbinism	Blind	Dark	Skin_Malpigmented_Pseudoalbinism_Blind_Dark	P_BD	Pseudoalbino blind dark	abnormal_blind_ectopic_dark	Pseudoalbinism	Blind dark
P1G	-25.865734577050155	0.7498098711526121	-5.422198102758792	-2.780539638535865	0.40955087841016596	X	G	2024-04-09	Skin	Normal	NA	Ocular	Dark	Skin_Normal_Ocular_Dark	N_OD	Normal ocular dark	normal_expected	Normal	Ocular dark
P2G	-27.935810188806002	8.708309862107086	0.8170770735300585	3.1900725410491635	-3.186061538338114	X	G	2024-04-09	Skin	Normal	NA	Blind	Light	Skin_Normal_Blind_Light	N_BL	Normal blind light	normal_expected	Normal	Blind light
