sample	PC1	PC2	PC3	PC4	PC5	tank	turbot_id	collection_date	tissue	phenotype	malpigmentation_type	surface	pigmentation	condition	group_code	group_label	territory_status	phenotype_group	surface_pigmentation
P31	-34.8787223149446	-14.686771051599608	-1.1022759817911763	5.503596035347576	16.224572904618363	E6	46	2024-03-27	Skin	Normal	NA	Ocular	Dark	Skin_Normal_Ocular_Dark	N_OD	Normal ocular dark	normal_expected	Normal	Ocular dark
P32	-16.24337656005024	-7.0468104379304695	0.30583873513806253	11.314610421900925	-11.605751640521616	E6	46	2024-03-27	Skin	Normal	NA	Blind	Light	Skin_Normal_Blind_Light	N_BL	Normal blind light	normal_expected	Normal	Blind light
P33	23.105050363349406	2.303466620069244	-21.244974133668315	8.208587231265367	7.797832303265955	E8	52	2024-02-24	Skin	Normal	NA	Ocular	Dark	Skin_Normal_Ocular_Dark	N_OD	Normal ocular dark	normal_expected	Normal	Ocular dark
P34	-14.658028856345709	-10.471672528619106	6.094278215198395	6.558638109457009	-3.6201351647788673	E8	52	2024-02-24	Skin	Normal	NA	Blind	Light	Skin_Normal_Blind_Light	N_BL	Normal blind light	normal_expected	Normal	Blind light
P35	32.296564908919905	4.5859574535678895	-7.215352637325132	13.544897710708575	11.251705513506533	E8	70	2024-04-28	Skin	Normal	NA	Ocular	Dark	Skin_Normal_Ocular_Dark	N_OD	Normal ocular dark	normal_expected	Normal	Ocular dark
P36	7.648548891286763	-6.2702955098113655	7.5339981878629265	6.048058359392381	-7.072936423640883	E8	70	2024-04-28	Skin	Normal	NA	Blind	Light	Skin_Normal_Blind_Light	N_BL	Normal blind light	normal_expected	Normal	Blind light
P41	54.78056680326939	10.755591444822363	-4.022482738269993	-13.753781834550999	-0.7398094100589461	E8	142	2024-04-04	Skin	Malpigmented	Pseudoalbinism	Ocular	Dark	Skin_Malpigmented_Pseudoalbinism_Ocular_Dark	P_OD	Pseudoalbino ocular dark	locally_expected_within_pseudoalbino	Pseudoalbinism	Ocular dark
P42	15.440518713024494	-1.2947222487566268	-0.643824665028088	8.692068796367352	3.3631033457548467	E8	142	2024-04-04	Skin	Malpigmented	Pseudoalbinism	Ocular	Light	Skin_Malpigmented_Pseudoalbinism_Ocular_Light	P_OL	Pseudoalbino ocular light	abnormal_ocular_hypopigmented	Pseudoalbinism	Ocular light
P43	47.07079329428549	11.38087450706385	21.045280613170835	2.0195395708954478	5.281605989814658	E8	142	2024-04-04	Skin	Malpigmented	Pseudoalbinism	Blind	Dark	Skin_Malpigmented_Pseudoalbinism_Blind_Dark	P_BD	Pseudoalbino blind dark	abnormal_blind_ectopic_dark	Pseudoalbinism	Blind dark
P44	48.615163153879095	8.656806299171738	5.543536387948034	-6.50652081337274	9.416159046989256	E8	142	2024-04-04	Skin	Malpigmented	Pseudoalbinism	Blind	Light	Skin_Malpigmented_Pseudoalbinism_Blind_Light	P_BL	Pseudoalbino blind light	locally_expected_within_pseudoalbino	Pseudoalbinism	Blind light
P45	20.229968274927796	-4.552556897555766	-15.062973326855225	-12.736326437692682	-2.384443470037637	E6	24	2024-04-05	Skin	Malpigmented	Pseudoalbinism	Ocular	Dark	Skin_Malpigmented_Pseudoalbinism_Ocular_Dark	P_OD	Pseudoalbino ocular dark	locally_expected_within_pseudoalbino	Pseudoalbinism	Ocular dark
P46	25.433282955745725	5.535017138734694	-1.3067182574230645	15.57017598189655	-6.681831068893023	E6	24	2024-04-05	Skin	Malpigmented	Pseudoalbinism	Ocular	Light	Skin_Malpigmented_Pseudoalbinism_Ocular_Light	P_OL	Pseudoalbino ocular light	abnormal_ocular_hypopigmented	Pseudoalbinism	Ocular light
P47	46.44219176158092	13.86125856629945	20.970030116364715	-3.5673056794498357	-6.641738568882302	E6	24	2024-04-05	Skin	Malpigmented	Pseudoalbinism	Blind	Dark	Skin_Malpigmented_Pseudoalbinism_Blind_Dark	P_BD	Pseudoalbino blind dark	abnormal_blind_ectopic_dark	Pseudoalbinism	Blind dark
P48	30.482046264274146	-2.3362029613267543	-8.413720049895872	-14.043778076368021	-2.4742354593994573	E6	24	2024-04-05	Skin	Malpigmented	Pseudoalbinism	Blind	Light	Skin_Malpigmented_Pseudoalbinism_Blind_Light	P_BL	Pseudoalbino blind light	locally_expected_within_pseudoalbino	Pseudoalbinism	Blind light
P49	-28.588313997551282	-25.861603063111048	11.540091253198755	-8.755657486507463	9.693716544466861	E6	12	2024-04-16	Skin	Malpigmented	Pseudoalbinism	Ocular	Dark	Skin_Malpigmented_Pseudoalbinism_Ocular_Dark	P_OD	Pseudoalbino ocular dark	locally_expected_within_pseudoalbino	Pseudoalbinism	Ocular dark
P50	-41.3072076908205	-17.277007621601133	12.384513723220094	-8.082669783272678	-3.706511994818847	E6	12	2024-04-16	Skin	Malpigmented	Pseudoalbinism	Ocular	Light	Skin_Malpigmented_Pseudoalbinism_Ocular_Light	P_OL	Pseudoalbino ocular light	abnormal_ocular_hypopigmented	Pseudoalbinism	Ocular light
P51	-17.403742137156645	-5.208250746816171	-6.668201293645171	3.5610137405112043	-14.575137875175944	E6	12	2024-04-16	Skin	Malpigmented	Pseudoalbinism	Blind	Light	Skin_Malpigmented_Pseudoalbinism_Blind_Light	P_BL	Pseudoalbino blind light	locally_expected_within_pseudoalbino	Pseudoalbinism	Blind light
P52	12.697923160558782	-5.236462757430184	-17.272547594830023	-7.2662098187707596	-6.647944609305791	E6	12	2024-04-16	Skin	Malpigmented	Pseudoalbinism	Blind	Dark	Skin_Malpigmented_Pseudoalbinism_Blind_Dark	P_BD	Pseudoalbino blind dark	abnormal_blind_ectopic_dark	Pseudoalbinism	Blind dark
P1G	-105.11277182844769	21.092257115011403	-4.023584811641324	-4.906827096309147	5.295796604147353	X	G	2024-04-09	Skin	Normal	NA	Ocular	Dark	Skin_Normal_Ocular_Dark	N_OD	Normal ocular dark	normal_expected	Normal	Ocular dark
P2G	-106.05045515978526	22.071126679817542	1.55908825827155	-1.4021089314480348	-2.174016567050498	X	G	2024-04-09	Skin	Normal	NA	Blind	Light	Skin_Normal_Blind_Light	N_BL	Normal blind light	normal_expected	Normal	Blind light
