contrast	short_label	chapter_direction	display_label	gene_id	baseMean	log2FoldChange	padj	best_description	annotation_confidence	log2FoldChange_fmt	padj_fmt	baseMean_fmt
N_OD_vs_N_BL	Normal: ocular oscura vs ciega clara	up	tyrp1b / ENSSMAG00000012712	ENSSMAG00000012712	247.489096803996	8.39326635304814	1.92614492751522e-23	Ensembl REST display name: tyrp1b	medium_ensembl_rest_symbol	8.39	1.93e-23	247.5
N_OD_vs_N_BL	Normal: ocular oscura vs ciega clara	up	ENSSMAG00000017854	ENSSMAG00000017854	745.241378086194	8.32894441525775	1.4189699295668e-11	No functional description available from local Salmon/GTF annotation	low_unannotated_id_only	8.33	1.42e-11	745.2
N_OD_vs_N_BL	Normal: ocular oscura vs ciega clara	up	tmem130 / ENSSMAG00000009625	ENSSMAG00000009625	81.5130834669582	4.54896506582134	2.79078522559048e-11	Direct local gene symbol: tmem130	direct_local_symbol	4.55	2.79e-11	81.5
N_OD_vs_N_BL	Normal: ocular oscura vs ciega clara	up	si:dkey-251i10.2 / ENSSMAG00000018926	ENSSMAG00000018926	490.82212946062	9.57477281138618	4.55992053824512e-10	Ensembl REST display name: si:dkey-251i10.2	medium_ensembl_rest_symbol	9.57	4.56e-10	490.8
N_OD_vs_N_BL	Normal: ocular oscura vs ciega clara	up	KIF5B / ENSSMAG00000003556	ENSSMAG00000003556	131.636831255241	3.6283593432013	9.5548430464285e-10	Direct local gene symbol: KIF5B	direct_local_symbol	3.63	9.55e-10	131.6
N_OD_vs_N_BL	Normal: ocular oscura vs ciega clara	up	ENSSMAG00000030081	ENSSMAG00000030081	96.1665214298879	3.09321019757318	9.5548430464285e-10	No functional description available from local Salmon/GTF annotation	low_unannotated_id_only	3.09	9.55e-10	96.2
N_OD_vs_N_BL	Normal: ocular oscura vs ciega clara	down	thbs4a / ENSSMAG00000010306	ENSSMAG00000010306	3246.74243823384	-1.68986858816374	7.17219483206894e-08	Direct local gene symbol: thbs4a	direct_local_symbol	-1.69	7.17e-08	3246.7
N_OD_vs_N_BL	Normal: ocular oscura vs ciega clara	down	c1qtnf5 / ENSSMAG00000016467	ENSSMAG00000016467	184.058779294923	-1.84993942420693	4.93509577330141e-06	Direct local gene symbol: c1qtnf5	direct_local_symbol	-1.85	4.94e-06	184.1
N_OD_vs_N_BL	Normal: ocular oscura vs ciega clara	down	CPZ / ENSSMAG00000009599	ENSSMAG00000009599	4227.37071814776	-1.25858304162259	7.84715315327367e-06	carboxypeptidase Z [Source:UniProtKB Gene Name;Acc:A0A8D3ABK6]	medium_ensembl_rest_symbol	-1.26	7.85e-06	4227.4
N_OD_vs_N_BL	Normal: ocular oscura vs ciega clara	down	fndc1 / ENSSMAG00000017056	ENSSMAG00000017056	5842.50545847503	-1.25307046923411	3.24030653488633e-05	Direct local gene symbol: fndc1	direct_local_symbol	-1.25	3.24e-05	5842.5
N_OD_vs_N_BL	Normal: ocular oscura vs ciega clara	down	abi3bpa / ENSSMAG00000001765	ENSSMAG00000001765	640.345852614221	-1.58270678132394	0.000161523985464326	ABI family, member 3 (NESH) binding protein a [Source:ZFIN;Acc:ZDB-GENE-070912-325]	medium_ensembl_rest_symbol	-1.58	1.62e-04	640.3
N_OD_vs_N_BL	Normal: ocular oscura vs ciega clara	down	ENSSMAG00000007875	ENSSMAG00000007875	53.4524068377188	-2.34155219066099	0.000200702515502522	No functional description available from local Salmon/GTF annotation	low_unannotated_id_only	-2.34	2.01e-04	53.5
P_OD_vs_P_OL	Pseudoalbino: ocular oscura vs ocular clara	up	col10a1a / ENSSMAG00000018410	ENSSMAG00000018410	715.546795088718	5.61905415129651	1.07876452840245e-13	Direct local gene symbol: col10a1a	direct_local_symbol	5.62	1.08e-13	715.5
P_OD_vs_P_OL	Pseudoalbino: ocular oscura vs ocular clara	up	col5a2b / ENSSMAG00000011709	ENSSMAG00000011709	123.273421131811	4.40503381905311	1.49684489169467e-12	collagen, type V, alpha 2b [Source:ZFIN;Acc:ZDB-GENE-110406-2]	medium_ensembl_rest_symbol	4.41	1.50e-12	123.3
P_OD_vs_P_OL	Pseudoalbino: ocular oscura vs ocular clara	up	col10a1b / ENSSMAG00000018381	ENSSMAG00000018381	112.493279947856	4.55127248708222	1.21769240761913e-09	Direct local gene symbol: col10a1b	direct_local_symbol	4.55	1.22e-09	112.5
P_OD_vs_P_OL	Pseudoalbino: ocular oscura vs ocular clara	up	cilp2 / ENSSMAG00000012136	ENSSMAG00000012136	327.128892354758	3.22079283202131	2.29647535814006e-09	Direct local gene symbol: cilp2	direct_local_symbol	3.22	2.30e-09	327.1
P_OD_vs_P_OL	Pseudoalbino: ocular oscura vs ocular clara	up	olfml2bb / ENSSMAG00000001466	ENSSMAG00000001466	273.921511446991	3.17582714437558	6.14026739052312e-08	olfactomedin-like 2Bb [Source:ZFIN;Acc:ZDB-GENE-070912-266]	medium_ensembl_rest_symbol	3.18	6.14e-08	273.9
P_OD_vs_P_OL	Pseudoalbino: ocular oscura vs ocular clara	up	tnn / ENSSMAG00000000444	ENSSMAG00000000444	145.501955329667	4.15485600074895	4.67731376560362e-06	Direct local gene symbol: tnn	direct_local_symbol	4.15	4.68e-06	145.5
P_OD_vs_P_OL	Pseudoalbino: ocular oscura vs ocular clara	down	dgat2 / ENSSMAG00000001438	ENSSMAG00000001438	406.917357693487	-4.81407396299183	6.64971545170154e-15	Direct local gene symbol: dgat2	direct_local_symbol	-4.81	6.65e-15	406.9
P_OD_vs_P_OL	Pseudoalbino: ocular oscura vs ocular clara	down	crabp1a / ENSSMAG00000005604	ENSSMAG00000005604	107.996822041723	-3.88293766332687	4.18502769116539e-06	Direct local gene symbol: crabp1a	direct_local_symbol	-3.88	4.19e-06	108.0
P_OD_vs_P_OL	Pseudoalbino: ocular oscura vs ocular clara	down	ENSSMAG00000008364	ENSSMAG00000008364	150.570147946468	-2.67275758058331	2.82709202466605e-05	No functional description available from local Salmon/GTF annotation	low_unannotated_id_only	-2.67	2.83e-05	150.6
P_OD_vs_P_OL	Pseudoalbino: ocular oscura vs ocular clara	down	ENSSMAG00000009447	ENSSMAG00000009447	46.8837867415563	-6.69237399639849	5.25372562731194e-05	No functional description available from local Salmon/GTF annotation	low_unannotated_id_only	-6.69	5.25e-05	46.9
P_OD_vs_P_OL	Pseudoalbino: ocular oscura vs ocular clara	down	mmp30 / ENSSMAG00000025841	ENSSMAG00000025841	877.52621826514	-2.34664475814952	0.000121207221727577	Direct local gene symbol: mmp30	direct_local_symbol	-2.35	1.21e-04	877.5
P_OD_vs_P_OL	Pseudoalbino: ocular oscura vs ocular clara	down	rab15 / ENSSMAG00000019773	ENSSMAG00000019773	91.1156546252245	-2.35659825896851	0.000669921168781828	Direct local gene symbol: rab15	direct_local_symbol	-2.36	6.70e-04	91.1
P_BD_vs_P_BL	Pseudoalbino: ciega oscura vs ciega clara	up	dgat2 / ENSSMAG00000001438	ENSSMAG00000001438	96.9043221013512	1.86654757231947	0.00304513164263622	Direct local gene symbol: dgat2	direct_local_symbol	1.87	3.05e-03	96.9
P_BD_vs_P_BL	Pseudoalbino: ciega oscura vs ciega clara	up	MLF1 / ENSSMAG00000015219	ENSSMAG00000015219	281.251594495155	1.40382159646968	0.00417703123622833	Direct local gene symbol: MLF1	direct_local_symbol	1.40	4.18e-03	281.3
P_BD_vs_P_BL	Pseudoalbino: ciega oscura vs ciega clara	up	lbx2 / ENSSMAG00000008154	ENSSMAG00000008154	204.352836852487	1.51293821576302	0.00590551079421142	Direct local gene symbol: lbx2	direct_local_symbol	1.51	5.91e-03	204.4
P_BD_vs_P_BL	Pseudoalbino: ciega oscura vs ciega clara	up	pvalb1 / ENSSMAG00000013626	ENSSMAG00000013626	6985.29800655098	1.16302507974866	0.00993411530379054	Direct local gene symbol: pvalb1	direct_local_symbol	1.16	9.93e-03	6985.3
P_BD_vs_P_BL	Pseudoalbino: ciega oscura vs ciega clara	up	lemd1 / ENSSMAG00000011936	ENSSMAG00000011936	121.298643152035	1.62011617845648	0.0103331699722345	Direct local gene symbol: lemd1	direct_local_symbol	1.62	1.03e-02	121.3
P_BD_vs_P_BL	Pseudoalbino: ciega oscura vs ciega clara	up	TLN2 / ENSSMAG00000016229	ENSSMAG00000016229	46.66230939943	2.32538681539099	0.0106701337330191	Direct local gene symbol: TLN2	direct_local_symbol	2.33	1.07e-02	46.7
P_BD_vs_P_BL	Pseudoalbino: ciega oscura vs ciega clara	down	mpx / ENSSMAG00000020424	ENSSMAG00000020424	284.570509411153	-3.54990219214686	4.53897593494453e-15	Direct local gene symbol: mpx	direct_local_symbol	-3.55	4.54e-15	284.6
P_BD_vs_P_BL	Pseudoalbino: ciega oscura vs ciega clara	down	ENSSMAG00000013103	ENSSMAG00000013103	465.595073828505	-3.07627863389996	8.48647192011768e-11	No functional description available from local Salmon/GTF annotation	low_unannotated_id_only	-3.08	8.49e-11	465.6
P_BD_vs_P_BL	Pseudoalbino: ciega oscura vs ciega clara	down	irg1l / ENSSMAG00000005426	ENSSMAG00000005426	73.6261818516824	-4.46472576959548	4.41350656163375e-07	Direct local gene symbol: irg1l	direct_local_symbol	-4.46	4.41e-07	73.6
P_BD_vs_P_BL	Pseudoalbino: ciega oscura vs ciega clara	down	ENSSMAG00000033283	ENSSMAG00000033283	427.575483355582	-2.54808113018126	3.34213033614951e-06	No functional description available from local Salmon/GTF annotation	low_unannotated_id_only	-2.55	3.34e-06	427.6
P_BD_vs_P_BL	Pseudoalbino: ciega oscura vs ciega clara	down	ENSSMAG00000030879	ENSSMAG00000030879	396.129850972222	-1.74135314352309	8.75761806693092e-05	No functional description available from local Salmon/GTF annotation	low_unannotated_id_only	-1.74	8.76e-05	396.1
P_BD_vs_P_BL	Pseudoalbino: ciega oscura vs ciega clara	down	anxa3a / ENSSMAG00000015210	ENSSMAG00000015210	115.213061561661	-3.12615614474927	0.000122818794537423	Direct local gene symbol: anxa3a	direct_local_symbol	-3.13	1.23e-04	115.2
