method	contrast	direction	ontology	GO_ID	Description	pvalue	p.adjust	qvalue	Count	signed_effect
GSEA	N_OD_vs_N_BL	NES_positive	CC	GO:0005739	CC: mitochondrion	1.4652564648136233e-33	7.370240018012525e-31	6.354585931612767e-31	459	2.6020520045928905
GSEA	N_OD_vs_N_BL	NES_negative	CC	GO:0062023	CC: collagen-containing extracellular matrix	1.9047491335926098e-26	4.790444070985414e-24	4.130298121263975e-24	130	-3.011380254647274
GSEA	N_OD_vs_N_BL	NES_negative	CC	GO:0005576	CC: extracellular region	1.8562994522941917e-16	3.112395415013261e-14	2.6834925415621296e-14	338	-2.247285747413791
GSEA	N_OD_vs_N_BL	NES_negative	MF	GO:0008201	MF: heparin binding	1.1247561582685922e-15	8.953059019817993e-13	7.672020953242607e-13	98	-2.7002608606890086
GSEA	N_OD_vs_N_BL	NES_positive	CC	GO:0005743	CC: mitochondrial inner membrane	6.054823014531749e-13	7.613939940773674e-11	6.564702847334422e-11	82	2.63986806629285
GSEA	N_OD_vs_N_BL	NES_positive	MF	GO:0003735	MF: structural constituent of ribosome	4.801687410257614e-13	1.2740477261883533e-10	1.0917520848585733e-10	161	2.396198435675686
GSEA	N_OD_vs_N_BL	NES_negative	MF	GO:0005509	MF: calcium ion binding	3.4971633989274155e-13	1.2740477261883533e-10	1.0917520848585733e-10	477	-1.959360338859768
GSEA	N_OD_vs_N_BL	NES_negative	BP	GO:0030199	BP: collagen fibril organization	1.2465777000238636e-12	1.3288509269007296e-9	1.1094669710277358e-9	61	-2.7197632146137476
GSEA	N_OD_vs_N_BL	NES_positive	BP	GO:0006412	BP: translation	1.6827998230064117e-12	1.3288509269007296e-9	1.1094669710277358e-9	158	2.344497618374955
GSEA	N_OD_vs_N_BL	NES_negative	BP	GO:0007155	BP: cell adhesion	1.4239785344240436e-12	1.3288509269007296e-9	1.1094669710277358e-9	216	-2.2405722139686746
GSEA	N_OD_vs_N_BL	NES_negative	CC	GO:0031012	CC: extracellular matrix	4.1619932645039584e-11	4.186965224090982e-9	3.6099815262644862e-9	169	-2.243821421043054
GSEA	N_OD_vs_N_BL	NES_positive	CC	GO:0005840	CC: ribosome	8.998987584031504e-11	7.54415125794641e-9	6.504531376528034e-9	165	2.229373367242087
GSEA	N_OD_vs_N_BL	NES_positive	CC	GO:0005747	CC: mitochondrial respiratory chain complex I	3.639387818374058e-10	2.6151601037745016e-8	2.25477861830092e-8	44	2.491876199172702
GSEA	N_OD_vs_N_BL	NES_positive	MF	GO:0016491	MF: oxidoreductase activity	1.4275122905166555e-10	2.8407494581281445e-8	2.434284116459981e-8	209	2.159649990945014
GSEA	N_OD_vs_N_BL	NES_negative	BP	GO:0007411	BP: axon guidance	1.325080983166086e-10	7.847792122801144e-8	6.552176756234409e-8	181	-2.181191403983354
GSEA	N_OD_vs_N_BL	NES_negative	MF	GO:0005518	MF: collagen binding	9.490251311931084e-10	1.5108480088594283e-7	1.2946700737118615e-7	59	-2.5133440547196586
GSEA	N_OD_vs_N_BL	NES_positive	CC	GO:0005762	CC: mitochondrial large ribosomal subunit	7.166965503593966e-9	4.506229560384706e-7	3.8852497203693606e-7	58	2.3869270532543383
GSEA	N_OD_vs_N_BL	NES_negative	BP	GO:0002040	BP: sprouting angiogenesis	1.4976398038678754e-9	7.095817390725994e-7	5.924347771511026e-7	104	-2.3196689999361335
GSEA	N_OD_vs_N_BL	NES_positive	MF	GO:0046933	MF: proton-transporting ATP synthase activity, rotational mechanism	5.5359575320073315e-9	7.344370325796392e-7	6.293509615334651e-7	17	2.3950773650987953
GSEA	N_OD_vs_N_BL	NES_negative	BP	GO:0001568	BP: blood vessel development	3.0865506708540774e-9	1.2186730898755515e-6	1.017478721146458e-6	101	-2.271262515377137
GSEA	N_OD_vs_N_BL	NES_negative	MF	GO:0005178	MF: integrin binding	1.0825126772071004e-8	1.2309715586526456e-6	1.0548394207972949e-6	100	-2.264700095618737
GSEA	N_OD_vs_N_BL	NES_positive	BP	GO:0032981	BP: mitochondrial respiratory chain complex I assembly	3.794812573629589e-9	1.2842729981326424e-6	1.072248545240601e-6	34	2.5233009471635097
GSEA	N_OD_vs_N_BL	NES_negative	BP	GO:0016525	BP: negative regulation of angiogenesis	5.24746400911134e-9	1.4581119022536906e-6	1.2173878671145651e-6	77	-2.3370548526304287
GSEA	N_OD_vs_N_BL	NES_negative	BP	GO:0007229	BP: integrin-mediated signaling pathway	5.539471135619762e-9	1.4581119022536906e-6	1.2173878671145651e-6	136	-2.1879899455430225
GSEA	N_OD_vs_N_BL	NES_negative	BP	GO:0007275	BP: multicellular organism development	8.881773862073204e-9	2.104092227925142e-6	1.7567213775616366e-6	225	-1.9952063464407894
GSEA	N_OD_vs_N_BL	NES_negative	BP	GO:0001501	BP: skeletal system development	1.2658525433165362e-8	2.7261860682880676e-6	2.2761118936763363e-6	110	-2.209860300139363
GSEA	N_OD_vs_N_BL	NES_negative	BP	GO:0009953	BP: dorsal/ventral pattern formation	1.7206711143686987e-8	3.3968915582828727e-6	2.8360886174550743e-6	119	-2.190737075587025
GSEA	N_OD_vs_N_BL	NES_negative	BP	GO:0010718	BP: positive regulation of epithelial to mesenchymal transition	1.9901742235236073e-8	3.6267097965595583e-6	3.0279654785432048e-6	48	-2.432472784919684
GSEA	N_OD_vs_N_BL	NES_negative	BP	GO:0003429	BP: growth plate cartilage chondrocyte morphogenesis	2.2724640008205944e-8	3.845333727102849e-6	3.2104961334901477e-6	39	-2.427296467450321
GSEA	N_OD_vs_N_BL	NES_negative	BP	GO:0001525	BP: angiogenesis	2.4682763185930065e-8	3.898231065831222e-6	3.2546604930780766e-6	250	-1.9236172286154996
