method	contrast	effect_direction	ontology	GO_ID	term_label	term_clean	pvalue	p_adjust	qvalue	count	effect	signed_effect	primary_category	category_label
GSEA	P_BD_vs_P_BL	NES_positive	BP	GO:0006936	BP: muscle contraction	muscle contraction	7.7819544631489e-15	1.54938713361295e-11	1.3958368847585e-11	70	2.88044949645227		musculo_sarcomero	Musculo/sarcomero
GSEA	P_BD_vs_P_BL	NES_positive	BP	GO:0045214	BP: sarcomere organization	sarcomere organization	6.0684474861284e-13	6.04113947244083e-10	5.44243921913832e-10	82	2.68822913962714		musculo_sarcomero	Musculo/sarcomero
GSEA	P_BD_vs_P_BL	NES_positive	BP	GO:0030240	BP: skeletal muscle thin filament assembly	skeletal muscle thin filament assembly	2.79636035854763e-11	1.85585115795611e-08	1.67192914068953e-08	35	2.69217160504677		musculo_sarcomero	Musculo/sarcomero
GSEA	P_BD_vs_P_BL	NES_positive	BP	GO:0030241	BP: skeletal muscle myosin thick filament assembly	skeletal muscle myosin thick filament assembly	4.43602837980197e-09	2.20803312604643e-06	1.98920851557436e-06	30	2.57436619760196		musculo_sarcomero	Musculo/sarcomero
GSEA	P_BD_vs_P_BL	NES_positive	BP	GO:0007519	BP: skeletal muscle tissue development	skeletal muscle tissue development	8.84926690831849e-09	3.52377808289242e-06	3.17455806563678e-06	93	2.32761846091938		musculo_sarcomero	Musculo/sarcomero
GSEA	P_BD_vs_P_BL	NES_positive	BP	GO:0055003	BP: cardiac myofibril assembly	cardiac myofibril assembly	1.88019410465034e-08	6.23911077059805e-06	5.62079079705997e-06	42	2.50564295040122		musculo_sarcomero	Musculo/sarcomero
GSEA	P_BD_vs_P_BL	NES_negative	BP	GO:0008544	BP: epidermis development	epidermis development	3.10012954730425e-08	8.81765418383252e-06	7.94379059940819e-06	31	-2.38896775329221		epidermis_epitelio	Epidermis/epitelio
GSEA	P_BD_vs_P_BL	NES_positive	BP	GO:0048741	BP: skeletal muscle fiber development	skeletal muscle fiber development	1.04937420833921e-07	2.6116300610042e-05	2.35280743553949e-05	59	2.4039423716394		musculo_sarcomero	Musculo/sarcomero
GSEA	P_BD_vs_P_BL	NES_positive	BP	GO:0071688	BP: striated muscle myosin thick filament assembly	striated muscle myosin thick filament assembly	2.38573103774733e-07	5.27776721794994e-05	4.75472010329995e-05	21	2.44403443358333		musculo_sarcomero	Musculo/sarcomero
GSEA	P_BD_vs_P_BL	NES_positive	BP	GO:0006941	BP: striated muscle contraction	striated muscle contraction	3.62539967261857e-07	6.56197340743961e-05	5.91165649965746e-05	22	2.4443385992056		musculo_sarcomero	Musculo/sarcomero
GSEA	P_BD_vs_P_BL	NES_positive	BP	GO:0048739	BP: cardiac muscle fiber development	cardiac muscle fiber development	3.35124258560536e-07	6.56197340743961e-05	5.91165649965746e-05	26	2.4357883945129		musculo_sarcomero	Musculo/sarcomero
GSEA	P_BD_vs_P_BL	NES_positive	BP	GO:0030239	BP: myofibril assembly	myofibril assembly	4.31701437939503e-07	7.16264635781293e-05	6.45280044077995e-05	52	2.28360876945951		musculo_sarcomero	Musculo/sarcomero
GSEA	P_BD_vs_P_BL	NES_negative	BP	GO:0042981	BP: regulation of apoptotic process	regulation of apoptotic process	9.17011319122713e-07	0.000140443810490255	0.000126525286460332	114	-1.9895710665112		other	Otros
GSEA	P_BD_vs_P_BL	NES_positive	BP	GO:0007507	BP: heart development	heart development	9.88171267975967e-07	0.000140532071038582	0.000126604800047447	218	1.78568033785186		desarrollo_morfogenesis	Desarrollo/morfogenesis
GSEA	P_BD_vs_P_BL	NES_positive	BP	GO:0055008	BP: cardiac muscle tissue morphogenesis	cardiac muscle tissue morphogenesis	1.22320786121092e-06	0.000162360456778063	0.00014626990845638	38	2.25610973284818		musculo_sarcomero	Musculo/sarcomero
GSEA	P_BD_vs_P_BL	NES_positive	BP	GO:0061061	BP: muscle structure development	muscle structure development	2.46269518453902e-06	0.000306451632026074	0.000276081091740427	19	2.30678120141265		musculo_sarcomero	Musculo/sarcomero
GSEA	P_BD_vs_P_BL	NES_positive	BP	GO:0007517	BP: muscle organ development	muscle organ development	4.45374120422324e-06	0.000521611690447557	0.000469917957399158	52	2.17230910988315		musculo_sarcomero	Musculo/sarcomero
GSEA	P_BD_vs_P_BL	NES_positive	BP	GO:0014866	BP: skeletal myofibril assembly	skeletal myofibril assembly	8.68246071018899e-06	0.000960376626332571	0.000865199593576728	27	2.22463343726546		musculo_sarcomero	Musculo/sarcomero
GSEA	P_BD_vs_P_BL	NES_negative	BP	GO:0042742	BP: defense response to bacterium	defense response to bacterium	1.21906412229163e-05	0.00127745087762243	0.00115085056198611	35	-2.11398434925213		other	Otros
GSEA	P_BD_vs_P_BL	NES_negative	BP	GO:0044030	BP: regulation of DNA methylation	regulation of DNA methylation	1.55739455666083e-05	0.00155038628115586	0.00139673701292108	10	-2.02774379830436		other	Otros
GSEA	P_BD_vs_P_BL	NES_positive	BP	GO:0007015	BP: actin filament organization	actin filament organization	3.028724876393e-05	0.00287151963280879	0.00258694094705447	134	1.80330771831565		musculo_sarcomero	Musculo/sarcomero
GSEA	P_BD_vs_P_BL	NES_positive	BP	GO:0007411	BP: axon guidance	axon guidance	3.52699653893213e-05	0.00305315222131038	0.00275057304454936	140	1.84062121903112		neural_desarrollo	Neural/axon/cresta
GSEA	P_BD_vs_P_BL	NES_positive	BP	GO:0007275	BP: multicellular organism development	multicellular organism development	3.4914059477868e-05	0.00305315222131038	0.00275057304454936	164	1.73899895884191		desarrollo_morfogenesis	Desarrollo/morfogenesis
GSEA	P_BD_vs_P_BL	NES_positive	BP	GO:0030903	BP: notochord development	notochord development	4.12626469127683e-05	0.00342308041680507	0.00308383992716479	49	2.12136265453541		desarrollo_morfogenesis	Desarrollo/morfogenesis
GSEA	P_BD_vs_P_BL	NES_positive	BP	GO:0006096	BP: glycolytic process	glycolytic process	4.50989896110712e-05	0.00359168353262571	0.00323573382304275	31	2.10659837799066		other	Otros
GSEA	P_BD_vs_P_BL	NES_positive	BP	GO:0048738	BP: cardiac muscle tissue development	cardiac muscle tissue development	6.49205648954499e-05	0.00492319561895151	0.00443528791915904	38	2.02118754065802		musculo_sarcomero	Musculo/sarcomero
GSEA	P_BD_vs_P_BL	NES_negative	BP	GO:0031532	BP: actin cytoskeleton reorganization	actin cytoskeleton reorganization	6.67635769521299e-05	0.00492319561895151	0.00443528791915904	57	-1.90473787464082		other	Otros
GSEA	P_BD_vs_P_BL	NES_positive	BP	GO:0001756	BP: somitogenesis	somitogenesis	0.000108249623071221	0.00769732141195717	0.00693448713208122	89	1.85872082283328		other	Otros
GSEA	P_BD_vs_P_BL	NES_negative	BP	GO:0007030	BP: Golgi organization	Golgi organization	0.000145623301167858	0.00992990602155189	0.00894581398436354	86	-1.82887061176001		other	Otros
GSEA	P_BD_vs_P_BL	NES_negative	BP	GO:0045087	BP: innate immune response	innate immune response	0.000149621888822982	0.00992990602155189	0.00894581398436354	88	-1.80640294258369		inmunidad_inflamacion	Inmunidad/inflamacion
GSEA	P_BD_vs_P_BL	NES_positive	BP	GO:0060048	BP: cardiac muscle contraction	cardiac muscle contraction	0.000189316847207219	0.0118849673025388	0.0107071211417305	42	1.99920232937086		musculo_sarcomero	Musculo/sarcomero
GSEA	P_BD_vs_P_BL	NES_positive	BP	GO:0030036	BP: actin cytoskeleton organization	actin cytoskeleton organization	0.000191019062622422	0.0118849673025388	0.0107071211417305	150	1.67059348284664		other	Otros
GSEA	P_BD_vs_P_BL	NES_positive	BP	GO:0003143	BP: embryonic heart tube morphogenesis	embryonic heart tube morphogenesis	0.000200908701336527	0.0121214916473038	0.0109202050104447	21	2.07543283209637		desarrollo_morfogenesis	Desarrollo/morfogenesis
GSEA	P_BD_vs_P_BL	NES_positive	BP	GO:0055001	BP: muscle cell development	muscle cell development	0.000213882272949437	0.0125246942777156	0.0112834487029672	14	2.0484030123847		musculo_sarcomero	Musculo/sarcomero
GSEA	P_BD_vs_P_BL	NES_positive	BP	GO:0010862	BP: positive regulation of pathway-restricted SMAD protein phosphorylation	positive regulation of pathway-restricted SMAD protein phosphorylation	0.00023552721970205	0.0133981341264795	0.0120703272893923	39	1.98431417764597		other	Otros
GSEA	P_BD_vs_P_BL	NES_positive	BP	GO:0032964	BP: collagen biosynthetic process	collagen biosynthetic process	0.000249880642473789	0.0138197877545921	0.0124501934144835	17	2.04314880154789		matriz_adhesion	Matriz extracelular/adhesion
GSEA	P_BD_vs_P_BL	NES_negative	BP	GO:0032509	BP: endosome transport via multivesicular body sorting pathway	endosome transport via multivesicular body sorting pathway	0.000285167487670491	0.015345093728431	0.0138243356754059	14	-1.94133849799294		other	Otros
GSEA	P_BD_vs_P_BL	NES_negative	BP	GO:0006869	BP: lipid transport	lipid transport	0.000321600353995454	0.0168501659159197	0.0151802493963505	53	-1.8624002990473		lipidos	Lipidos
GSEA	P_BD_vs_P_BL	NES_positive	BP	GO:0060047	BP: heart contraction	heart contraction	0.000339483241087878	0.0173310546924607	0.0156134802378878	76	1.85521403738125		musculo_sarcomero	Musculo/sarcomero
GSEA	P_BD_vs_P_BL	NES_negative	BP	GO:0098586	BP: cellular response to virus	cellular response to virus	0.000393101368919754	0.0195666206379808	0.0176274929641911	15	-1.94343797908912		other	Otros
GSEA	P_BD_vs_P_BL	NES_positive	BP	GO:0030325	BP: adrenal gland development	adrenal gland development	0.000448696851094983	0.0216257450415087	0.0194825501867513	23	2.04543347464112		desarrollo_morfogenesis	Desarrollo/morfogenesis
GSEA	P_BD_vs_P_BL	NES_negative	BP	GO:0030216	BP: keratinocyte differentiation	keratinocyte differentiation	0.000457526135607879	0.0216257450415087	0.0194825501867513	44	-1.90562120326573		epidermis_epitelio	Epidermis/epitelio
