method	contrast	effect_direction	ontology	GO_ID	term_label	term_clean	pvalue	p_adjust	qvalue	count	effect	signed_effect	primary_category	category_label	effect_fmt	padj_fmt
GSEA	P_OL_vs_N_OD	NES_positive	CC	GO:0062023	CC: collagen-containing extracellular matrix	collagen-containing extracellular matrix	1.08825044481541e-11	5.3541921884918e-09	4.92576517126973e-09	126	2.41391705387824		matriz_adhesion	Matriz extracelular/adhesion	2.41	5.35e-09
GSEA	P_OL_vs_N_OD	NES_positive	MF	GO:0005509	MF: calcium ion binding	calcium ion binding	2.64325339043376e-11	2.0511646309766e-08	1.86418923325328e-08	447	1.82955430235432		other	Otros	1.83	2.05e-08
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0010718	BP: positive regulation of epithelial to mesenchymal transition	positive regulation of epithelial to mesenchymal transition	4.59654816764819e-11	1.04801298222379e-07	8.76247234906408e-08	46	2.67827452501872		epidermis_epitelio	Epidermis/epitelio	2.68	1.05e-07
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0002040	BP: sprouting angiogenesis	sprouting angiogenesis	9.58692745619788e-10	1.09290973000656e-06	9.1378555911444e-07	100	2.38129287856874		other	Otros	2.38	1.09e-06
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0001570	BP: vasculogenesis	vasculogenesis	1.84457394678302e-09	1.4018761995551e-06	1.17211347986809e-06	82	2.41786225714108		other	Otros	2.42	1.40e-06
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0007275	BP: multicellular organism development	multicellular organism development	3.37535545809782e-09	1.7782137511329e-06	1.48677059247538e-06	216	1.96830482493786		desarrollo_morfogenesis	Desarrollo/morfogenesis	1.97	1.78e-06
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0001525	BP: angiogenesis	angiogenesis	3.89959155950197e-09	1.7782137511329e-06	1.48677059247538e-06	244	1.94970200096777		other	Otros	1.95	1.78e-06
GSEA	P_OL_vs_N_OD	NES_positive	MF	GO:0008201	MF: heparin binding	heparin binding	1.17861440377773e-08	4.57302388665759e-06	4.15616658174252e-06	92	2.27035827783361		matriz_adhesion	Matriz extracelular/adhesion	2.27	4.57e-06
GSEA	P_OL_vs_N_OD	NES_negative	BP	GO:0045087	BP: innate immune response	innate immune response	6.15904134140093e-09	2.34043570973235e-06	1.95684629285563e-06	104	-2.18771629856415		inmunidad_inflamacion	Inmunidad/inflamacion	-2.19	2.34e-06
GSEA	P_OL_vs_N_OD	NES_negative	BP	GO:0006511	BP: ubiquitin-dependent protein catabolic process	ubiquitin-dependent protein catabolic process	2.91878084828053e-06	0.0002893400145252	0.000241918174656111	247	-1.74548219923709		other	Otros	-1.75	2.89e-04
GSEA	P_OL_vs_N_OD	NES_negative	MF	GO:0004842	MF: ubiquitin-protein transferase activity	ubiquitin-protein transferase activity	1.91639223631257e-06	0.000297424075075711	0.000270312168069352	213	-1.80168506142784		other	Otros	-1.80	2.97e-04
GSEA	P_OL_vs_N_OD	NES_negative	BP	GO:0016579	BP: protein deubiquitination	protein deubiquitination	3.44784315480354e-06	0.000327545099706337	0.000273861576901281	96	-1.99700764816156		other	Otros	-2.00	3.28e-04
GSEA	P_OL_vs_N_OD	NES_negative	CC	GO:0005770	CC: late endosome	late endosome	4.34607763566528e-06	0.000427654039349464	0.000393434396491805	104	-1.97370488805268		other	Otros	-1.97	4.28e-04
GSEA	P_OL_vs_N_OD	NES_negative	BP	GO:0006955	BP: immune response	immune response	5.52165969100664e-06	0.000484207080595966	0.000404847194348705	83	-2.04062510004591		inmunidad_inflamacion	Inmunidad/inflamacion	-2.04	4.84e-04
GSEA	P_OL_vs_N_OD	NES_negative	BP	GO:1900016	BP: negative regulation of cytokine production involved in inflammatory response	negative regulation of cytokine production involved in inflammatory response	1.34632921852888e-05	0.000957403872130685	0.000800488648397355	12	-2.16367014957985		inmunidad_inflamacion	Inmunidad/inflamacion	-2.16	9.57e-04
GSEA	P_OL_vs_N_OD	NES_negative	BP	GO:1901223	BP: negative regulation of NIK/NF-kappaB signaling	negative regulation of NIK/NF-kappaB signaling	1.91537938688829e-05	0.00124773285774437	0.0010432337051593	20	-2.13062044450468		inmunidad_inflamacion	Inmunidad/inflamacion	-2.13	1.25e-03
