method	contrast	effect_direction	ontology	GO_ID	term_label	term_clean	pvalue	p_adjust	qvalue	count	effect	signed_effect	primary_category	category_label	effect_fmt	padj_fmt
GSEA	P_OL_vs_P_BL	NES_positive	BP	GO:0035115	BP: embryonic forelimb morphogenesis	embryonic forelimb morphogenesis	2.54318360419919e-08	4.15810519286567e-06	3.75741036259504e-06	40	2.40532260499303		desarrollo_morfogenesis	Desarrollo/morfogenesis	2.41	4.16e-06
GSEA	P_OL_vs_P_BL	NES_positive	BP	GO:0030182	BP: neuron differentiation	neuron differentiation	4.87233424473534e-08	6.56045475658775e-06	5.92825807486374e-06	106	2.1402035535243		neural_desarrollo	Neural/axon/cresta	2.14	6.56e-06
GSEA	P_OL_vs_P_BL	NES_positive	CC	GO:0005887	CC: integral component of plasma membrane	integral component of plasma membrane	1.10806697719999e-07	7.69315072741706e-06	6.76504049237888e-06	409	1.68459672726807		other	Otros	1.68	7.69e-06
GSEA	P_OL_vs_P_BL	NES_positive	BP	GO:0098609	BP: cell-cell adhesion	cell-cell adhesion	2.95567377890231e-07	3.5608090946881e-05	3.21767256262773e-05	82	2.12761121593715		matriz_adhesion	Matriz extracelular/adhesion	2.13	3.56e-05
GSEA	P_OL_vs_P_BL	NES_positive	CC	GO:0009986	CC: cell surface	cell surface	6.19897188972451e-06	0.000251058361533842	0.000220770402388434	257	1.69324479078503		other	Otros	1.69	2.51e-04
GSEA	P_OL_vs_P_BL	NES_positive	MF	GO:0048018	MF: receptor ligand activity	receptor ligand activity	2.24568095963722e-06	0.000343589186824495	0.000316286434104695	16	2.26312527930825		other	Otros	2.26	3.44e-04
GSEA	P_OL_vs_P_BL	NES_positive	CC	GO:0030057	CC: desmosome	desmosome	1.0803293958326e-05	0.000364834047531308	0.000320820063456164	20	2.10970368862601		epidermis_epitelio	Epidermis/epitelio	2.11	3.65e-04
GSEA	P_OL_vs_P_BL	NES_positive	BP	GO:0030216	BP: keratinocyte differentiation	keratinocyte differentiation	4.12070003686035e-06	0.000393011766015556	0.00035513927949257	51	2.13423996142892		epidermis_epitelio	Epidermis/epitelio	2.13	3.93e-04
GSEA	P_OL_vs_P_BL	NES_negative	CC	GO:0030018	CC: Z disc	Z disc	8.50655371994405e-24	4.13418510789281e-21	3.63543243189188e-21	127	-2.90673740927546		musculo_sarcomero	Musculo/sarcomero	-2.91	4.13e-21
GSEA	P_OL_vs_P_BL	NES_negative	BP	GO:0045214	BP: sarcomere organization	sarcomere organization	1.45012379533256e-20	3.31933336751622e-17	2.99946658718787e-17	90	-2.90656274064105		musculo_sarcomero	Musculo/sarcomero	-2.91	3.32e-17
GSEA	P_OL_vs_P_BL	NES_negative	CC	GO:0005739	CC: mitochondrion	mitochondrion	1.10775758930227e-16	2.69185094200452e-14	2.36710305924591e-14	446	-2.17957347316421		mitocondria_metabolismo	Mitocondria/metabolismo	-2.18	2.69e-14
GSEA	P_OL_vs_P_BL	NES_negative	BP	GO:0006936	BP: muscle contraction	muscle contraction	3.18993653894761e-16	3.65088236882554e-13	3.29906594685897e-13	79	-2.78852266434492		musculo_sarcomero	Musculo/sarcomero	-2.79	3.65e-13
GSEA	P_OL_vs_P_BL	NES_negative	CC	GO:0031430	CC: M band	M band	1.2778561127231e-14	2.07012690261142e-12	1.82038449742308e-12	39	-2.79726615573325		musculo_sarcomero	Musculo/sarcomero	-2.80	2.07e-12
GSEA	P_OL_vs_P_BL	NES_negative	CC	GO:0005865	CC: striated muscle thin filament	striated muscle thin filament	9.07176621773425e-14	1.10221959545471e-11	9.69246601157923e-12	38	-2.7583823711634		musculo_sarcomero	Musculo/sarcomero	-2.76	1.10e-11
GSEA	P_OL_vs_P_BL	NES_negative	MF	GO:0051371	MF: muscle alpha-actinin binding	muscle alpha-actinin binding	1.87491392651628e-13	1.43430915378495e-10	1.32033412298883e-10	39	-2.73475569734092		musculo_sarcomero	Musculo/sarcomero	-2.73	1.43e-10
GSEA	P_OL_vs_P_BL	NES_negative	BP	GO:0030240	BP: skeletal muscle thin filament assembly	skeletal muscle thin filament assembly	1.94641393553442e-13	1.48511383281276e-10	1.34200118713163e-10	41	-2.68587568108255		musculo_sarcomero	Musculo/sarcomero	-2.69	1.49e-10
ORA	P_OL_vs_P_BL	all_DEGs	CC	GO:0031012	CC: extracellular matrix	extracellular matrix	4.49057843107042e-07	2.51472392139944e-05	2.22165459221379e-05	8	10.4018867924528	8.72645284206012	matriz_adhesion	Matriz extracelular/adhesion	8.73	2.51e-05
ORA	P_OL_vs_P_BL	all_DEGs	MF	GO:0050840	MF: extracellular matrix binding	extracellular matrix binding	5.18389362060693e-06	0.000461366532234017	0.000425624949902464	4	28.9082628497072	11.3646389134644	matriz_adhesion	Matriz extracelular/adhesion	11.36	4.61e-04
ORA	P_OL_vs_P_BL	all_DEGs	CC	GO:0036379	CC: myofilament	myofilament	2.90091985972043e-05	0.000541505040481146	0.000478397310199509	3	44.5795148247978	11.8110925206729	musculo_sarcomero	Musculo/sarcomero	11.81	5.42e-04
ORA	P_OL_vs_P_BL	all_DEGs	CC	GO:0062023	CC: collagen-containing extracellular matrix	collagen-containing extracellular matrix	2.11338281356484e-05	0.000541505040481146	0.000478397310199509	6	9.67617376042124	7.22530844615722	matriz_adhesion	Matriz extracelular/adhesion	7.23	5.42e-04
ORA	P_OL_vs_P_BL	all_DEGs	BP	GO:0055005	BP: ventricular cardiac myofibril assembly	ventricular cardiac myofibril assembly	1.34318382314919e-05	0.00107902433792985	0.0009378722133568	3	57.6895368782161	13.3587487290117	musculo_sarcomero	Musculo/sarcomero	13.36	1.08e-03
ORA	P_OL_vs_P_BL	up	BP	GO:0019915	BP: lipid storage	lipid storage	1.75401987982473e-06	8.24389343517622e-05	2.76950507340747e-05	3	116.78125	116.78125	lipidos	Lipidos	116.78	8.24e-05
ORA	P_OL_vs_P_BL	up	CC	GO:0005811	CC: lipid droplet	lipid droplet	0.00145035513712977	0.0174042616455573	0.0137402065622821	2	30.2496570644719	30.2496570644719	lipidos	Lipidos	30.25	1.74e-02
ORA	P_OL_vs_P_BL	up	BP	GO:0038092	BP: nodal signaling pathway	nodal signaling pathway	0.00800209198300028	0.0421905210522088	0.0141737472739783	1	124.566666666667	124.566666666667	wnt_retinoides_senalizacion	Wnt/retinoides/senalizacion	124.57	4.22e-02
ORA	P_OL_vs_P_BL	up	BP	GO:0045821	BP: positive regulation of glycolytic process	positive regulation of glycolytic process	0.00800209198300028	0.0421905210522088	0.0141737472739783	1	124.566666666667	124.566666666667	other	Otros	124.57	4.22e-02
ORA	P_OL_vs_P_BL	up	BP	GO:0007586	BP: digestion	digestion	0.00879916199212005	0.0421905210522088	0.0141737472739783	1	113.242424242424	113.242424242424	other	Otros	113.24	4.22e-02
ORA	P_OL_vs_P_BL	down	CC	GO:0031012	CC: extracellular matrix	extracellular matrix	1.04981258995393e-07	5.03910043177884e-06	4.3097569482319e-06	8	12.5295454545455	-12.5295454545455	matriz_adhesion	Matriz extracelular/adhesion	-12.53	5.04e-06
ORA	P_OL_vs_P_BL	down	MF	GO:0050840	MF: extracellular matrix binding	extracellular matrix binding	2.33124324192599e-06	0.000153862053967116	0.000132512773751583	4	34.8213166144201	-34.8213166144201	matriz_adhesion	Matriz extracelular/adhesion	-34.82	1.54e-04
ORA	P_OL_vs_P_BL	down	CC	GO:0062023	CC: collagen-containing extracellular matrix	collagen-containing extracellular matrix	7.3357943184136e-06	0.000176059063641926	0.000150576830746384	6	11.6553911205074	-11.6553911205074	matriz_adhesion	Matriz extracelular/adhesion	-11.66	1.76e-04
ORA	P_OL_vs_P_BL	down	CC	GO:0036379	CC: myofilament	myofilament	1.68854533067863e-05	0.000270167252908582	0.00023106409788234	3	53.6980519480519	-53.6980519480519	musculo_sarcomero	Musculo/sarcomero	-53.70	2.70e-04
ORA	P_OL_vs_P_BL	down	BP	GO:0055005	BP: ventricular cardiac myofibril assembly	ventricular cardiac myofibril assembly	7.34061920606556e-06	0.000734061920606556	0.000594976504070577	3	69.4896694214876	-69.4896694214876	musculo_sarcomero	Musculo/sarcomero	-69.49	7.34e-04
