method	contrast	effect_direction	ontology	GO_ID	term_label	term_clean	pvalue	p_adjust	qvalue	count	effect	signed_effect	primary_category	category_label	effect_fmt	padj_fmt
GSEA	P_surface_x_pigmentation	NES_positive	BP	GO:0007275	BP: multicellular organism development	multicellular organism development	1.46271921546605e-07	0.00011604239109364	0.00010665019402591	234	1.88013267707049		desarrollo_morfogenesis	Desarrollo/morfogenesis	1.88	1.16e-04
GSEA	P_surface_x_pigmentation	NES_positive	CC	GO:0005576	CC: extracellular region	extracellular region	5.38091409432175e-06	0.000386657112777692	0.000347938806099001	339	1.62984290421856		other	Otros	1.63	3.87e-04
GSEA	P_surface_x_pigmentation	NES_positive	MF	GO:0005102	MF: signaling receptor binding	signaling receptor binding	1.2089963306111e-05	0.00191988617301043	0.00177149778127437	179	1.78836049606673		wnt_retinoides_senalizacion	Wnt/retinoides/senalizacion	1.79	1.92e-03
GSEA	P_surface_x_pigmentation	NES_positive	CC	GO:0005887	CC: integral component of plasma membrane	integral component of plasma membrane	3.88337343998545e-05	0.00217037426701409	0.0019530416130921	452	1.48625630853468		other	Otros	1.49	2.17e-03
GSEA	P_surface_x_pigmentation	NES_positive	MF	GO:0005509	MF: calcium ion binding	calcium ion binding	2.33926737477054e-05	0.00275285704613666	0.00254008816665931	475	1.49346657611545		other	Otros	1.49	2.75e-03
GSEA	P_surface_x_pigmentation	NES_positive	BP	GO:0001946	BP: lymphangiogenesis	lymphangiogenesis	2.13078210127468e-05	0.00633907675129217	0.0058260068505905	57	2.11667578130956		other	Otros	2.12	6.34e-03
GSEA	P_surface_x_pigmentation	NES_positive	BP	GO:0030947	BP: regulation of vascular endothelial growth factor receptor signaling pathway	regulation of vascular endothelial growth factor receptor signaling pathway	2.66994138685949e-05	0.00706051166747288	0.00648905052853102	13	2.25710119628615		other	Otros	2.26	7.06e-03
GSEA	P_surface_x_pigmentation	NES_positive	BP	GO:0098609	BP: cell-cell adhesion	cell-cell adhesion	3.65379541688501e-05	0.00869603309218632	0.0079921967118811	89	1.93079794681394		matriz_adhesion	Matriz extracelular/adhesion	1.93	8.70e-03
GSEA	P_surface_x_pigmentation	NES_negative	CC	GO:0005739	CC: mitochondrion	mitochondrion	6.24197521165749e-31	3.13971353146372e-28	2.82531509580287e-28	460	-2.55237831834848		mitocondria_metabolismo	Mitocondria/metabolismo	-2.55	3.14e-28
GSEA	P_surface_x_pigmentation	NES_negative	CC	GO:0005743	CC: mitochondrial inner membrane	mitochondrial inner membrane	1.39730067514945e-10	3.51421119800086e-08	3.16231205428559e-08	84	-2.41154161177381		mitocondria_metabolismo	Mitocondria/metabolismo	-2.41	3.51e-08
