method	contrast	effect_direction	ontology	GO_ID	term_label	term_clean	pvalue	p_adjust	qvalue	count	effect	signed_effect	primary_category	category_label
GSEA	P_surface_x_pigmentation	NES_negative	BP	GO:0032981	BP: mitochondrial respiratory chain complex I assembly	mitochondrial respiratory chain complex I assembly	1.23027067772987e-10	2.9280442129971e-07	2.69105522981334e-07	34	-2.62523921469327		mitocondria_metabolismo	Mitocondria/metabolismo
GSEA	P_surface_x_pigmentation	NES_negative	BP	GO:0006412	BP: translation	translation	4.46881556786602e-09	5.31789052576057e-06	4.88747302632926e-06	158	-2.13241982590648		traduccion_ribosoma	Traduccion/ribosoma
GSEA	P_surface_x_pigmentation	NES_positive	BP	GO:0007275	BP: multicellular organism development	multicellular organism development	1.46271921546605e-07	0.00011604239109364	0.00010665019402591	234	1.88013267707049		desarrollo_morfogenesis	Desarrollo/morfogenesis
GSEA	P_surface_x_pigmentation	NES_negative	BP	GO:0042776	BP: mitochondrial ATP synthesis coupled proton transport	mitochondrial ATP synthesis coupled proton transport	4.30366792184218e-07	0.000256068241349609	0.000235342682673369	15	-2.32980665574782		mitocondria_metabolismo	Mitocondria/metabolismo
GSEA	P_surface_x_pigmentation	NES_negative	BP	GO:0015986	BP: ATP synthesis coupled proton transport	ATP synthesis coupled proton transport	6.08446562500613e-07	0.000289620563750292	0.000266179359342374	21	-2.3290409530868		mitocondria_metabolismo	Mitocondria/metabolismo
GSEA	P_surface_x_pigmentation	NES_negative	BP	GO:0006418	BP: tRNA aminoacylation for protein translation	tRNA aminoacylation for protein translation	4.99965051033434e-06	0.00198319470243262	0.00182267960710084	32	-2.18894469085972		lipidos	Lipidos
GSEA	P_surface_x_pigmentation	NES_positive	BP	GO:0001946	BP: lymphangiogenesis	lymphangiogenesis	2.13078210127468e-05	0.00633907675129217	0.0058260068505905	57	2.11667578130956		other	Otros
GSEA	P_surface_x_pigmentation	NES_negative	BP	GO:0006099	BP: tricarboxylic acid cycle	tricarboxylic acid cycle	1.92367969022822e-05	0.00633907675129217	0.0058260068505905	43	-2.03151482326982		other	Otros
GSEA	P_surface_x_pigmentation	NES_positive	BP	GO:0030947	BP: regulation of vascular endothelial growth factor receptor signaling pathway	regulation of vascular endothelial growth factor receptor signaling pathway	2.66994138685949e-05	0.00706051166747288	0.00648905052853102	13	2.25710119628615		other	Otros
GSEA	P_surface_x_pigmentation	NES_positive	BP	GO:0098609	BP: cell-cell adhesion	cell-cell adhesion	3.65379541688501e-05	0.00869603309218632	0.0079921967118811	89	1.93079794681394		matriz_adhesion	Matriz extracelular/adhesion
