method	contrast	effect_direction	ontology	GO_ID	term_label	term_clean	pvalue	p_adjust	qvalue	count	effect	signed_effect	primary_category	category_label
ORA	P_surface_x_pigmentation	all_DEGs	BP	GO:0019915	BP: lipid storage	lipid storage	6.25157104257496e-07	5.12628825491146e-05	1.38192623046394e-05	3	158.397321428571	21.6961449121889	lipidos	Lipidos
ORA	P_surface_x_pigmentation	all_DEGs	BP	GO:0038092	BP: nodal signaling pathway	nodal signaling pathway	0.0059051629952267	0.0408482444941127	0.0110117218790291	1	168.957142857143	12.9301653751128	wnt_retinoides_senalizacion	Wnt/retinoides/senalizacion
ORA	P_surface_x_pigmentation	all_DEGs	BP	GO:0045046	BP: protein import into peroxisome membrane	protein import into peroxisome membrane	0.0059051629952267	0.0408482444941127	0.0110117218790291	1	168.957142857143	12.9301653751128	other	Otros
ORA	P_surface_x_pigmentation	all_DEGs	BP	GO:0007631	BP: feeding behavior	feeding behavior	0.00649403190095832	0.0408482444941127	0.0110117218790291	1	153.597402597403	12.3216100969066	other	Otros
ORA	P_surface_x_pigmentation	all_DEGs	BP	GO:0050715	BP: positive regulation of cytokine secretion	positive regulation of cytokine secretion	0.00649403190095832	0.0408482444941127	0.0110117218790291	1	153.597402597403	12.3216100969066	other	Otros
ORA	P_surface_x_pigmentation	all_DEGs	BP	GO:0060613	BP: fat pad development	fat pad development	0.00649403190095832	0.0408482444941127	0.0110117218790291	1	153.597402597403	12.3216100969066	desarrollo_morfogenesis	Desarrollo/morfogenesis
ORA	P_surface_x_pigmentation	all_DEGs	BP	GO:0001819	BP: positive regulation of cytokine production	positive regulation of cytokine production	0.00767087278071266	0.0408482444941127	0.0110117218790291	1	129.967032967033	11.3216863818491	other	Otros
ORA	P_surface_x_pigmentation	all_DEGs	BP	GO:0006071	BP: glycerol metabolic process	glycerol metabolic process	0.00767087278071266	0.0408482444941127	0.0110117218790291	1	129.967032967033	11.3216863818491	other	Otros
ORA	P_surface_x_pigmentation	all_DEGs	BP	GO:0032924	BP: activin receptor signaling pathway	activin receptor signaling pathway	0.00767087278071266	0.0408482444941127	0.0110117218790291	1	129.967032967033	11.3216863818491	wnt_retinoides_senalizacion	Wnt/retinoides/senalizacion
ORA	P_surface_x_pigmentation	all_DEGs	BP	GO:0042310	BP: vasoconstriction	vasoconstriction	0.00767087278071266	0.0408482444941127	0.0110117218790291	1	129.967032967033	11.3216863818491	other	Otros
ORA	P_surface_x_pigmentation	all_DEGs	BP	GO:0007187	BP: G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger	G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger	0.00825884500777674	0.0408482444941127	0.0110117218790291	1	120.683673469388	10.9038042316475	other	Otros
ORA	P_surface_x_pigmentation	all_DEGs	BP	GO:0010890	BP: positive regulation of sequestering of triglyceride	positive regulation of sequestering of triglyceride	0.00825884500777674	0.0408482444941127	0.0110117218790291	1	120.683673469388	10.9038042316475	other	Otros
ORA	P_surface_x_pigmentation	all_DEGs	BP	GO:0035767	BP: endothelial cell chemotaxis	endothelial cell chemotaxis	0.00825884500777674	0.0408482444941127	0.0110117218790291	1	120.683673469388	10.9038042316475	other	Otros
ORA	P_surface_x_pigmentation	all_DEGs	BP	GO:0051000	BP: positive regulation of nitric-oxide synthase activity	positive regulation of nitric-oxide synthase activity	0.00825884500777674	0.0408482444941127	0.0110117218790291	1	120.683673469388	10.9038042316475	other	Otros
ORA	P_surface_x_pigmentation	all_DEGs	BP	GO:0051256	BP: mitotic spindle midzone assembly	mitotic spindle midzone assembly	0.00825884500777674	0.0408482444941127	0.0110117218790291	1	120.683673469388	10.9038042316475	other	Otros
ORA	P_surface_x_pigmentation	all_DEGs	BP	GO:0019934	BP: cGMP-mediated signaling	cGMP-mediated signaling	0.00943389366856195	0.0408482444941127	0.0110117218790291	1	105.598214285714	10.1882629666926	other	Otros
ORA	P_surface_x_pigmentation	all_DEGs	BP	GO:0001662	BP: behavioral fear response	behavioral fear response	0.0100209703550674	0.0408482444941127	0.0110117218790291	1	99.3865546218487	9.87857913697385	other	Otros
ORA	P_surface_x_pigmentation	all_DEGs	BP	GO:0010737	BP: protein kinase A signaling	protein kinase A signaling	0.0106077487807674	0.0408482444941127	0.0110117218790291	1	93.8650793650794	9.59491970163531	other	Otros
ORA	P_surface_x_pigmentation	all_DEGs	BP	GO:0019432	BP: triglyceride biosynthetic process	triglyceride biosynthetic process	0.0106077487807674	0.0408482444941127	0.0110117218790291	1	93.8650793650794	9.59491970163531	other	Otros
ORA	P_surface_x_pigmentation	all_DEGs	BP	GO:0046676	BP: negative regulation of insulin secretion	negative regulation of insulin secretion	0.0106077487807674	0.0408482444941127	0.0110117218790291	1	93.8650793650794	9.59491970163531	other	Otros
ORA	P_surface_x_pigmentation	all_DEGs	BP	GO:0046339	BP: diacylglycerol metabolic process	diacylglycerol metabolic process	0.0111942290719466	0.0408482444941127	0.0110117218790291	1	88.9248120300752	9.33381730168739	lipidos	Lipidos
ORA	P_surface_x_pigmentation	all_DEGs	BP	GO:0010507	BP: negative regulation of autophagy	negative regulation of autophagy	0.0117804113548475	0.0408482444941127	0.0110117218790291	1	84.4785714285714	9.09241905898242	other	Otros
ORA	P_surface_x_pigmentation	all_DEGs	BP	GO:0007205	BP: protein kinase C-activating G protein-coupled receptor signaling pathway	protein kinase C-activating G protein-coupled receptor signaling pathway	0.0123662957556706	0.0408482444941127	0.0110117218790291	1	80.4557823129252	8.86835327311731	other	Otros
ORA	P_surface_x_pigmentation	all_DEGs	BP	GO:0070371	BP: ERK1 and ERK2 cascade	ERK1 and ERK2 cascade	0.0123662957556706	0.0408482444941127	0.0110117218790291	1	80.4557823129252	8.86835327311731	other	Otros
ORA	P_surface_x_pigmentation	all_DEGs	BP	GO:0007200	BP: phospholipase C-activating G protein-coupled receptor signaling pathway	phospholipase C-activating G protein-coupled receptor signaling pathway	0.0129518824005723	0.0408482444941127	0.0110117218790291	1	76.7987012987013	8.65962984332996	other	Otros
ORA	P_surface_x_pigmentation	all_DEGs	BP	GO:0060219	BP: camera-type eye photoreceptor cell differentiation	camera-type eye photoreceptor cell differentiation	0.0129518824005723	0.0408482444941127	0.0110117218790291	1	76.7987012987013	8.65962984332996	desarrollo_morfogenesis	Desarrollo/morfogenesis
ORA	P_surface_x_pigmentation	all_DEGs	BP	GO:0051781	BP: positive regulation of cell division	positive regulation of cell division	0.0147068570606803	0.0446652695916958	0.0120407016871067	1	67.5828571428571	8.10986912100046	other	Otros
ORA	P_surface_x_pigmentation	all_DEGs	BP	GO:0048598	BP: embryonic morphogenesis	embryonic morphogenesis	0.0158753536987698	0.0448889311482456	0.0121009955598608	1	62.5767195767196	7.79500945269448	desarrollo_morfogenesis	Desarrollo/morfogenesis
ORA	P_surface_x_pigmentation	all_DEGs	BP	GO:0051482	BP: positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G protein-coupled signaling pathway	positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G protein-coupled signaling pathway	0.0158753536987698	0.0448889311482456	0.0121009955598608	1	62.5767195767196	7.79500945269448	other	Otros
ORA	P_surface_x_pigmentation	all_DEGs	BP	GO:0017157	BP: regulation of exocytosis	regulation of exocytosis	0.0176258714713726	0.0481773820217518	0.012987484242064	1	56.3190476190476	7.38259002133805	other	Otros
ORA	P_surface_x_pigmentation	all_DEGs	BP	GO:0055088	BP: lipid homeostasis	lipid homeostasis	0.018791399997933	0.0488184915137601	0.0131603122180868	1	52.7991071428571	7.14015286088232	lipidos	Lipidos
ORA	P_surface_x_pigmentation	all_DEGs	BP	GO:0000027	BP: ribosomal large subunit assembly	ribosomal large subunit assembly	0.019955743040402	0.0488184915137601	0.0131603122180868	1	49.6932773109244	6.91919442419154	traduccion_ribosoma	Traduccion/ribosoma
ORA	P_surface_x_pigmentation	all_DEGs	BP	GO:0032868	BP: response to insulin	response to insulin	0.0205374703191875	0.0488184915137601	0.0131603122180868	1	48.2734693877551	6.81580226036265	other	Otros
ORA	P_surface_x_pigmentation	all_DEGs	BP	GO:0060548	BP: negative regulation of cell death	negative regulation of cell death	0.0205374703191875	0.0488184915137601	0.0131603122180868	1	48.2734693877551	6.81580226036265	other	Otros
ORA	P_surface_x_pigmentation	all_DEGs	BP	GO:0014065	BP: phosphatidylinositol 3-kinase signaling	phosphatidylinositol 3-kinase signaling	0.0211189016037673	0.0488184915137601	0.0131603122180868	1	46.9325396825397	6.71669470475264	other	Otros
ORA	P_surface_x_pigmentation	all_DEGs	BP	GO:0009749	BP: response to glucose	response to glucose	0.0217000370196587	0.0488184915137601	0.0131603122180868	1	45.6640926640927	6.62158097553726	other	Otros
ORA	P_surface_x_pigmentation	all_DEGs	BP	GO:0043406	BP: positive regulation of MAP kinase activity	positive regulation of MAP kinase activity	0.0228614207472303	0.0488184915137601	0.0131603122180868	1	43.3223443223443	6.44230341646344	other	Otros
ORA	P_surface_x_pigmentation	all_DEGs	BP	GO:0007416	BP: synapse assembly	synapse assembly	0.0246012804589006	0.0488184915137601	0.0131603122180868	1	40.2278911564626	6.19746428176992	other	Otros
ORA	P_surface_x_pigmentation	all_DEGs	BP	GO:0035115	BP: embryonic forelimb morphogenesis	embryonic forelimb morphogenesis	0.0246012804589006	0.0488184915137601	0.0131603122180868	1	40.2278911564626	6.19746428176992	desarrollo_morfogenesis	Desarrollo/morfogenesis
ORA	P_surface_x_pigmentation	all_DEGs	BP	GO:0006904	BP: vesicle docking involved in exocytosis	vesicle docking involved in exocytosis	0.0251806432961332	0.0488184915137601	0.0131603122180868	1	39.2923588039867	6.12151896890172	other	Otros
ORA	P_surface_x_pigmentation	all_DEGs	BP	GO:0043280	BP: positive regulation of cysteine-type endopeptidase activity involved in apoptotic process	positive regulation of cysteine-type endopeptidase activity involved in apoptotic process	0.0251806432961332	0.0488184915137601	0.0131603122180868	1	39.2923588039867	6.12151896890172	other	Otros
ORA	P_surface_x_pigmentation	all_DEGs	BP	GO:0045600	BP: positive regulation of fat cell differentiation	positive regulation of fat cell differentiation	0.0257597111421047	0.0488184915137601	0.0131603122180868	1	38.3993506493507	6.04813783800762	desarrollo_morfogenesis	Desarrollo/morfogenesis
ORA	P_surface_x_pigmentation	all_DEGs	BP	GO:0009888	BP: tissue development	tissue development	0.0274951459840048	0.0488184915137601	0.0131603122180868	1	35.9483282674772	5.84200479594837	desarrollo_morfogenesis	Desarrollo/morfogenesis
ORA	P_surface_x_pigmentation	all_DEGs	BP	GO:0071363	BP: cellular response to growth factor stimulus	cellular response to growth factor stimulus	0.0274951459840048	0.0488184915137601	0.0131603122180868	1	35.9483282674772	5.84200479594837	other	Otros
ORA	P_surface_x_pigmentation	all_DEGs	BP	GO:0019722	BP: calcium-mediated signaling	calcium-mediated signaling	0.028650629882737	0.0488184915137601	0.0131603122180868	1	34.4810495626822	5.71505675805737	other	Otros
ORA	P_surface_x_pigmentation	all_DEGs	BP	GO:0060828	BP: regulation of canonical Wnt signaling pathway	regulation of canonical Wnt signaling pathway	0.028650629882737	0.0488184915137601	0.0131603122180868	1	34.4810495626822	5.71505675805737	wnt_retinoides_senalizacion	Wnt/retinoides/senalizacion
ORA	P_surface_x_pigmentation	all_DEGs	BP	GO:0001938	BP: positive regulation of endothelial cell proliferation	positive regulation of endothelial cell proliferation	0.029227930408363	0.0488184915137601	0.0131603122180868	1	33.7914285714286	5.65440902491174	other	Otros
ORA	P_surface_x_pigmentation	all_DEGs	BP	GO:0009306	BP: protein secretion	protein secretion	0.029227930408363	0.0488184915137601	0.0131603122180868	1	33.7914285714286	5.65440902491174	other	Otros
ORA	P_surface_x_pigmentation	all_DEGs	BP	GO:0051209	BP: release of sequestered calcium ion into cytosol	release of sequestered calcium ion into cytosol	0.0298049368180719	0.0488184915137601	0.0131603122180868	1	33.1288515406162	5.5955220361501	other	Otros
ORA	P_surface_x_pigmentation	all_DEGs	BP	GO:0001707	BP: mesoderm formation	mesoderm formation	0.030381649236743	0.0488184915137601	0.0131603122180868	1	32.4917582417582	5.53831102733216	other	Otros
ORA	P_surface_x_pigmentation	all_DEGs	BP	GO:0010842	BP: retina layer formation	retina layer formation	0.030381649236743	0.0488184915137601	0.0131603122180868	1	32.4917582417582	5.53831102733216	neural_desarrollo	Neural/axon/cresta
ORA	P_surface_x_pigmentation	all_DEGs	BP	GO:0070830	BP: bicellular tight junction assembly	bicellular tight junction assembly	0.0309580677892137	0.0488184915137601	0.0131603122180868	1	31.8787061994609	5.48269684997181	other	Otros
ORA	P_surface_x_pigmentation	all_DEGs	BP	GO:0042632	BP: cholesterol homeostasis	cholesterol homeostasis	0.0321100237946893	0.0496796594559344	0.0133924627544881	1	30.7194805194805	5.375967703763	other	Otros
ORA	P_surface_x_pigmentation	all_DEGs	CC	GO:0005811	CC: lipid droplet	lipid droplet	0.000977123807571502	0.0332222094574311	0.0215995789042121	2	41.1604938271605	8.88583045059918	lipidos	Lipidos
ORA	P_surface_x_pigmentation	all_DEGs	MF	GO:0004993	MF: G protein-coupled serotonin receptor activity	G protein-coupled serotonin receptor activity	0.00612633753797787	0.0272340034166322	0.00597236917031408	1	139.583333333333	12.6919997346793	wnt_retinoides_senalizacion	Wnt/retinoides/senalizacion
ORA	P_surface_x_pigmentation	all_DEGs	MF	GO:0008374	MF: O-acyltransferase activity	O-acyltransferase activity	0.0066354506579962	0.0272340034166322	0.00597236917031408	1	128.846153846154	12.1883206195505	lipidos	Lipidos
ORA	P_surface_x_pigmentation	all_DEGs	MF	GO:0030371	MF: translation repressor activity	translation repressor activity	0.0066354506579962	0.0272340034166322	0.00597236917031408	1	128.846153846154	12.1883206195505	traduccion_ribosoma	Traduccion/ribosoma
