contrast	category	method	direction	ontology	GO_ID	term_label	p_adjust	effect	effect_fmt	padj_fmt
N_OD_vs_N_BL	axon_neural	GSEA	NES_negative	BP	GO:0007411	BP: axon guidance	7.84779212280114e-08	-2.18119140398335	-2.18	7.85e-08
N_OD_vs_N_BL	axon_neural	GSEA	NES_negative	BP	GO:0031290	BP: retinal ganglion cell axon guidance	2.49515364995907e-05	-2.27784670191496	-2.28	2.50e-05
N_OD_vs_N_BL	axon_neural	GSEA	NES_negative	BP	GO:0001764	BP: neuron migration	3.80527630805474e-05	-2.08766360030292	-2.09	3.81e-05
N_OD_vs_N_BL	axon_neural	GSEA	NES_negative	BP	GO:0008045	BP: motor neuron axon guidance	0.00114599474651782	-2.02284714286759	-2.02	1.15e-03
N_OD_vs_N_BL	axon_neural	GSEA	NES_negative	BP	GO:0007417	BP: central nervous system development	0.00135645384307769	-1.86945628427289	-1.87	1.36e-03
N_OD_vs_N_BL	axon_neural	GSEA	NES_negative	BP	GO:0007399	BP: nervous system development	0.00215982879104775	-1.79372874751701	-1.79	2.16e-03
N_OD_vs_N_BL	axon_neural	GSEA	NES_negative	BP	GO:0021915	BP: neural tube development	0.00584829056216353	-1.9504955039201	-1.95	5.85e-03
N_OD_vs_N_BL	axon_neural	GSEA	NES_negative	BP	GO:0033564	BP: anterior/posterior axon guidance	0.00950428540901883	-2.00399545988897	-2.00	9.50e-03
N_OD_vs_N_BL	axon_neural	GSEA	NES_negative	BP	GO:0048813	BP: dendrite morphogenesis	0.0108839653092852	-1.91608569078752	-1.92	1.09e-02
N_OD_vs_N_BL	axon_neural	GSEA	NES_negative	BP	GO:0001755	BP: neural crest cell migration	0.0181593215888286	-1.61860496189201	-1.62	1.82e-02
N_OD_vs_N_BL	axon_neural	GSEA	NES_negative	BP	GO:0097150	BP: neuronal stem cell population maintenance	0.0308066898908375	-1.86258288349652	-1.86	3.08e-02
N_OD_vs_N_BL	axon_neural	GSEA	NES_negative	BP	GO:0030517	BP: negative regulation of axon extension	0.0367398502892668	-1.85742912262615	-1.86	3.67e-02
N_OD_vs_N_BL	axon_neural	GSEA	NES_negative	BP	GO:0021523	BP: somatic motor neuron differentiation	0.0423895288284225	-1.8827815224818	-1.88	4.24e-02
N_OD_vs_N_BL	axon_neural	GSEA	NES_negative	BP	GO:0050772	BP: positive regulation of axonogenesis	0.0441418013544488	-1.71322381511922	-1.71	4.41e-02
N_OD_vs_N_BL	axon_neural	GSEA	NES_negative	BP	GO:0007413	BP: axonal fasciculation	0.0448634138838253	-1.85284520889322	-1.85	4.49e-02
N_OD_vs_N_BL	axon_neural	GSEA	NES_negative	BP	GO:0050770	BP: regulation of axonogenesis	0.052436559061664	-1.77490095214975	-1.77	5.24e-02
N_OD_vs_N_BL	axon_neural	GSEA	NES_negative	BP	GO:0030516	BP: regulation of axon extension	0.0565669253014488	-1.76056223386116	-1.76	5.66e-02
N_OD_vs_N_BL	axon_neural	GSEA	NES_negative	BP	GO:0021532	BP: neural tube patterning	0.0633813393394499	-1.81460933029158	-1.81	6.34e-02
N_OD_vs_N_BL	axon_neural	GSEA	NES_negative	BP	GO:0048675	BP: axon extension	0.077918745044639	-1.57281255978585	-1.57	7.79e-02
N_OD_vs_N_BL	axon_neural	GSEA	NES_negative	BP	GO:0001841	BP: neural tube formation	0.0972270111335085	-1.68372937798166	-1.68	9.72e-02
P_BD_vs_N_BL	axon_neural	GSEA	NES_negative	BP	GO:0030182	BP: neuron differentiation	0.00795425962313485	-1.77577344280313	-1.78	7.95e-03
P_BD_vs_N_BL	axon_neural	GSEA	NES_positive	BP	GO:0019228	BP: neuronal action potential	0.0394784662613668	1.91497289391625	1.91	3.95e-02
P_BD_vs_N_BL	axon_neural	GSEA	NES_negative	BP	GO:0001841	BP: neural tube formation	0.0422864307074255	-1.8661037675971	-1.87	4.23e-02
P_BD_vs_N_BL	axon_neural	GSEA	NES_negative	BP	GO:0043524	BP: negative regulation of neuron apoptotic process	0.095986740304674	-1.56240088975936	-1.56	9.60e-02
P_BD_vs_N_BL	axon_neural	GSEA	NES_positive	BP	GO:0007411	BP: axon guidance	0.0994765841161216	1.43247158960517	1.43	9.95e-02
P_BD_vs_P_BL	axon_neural	GSEA	NES_positive	BP	GO:0007411	BP: axon guidance	0.00305315222131038	1.84062121903112	1.84	3.05e-03
P_BD_vs_P_BL	axon_neural	GSEA	NES_negative	BP	GO:0030182	BP: neuron differentiation	0.0825424411822197	-1.58848855730463	-1.59	8.25e-02
P_OD_vs_P_OL	axon_neural	GSEA	NES_negative	BP	GO:0030182	BP: neuron differentiation	0.000215195516520742	-2.06408641177614	-2.06	2.15e-04
P_OD_vs_P_OL	axon_neural	GSEA	NES_negative	BP	GO:0048812	BP: neuron projection morphogenesis	0.0276026024626254	-1.80959783819463	-1.81	2.76e-02
P_OD_vs_P_OL	axon_neural	GSEA	NES_negative	BP	GO:0050772	BP: positive regulation of axonogenesis	0.062498767655214	-1.80071009781524	-1.80	6.25e-02
P_OD_vs_P_OL	axon_neural	GSEA	NES_negative	BP	GO:0033564	BP: anterior/posterior axon guidance	0.0954288360158175	-1.75528042108823	-1.76	9.54e-02
P_OD_vs_P_OL	axon_neural	ORA	all	CC	GO:0043005	CC: neuron projection	0.0941258816320604	3.11022978848281	3.11	9.41e-02
P_OL_vs_N_OD	axon_neural	GSEA	NES_positive	BP	GO:0007411	BP: axon guidance	1.28195176388429e-05	2.01096870788789	2.01	1.28e-05
P_OL_vs_N_OD	axon_neural	GSEA	NES_positive	BP	GO:0001764	BP: neuron migration	0.000200245541332067	2.01536625126073	2.02	2.00e-04
P_OL_vs_N_OD	axon_neural	GSEA	NES_positive	BP	GO:0031290	BP: retinal ganglion cell axon guidance	0.000790770184608107	2.04943902673318	2.05	7.91e-04
P_OL_vs_N_OD	axon_neural	GSEA	NES_positive	BP	GO:0001755	BP: neural crest cell migration	0.0050587417858719	1.73890229817558	1.74	5.06e-03
P_OL_vs_N_OD	axon_neural	GSEA	NES_positive	BP	GO:0014029	BP: neural crest formation	0.00647024921467902	2.0405329278119	2.04	6.47e-03
P_OL_vs_N_OD	axon_neural	GSEA	NES_positive	BP	GO:2000179	BP: positive regulation of neural precursor cell proliferation	0.011999151789633	2.06623867558415	2.07	1.20e-02
P_OL_vs_N_OD	axon_neural	GSEA	NES_positive	BP	GO:0008045	BP: motor neuron axon guidance	0.011999151789633	1.79068647481265	1.79	1.20e-02
P_OL_vs_N_OD	axon_neural	GSEA	NES_positive	BP	GO:0003407	BP: neural retina development	0.014261701332051	1.9163276688745	1.92	1.43e-02
P_OL_vs_N_OD	axon_neural	GSEA	NES_positive	BP	GO:0021523	BP: somatic motor neuron differentiation	0.0189252062216368	1.99058392800386	1.99	1.89e-02
P_OL_vs_N_OD	axon_neural	GSEA	NES_positive	BP	GO:0021953	BP: central nervous system neuron differentiation	0.0201600771703711	1.97677083303058	1.98	2.02e-02
