method	contrast	effect_direction	ontology	GO_ID	term_label	term_clean	pvalue	p_adjust	qvalue	count	effect	signed_effect	primary_category	category_label
ORA	N_OD_vs_N_BL	all_DEGs	BP	GO:0006729	BP: tetrahydrobiopterin biosynthetic process	tetrahydrobiopterin biosynthetic process	1.11759739989291e-08	6.99615972332964e-06	6.31736635518416e-06	6	30.3690322580645	13.9242131330983	pigmentacion_melanocito	Pigmentacion/melanocito
ORA	N_OD_vs_N_BL	all_DEGs	BP	GO:0030318	BP: melanocyte differentiation	melanocyte differentiation	2.72699206144305e-07	8.53548515231676e-05	7.7073407210259e-05	8	10.8460829493088	9.09823980854382	pigmentacion_melanocito	Pigmentacion/melanocito
ORA	N_OD_vs_N_BL	all_DEGs	BP	GO:0042416	BP: dopamine biosynthetic process	dopamine biosynthetic process	8.5735620037442e-06	0.00178901660478129	0.00161543957754759	4	25.3075268817204	10.3140206032995	pigmentacion_melanocito	Pigmentacion/melanocito
ORA	N_OD_vs_N_BL	all_DEGs	BP	GO:0051000	BP: positive regulation of nitric-oxide synthase activity	positive regulation of nitric-oxide synthase activity	1.70216251977632e-05	0.00266388434344994	0.00240542440294706	4	21.6921658986175	9.49126871804783	other	Otros
ORA	N_OD_vs_N_BL	all_DEGs	BP	GO:0048066	BP: developmental pigmentation	developmental pigmentation	0.000100949174546826	0.0126388366532626	0.0114125698382411	5	9.49032258064516	6.63707206460801	pigmentacion_melanocito	Pigmentacion/melanocito
ORA	N_OD_vs_N_BL	all_DEGs	BP	GO:0032438	BP: melanosome organization	melanosome organization	0.000138633823793128	0.0142512339080667	0.012868526330304	4	13.2039270687237	7.20246227556913	pigmentacion_melanocito	Pigmentacion/melanocito
ORA	N_OD_vs_N_BL	all_DEGs	BP	GO:0045429	BP: positive regulation of nitric oxide biosynthetic process	positive regulation of nitric oxide biosynthetic process	0.000164842694573541	0.0142512339080667	0.012868526330304	4	12.6537634408602	7.02877611445214	other	Otros
ORA	N_OD_vs_N_BL	all_DEGs	BP	GO:0050884	BP: neuromuscular process controlling posture	neuromuscular process controlling posture	0.000182124394991268	0.0142512339080667	0.012868526330304	3	22.7767741935484	8.43852573590013	other	Otros
ORA	N_OD_vs_N_BL	all_DEGs	BP	GO:0007155	BP: cell adhesion	cell adhesion	0.000239095176199233	0.015540940621883	0.0140331009146648	10	3.51493428912784	4.7345692627169	matriz_adhesion	Matriz extracelular/adhesion
ORA	N_OD_vs_N_BL	all_DEGs	BP	GO:0042438	BP: melanin biosynthetic process	melanin biosynthetic process	0.000248257837410271	0.015540940621883	0.0140331009146648	3	20.7061583577713	8.0131827483208	other	Otros
ORA	N_OD_vs_N_BL	all_DEGs	BP	GO:0035989	BP: tendon development	tendon development	0.000328152595879113	0.0186748659109386	0.0168629611470894	3	18.9806451612903	7.64078929196949	desarrollo_morfogenesis	Desarrollo/morfogenesis
ORA	N_OD_vs_N_BL	all_DEGs	BP	GO:0043473	BP: pigmentation	pigmentation	0.000389339271122354	0.0203105319768828	0.0183399288239214	5	7.16250760803408	5.57345746462697	pigmentacion_melanocito	Pigmentacion/melanocito
ORA	N_OD_vs_N_BL	all_DEGs	BP	GO:0048706	BP: embryonic skeletal system development	embryonic skeletal system development	0.000425036851964481	0.0204671591792127	0.0184813594740831	5	7.02986857825567	5.50693446042138	desarrollo_morfogenesis	Desarrollo/morfogenesis
ORA	N_OD_vs_N_BL	all_DEGs	BP	GO:0030199	BP: collagen fibril organization	collagen fibril organization	0.000748482162540772	0.0315683671711711	0.0285054870874708	5	6.22316234796404	5.08464819720883	matriz_adhesion	Matriz extracelular/adhesion
ORA	N_OD_vs_N_BL	all_DEGs	BP	GO:0006954	BP: inflammatory response	inflammatory response	0.000794726323341823	0.0315683671711711	0.0285054870874708	7	4.15201612903226	4.51437628510484	inmunidad_inflamacion	Inmunidad/inflamacion
ORA	N_OD_vs_N_BL	all_DEGs	BP	GO:0042572	BP: retinol metabolic process	retinol metabolic process	0.000806859224822264	0.0315683671711711	0.0285054870874708	3	14.2354838709677	6.5088447005021	other	Otros
ORA	N_OD_vs_N_BL	all_DEGs	BP	GO:0032496	BP: response to lipopolysaccharide	response to lipopolysaccharide	0.000867818372705391	0.0319561353713867	0.0288556325785012	5	6.02560163850486	4.97609477159959	other	Otros
ORA	N_OD_vs_N_BL	all_DEGs	BP	GO:0034612	BP: response to tumor necrosis factor	response to tumor necrosis factor	0.000971321113415022	0.0337803898332113	0.0305028911054893	3	13.3981024667932	6.28824127013323	other	Otros
ORA	N_OD_vs_N_BL	all_DEGs	BP	GO:0033339	BP: pectoral fin development	pectoral fin development	0.00122487350646341	0.0403563586866366	0.0364408350676373	4	7.59225806451613	5.17113617766531	desarrollo_morfogenesis	Desarrollo/morfogenesis
ORA	N_OD_vs_N_BL	all_DEGs	BP	GO:0071482	BP: cellular response to light stimulus	cellular response to light stimulus	0.00136041719930576	0.0425810583382703	0.0384496861066944	3	11.9877758913413	5.89838491041684	other	Otros
ORA	N_OD_vs_N_BL	all_DEGs	CC	GO:0062023	CC: collagen-containing extracellular matrix	collagen-containing extracellular matrix	5.91397469089675e-08	8.75268254252719e-06	8.15505983692078e-06	12	6.91235732009926	8.35174880874492	matriz_adhesion	Matriz extracelular/adhesion
ORA	N_OD_vs_N_BL	all_DEGs	CC	GO:0005576	CC: extracellular region	extracellular region	7.68705362960739e-07	5.68841968590947e-05	5.3000211867293e-05	17	3.76634853979767	6.4600480517434	other	Otros
ORA	N_OD_vs_N_BL	all_DEGs	CC	GO:0033162	CC: melanosome membrane	melanosome membrane	4.25914877226064e-06	0.000210118006098192	0.000195771399707419	4	29.9535483870968	11.1590434251025	pigmentacion_melanocito	Pigmentacion/melanocito
ORA	N_OD_vs_N_BL	all_DEGs	CC	GO:0042470	CC: melanosome	melanosome	4.31474589488255e-05	0.00159645598110654	0.00148745187428846	6	8.47741935483871	6.70207751146372	pigmentacion_melanocito	Pigmentacion/melanocito
