source	destination	artifact_type	description	status	action	exported_at	analysis_root	quarto_dir
[generated]	config/contrast_metadata.tsv	config	Official contrast metadata from analysis_config.yml	ok	generated	2026-07-01 10:01:48 CEST	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/holofish_rnaseq/analysis	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/github_repositories/Transcriptomics
[generated]	tables/project/contrast_metadata.tsv	table	Published contrast metadata	ok	generated	2026-07-01 10:01:48 CEST	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/holofish_rnaseq/analysis	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/github_repositories/Transcriptomics
[generated]	tables/project/sample_metadata_analysis_scope.tsv	table	Sample inclusion and group metadata	ok	generated	2026-07-01 10:01:48 CEST	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/holofish_rnaseq/analysis	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/github_repositories/Transcriptomics
results/02_qc/summary/tables/sample_basic_qc_summary.tsv	tables/03_qc_r/sample_basic_qc_summary.tsv	table	QC table	ok	copied	2026-07-01 10:01:48 CEST	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/holofish_rnaseq/analysis	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/github_repositories/Transcriptomics
results/02_qc/library_sizes/tables/salmon_library_qc_summary.tsv	tables/03_qc_r/salmon_library_qc_summary.tsv	table	QC table	ok	copied	2026-07-01 10:01:48 CEST	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/holofish_rnaseq/analysis	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/github_repositories/Transcriptomics
results/02_qc/pca/tables/pca_all_project_uncorrected_scores.tsv	tables/03_qc_r/pca_all_project_uncorrected_scores.tsv	table	QC table	ok	copied	2026-07-01 10:01:48 CEST	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/holofish_rnaseq/analysis	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/github_repositories/Transcriptomics
results/02_qc/pca/tables/pca_all_skin_uncorrected_scores.tsv	tables/03_qc_r/pca_all_skin_uncorrected_scores.tsv	table	QC table	ok	copied	2026-07-01 10:01:48 CEST	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/holofish_rnaseq/analysis	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/github_repositories/Transcriptomics
results/02_qc/pca/tables/pca_all_skin_date_adjusted_scores.tsv	tables/03_qc_r/pca_all_skin_date_adjusted_scores.tsv	table	QC table	ok	copied	2026-07-01 10:01:48 CEST	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/holofish_rnaseq/analysis	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/github_repositories/Transcriptomics
results/02_qc/sample_distances/tables/sample_distance_matrix_skin_core.tsv	tables/03_qc_r/sample_distance_matrix_skin_core.tsv	table	QC table	ok	copied	2026-07-01 10:01:48 CEST	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/holofish_rnaseq/analysis	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/github_repositories/Transcriptomics
results/02_qc/summary/figures/sample_basic_qc_overview.png	figures/03_qc_r/sample_basic_qc_overview.png	figure	QC figure	ok	copied	2026-07-01 10:01:48 CEST	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/holofish_rnaseq/analysis	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/github_repositories/Transcriptomics
results/02_qc/library_sizes/figures/read_count_yield_by_sample.png	figures/03_qc_r/read_count_yield_by_sample.png	figure	QC figure	ok	copied	2026-07-01 10:01:48 CEST	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/holofish_rnaseq/analysis	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/github_repositories/Transcriptomics
results/02_qc/library_sizes/figures/salmon_library_sizes.png	figures/03_qc_r/salmon_library_sizes.png	figure	QC figure	ok	copied	2026-07-01 10:01:48 CEST	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/holofish_rnaseq/analysis	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/github_repositories/Transcriptomics
results/02_qc/pca/figures/pca_all_project_uncorrected.png	figures/03_qc_r/pca_all_project_uncorrected.png	figure	QC figure	ok	copied	2026-07-01 10:01:48 CEST	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/holofish_rnaseq/analysis	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/github_repositories/Transcriptomics
results/02_qc/pca/figures/pca_all_skin_uncorrected.png	figures/03_qc_r/pca_all_skin_uncorrected.png	figure	QC figure	ok	copied	2026-07-01 10:01:48 CEST	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/holofish_rnaseq/analysis	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/github_repositories/Transcriptomics
results/02_qc/pca/figures/pca_all_skin_date_adjusted.png	figures/03_qc_r/pca_all_skin_date_adjusted.png	figure	QC figure	ok	copied	2026-07-01 10:01:48 CEST	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/holofish_rnaseq/analysis	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/github_repositories/Transcriptomics
results/02_qc/sample_distances/figures/sample_distance_heatmap_skin_core.png	figures/03_qc_r/sample_distance_heatmap_skin_core.png	figure	QC figure	ok	copied	2026-07-01 10:01:48 CEST	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/holofish_rnaseq/analysis	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/github_repositories/Transcriptomics
results/02_qc/trimming_fastp/figures/fastp_filtered_reads_plot-pct.png	figures/02_nfcore/fastp_filtered_reads_pct.png	figure	QC figure	ok	copied	2026-07-01 10:01:48 CEST	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/holofish_rnaseq/analysis	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/github_repositories/Transcriptomics
