Sample	protein_coding	lncRNA	miRNA	pseudogene	snRNA	snoRNA	scaRNA	rRNA	misc_RNA	ribozyme	vault_RNA	TR_J_gene	IG_J_gene	Y_RNA	Mt_tRNA	Mt_rRNA
IT1G	24787943	244209	47	152746	106	1684	202	27198	172	32	2	66	3	2	1003	19660
P1G	26661494	353941	154	187992	252	1792	281	39635	268	14	0	83	4	0	2442	21085
P2G	22829366	214568	330	186851	227	2233	576	34653	444	48	1	77	6	0	1256	17023
P31	21411578	210209	243	80480	193	2367	215	19610	169	26	0	5	0	0	7788	30743
P32	21509259	126403	214	97651	290	2286	268	17198	134	4	0	5	0	0	3655	13782
P33	42536606	309160	398	159082	754	4878	321	34251	385	20	4	11	0	0	7313	36492
P34	19437804	83417	226	57231	403	2957	175	18636	124	8	0	9	0	0	2752	10459
P35	22589025	77252	187	51563	136	1067	137	29540	211	8	0	3	0	0	4569	23767
P36	23627635	72500	177	46863	238	1298	163	17313	210	2	0	0	0	0	4453	14647
P41	27382528	46207	246	69477	211	1518	138	34158	282	6	2	2	0	0	3261	35591
P42	28017500	86275	282	79188	268	2262	214	29700	265	8	2	0	0	4	3042	16094
P43	20388211	32874	232	27490	86	1581	137	19736	259	18	1	0	0	0	2906	11506
P44	24948726	45936	394	43134	75	1555	197	44856	276	14	10	0	0	0	4557	20386
P45	21976217	65432	329	60538	288	2505	123	41003	361	18	0	0	0	0	7701	25919
P46	21147234	72740	265	62273	236	1388	100	25059	145	0	0	0	0	0	2504	8991
P47	21046280	34000	303	34807	143	1579	118	12517	90	0	0	0	0	0	2513	6630
P48	25524953	55001	275	50961	353	2766	139	26685	204	4	0	0	0	0	7534	22149
P49	22229472	102519	100	42825	354	1438	97	18496	248	16	0	3	0	0	4215	16013
P50	29850565	97649	128	85031	351	2098	139	20541	155	12	0	0	0	0	2233	13306
P51	23486987	137727	91	108382	251	1984	183	26603	216	16	0	20	0	0	1351	17459
P52	26093932	94124	168	90679	260	1750	133	25666	134	12	4	5	0	0	3064	22708
PNKD	25546246	214952	98	128179	240	1719	178	30669	291	28	0	41	29	0	2211	21180
PNKIT	27942492	376015	21	144796	129	1209	138	30394	227	22	7	40	2	0	693	32318
PNKV	21104859	157504	117	115632	139	1423	166	25987	153	8	0	58	8	0	2134	28613
