Sample	total_records	qc_failed	optical_pcr_duplicate	non_primary_hits	unmapped_reads	mapq_lt_mapq_cut_non-unique	mapq_gte_mapq_cut_unique	read_1	read_2	reads_map_to_sense	reads_map_to_antisense	non-splice_reads	splice_reads	reads_mapped_in_proper_pairs	proper-paired_reads_map_to_different_chrom	unique_percent	proper_pairs_percent
IT1G	56181662	0	11157457	13415803	0	1532811	30075591	15037800	15037791	15037804	15037787	16491647	13583944	30075574	0	53.53275415739748	53.53272389841368
P1G	71165113	0	19023338	20355543	0	1975077	29811155	14905578	14905577	14905582	14905573	16577391	13233764	29811144	0	41.89012529214982	41.8901098351379
P2G	65961733	0	13314950	18196779	0	2092354	32357650	16178822	16178828	16178834	16178816	20093827	12263823	32357630	0	49.05518476902358	49.0551544484133
P31	57413154	0	28735489	12902062	0	967013	14808590	7404291	7404299	7404300	7404290	10279451	4529139	14808578	0	25.79302645522662	25.793005554093057
P32	61744144	0	20063615	16223597	0	1512159	23944773	11972387	11972386	11972389	11972384	15653290	8291483	23944768	0	38.78063804722922	38.78062994929527
P33	108231073	0	40360244	24683329	0	2229586	40957914	20478948	20478966	20478965	20478949	25700891	15257023	40957892	0	37.8430268357406	37.8430065088609
P34	52337554	0	23858941	11872253	0	954323	15652037	7826017	7826020	7826022	7826015	10536134	5115903	15652028	0	29.90593905095374	29.90592185488837
P35	57912635	0	24367029	15482775	0	1134970	16927861	8463931	8463930	8463934	8463927	10206788	6721073	16927854	0	29.22999618304365	29.22998409587131
P36	62120675	0	29430508	13900182	0	1024914	17765071	8882534	8882537	8882541	8882530	11524663	6240408	17765060	0	28.597678631148167	28.597660923677985
P41	71487744	0	23690865	23203993	0	1556004	23036882	11518440	11518442	11518445	11518437	13003530	10033352	23036872	0	32.224939144813405	32.22492515640163
P42	76231505	0	36392898	21251359	0	1219964	17367284	8683638	8683646	8683649	8683635	10928790	6438494	17367266	0	22.78229191460932	22.78226830232461
P43	55332568	0	30147474	14464854	0	806759	9913481	4956735	4956746	4956747	4956734	6111056	3802425	9913460	0	17.91617732254899	17.916139370216833
P44	70843093	0	34663079	21877214	0	1103557	13199243	6599607	6599636	6599636	6599607	8074152	5125091	13199208	0	18.631658276128626	18.63160887117111
P45	63621686	0	30452762	17322504	0	961715	14884705	7442349	7442356	7442357	7442348	9873173	5011532	14884690	0	23.395646886817804	23.39562330995126
P46	54659142	0	25825570	13149980	0	994422	14689170	7344588	7344582	7344592	7344578	8936352	5752818	14689156	0	26.874132052786337	26.87410643950467
P47	54252774	0	29335591	13977093	0	718544	10221546	5110760	5110786	5110794	5110752	6160774	4060772	10221502	0	18.840596058737937	18.840514956894186
P48	63169524	0	33819297	13209801	0	845043	15295383	7647687	7647696	7647699	7647684	9872932	5422451	15295366	0	24.213231367708264	24.213204455996852
P49	58629418	0	34660945	14644010	0	675122	8649341	4324659	4324682	4324688	4324653	5388090	3261251	8649302	0	14.752561589473734	14.752495069966413
P50	78864694	0	34940968	20940143	0	1364750	21618833	10809413	10809420	10809422	10809411	13120735	8498098	21618822	0	27.412561823925923	27.41254787598618
P51	65636820	0	16044729	20149968	0	1855993	27586130	13793062	13793068	13793070	13793060	15864949	11721181	27586116	0	42.02843769701213	42.02841636752055
P52	68111193	0	24606678	19877046	0	1398657	22228812	11114406	11114406	11114413	11114399	12628186	9600626	22228798	0	32.63606320917034	32.63604265454578
PNKD	69785033	0	24737824	20328068	0	1698152	23020989	11510489	11510500	11510504	11510485	12544646	10476343	23020968	0	32.98843320744722	32.98840311503471
PNKIT	60203310	0	13206996	14441940	0	1560254	30994120	15497061	15497059	15497069	15497051	16996608	13997512	30994102	0	51.48241849160785	51.48238859291956
PNKV	54363732	0	17794455	14803323	0	1374014	20391940	10195968	10195972	10195975	10195965	11614572	8777368	20391924	0	37.510191537255025	37.51016210586867
