Sample	reads_aligned	total_alignments	non_unique_alignments	reads_aligned_genes	ambiguous_alignments	not_aligned	reads_aligned_exonic	reads_aligned_intronic	reads_aligned_intergenic	reads_aligned_overlapping_exon	5_bias	3_bias	5_3_bias
IT1G	21382835	56181662	16230531	19476635	61978	0	19476635	12119670	8288516	3284305	0.76	0.55	1.2
P1G	25404730	71165113	24532871	20488086	68474	0	20488086	15454428	10613360	4056875	0.77	0.51	1.28
P2G	23882412	65961733	22057471	16628305	58950	0	16628305	16674873	10524510	4129283	0.76	0.53	1.27
P31	22255507	57413154	16061695	16462474	61234	0	16462474	9597900	15210199	3436091	0.4	0.49	1.25
P32	22760241	61744144	19898627	16256599	53444	0	16256599	10952062	14572148	3530127	0.6	0.54	1.2
P33	41773821	108231073	30100361	32731600	94246	0	32731600	21222323	24068987	6367642	0.66	0.51	1.37
P34	20232621	52337554	14624078	14975558	40488	0	14975558	8713298	13975748	3041730	0.51	0.51	1.26
P35	21214906	57912635	18475895	17261844	38568	0	17261844	10434352	11696094	3273401	0.6	0.51	1.32
P36	24110212	62120675	17177667	18252517	46638	0	18252517	9978032	16657177	3603958	0.58	0.52	1.33
P41	24141837	71487744	27266310	21541344	45172	0	21541344	10844160	11786246	3435689	0.66	0.52	1.28
P42	27490023	76231505	25404785	21706793	55474	0	21706793	12627420	16428085	4104339	0.6	0.5	1.36
P43	20433796	55332568	17645048	15575008	36190	0	15575008	9989994	12076202	3455238	0.52	0.51	1.38
P44	24482854	70843093	26828871	19286757	44994	0	19286757	11034600	13640363	3568230	0.54	0.5	1.39
P45	23149542	63621686	20744293	16998240	51850	0	16998240	10373817	15446632	3798409	0.5	0.51	1.35
P46	20754538	54659142	16063355	16203912	39618	0	16203912	10133120	12212709	3189309	0.64	0.51	1.39
P47	20137758	54252774	17028722	16192539	31780	0	16192539	8948457	12043802	3013898	0.61	0.52	1.34
P48	24979822	63169524	16360311	19502569	55618	0	19502569	10375478	16866854	3980026	0.55	0.51	1.31
P49	21992589	58629418	17758272	17085551	46146	0	17085551	9256230	14471017	3378295	0.51	0.53	1.18
P50	28962249	78864694	25409505	23398102	54728	0	23398102	12519704	17477499	4118188	0.61	0.51	1.26
P51	22743361	65636820	24131940	17922207	60796	0	17922207	11963774	11550257	3523738	0.74	0.55	1.3
P52	24117027	68111193	23505273	20020705	50212	0	20020705	12203378	12325459	3754825	0.71	0.52	1.33
PNKD	24728423	69785033	24998082	19791524	73068	0	19791524	14239528	10678409	3861679	0.76	0.52	1.29
PNKIT	22880583	60203310	17502105	22085943	64340	0	22085943	12022133	8525197	3485477	0.79	0.55	1.2
PNKV	19780143	54363732	17919071	16414082	53126	0	16414082	11236326	8735235	3122536	0.76	0.52	1.31
