Sample	Total records	QC failed	Duplicates	Non primary hit	Unmapped	Unique	Read-1	Read-2	+ve strand	-ve strand	Non-splice reads	Splice reads	Proper pairs	Different chrom
IT1G	56.181661999999996	0.0	11.157456999999999	13.415802999999999	0.0	30.075591	15.037799999999999	15.037790999999999	15.037804	15.037787	16.491647	13.583943999999999	30.075574	0.0
P1G	71.16511299999999	0.0	19.023338	20.355543	0.0	29.811155	14.905577999999998	14.905577	14.905581999999999	14.905572999999999	16.577391	13.233763999999999	29.811144	0.0
P2G	65.961733	0.0	13.31495	18.196779	0.0	32.35765	16.178822	16.178828	16.178834	16.178815999999998	20.093826999999997	12.263822999999999	32.35763	0.0
P31	57.413154	0.0	28.735488999999998	12.902061999999999	0.0	14.808589999999999	7.404291	7.404299	7.4043	7.40429	10.279451	4.529139	14.808577999999999	0.0
P32	61.744144	0.0	20.063615	16.223596999999998	0.0	23.944772999999998	11.972387	11.972386	11.972389	11.972384	15.65329	8.291483	23.944768	0.0
P33	108.231073	0.0	40.360244	24.683329	0.0	40.957913999999995	20.478948	20.478966	20.478965	20.478949	25.700891	15.257022999999998	40.957892	0.0
P34	52.337554	0.0	23.858940999999998	11.872252999999999	0.0	15.652037	7.826016999999999	7.82602	7.826022	7.826015	10.536133999999999	5.115902999999999	15.652028	0.0
P35	57.912634999999995	0.0	24.367029	15.482775	0.0	16.927861	8.463930999999999	8.46393	8.463934	8.463927	10.206788	6.721073	16.927854	0.0
P36	62.120675	0.0	29.430508	13.900182	0.0	17.765071	8.882534	8.882537	8.882541	8.88253	11.524663	6.2404079999999995	17.76506	0.0
P41	71.48774399999999	0.0	23.690865	23.203993	0.0	23.036882	11.51844	11.518442	11.518445	11.518436999999999	13.00353	10.033351999999999	23.036872	0.0
P42	76.231505	0.0	36.392897999999995	21.251359	0.0	17.367283999999998	8.683638	8.683646	8.683648999999999	8.683634999999999	10.92879	6.4384939999999995	17.367266	0.0
P43	55.332567999999995	0.0	30.147474	14.464853999999999	0.0	9.913480999999999	4.956735	4.956746	4.956747	4.956734	6.111056	3.802425	9.913459999999999	0.0
P44	70.843093	0.0	34.663078999999996	21.877214	0.0	13.199243	6.599607	6.599635999999999	6.599635999999999	6.599607	8.074152	5.125090999999999	13.199207999999999	0.0
P45	63.621686	0.0	30.452762	17.322504	0.0	14.884704999999999	7.442349	7.442355999999999	7.4423569999999994	7.442348	9.873173	5.011532	14.884689999999999	0.0
P46	54.659141999999996	0.0	25.82557	13.14998	0.0	14.689169999999999	7.344588	7.344582	7.344592	7.344577999999999	8.936352	5.7528179999999995	14.689155999999999	0.0
P47	54.252773999999995	0.0	29.335590999999997	13.977093	0.0	10.221546	5.11076	5.110786	5.110793999999999	5.110752	6.160774	4.060772	10.221502	0.0
P48	63.169523999999996	0.0	33.819297	13.209800999999999	0.0	15.295383	7.6476869999999995	7.647696	7.647698999999999	7.647684	9.872931999999999	5.422451	15.295366	0.0
P49	58.629417999999994	0.0	34.660945	14.64401	0.0	8.649341	4.324659	4.324682	4.324688	4.324653	5.38809	3.2612509999999997	8.649302	0.0
P50	78.864694	0.0	34.940968	20.940143	0.0	21.618833	10.809413	10.80942	10.809422	10.809410999999999	13.120735	8.498097999999999	21.618821999999998	0.0
P51	65.63682	0.0	16.044729	20.149967999999998	0.0	27.586129999999997	13.793061999999999	13.793068	13.79307	13.793059999999999	15.864949	11.721181	27.586116	0.0
P52	68.111193	0.0	24.606678	19.877046	0.0	22.228811999999998	11.114405999999999	11.114405999999999	11.114412999999999	11.114398999999999	12.628186	9.600626	22.228797999999998	0.0
PNKD	69.785033	0.0	24.737824	20.328068	0.0	23.020989	11.510489	11.510499999999999	11.510504	11.510485	12.544646	10.476343	23.020968	0.0
PNKIT	60.203309999999995	0.0	13.206996	14.441939999999999	0.0	30.99412	15.497060999999999	15.497059	15.497069	15.497050999999999	16.996608	13.997511999999999	30.994101999999998	0.0
PNKV	54.363732	0.0	17.794455	14.803322999999999	0.0	20.391939999999998	10.195967999999999	10.195972	10.195974999999999	10.195965	11.614571999999999	8.777368	20.391924	0.0
