Sample	Known Splicing Events	Partial Novel Splicing Events	Novel Splicing Events
IT1G	15238074.0	477013.0	1357122.0
P1G	14587778.0	478261.0	1563887.0
P2G	13416432.0	458735.0	1472075.0
P31	4943012.0	130803.0	589532.0
P32	9247539.0	274675.0	1019920.0
P33	17086633.0	472984.0	1967926.0
P34	5758175.0	149257.0	611315.0
P35	7636607.0	192647.0	775930.0
P36	7100939.0	178965.0	735191.0
P41	11423909.0	302528.0	1191237.0
P42	7236807.0	184760.0	755169.0
P43	4319303.0	102351.0	420597.0
P44	5787602.0	142228.0	570638.0
P45	5651125.0	140707.0	586390.0
P46	6494283.0	167494.0	696455.0
P47	4649338.0	113388.0	472074.0
P48	6178816.0	148697.0	625058.0
P49	3799657.0	104962.0	375945.0
P50	9946457.0	304491.0	1018912.0
P51	13382953.0	427946.0	1386775.0
P52	11207347.0	343419.0	1157774.0
PNKD	11707170.0	323626.0	1161807.0
PNKIT	15697426.0	512853.0	1404647.0
PNKV	9749360.0	284298.0	969306.0
