Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
IT1G	(5.0, 63.97707457175095)	(10.0, 75.86483229049134)	(15.0, 81.56798133141861)	(20.0, 85.07475125653913)	(25.0, 87.5294902041235)	(30.0, 89.387373063904)	(35.0, 90.8785516463227)	(40.0, 92.13252641296543)	(45.0, 93.21404759462509)	(50.0, 94.18914760488255)	(55.0, 95.04692789004001)	(60.0, 95.80341573494718)	(65.0, 96.49835880603139)	(70.0, 97.1279105549287)	(75.0, 97.67283823981947)	(80.0, 98.21712483331623)	(85.0, 98.71717612062776)	(90.0, 99.16145245666222)	(95.0, 99.58200841111909)	(100.0, 100.0)
P1G	(5.0, 64.93772404538554)	(10.0, 76.99223204329391)	(15.0, 82.54320256537872)	(20.0, 85.93136729898129)	(25.0, 88.29514455455525)	(30.0, 90.15365812170428)	(35.0, 91.62849888804189)	(40.0, 92.8015674514424)	(45.0, 93.79571470871737)	(50.0, 94.70733136351896)	(55.0, 95.48034700653315)	(60.0, 96.17083204707394)	(65.0, 96.79453660011718)	(70.0, 97.35020065646479)	(75.0, 97.87121445986556)	(80.0, 98.37269812069628)	(85.0, 98.81559135381688)	(90.0, 99.24525449035778)	(95.0, 99.6547574797296)	(100.0, 100.0)
P2G	(5.0, 66.18740237499294)	(10.0, 77.91808595391787)	(15.0, 83.32298273017545)	(20.0, 86.58812754452327)	(25.0, 88.8872160641361)	(30.0, 90.58722421915677)	(35.0, 91.94723074317331)	(40.0, 93.0650958842238)	(45.0, 94.02550639541813)	(50.0, 94.86233697800026)	(55.0, 95.61071695177874)	(60.0, 96.3051483272798)	(65.0, 96.94061263024508)	(70.0, 97.47445282947852)	(75.0, 97.97943680172635)	(80.0, 98.44615490775416)	(85.0, 98.87397983827967)	(90.0, 99.30619593378123)	(95.0, 99.66125298756046)	(100.0, 100.0)
P31	(5.0, 36.59642794633549)	(10.0, 51.573332115760714)	(15.0, 60.97755861470676)	(20.0, 67.6780129214894)	(25.0, 72.90977025926686)	(30.0, 77.13855215396205)	(35.0, 80.55764825849067)	(40.0, 83.34893348248598)	(45.0, 85.74602957179494)	(50.0, 87.89580622331803)	(55.0, 89.80054638571178)	(60.0, 91.41383010296099)	(65.0, 92.84904382500437)	(70.0, 94.14956357631517)	(75.0, 95.33441392903073)	(80.0, 96.44849287339528)	(85.0, 97.4758197688134)	(90.0, 98.41106773508663)	(95.0, 99.252714806444)	(100.0, 100.0)
P32	(5.0, 53.41705832498651)	(10.0, 68.37005932660452)	(15.0, 76.2693581940057)	(20.0, 81.29478388165498)	(25.0, 84.76384929501502)	(30.0, 87.35264658294167)	(35.0, 89.37000796157896)	(40.0, 91.01047846521304)	(45.0, 92.35431594627218)	(50.0, 93.50104014176748)	(55.0, 94.5386136579603)	(60.0, 95.36173819246476)	(65.0, 96.17780003595551)	(70.0, 96.89370007961578)	(75.0, 97.55823509772196)	(80.0, 98.12068212753935)	(85.0, 98.66900377532937)	(90.0, 99.14605645016309)	(95.0, 99.55826078023473)	(100.0, 100.0)
P33	(5.0, 59.230634218378356)	(10.0, 73.0201480387588)	(15.0, 79.91551017690813)	(20.0, 84.21323391455391)	(25.0, 87.13345881726352)	(30.0, 89.32256834536729)	(35.0, 90.99723410822686)	(40.0, 92.39410023785459)	(45.0, 93.52950788914644)	(50.0, 94.52510788188371)	(55.0, 95.39724137096238)	(60.0, 96.17616975433798)	(65.0, 96.81529047915897)	(70.0, 97.3775472531729)	(75.0, 97.89743807004908)	(80.0, 98.36527928244173)	(85.0, 98.83856754646638)	(90.0, 99.27251599314882)	(95.0, 99.63746845249263)	(100.0, 100.0)
P34	(5.0, 38.419389562137575)	(10.0, 54.12965727976666)	(15.0, 63.80846557172124)	(20.0, 70.75384561963958)	(25.0, 75.78040904198062)	(30.0, 79.79860411819855)	(35.0, 82.91329560054169)	(40.0, 85.55783186916213)	(45.0, 87.76693635195666)	(50.0, 89.69825341157679)	(55.0, 91.35733879648599)	(60.0, 92.83030660786832)	(65.0, 94.09840619465953)	(70.0, 95.2269176013056)	(75.0, 96.24153616445015)	(80.0, 97.15615125525191)	(85.0, 97.96173478245773)	(90.0, 98.7166221049342)	(95.0, 99.41456300565991)	(100.0, 100.0)
P35	(5.0, 37.98558144394525)	(10.0, 53.31382997248633)	(15.0, 62.83773900323895)	(20.0, 69.61794309197924)	(25.0, 74.8343955699509)	(30.0, 78.86532232786543)	(35.0, 82.19482464388953)	(40.0, 84.9239020652666)	(45.0, 87.25316058928011)	(50.0, 89.17354508410824)	(55.0, 90.9065580050848)	(60.0, 92.42642705394769)	(65.0, 93.7234005502734)	(70.0, 94.89569184689861)	(75.0, 95.9579284644586)	(80.0, 96.89478633371644)	(85.0, 97.80865809911887)	(90.0, 98.61735102566782)	(95.0, 99.3661407724724)	(100.0, 100.0)
P36	(5.0, 36.83755404570723)	(10.0, 51.77197253206409)	(15.0, 61.14159066962177)	(20.0, 67.87123496711841)	(25.0, 73.0167496275842)	(30.0, 77.21614649565818)	(35.0, 80.62493187515896)	(40.0, 83.5548450386949)	(45.0, 86.03567925008176)	(50.0, 88.12920103186426)	(55.0, 89.98001671329433)	(60.0, 91.60629291864986)	(65.0, 93.00948297787305)	(70.0, 94.29204665189114)	(75.0, 95.52374377793119)	(80.0, 96.56505468153908)	(85.0, 97.51480579878647)	(90.0, 98.39988373360463)	(95.0, 99.2282818006758)	(100.0, 100.0)
P41	(5.0, 44.08188353510249)	(10.0, 59.429701488548595)	(15.0, 68.4672225340068)	(20.0, 74.55837943290841)	(25.0, 79.02602955717684)	(30.0, 82.45209652850156)	(35.0, 85.2381143269462)	(40.0, 87.4923167374863)	(45.0, 89.35901547342259)	(50.0, 90.98853523611)	(55.0, 92.4202945027927)	(60.0, 93.67032790828189)	(65.0, 94.77538149068656)	(70.0, 95.77086506854806)	(75.0, 96.65677864186644)	(80.0, 97.44715251610144)	(85.0, 98.18875437611908)	(90.0, 98.83682086640476)	(95.0, 99.42809802506748)	(100.0, 100.0)
