Sample	Passed Filter	Low Quality	Too Many N	Low Complexity	Too Short	Too Long
IT1G	44031648.0	511940.0	1016.0	nan	37878.0	0.0
P1G	52006658.0	626412.0	9106.0	nan	16134.0	0.0
P2G	49145160.0	801878.0	16212.0	nan	53796.0	0.0
P31	45606004.0	754868.0	8908.0	nan	37654.0	0.0
P32	46614042.0	637860.0	1220.0	nan	27534.0	0.0
P33	85833044.0	1405484.0	26584.0	nan	81674.0	0.0
P34	41456004.0	567132.0	1202.0	nan	31884.0	0.0
P35	43365162.0	512198.0	924.0	nan	14338.0	0.0
P36	49255388.0	730920.0	4300.0	nan	22836.0	0.0
P41	49529374.0	739216.0	6096.0	nan	28486.0	0.0
P42	56221906.0	992236.0	13636.0	nan	52074.0	0.0
P43	42376384.0	614764.0	806.0	nan	28710.0	0.0
P44	50838006.0	728424.0	1154.0	nan	36890.0	0.0
P45	47190636.0	701844.0	986.0	nan	25482.0	0.0
P46	42614412.0	587540.0	1034.0	nan	35612.0	0.0
P47	41741910.0	572148.0	5136.0	nan	73032.0	0.0
P48	51032286.0	931316.0	19020.0	nan	35202.0	0.0
P49	45150780.0	894484.0	16006.0	nan	48674.0	0.0
P50	58958268.0	955172.0	11748.0	nan	53808.0	0.0
P51	46755660.0	865764.0	16742.0	nan	37434.0	0.0
P52	49323228.0	914584.0	17210.0	nan	22776.0	0.0
PNKD	50307038.0	561524.0	2994.0	nan	24736.0	0.0
PNKIT	47025176.0	491486.0	1114.0	nan	106142.0	0.0
PNKV	40293740.0	448216.0	808.0	nan	26080.0	0.0
