Sample	picard_mark_duplicates-PERCENT_DUPLICATION	samtools_stats-error_rate	samtools_stats-non_primary_alignments	samtools_stats-reads_mapped	samtools_stats-reads_mapped_percent	samtools_stats-reads_properly_paired_percent	samtools_stats-reads_MQ0_percent	samtools_stats-raw_total_sequences	samtools_stats-insert_size_average	samtools_flagstat-flagstat_total	samtools_flagstat-mapped_passed	samtools_flagstat-mapped_passed_pct	star-total_reads	star-mapped	star-mapped_percent	star-uniquely_mapped	star-uniquely_mapped_percent	star-multimapped	fastp-pct_duplication	fastp-after_filtering_q30_rate	fastp-after_filtering_q30_bases	fastp-filtering_result_passed_filter_reads	fastp-after_filtering_gc_content	fastp-pct_surviving	fastp-pct_adapter	fastp-before_filtering_read1_mean_length	fastp-before_filtering_read2_mean_length
IT1G	26.0896	0.4890724	13.415802999999999	42.765859	100.0	99.99955805868414	2.737980780416453	42.765859	916.3	56.181661999999996	56.181661999999996	100.0	22.015824	21.383024	97.12	19.973492	90.72	1.409532	10.7993	94.8335	6135.677665	44.031648	50.672799999999995	98.7644608929579	8.22833730970833	150.0	150.0
P1G	37.4405	0.4864554	20.355543	50.80957	100.0	99.99978350535145	3.628267273271551	50.80957	983.7	71.16511299999999	71.16511299999999	100.0	26.003328999999997	25.40484	97.7	23.312813	89.65	2.092027	16.2153	95.1622	7302.335778	52.006657999999995	51.232299999999995	98.76248971909656	5.880245682020559	150.0	150.0
P2G	27.876	0.5973257	18.196779	47.764953999999996	100.0	99.9997278339261	3.3650864606715625	47.764953999999996	906.3	65.961733	65.961733	100.0	24.57258	23.882541999999997	97.19	21.945216	89.31	1.9373259999999999	9.86273	93.9036	6825.333439999999	49.14516	50.159299999999995	98.25682228414689	5.295282732210935	150.0	150.0
P31	64.558	0.53898	12.902061999999999	44.511092	100.0	99.99982476278048	2.400338773984696	44.511092	682.8	57.413154	57.413154	100.0	22.803002	22.255585	97.6	20.667759	90.64	1.587826	26.7283	94.5577	6382.252041	45.606004	47.5353	98.27305685550294	4.800472269162738	150.0	150.0
P32	44.076	0.5127268	16.223596999999998	45.520547	100.0	99.99985720733979	3.053289320095385	45.520547	746.6	61.744144	61.744144	100.0	23.307021	22.760306	97.65	20.918433	89.75	1.8418729999999999	17.1417	95.2445	6575.92516	46.614042	48.4891	98.59009147419613	4.767476153461153	150.0	150.0
P33	48.308	0.4313133	24.683329	83.547744	100.0	99.99987791411819	2.5810295966818684	83.547744	827.7	108.231073	108.231073	100.0	42.916522	41.773922999999996	97.33000000000001	39.059536	91.01	2.714387	23.124	95.8065	12149.514390999999	85.833044	48.7046	98.2669745856476	5.7301169616017695	150.0	150.0
P34	58.9615	0.5103464999999999	11.872252999999999	40.465301	100.0	99.99985419606789	2.5109858938155436	40.465301	706.9	52.337554	52.337554	100.0	20.728002	20.23268	97.61	18.853025	90.95	1.3796549999999999	24.8866	95.4125	5876.014265	41.456004	47.338	98.57281997417647	3.3222813023956363	150.0	150.0
P35	57.428999999999995	0.5080514	15.482775	42.42986	100.0	99.9998868721226	3.2816959565739787	42.42986	851.3	57.912634999999995	57.912634999999995	100.0	21.682581	21.214954	97.84	19.715840999999998	90.93	1.499113	22.9057	94.6212	6101.469371	43.365162	49.453	98.79829461999331	3.502921288229261	150.0	150.0
P36	61.0332	0.5392748	13.900182	48.220493	100.0	99.99985690731117	2.429259692554367	48.220493	735.7	62.120675	62.120675	100.0	24.627693999999998	24.110281	97.9	22.467606999999997	91.23	1.642674	24.3727	94.3522	6887.691592	49.255387999999996	47.5723	98.4842955426145	4.510085328256938	150.0	150.0
P41	49.0659	0.4588094	23.203993	48.283750999999995	100.0	99.9998405260602	4.41516443078335	48.283750999999995	888.2	71.48774399999999	71.48774399999999	100.0	24.764687	24.141914	97.47999999999999	22.108636	89.27	2.0332779999999997	21.107899999999997	95.1711	6989.631347	49.529374	50.4317	98.46173120056922	4.423387057977179	150.0	150.0
P42	66.19279999999999	0.47062919999999997	21.251359	54.980146	100.0	99.99981811616142	3.508089993067679	54.980146	793.9	76.231505	76.231505	100.0	28.110953	27.490123	97.79	25.409533999999997	90.39	2.080589	31.2556	95.268	7945.939111	56.221906	49.1507	98.15302246241838	3.810112847358614	150.0	150.0
P43	73.7684	0.539992	14.464853999999999	40.867714	100.0	99.99970147583983	3.037713340168721	40.867714	774.8	55.332567999999995	55.332567999999995	100.0	21.188192	20.433918	96.44	18.838945	88.91	1.594973	31.8036	95.3522	5801.353876	42.376384	48.6128	98.50239410530716	7.634484674620549	150.0	150.0
P44	70.7903	0.5104123	21.877214	48.965879	100.0	99.99965077722796	3.870309363791876	48.965879	821.9	70.843093	70.843093	100.0	25.419003	24.483024999999998	96.31	22.003624	86.56	2.4794009999999997	30.081999999999997	94.9805	7016.295255	50.838006	49.3942	98.51472568056792	6.470407972766082	150.0	150.0
P45	65.7739	0.5597807	17.322504	46.299181999999995	100.0	99.99978833319345	3.31425941823335	46.299181999999995	689.5	63.621686	63.621686	100.0	23.595318	23.149639999999998	98.11	21.435722	90.85	1.7139179999999998	26.4501	94.64200000000001	6505.2203119999995	47.190636	47.7764	98.4801168840351	6.1047187429907686	150.0	150.0
P46	62.2166	0.5272822	13.14998	41.509161999999996	100.0	99.9997928168244	2.745020484875122	41.509161999999996	820.1	54.659141999999996	54.659141999999996	100.0	21.307206	20.754624	97.41	19.295364	90.56	1.45926	24.121699999999997	94.2736	5963.4304759999995	42.614412	49.1616	98.55641480327368	3.9126823677307945	150.0	150.0
P47	72.83699999999999	0.49376050000000005	13.977093	40.275681	100.0	99.99959032350067	3.41069838148733	40.275681	795.9	54.252773999999995	54.252773999999995	100.0	20.870955	20.137923	96.49	18.608528	89.16	1.5293949999999998	32.1049	94.773	5803.227180999999	41.74191	48.883900000000004	98.46595458327666	5.248728858918613	150.0	150.0
P48	67.6931	0.5488085	13.209800999999999	49.959723	100.0	99.99984187262207	2.217814538323201	49.959723	651.0	63.169523999999996	63.169523999999996	100.0	25.516143	24.979900999999998	97.89999999999999	23.400613999999997	91.71	1.5792869999999999	27.485	94.2077	7121.704933	51.032286	47.5914	98.10538403144277	4.232324289458936	150.0	150.0
P49	78.801	0.6207472	14.64401	43.985408	100.0	99.99947709931439	2.8888671443038567	43.985408	720.1	58.629417999999994	58.629417999999994	100.0	22.57539	21.992818999999997	97.42	20.429892	90.5	1.562927	29.710700000000003	93.2347	6147.672649	45.15078	49.0552	97.91983265041483	5.576005470750518	150.0	150.0
P50	60.32149999999999	0.4820484	20.940143	57.924550999999994	100.0	99.99990850166452	3.1871925947255075	57.924550999999994	777.6	78.864694	78.864694	100.0	29.479134	28.962301999999998	98.25	26.725302	90.66	2.237	25.941	94.9267	8322.767082999999	58.958268	49.5355	98.29819092003474	3.4087399528995115	150.0	150.0
P51	35.2733	0.5835671	20.149967999999998	45.486852	100.0	99.9997142031284	3.997737631964507	45.486852	856.5	65.63682	65.63682	100.0	23.37783	22.743491	97.28	20.748979	88.75	1.9945119999999998	11.661299999999999	93.5291	6442.753761999999	46.75566	50.750099999999996	98.07041757209139	6.796138905435904	150.0	150.0
P52	51.015100000000004	0.5756734	19.877046	48.234147	100.0	99.99980719053661	3.7560465203209668	48.234147	849.3	68.111193	68.111193	100.0	24.661614	24.11712	97.79	22.300174	90.42	1.816946	17.3476	93.5189	6857.971176	49.323228	50.7891	98.10140849843901	3.540855150418481	150.0	150.0
PNKD	50.0189	0.45961830000000004	20.328068	49.456965	100.0	99.99975938677191	3.5828684594778513	49.456965	970.2	69.785033	69.785033	100.0	25.153519	24.728541999999997	98.31	22.391565999999997	89.02	2.336976	21.120900000000002	95.3229	7096.344876	50.307038	50.9419	98.84224571801812	4.519299755667859	150.0	150.0
PNKIT	28.860599999999998	0.48049980000000003	14.441939999999999	45.76137	100.0	99.99955420915065	2.7515369404368792	45.76137	895.5	60.203309999999995	60.203309999999995	100.0	23.512587999999997	22.880786999999998	97.32	21.348872999999998	90.8	1.531914	12.639600000000002	95.0835	6540.170636999999	47.025175999999995	50.4966	98.74277038693037	9.673208743556126	150.0	150.0
PNKV	44.9805	0.5044813	14.803322999999999	39.560409	100.0	99.99968908309314	3.3907713138152844	39.560409	929.4	54.363732	54.363732	100.0	20.14687	19.780265999999997	98.17999999999999	18.219925	90.44	1.560341	17.430899999999998	94.78259999999999	5659.090974	40.29374	50.8714	98.83463951050464	4.353432243504378	150.0	150.0
