Sample	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
IT1G	Unknown Library	189.0	21382835.0	13415803.0	0.0	157.0	5578650.0	1372958.0	0.260896	40667429.0
P1G	Unknown Library	110.0	25404730.0	20355543.0	0.0	84.0	9511627.0	1120378.0	0.374405	26465961.0
P2G	Unknown Library	130.0	23882412.0	18196779.0	0.0	90.0	6657430.0	1209507.0	0.27876	39272849.0
P31	Unknown Library	78.0	22255507.0	12902062.0	0.0	51.0	14367719.0	1065941.0	0.64558	8627920.0
P32	Unknown Library	65.0	22760241.0	16223597.0	0.0	51.0	10031782.0	1350146.0	0.44076	18636161.0
P33	Unknown Library	102.0	41773821.0	24683329.0	0.0	62.0	20180091.0	2387900.0	0.48308	29129365.0
P34	Unknown Library	59.0	20232621.0	11872253.0	0.0	41.0	11929450.0	1223295.0	0.589615	9648452.0
P35	Unknown Library	48.0	21214906.0	15482775.0	0.0	29.0	12183500.0	1381444.0	0.57429	10714128.0
P36	Unknown Library	69.0	24110212.0	13900182.0	0.0	44.0	14715232.0	1456878.0	0.610332	10672827.0
P41	Unknown Library	77.0	24141837.0	23203993.0	0.0	55.0	11845405.0	1304595.0	0.490659	16328700.0
P42	Unknown Library	100.0	27490023.0	21251359.0	0.0	66.0	18196416.0	1749876.0	0.661928	10077032.0
P43	Unknown Library	122.0	20433796.0	14464854.0	0.0	84.0	15073695.0	1224400.0	0.737684	5531797.0
P44	Unknown Library	171.0	24482854.0	21877214.0	0.0	113.0	17331483.0	1391581.0	0.707903	7495651.0
P45	Unknown Library	98.0	23149542.0	17322504.0	0.0	68.0	15226347.0	1296483.0	0.657739	8601015.0
P46	Unknown Library	86.0	20754538.0	13149980.0	0.0	60.0	12912755.0	1330064.0	0.622166	8815048.0
P47	Unknown Library	165.0	20137758.0	13977093.0	0.0	105.0	14667743.0	739692.0	0.72837	5652802.0
P48	Unknown Library	79.0	24979822.0	13209801.0	0.0	49.0	16909624.0	1291593.0	0.676931	8623065.0
P49	Unknown Library	230.0	21992589.0	14644010.0	0.0	171.0	17330387.0	1135124.0	0.78801	4718997.0
P50	Unknown Library	53.0	28962249.0	20940143.0	0.0	36.0	17470466.0	1800811.0	0.603215	13164064.0
P51	Unknown Library	130.0	22743361.0	20149968.0	0.0	103.0	8022313.0	1149811.0	0.352733	26261173.0
P52	Unknown Library	93.0	24117027.0	19877046.0	0.0	64.0	12303307.0	1205749.0	0.510151	15156347.0
PNKD	Unknown Library	119.0	24728423.0	20328068.0	0.0	88.0	12368868.0	846382.0	0.500189	15900411.0
PNKIT	Unknown Library	204.0	22880583.0	14441940.0	0.0	170.0	6603413.0	1380255.0	0.288606	36749413.0
PNKV	Unknown Library	123.0	19780143.0	14803323.0	0.0	91.0	8897182.0	1177151.0	0.449805	15650800.0
