Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent	reads_mapped_MQ1
IT1G	42765859.0	0.0	42765859.0	1.0	21383013.0	21382846.0	42765859.0	42765670.0	0.0	42765670.0	42765859.0	11157457.0	1170921.0	0.0	13415803.0	0.0	6284476392.0	3142264105.0	3142212287.0	6284476392.0	6247116077.0	0.0	1656316312.0	30552918.0	0.004890724	147.0	147.0	147.0	150.0	150.0	150.0	39.0	916.3	1353.2	21365857.0	16978.0	0.0	0.0	100.0	100.0	99.99955805868414	0.0	99.99955805868414	100.0	26.08963612773451	2.737980780416453	0.0	41594938.0
P1G	50809570.0	0.0	50809570.0	1.0	25404817.0	25404753.0	50809570.0	50809460.0	0.0	50809460.0	50809570.0	19023338.0	1843507.0	0.0	20355543.0	0.0	7499361284.0	3749715571.0	3749645713.0	7499361284.0	7452200617.0	0.0	2822267339.0	36251634.0	0.004864554	148.0	148.0	148.0	150.0	150.0	150.0	39.1	983.7	1439.3	25383467.0	21263.0	0.0	0.0	100.0	100.0	99.99978350535145	0.0	99.99978350535145	100.0	37.44046249554956	3.628267273271551	0.0	48966063.0
P2G	47764954.0	0.0	47764954.0	1.0	23882510.0	23882444.0	47764954.0	47764824.0	0.0	47764824.0	47764954.0	13314950.0	1607332.0	0.0	18196779.0	0.0	7066512270.0	3533311450.0	3533200820.0	7066512270.0	7013451492.0	0.0	1983936574.0	41893143.0	0.005973257	148.0	148.0	148.0	150.0	150.0	150.0	38.8	906.3	1425.2	23863723.0	18689.0	0.0	0.0	100.0	100.0	99.9997278339261	0.0	99.9997278339261	100.0	27.875982043236135	3.3650864606715625	0.0	46157622.0
P31	44511092.0	0.0	44511092.0	1.0	22255548.0	22255544.0	44511092.0	44511014.0	0.0	44511014.0	44511092.0	28735489.0	1068417.0	0.0	12902062.0	0.0	6592092013.0	3296114431.0	3295977582.0	6592092013.0	6547207688.0	0.0	4269798126.0	35288139.0	0.0053898	148.0	148.0	148.0	150.0	150.0	150.0	39.0	682.8	1037.3	22241928.0	13579.0	0.0	0.0	100.0	100.0	99.99982476278048	0.0	99.99982476278048	100.0	64.5580409485348	2.400338773984696	0.0	43442675.0
P32	45520547.0	0.0	45520547.0	1.0	22760296.0	22760251.0	45520547.0	45520482.0	0.0	45520482.0	45520547.0	20063615.0	1389874.0	0.0	16223597.0	0.0	6743208821.0	3371620414.0	3371588407.0	6743208821.0	6696358086.0	0.0	2985483401.0	34334025.0	0.005127268	148.0	148.0	148.0	150.0	150.0	150.0	39.1	746.6	1201.5	22749425.0	10816.0	0.0	0.0	100.0	100.0	99.99985720733979	0.0	99.99985720733979	100.0	44.075953217346004	3.053289320095385	0.0	44130673.0
P33	83547744.0	0.0	83547744.0	1.0	41773881.0	41773863.0	83547744.0	83547642.0	0.0	83547642.0	83547744.0	40360244.0	2156392.0	0.0	24683329.0	0.0	12345351717.0	6172798661.0	6172553056.0	12345351717.0	12273112194.0	0.0	6000816217.0	52935564.0	0.004313133	148.0	148.0	148.0	150.0	150.0	150.0	39.2	827.7	1253.8	41745869.0	27952.0	0.0	0.0	100.0	100.0	99.99987791411819	0.0	99.99987791411819	100.0	48.30799979470421	2.5810295966818684	0.0	81391352.0
P34	40465301.0	0.0	40465301.0	1.0	20232666.0	20232635.0	40465301.0	40465242.0	0.0	40465242.0	40465301.0	23858941.0	1016078.0	0.0	11872253.0	0.0	6014774721.0	3007437701.0	3007337020.0	6014774721.0	5974246329.0	0.0	3554664258.0	30489357.0	0.005103465	149.0	149.0	149.0	150.0	150.0	150.0	39.1	706.9	1074.2	20225877.0	6744.0	0.0	0.0	100.0	100.0	99.99985419606789	0.0	99.99985419606789	100.0	58.961481591351564	2.5109858938155436	0.0	39449223.0
P35	42429860.0	0.0	42429860.0	1.0	21214946.0	21214914.0	42429860.0	42429812.0	0.0	42429812.0	42429860.0	24367029.0	1392419.0	0.0	15482775.0	0.0	6309717136.0	3154894116.0	3154823020.0	6309717136.0	6272748359.0	0.0	3636412815.0	31868789.0	0.005080514	149.0	149.0	149.0	150.0	150.0	150.0	39.0	851.3	1224.6	21206745.0	8161.0	0.0	0.0	100.0	100.0	99.9998868721226	0.0	99.9998868721226	100.0	57.42896394190318	3.2816959565739787	0.0	41037441.0
P36	48220493.0	0.0	48220493.0	1.0	24110263.0	24110230.0	48220493.0	48220424.0	0.0	48220424.0	48220493.0	29430508.0	1171401.0	0.0	13900182.0	0.0	7147365489.0	3573709361.0	3573656128.0	7147365489.0	7098010578.0	0.0	4375358624.0	38277783.0	0.005392748	148.0	148.0	148.0	150.0	150.0	150.0	38.9	735.7	1133.0	24094988.0	15224.0	0.0	0.0	100.0	100.0	99.99985690731117	0.0	99.99985690731117	100.0	61.03319598992901	2.429259692554367	0.0	47049092.0
P41	48283751.0	0.0	48283751.0	1.0	24141896.0	24141855.0	48283751.0	48283674.0	0.0	48283674.0	48283751.0	23690865.0	2131807.0	0.0	23203993.0	0.0	7160325580.0	3580226230.0	3580099350.0	7160325580.0	7117785246.0	0.0	3533065651.0	32657064.0	0.004588094	148.0	148.0	148.0	150.0	150.0	150.0	39.1	888.2	1318.3	24131173.0	10664.0	0.0	0.0	100.0	100.0	99.9998405260602	0.0	99.9998405260602	100.0	49.065916606189106	4.41516443078335	0.0	46151944.0
