Sample	Unique Pairs	Unique Unpaired	Duplicate Pairs Optical	Duplicate Pairs Nonoptical	Duplicate Unpaired
IT1G	31608370.0	32.0	2745916.0	8411384.0	157.0
P1G	31786206.0	26.0	2240756.0	16782498.0	84.0
P2G	34449964.0	40.0	2419014.0	10895846.0	90.0
P31	15775576.0	27.0	2131882.0	26603556.0	51.0
P32	25456918.0	14.0	2700292.0	17363272.0	51.0
P33	43187460.0	40.0	4775800.0	35584382.0	62.0
P34	16606342.0	18.0	2446590.0	21412310.0	41.0
P35	18062812.0	19.0	2762888.0	21604112.0	29.0
P36	18789960.0	25.0	2913756.0	26516708.0	44.0
P41	24592864.0	22.0	2609190.0	21081620.0	55.0
P42	18587214.0	34.0	3499752.0	32893080.0	66.0
P43	10720202.0	38.0	2448800.0	27698590.0	84.0
P44	14302742.0	58.0	2783162.0	31879804.0	113.0
P45	15846390.0	30.0	2592966.0	27859728.0	68.0
P46	15683566.0	26.0	2660128.0	23165382.0	60.0
P47	10940030.0	60.0	1479384.0	27856102.0	105.0
P48	16140396.0	30.0	2583186.0	31236062.0	49.0
P49	9324404.0	59.0	2270248.0	32390526.0	171.0
P50	22983566.0	17.0	3601622.0	31339310.0	36.0
P51	29442096.0	27.0	2299622.0	13745004.0	103.0
P52	23627440.0	29.0	2411498.0	22195116.0	64.0
PNKD	24719110.0	31.0	1692764.0	23044972.0	88.0
PNKIT	32554340.0	34.0	2760510.0	10446316.0	170.0
PNKV	21765922.0	32.0	2354302.0	15440062.0	91.0
