Sample	Total Reads	Total Passed QC	Mapped	Secondary Alignments	Duplicates	Paired in Sequencing	Properly Paired	Self and mate mapped	Singletons	Mate mapped to diff chr	Diff chr (mapQ >= 5)
IT1G	100.0	100.0	100.0	23.87932738622079	19.85960650291905	76.1206726137792	76.12033620507702	76.12033620507702	0.0003364087021847093	0.0	0.0
P1G	100.0	100.0	100.0	28.603260982667166	26.731269294829897	71.39673901733283	71.39658444721361	71.39658444721361	0.00015457011920995615	0.0	0.0
P2G	100.0	100.0	100.0	27.586872224839816	20.185870495549292	72.41312777516018	72.41293069119334	72.41293069119334	0.00019708396685090128	0.0	0.0
P31	100.0	100.0	100.0	22.472310091168307	50.05035779779665	77.5276899088317	77.52755405146353	77.52755405146353	0.0001358573681564333	0.0	0.0
P32	100.0	100.0	100.0	26.275523392145494	32.49476581941115	73.72447660785451	73.72437133471314	73.72437133471314	0.00010527314136867781	0.0	0.0
P33	100.0	100.0	100.0	22.806139046593394	37.29081019089592	77.1938609534066	77.19376671060076	77.19376671060076	9.424280585299196e-05	0.0	0.0
P34	100.0	100.0	100.0	22.684004300239174	45.58665657168465	77.31599569976083	77.31588296999894	77.31588296999894	0.00011272976188378998	0.0	0.0
P35	100.0	100.0	100.0	26.7347099644145	42.07549699646718	73.2652900355855	73.26520715211802	73.26520715211802	8.288346748511789e-05	0.0	0.0
P36	100.0	100.0	100.0	22.376096203075708	47.37634933941075	77.6239037969243	77.62379272279317	77.62379272279317	0.00011107413111657272	0.0	0.0
P41	100.0	100.0	100.0	32.45870089284116	33.139757494655306	67.54129910715885	67.54119139638817	67.54119139638817	0.00010771077067420117	0.0	0.0
P42	100.0	100.0	100.0	27.877396622302026	47.73997050169743	72.12260337769797	72.12247219833847	72.12247219833847	0.00013117935950497108	0.0	0.0
P43	100.0	100.0	100.0	26.141663983497025	54.484140334856676	73.85833601650297	73.85811553152567	73.85811553152567	0.0002204849773102886	0.0	0.0
P44	100.0	100.0	100.0	30.88122366424628	48.92936986813944	69.11877633575372	69.11853495724701	69.11853495724701	0.00024137850672330185	0.0	0.0
P45	100.0	100.0	100.0	27.22735766543502	47.86538036731689	72.77264233456498	72.77248829903691	72.77248829903691	0.00015403552807449964	0.0	0.0
P46	100.0	100.0	100.0	24.05815298015472	47.24839991085114	75.94184701984528	75.94168968111501	75.94168968111501	0.00015733873027132407	0.0	0.0
P47	100.0	100.0	100.0	25.762909376762927	54.072057218677884	74.23709062323707	74.236786491323	74.236786491323	0.0003041319140658135	0.0	0.0
P48	100.0	100.0	100.0	20.911667784610817	53.537362415458446	79.08833221538917	79.0882071550832	79.0882071550832	0.00012506030597919337	0.0	0.0
P49	100.0	100.0	100.0	24.977239241910944	59.11869191674391	75.02276075808906	75.02236846355869	75.02236846355869	0.0003922945303669909	0.0	0.0
P50	100.0	100.0	100.0	26.551986621541957	44.30495603013435	73.44801337845804	73.44794617474835	73.44794617474835	6.720370968535046e-05	0.0	0.0
P51	100.0	100.0	100.0	30.699183781298363	24.444708016019057	69.30081621870163	69.30061815913689	69.30061815913689	0.00019805956473820642	0.0	0.0
P52	100.0	100.0	100.0	29.183229840064612	36.12721627119348	70.81677015993539	70.81663361850086	70.81663361850086	0.00013654143453338132	0.0	0.0
PNKD	100.0	100.0	100.0	29.12955275094589	35.44860973269154	70.87044724905411	70.87027672538322	70.87027672538322	0.0001705236708851309	0.0	0.0
PNKIT	100.0	100.0	100.0	23.988614579497373	21.937325372973678	76.01138542050263	76.01104656870196	76.01104656870196	0.0003388518006734181	0.0	0.0
PNKV	100.0	100.0	100.0	27.230144906166487	32.73221750118259	72.76985509383351	72.76962884005094	72.76962884005094	0.00022625378257695776	0.0	0.0
