Sample	Total Reads	Total Passed QC	Mapped	Secondary Alignments	Duplicates	Paired in Sequencing	Properly Paired	Self and mate mapped	Singletons	Mate mapped to diff chr	Diff chr (mapQ >= 5)
IT1G	56.181661999999996	56.181661999999996	56.181661999999996	13.415802999999999	11.157456999999999	42.765859	42.76567	42.76567	0.00018899999999999999	0.0	0.0
P1G	71.16511299999999	71.16511299999999	71.16511299999999	20.355543	19.023338	50.80957	50.809459999999994	50.809459999999994	0.00010999999999999999	0.0	0.0
P2G	65.961733	65.961733	65.961733	18.196779	13.31495	47.764953999999996	47.764824	47.764824	0.00013	0.0	0.0
P31	57.413154	57.413154	57.413154	12.902061999999999	28.735488999999998	44.511092	44.511013999999996	44.511013999999996	7.8e-05	0.0	0.0
P32	61.744144	61.744144	61.744144	16.223596999999998	20.063615	45.520547	45.520482	45.520482	6.5e-05	0.0	0.0
P33	108.231073	108.231073	108.231073	24.683329	40.360244	83.547744	83.547642	83.547642	0.000102	0.0	0.0
P34	52.337554	52.337554	52.337554	11.872252999999999	23.858940999999998	40.465301	40.465241999999996	40.465241999999996	5.9e-05	0.0	0.0
P35	57.912634999999995	57.912634999999995	57.912634999999995	15.482775	24.367029	42.42986	42.429812	42.429812	4.8e-05	0.0	0.0
P36	62.120675	62.120675	62.120675	13.900182	29.430508	48.220493	48.220424	48.220424	6.9e-05	0.0	0.0
P41	71.48774399999999	71.48774399999999	71.48774399999999	23.203993	23.690865	48.283750999999995	48.283674	48.283674	7.7e-05	0.0	0.0
P42	76.231505	76.231505	76.231505	21.251359	36.392897999999995	54.980146	54.980045999999994	54.980045999999994	9.999999999999999e-05	0.0	0.0
P43	55.332567999999995	55.332567999999995	55.332567999999995	14.464853999999999	30.147474	40.867714	40.867591999999995	40.867591999999995	0.000122	0.0	0.0
P44	70.843093	70.843093	70.843093	21.877214	34.663078999999996	48.965879	48.965708	48.965708	0.00017099999999999998	0.0	0.0
P45	63.621686	63.621686	63.621686	17.322504	30.452762	46.299181999999995	46.299084	46.299084	9.8e-05	0.0	0.0
P46	54.659141999999996	54.659141999999996	54.659141999999996	13.14998	25.82557	41.509161999999996	41.509076	41.509076	8.599999999999999e-05	0.0	0.0
P47	54.252773999999995	54.252773999999995	54.252773999999995	13.977093	29.335590999999997	40.275681	40.275515999999996	40.275515999999996	0.000165	0.0	0.0
P48	63.169523999999996	63.169523999999996	63.169523999999996	13.209800999999999	33.819297	49.959723	49.959644	49.959644	7.9e-05	0.0	0.0
P49	58.629417999999994	58.629417999999994	58.629417999999994	14.64401	34.660945	43.985408	43.985178	43.985178	0.00022999999999999998	0.0	0.0
P50	78.864694	78.864694	78.864694	20.940143	34.940968	57.924550999999994	57.924498	57.924498	5.3e-05	0.0	0.0
P51	65.63682	65.63682	65.63682	20.149967999999998	16.044729	45.486852	45.486722	45.486722	0.00013	0.0	0.0
P52	68.111193	68.111193	68.111193	19.877046	24.606678	48.234147	48.234054	48.234054	9.3e-05	0.0	0.0
PNKD	69.785033	69.785033	69.785033	20.328068	24.737824	49.456965	49.456846	49.456846	0.00011899999999999999	0.0	0.0
PNKIT	60.203309999999995	60.203309999999995	60.203309999999995	14.441939999999999	13.206996	45.76137	45.761165999999996	45.761165999999996	0.000204	0.0	0.0
PNKV	54.363732	54.363732	54.363732	14.803322999999999	17.794455	39.560409	39.560286	39.560286	0.00012299999999999998	0.0	0.0
