Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
IT1G	('1', 0.05666592775414868)	('2', 0.028727060441892945)	('3', 0.23999019466529845)	('4', 0.05125544345768909)	('5', 0.03201215371663444)	('6', 0.036518214786881886)	('7', 0.03728341108883536)	('8', 0.03625154414264213)	('9', 0.03289151538450393)	('10', 0.0336320061161594)	('11', 0.03403302664844625)	('12', 0.031089005519274245)	('13', 0.06936412810286745)	('14', 0.030304977449759317)	('15', 0.022178090779870485)	('16', 0.026916790037290104)	('17', 0.026883683149138592)	('18', 0.025513591961732994)	('19', 0.03832670525126152)	('20', 0.03329235792276847)	('21', 0.01745619415815787)	('22', 0.048318613287018815)	('MT', 0.010870842517973213)
P1G	('1', 0.044475556442944174)	('2', 0.04359638970853598)	('3', 0.27470143973494426)	('4', 0.04160499260360902)	('5', 0.03675601554936054)	('6', 0.0332143363560738)	('7', 0.03543193980455002)	('8', 0.03911627316603853)	('9', 0.027429479385496093)	('10', 0.026037673824813572)	('11', 0.05689529362512218)	('12', 0.0311609987888307)	('13', 0.037217168474108935)	('14', 0.020001064285529904)	('15', 0.0236841329824067)	('16', 0.027537959505523443)	('17', 0.022862663057950882)	('18', 0.026304096503015458)	('19', 0.04543838776733201)	('20', 0.02351393722932752)	('21', 0.017683215088831517)	('22', 0.05432088613419331)	('MT', 0.009451119679947674)
P2G	('1', 0.04566662916512518)	('2', 0.04021213329855964)	('3', 0.26534125475448017)	('4', 0.041583746746011056)	('5', 0.03066866057021273)	('6', 0.03517412133486547)	('7', 0.034798267049775664)	('8', 0.0376351543098481)	('9', 0.02832287623492245)	('10', 0.0273361526144257)	('11', 0.0659026651103906)	('12', 0.03518913003695643)	('13', 0.03735062570293597)	('14', 0.02148535121113328)	('15', 0.02568295165925977)	('16', 0.026738017935338358)	('17', 0.026201282492077642)	('18', 0.02681595706407532)	('19', 0.04719587946544703)	('20', 0.024359972470705097)	('21', 0.018452850533808747)	('22', 0.04723365894586184)	('MT', 0.0063603240988225705)
P31	('1', 0.040020236477515236)	('2', 0.03333361549863643)	('3', 0.21976378444563419)	('4', 0.03257142082805623)	('5', 0.027763219557664434)	('6', 0.036480350826920256)	('7', 0.0342634720956107)	('8', 0.03584216954881106)	('9', 0.023341933104737634)	('10', 0.026439237252146086)	('11', 0.06056671263870994)	('12', 0.02918268520834093)	('13', 0.032168899830864545)	('14', 0.021380466225562177)	('15', 0.023696973693519783)	('16', 0.028814651081527413)	('17', 0.02040065591937346)	('18', 0.048676545448104104)	('19', 0.08367361249653694)	('20', 0.023124352304351718)	('21', 0.016495836476776733)	('22', 0.07390849839045596)	('MT', 0.026081514351223415)
P32	('1', 0.036385636830595626)	('2', 0.0307824819791817)	('3', 0.25700063150928126)	('4', 0.030066138741837608)	('5', 0.02403055421741696)	('6', 0.03308380143710471)	('7', 0.03177227625019791)	('8', 0.028884196694021702)	('9', 0.02167392587060564)	('10', 0.025386860979075197)	('11', 0.05924292998539262)	('12', 0.027290199375020894)	('13', 0.030110256286005034)	('14', 0.022366137264774454)	('15', 0.022344110884426546)	('16', 0.025251657873822008)	('17', 0.02020353541543956)	('18', 0.06397464996842453)	('19', 0.08901853105292058)	('20', 0.019998657686468208)	('21', 0.0136217290501266)	('22', 0.0757717201488776)	('MT', 0.010000235811836665)
P33	('1', 0.04192511331750356)	('2', 0.031296539026273905)	('3', 0.2299135480251591)	('4', 0.03498456492249689)	('5', 0.03313423678244417)	('6', 0.04387537578972353)	('7', 0.03972374920462999)	('8', 0.03358043027070424)	('9', 0.023459335010011403)	('10', 0.05468102492155834)	('11', 0.0478120825800184)	('12', 0.025467399736487876)	('13', 0.03289622750021152)	('14', 0.025626485288564035)	('15', 0.02188086964637226)	('16', 0.026800602817639994)	('17', 0.018956792565477013)	('18', 0.047503982520805274)	('19', 0.07859894357695225)	('20', 0.019875918628285243)	('21', 0.01444623948244512)	('22', 0.05795792119699303)	('MT', 0.013733301895658006)
P34	('1', 0.03509139918919405)	('2', 0.03036588221146139)	('3', 0.2273074129524662)	('4', 0.029948667452055554)	('5', 0.025017256251600905)	('6', 0.035199161198859234)	('7', 0.035627343226624614)	('8', 0.02799649368405715)	('9', 0.022628073142279444)	('10', 0.029415398358127322)	('11', 0.04206535903454716)	('12', 0.02478251085253239)	('13', 0.033502903097076334)	('14', 0.0235482154936014)	('15', 0.020525987897714898)	('16', 0.027896068662284064)	('17', 0.018222402980467907)	('18', 0.0779462486917138)	('19', 0.09870824303329116)	('20', 0.02035032053656921)	('21', 0.014425244251957209)	('22', 0.09047931433708194)	('MT', 0.007641511103098169)
P35	('1', 0.04141486568518252)	('2', 0.02678883459542119)	('3', 0.28227907433326077)	('4', 0.03275965598871473)	('5', 0.03135816562309762)	('6', 0.03251874137655798)	('7', 0.03086317864832087)	('8', 0.0274090446756567)	('9', 0.01786387374706746)	('10', 0.05443354459696058)	('11', 0.03352111331145613)	('12', 0.019299346334353464)	('13', 0.02525110453012542)	('14', 0.021586999106498955)	('15', 0.01599599120295597)	('16', 0.02411808752960386)	('17', 0.01405713968981035)	('18', 0.05725873119052518)	('19', 0.10712000930366923)	('20', 0.016360471251221774)	('21', 0.012528803084162895)	('22', 0.060844546272156325)	('MT', 0.013271646161498264)
P36	('1', 0.03446736533368319)	('2', 0.029856018145327623)	('3', 0.22371965533214183)	('4', 0.028124034389516855)	('5', 0.02380231702247279)	('6', 0.03574236757730015)	('7', 0.03683839559051797)	('8', 0.024802145179523564)	('9', 0.020522281832900238)	('10', 0.031036752256796953)	('11', 0.03314020654154193)	('12', 0.02180655635181041)	('13', 0.034608848020405446)	('14', 0.022601203222598596)	('15', 0.01796178164516081)	('16', 0.027511420312158554)	('17', 0.015400959503418146)	('18', 0.08281423213769007)	('19', 0.10361445686158433)	('20', 0.01962879508311846)	('21', 0.015053152593721817)	('22', 0.10730965173833028)	('MT', 0.008899903293066279)
P41	('1', 0.03511082962696375)	('2', 0.025536908816146165)	('3', 0.3468619180373072)	('4', 0.034013718491382246)	('5', 0.02941553170288882)	('6', 0.03764359943992637)	('7', 0.03336404069486373)	('8', 0.024367757359918925)	('9', 0.016173485625731874)	('10', 0.05505396841170425)	('11', 0.02716432064215091)	('12', 0.01695090559858764)	('13', 0.022429243256018822)	('14', 0.02235286652772257)	('15', 0.013015265945446537)	('16', 0.022915872124877796)	('17', 0.013623426135814274)	('18', 0.06016483049178332)	('19', 0.07228500594451547)	('20', 0.013872279981307006)	('21', 0.009534249675021218)	('22', 0.05227724069737045)	('MT', 0.015575956628313799)
