Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
IT1G	('1', 0.9821261993137165)	('2', 0.635094085913965)	('3', 5.20544281419082)	('4', 0.9036111667910829)	('5', 0.576415028664567)	('6', 0.7365313719751)	('7', 0.7309967039651055)	('8', 0.7806471457162028)	('9', 0.6966589130597477)	('10', 0.7203126067708742)	('11', 0.7251511110270445)	('12', 0.6209931703369483)	('13', 1.4880655448796218)	('14', 0.7270715843826799)	('15', 0.5235143662925799)	('16', 0.6641286440887518)	('17', 0.646740397006024)	('18', 0.6477602885967113)	('19', 1.011913157905631)	('20', 0.9055719895478637)	('21', 0.6078427730892504)	('22', 1.7565465000777065)	('MT', 344.1826939886366)
P1G	('1', 0.7708443317328983)	('2', 0.9638232678591178)	('3', 5.95833774588334)	('4', 0.7334779171682639)	('5', 0.6618336255667387)	('6', 0.6698958552149501)	('7', 0.6946958568383813)	('8', 0.8423367257949225)	('9', 0.5809702311100332)	('10', 0.5576611945842194)	('11', 1.2122837563244133)	('12', 0.6224312133993767)	('13', 0.7984182544927307)	('14', 0.479861947547351)	('15', 0.559064528707202)	('16', 0.6794550049258211)	('17', 0.5500067717911595)	('18', 0.6678302752362312)	('19', 1.199677930945241)	('20', 0.6395931152807639)	('21', 0.6157478771915375)	('22', 1.9747496032915222)	('MT', 299.23272527177517)
P2G	('1', 0.7914878431356783)	('2', 0.8890045708490322)	('3', 5.755313169341759)	('4', 0.7331033619429361)	('5', 0.5522239152718146)	('6', 0.7094225168447552)	('7', 0.6822717603942859)	('8', 0.8104420511018395)	('9', 0.5998928277364446)	('10', 0.5854713299223195)	('11', 1.4042063116541759)	('12', 0.7028918763419756)	('13', 0.8012813064673496)	('14', 0.5154726932892362)	('15', 0.6062466916504731)	('16', 0.6597177290611566)	('17', 0.6303238937532355)	('18', 0.6808258167989679)	('19', 1.2460797534492498)	('20', 0.6626057783831854)	('21', 0.6425473810756135)	('22', 1.7171047069247687)	('MT', 201.3747765505983)
P31	('1', 0.6936253283953436)	('2', 0.7369352011541596)	('3', 4.766727299660463)	('4', 0.5742199772942953)	('5', 0.49990816421814555)	('6', 0.7357676984346024)	('7', 0.6717863102336159)	('8', 0.7718316010060109)	('9', 0.49439393580269714)	('10', 0.5662616687315748)	('11', 1.2905116966204762)	('12', 0.5829150178264003)	('13', 0.6901179725636102)	('14', 0.5129563115244399)	('15', 0.5593676340018746)	('16', 0.7109553229101127)	('17', 0.49077829980679727)	('18', 1.2358406129033799)	('19', 2.209175792692377)	('20', 0.628996172990686)	('21', 0.5744021232592031)	('22', 2.6868261595709417)	('MT', 825.7691027963691)
P32	('1', 0.6306309386671213)	('2', 0.6805350757789992)	('3', 5.574403122586956)	('4', 0.5300529441685834)	('5', 0.43269730367626424)	('6', 0.6672631125269505)	('7', 0.6229427120019715)	('8', 0.6219973862843025)	('9', 0.4590646998851068)	('10', 0.5437224275711944)	('11', 1.262305493518784)	('12', 0.5451132046830828)	('13', 0.645953984460837)	('14', 0.5366043543368224)	('15', 0.5274332748537883)	('16', 0.6230441773146458)	('17', 0.4860361745457234)	('18', 1.6242416116309744)	('19', 2.3502939341992195)	('20', 0.5439754153621005)	('21', 0.47432272378970364)	('22', 2.7545606294983607)	('MT', 316.6183390614789)
P33	('1', 0.7266403962706153)	('2', 0.6918997815793376)	('3', 4.986878018586536)	('4', 0.6167626577144257)	('5', 0.5966194031739473)	('6', 0.8849170452312637)	('7', 0.7788431607969611)	('8', 0.7231269084593713)	('9', 0.4968805674693458)	('10', 1.1711294136339396)	('11', 1.0187452665189278)	('12', 0.508703351504605)	('13', 0.7057213005977744)	('14', 0.6148260394453343)	('15', 0.5164984542875072)	('16', 0.6612619107026473)	('17', 0.45604329889412076)	('18', 1.2060706102583545)	('19', 2.0751928630855208)	('20', 0.54063683978353)	('21', 0.5030330316082776)	('22', 2.10696824069884)	('MT', 434.8112702388859)
P34	('1', 0.6081993868310109)	('2', 0.6713249427336263)	('3', 4.930350346254423)	('4', 0.5279819764417694)	('5', 0.4504639896153608)	('6', 0.7099275427746652)	('7', 0.698527031436105)	('8', 0.602881433092191)	('9', 0.47927402114661244)	('10', 0.63000352097242)	('11', 0.8962982386124633)	('12', 0.49502291006647753)	('13', 0.7187362851049682)	('14', 0.5649645632207364)	('15', 0.4845164380224496)	('16', 0.6882907742870901)	('17', 0.43837609871433075)	('18', 1.9789641781253144)	('19', 2.6061246137468723)	('20', 0.5535408546005824)	('21', 0.5023019559221461)	('22', 3.2892318739397695)	('MT', 241.93855014089226)
P35	('1', 0.7177968532862934)	('2', 0.5922440430162695)	('3', 6.122698392464681)	('4', 0.5775384812751289)	('5', 0.5646392334769276)	('6', 0.6558664858278734)	('7', 0.6051185019539349)	('8', 0.5902312025294)	('9', 0.37836587102130786)	('10', 1.1658290102883935)	('11', 0.71424363198022)	('12', 0.3854984122335701)	('13', 0.5417108186771837)	('14', 0.5179114113663311)	('15', 0.37758575708589825)	('16', 0.5950751462882176)	('17', 0.3381724168270591)	('18', 1.4537322810636026)	('19', 2.8282145876807046)	('20', 0.44501457467442496)	('21', 0.43626590888986677)	('22', 2.211906913973573)	('MT', 420.1947477370011)
P36	('1', 0.5973837164088303)	('2', 0.6600529348065853)	('3', 4.852531053887824)	('4', 0.4958144894514907)	('5', 0.42858763487888807)	('6', 0.7208834052535297)	('7', 0.7222715135122176)	('8', 0.534093768967459)	('9', 0.4346722973411495)	('10', 0.6647288254700218)	('11', 0.706127546089469)	('12', 0.43557914886169663)	('13', 0.7424620721933601)	('14', 0.5422440146425583)	('15', 0.4239882877558934)	('16', 0.6788001928743017)	('17', 0.37050067166237605)	('18', 2.10255658983195)	('19', 2.7356599415503235)	('20', 0.5339149319817473)	('21', 0.524166375179061)	('22', 3.9010720789075743)	('MT', 281.78061512540415)
P41	('1', 0.6085361525516843)	('2', 0.5645666320250179)	('3', 7.523515205618622)	('4', 0.5996470575515155)	('5', 0.5296599129128116)	('6', 0.7592291163019758)	('7', 0.6541516204295587)	('8', 0.5247395850415565)	('9', 0.3425625966056339)	('10', 1.1791169210290502)	('11', 0.5787976925305266)	('12', 0.3385890423938848)	('13', 0.48117355468677037)	('14', 0.536285965193315)	('15', 0.3072256656891378)	('16', 0.56541240843808)	('17', 0.3277385758037802)	('18', 1.5275147466959258)	('19', 1.9084903895341838)	('20', 0.37733428828860044)	('21', 0.3319924554735678)	('22', 1.9004561168843825)	('MT', 493.1517225936888)
