Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
IT1G	('1', 3183586)	('2', 1613934)	('3', 13483048)	('4', 2879616)	('5', 1798496)	('6', 2051654)	('7', 2094644)	('8', 2036672)	('9', 1847900)	('10', 1889502)	('11', 1912032)	('12', 1746632)	('13', 3896992)	('14', 1702584)	('15', 1246002)	('16', 1512230)	('17', 1510370)	('18', 1433396)	('19', 2153258)	('20', 1870420)	('21', 980718)	('22', 2714620)	('MT', 610742)
P1G	('1', 3165108)	('2', 3102542)	('3', 19549159)	('4', 2960824)	('5', 2615746)	('6', 2363702)	('7', 2521518)	('8', 2783714)	('9', 1952022)	('10', 1852974)	('11', 4048960)	('12', 2217576)	('13', 2648564)	('14', 1423378)	('15', 1685484)	('16', 1959742)	('17', 1627024)	('18', 1871934)	('19', 3233628)	('20', 1673372)	('21', 1258428)	('22', 3865752)	('MT', 672590)
P2G	('1', 3012250)	('2', 2652462)	('3', 17502369)	('4', 2742936)	('5', 2022958)	('6', 2320146)	('7', 2295354)	('8', 2482480)	('9', 1868226)	('10', 1803140)	('11', 4347054)	('12', 2321136)	('13', 2463712)	('14', 1417211)	('15', 1694092)	('16', 1763686)	('17', 1728282)	('18', 1768827)	('19', 3113122)	('20', 1606826)	('21', 1217182)	('22', 3115614)	('MT', 419538)
P31	('1', 2297688)	('2', 1913788)	('3', 12617332)	('4', 1870028)	('5', 1593974)	('6', 2094452)	('7', 1967174)	('8', 2057812)	('9', 1340134)	('10', 1517960)	('11', 3477326)	('12', 1675470)	('13', 1846918)	('14', 1227520)	('15', 1360518)	('16', 1654340)	('17', 1171266)	('18', 2794674)	('19', 4803966)	('20', 1327642)	('21', 947078)	('22', 4243320)	('MT', 1497422)
P32	('1', 2246600)	('2', 1900638)	('3', 15868284)	('4', 1856408)	('5', 1483746)	('6', 2042731)	('7', 1961752)	('8', 1783430)	('9', 1338238)	('10', 1567490)	('11', 3657904)	('12', 1685010)	('13', 1859132)	('14', 1380978)	('15', 1379618)	('16', 1559142)	('17', 1247450)	('18', 3950060)	('19', 5496373)	('20', 1234800)	('21', 841062)	('22', 4678460)	('MT', 617456)
P33	('1', 4537600)	('2', 3387258)	('3', 24883790)	('4', 3786417)	('5', 3586154)	('6', 4748679)	('7', 4299344)	('8', 3634446)	('9', 2539029)	('10', 5918186)	('11', 5174753)	('12', 2756364)	('13', 3560394)	('14', 2773582)	('15', 2368190)	('16', 2900658)	('17', 2051714)	('18', 5141407)	('19', 8506848)	('20', 2151192)	('21', 1563532)	('22', 6272848)	('MT', 1486370)
P34	('1', 1836598)	('2', 1589276)	('3', 11896714)	('4', 1567440)	('5', 1309342)	('6', 1842238)	('7', 1864648)	('8', 1465268)	('9', 1184298)	('10', 1539530)	('11', 2201598)	('12', 1297056)	('13', 1753460)	('14', 1232456)	('15', 1074280)	('16', 1460012)	('17', 953716)	('18', 4079516)	('19', 5166148)	('20', 1065086)	('21', 754982)	('22', 4735466)	('MT', 399938)
P35	('1', 2398444)	('2', 1551412)	('3', 16347525)	('4', 1897198)	('5', 1816034)	('6', 1883246)	('7', 1787368)	('8', 1587330)	('9', 1034544)	('10', 3152390)	('11', 1941296)	('12', 1117676)	('13', 1462358)	('14', 1250160)	('15', 926370)	('16', 1396742)	('17', 814086)	('18', 3316004)	('19', 6203602)	('20', 947478)	('21', 725576)	('22', 3523668)	('MT', 768596)
P36	('1', 2141136)	('2', 1854676)	('3', 13897616)	('4', 1747084)	('5', 1478616)	('6', 2220340)	('7', 2288426)	('8', 1540726)	('9', 1274858)	('10', 1928024)	('11', 2058692)	('12', 1354638)	('13', 2149925)	('14', 1404002)	('15', 1115798)	('16', 1709028)	('17', 956718)	('18', 5144476)	('19', 6436600)	('20', 1219354)	('21', 935112)	('22', 6666148)	('MT', 552868)
P41	('1', 2509994)	('2', 1825576)	('3', 24796376)	('4', 2431564)	('5', 2102850)	('6', 2691056)	('7', 2385120)	('8', 1741996)	('9', 1156206)	('10', 3935684)	('11', 1941916)	('12', 1211782)	('13', 1603416)	('14', 1597956)	('15', 930432)	('16', 1638204)	('17', 973908)	('18', 4301048)	('19', 5167492)	('20', 991698)	('21', 681582)	('22', 3737182)	('MT', 1113490)
