Sample	Uniquely mapped	Mapped to multiple loci	Mapped to too many loci	Unmapped: too short	Unmapped: other
IT1G	19973492.0	1409532.0	10138.0	462046.0	160616.0
P1G	23312813.0	2092027.0	13284.0	392738.0	192467.0
P2G	21945216.0	1937326.0	13056.0	462810.0	214172.0
P31	20667759.0	1587826.0	7739.0	414436.0	125242.0
P32	20918433.0	1841873.0	10866.0	405381.0	130468.0
P33	39059536.0	2714387.0	30846.0	682505.0	429248.0
P34	18853025.0	1379655.0	9010.0	395258.0	91054.0
P35	19715841.0	1499113.0	7978.0	255842.0	203807.0
P36	22467607.0	1642674.0	11048.0	388377.0	117988.0
P41	22108636.0	2033278.0	13974.0	336572.0	272227.0
P42	25409534.0	2080589.0	15184.0	392548.0	213098.0
P43	18838945.0	1594973.0	5130.0	353410.0	395734.0
P44	22003624.0	2479401.0	14484.0	460747.0	460747.0
P45	21435722.0	1713918.0	11122.0	344811.0	89745.0
P46	19295364.0	1459260.0	8568.0	281607.0	262407.0
P47	18608528.0	1529395.0	2736.0	350542.0	379754.0
P48	23400614.0	1579287.0	7835.0	400772.0	127635.0
P49	20429892.0	1562927.0	8778.0	422438.0	151355.0
P50	26725302.0	2237000.0	13676.0	382516.0	120640.0
P51	20748979.0	1994512.0	15274.0	443194.0	175871.0
P52	22300174.0	1816946.0	15620.0	368982.0	159892.0
PNKD	22391566.0	2336976.0	12677.0	276543.0	135757.0
PNKIT	21348873.0	1531914.0	11432.0	464687.0	155682.0
PNKV	18219925.0	1560341.0	12622.0	238685.0	115297.0
