sample	PC1	PC2	PC3	PC4	PC5	tank	turbot_id	collection_date	tissue	phenotype	malpigmentation_type	surface	pigmentation	condition	group_code	group_label	territory_status	phenotype_group	surface_pigmentation
P31	-6.476375580282861	-23.297359210612772	-12.500372056681506	4.585040056833535	6.754529523226382	E6	46	2024-03-27	Skin	Normal	NA	Ocular	Dark	Skin_Normal_Ocular_Dark	N_OD	Normal ocular dark	normal_expected	Normal	Ocular dark
P32	9.559680759552345	-12.935274974094908	-8.887033642017766	0.4312768855590527	10.871559407869553	E6	46	2024-03-27	Skin	Normal	NA	Blind	Light	Skin_Normal_Blind_Light	N_BL	Normal blind light	normal_expected	Normal	Blind light
P33	41.896450127897396	-0.8787909078425399	8.684270869209799	18.79296775163578	5.835147949196564	E8	52	2024-02-24	Skin	Normal	NA	Ocular	Dark	Skin_Normal_Ocular_Dark	N_OD	Normal ocular dark	normal_expected	Normal	Ocular dark
P34	11.567557653467412	-12.902552693891007	-13.12595444624736	-3.9749306342549193	4.504765419005622	E8	52	2024-02-24	Skin	Normal	NA	Blind	Light	Skin_Normal_Blind_Light	N_BL	Normal blind light	normal_expected	Normal	Blind light
P35	49.52886913707545	4.703017055929364	7.48333972914375	6.85465855118141	11.628563744227478	E8	70	2024-04-28	Skin	Normal	NA	Ocular	Dark	Skin_Normal_Ocular_Dark	N_OD	Normal ocular dark	normal_expected	Normal	Ocular dark
P36	30.995469722907075	-3.5196375352338096	-7.729153350484402	-6.327928594282165	4.5119304508199045	E8	70	2024-04-28	Skin	Normal	NA	Blind	Light	Skin_Normal_Blind_Light	N_BL	Normal blind light	normal_expected	Normal	Blind light
P41	63.49505764312653	22.500762939863037	11.979418059390365	2.4772575344489374	-12.202071800731444	E8	142	2024-04-04	Skin	Malpigmented	Pseudoalbinism	Ocular	Dark	Skin_Malpigmented_Pseudoalbinism_Ocular_Dark	P_OD	Pseudoalbino ocular dark	locally_expected_within_pseudoalbino	Pseudoalbinism	Ocular dark
P42	36.28044274202573	-1.1398431837439105	-0.06061920103989432	-0.17822672607367546	7.272181901705463	E8	142	2024-04-04	Skin	Malpigmented	Pseudoalbinism	Ocular	Light	Skin_Malpigmented_Pseudoalbinism_Ocular_Light	P_OL	Pseudoalbino ocular light	abnormal_ocular_hypopigmented	Pseudoalbinism	Ocular light
P43	57.875235511704496	19.897633163086734	6.634401917813125	-19.385808017933797	3.5527353626562035	E8	142	2024-04-04	Skin	Malpigmented	Pseudoalbinism	Blind	Dark	Skin_Malpigmented_Pseudoalbinism_Blind_Dark	P_BD	Pseudoalbino blind dark	abnormal_blind_ectopic_dark	Pseudoalbinism	Blind dark
P44	60.15113974375678	18.05174256940777	9.085511533808399	-6.830168864755377	-3.5858758471692957	E8	142	2024-04-04	Skin	Malpigmented	Pseudoalbinism	Blind	Light	Skin_Malpigmented_Pseudoalbinism_Blind_Light	P_BL	Pseudoalbino blind light	locally_expected_within_pseudoalbino	Pseudoalbinism	Blind light
P45	38.94678204874059	1.752729351863579	-0.8179775617540325	13.435511147704368	-11.654422309418376	E6	24	2024-04-05	Skin	Malpigmented	Pseudoalbinism	Ocular	Dark	Skin_Malpigmented_Pseudoalbinism_Ocular_Dark	P_OD	Pseudoalbino ocular dark	locally_expected_within_pseudoalbino	Pseudoalbinism	Ocular dark
P46	43.23845304024003	4.124448504333276	5.885271932276428	0.3146782872716984	14.279597372962263	E6	24	2024-04-05	Skin	Malpigmented	Pseudoalbinism	Ocular	Light	Skin_Malpigmented_Pseudoalbinism_Ocular_Light	P_OL	Pseudoalbino ocular light	abnormal_ocular_hypopigmented	Pseudoalbinism	Ocular light
P47	56.741777590796545	23.38188057073494	8.061058370282563	-22.238682561786806	-4.633336370991837	E6	24	2024-04-05	Skin	Malpigmented	Pseudoalbinism	Blind	Dark	Skin_Malpigmented_Pseudoalbinism_Blind_Dark	P_BD	Pseudoalbino blind dark	abnormal_blind_ectopic_dark	Pseudoalbinism	Blind dark
P48	47.60582814553694	8.282603812578493	0.7397276184716307	6.394583879668742	-14.355730072047502	E6	24	2024-04-05	Skin	Malpigmented	Pseudoalbinism	Blind	Light	Skin_Malpigmented_Pseudoalbinism_Blind_Light	P_BL	Pseudoalbino blind light	locally_expected_within_pseudoalbino	Pseudoalbinism	Blind light
P49	0.2923897104186077	-19.55635940983508	-26.943573527846695	-3.9458664708205142	-8.138836234072729	E6	12	2024-04-16	Skin	Malpigmented	Pseudoalbinism	Ocular	Dark	Skin_Malpigmented_Pseudoalbinism_Ocular_Dark	P_OD	Pseudoalbino ocular dark	locally_expected_within_pseudoalbino	Pseudoalbinism	Ocular dark
P50	-14.063097041449204	-18.974645299440024	-22.10404760906911	-7.8797775141540605	-7.6759703819269065	E6	12	2024-04-16	Skin	Malpigmented	Pseudoalbinism	Ocular	Light	Skin_Malpigmented_Pseudoalbinism_Ocular_Light	P_OL	Pseudoalbino ocular light	abnormal_ocular_hypopigmented	Pseudoalbinism	Ocular light
P51	7.991320293712816	-14.20935394009048	-4.605334161097658	6.278967889976693	4.627751731854419	E6	12	2024-04-16	Skin	Malpigmented	Pseudoalbinism	Blind	Light	Skin_Malpigmented_Pseudoalbinism_Blind_Light	P_BL	Pseudoalbino blind light	locally_expected_within_pseudoalbino	Pseudoalbinism	Blind light
P52	33.18303920601522	-2.3987079059102983	-0.8590068644851782	16.402388197491703	-6.632871899036622	E6	12	2024-04-16	Skin	Malpigmented	Pseudoalbinism	Blind	Dark	Skin_Malpigmented_Pseudoalbinism_Blind_Dark	P_BD	Pseudoalbino blind dark	abnormal_blind_ectopic_dark	Pseudoalbinism	Blind dark
P1G	-83.21924907142528	-39.135503614999166	15.36987768990064	0.0771808980339658	-2.746833597653799	X	G	2024-04-09	Skin	Normal	NA	Ocular	Dark	Skin_Normal_Ocular_Dark	N_OD	Normal ocular dark	normal_expected	Normal	Ocular dark
