sample	P31	P32	P33	P34	P35	P36	P41	P42	P43	P44	P45	P46	P47	P48	P49	P50	P51	P52	P1G	P2G
P31	0	103.96252184937777	139.88726253094433	118.5028489066721	143.83255226702963	146.2222232361099	210.72636363768763	128.8476211510876	198.36938955062908	185.66621394918715	146.28652055216642	139.32393060655605	208.64400500557193	171.14401226059408	134.52334659198635	141.30868759759525	130.06124890028158	148.23624444608723	174.88509328710748	178.75771617081557
P32	103.96252184937777	0	106.8448130695373	87.01821792532719	120.47566082852599	121.74386492402532	171.55332491871843	94.2430640258016	180.34522427768985	166.53154537437987	119.1056027210385	99.49807039228385	176.34598247751566	145.56293640045484	131.4179461321478	104.54922196552648	79.01459461887232	99.57851825285552	167.98127616614732	165.57762378604775
P33	139.88726253094433	106.8448130695373	0	96.69831755622162	85.42132499411424	114.33371670449404	124.65633179157923	88.2040173038746	158.6933455806374	139.05891439283866	97.38092563173468	86.21805752816893	151.63900697450288	111.59020849276752	139.27963480070633	127.8904346811731	109.16279192057684	79.70929757182331	196.8946893176633	203.4980832623746
P34	118.5028489066721	87.01821792532719	96.69831755622162	0	110.55467315638796	92.85166498138756	154.27188368492904	87.15957864820165	156.18113255084543	145.30626833635654	105.33179585948865	101.47608482469074	153.66900468865046	120.5139931746602	108.32056641538145	93.45655171998703	104.83097683845273	100.04408500172384	188.49857834289736	189.87427163345484
P35	143.83255226702963	120.47566082852599	85.42132499411424	110.55467315638796	0	92.73685222506565	114.90056167580184	82.59634355511766	129.273644561727	112.55083265482575	97.87628795645	88.81708374110967	134.27732253041108	107.26033634430595	143.77433785567737	137.98604124949492	138.2195258286858	104.08064490383323	221.74526513318241	224.73499358803528
P36	146.2222232361099	121.74386492402532	114.33371670449404	92.85166498138756	92.73685222506565	0	133.0107425939399	91.31406192946531	129.7869621377619	121.08132094098565	103.59045642480024	105.19857349188155	131.22496210957763	105.95776740294012	122.8024917671721	116.76313871552135	141.89203607953297	115.39016647656896	223.7946046203677	225.19286005729433
P41	210.72636363768763	171.55332491871843	124.65633179157923	154.27188368492904	114.90056167580184	133.0107425939399	0	126.01134283423296	121.2232723635407	103.57977270253245	112.78158867711949	128.67488462898157	107.44463254692954	99.77257890024323	176.80669645931147	165.22687834150034	178.16762112173592	119.5224932210177	266.5374992091652	271.4714008086385
P42	128.8476211510876	94.2430640258016	88.2040173038746	87.15957864820165	82.59634355511766	91.31406192946531	126.01134283423296	0	132.96727961181628	114.96280374319981	94.75655341317287	83.89293808492843	139.82814062163044	112.65481182811257	129.95225431882997	116.29471276119808	120.28209661218501	96.52010669322951	206.72191130233566	206.83652635995838
P43	198.36938955062908	180.34522427768985	158.6933455806374	156.18113255084543	129.273644561727	129.7869621377619	121.2232723635407	132.96727961181628	0	98.62349544213393	131.93228666821585	142.95316559166233	115.96958297546172	123.23046167687379	175.01200293115423	178.9086546377413	200.54619527445516	160.40033644607982	282.8615107645902	284.52874950287804
P44	185.66621394918715	166.53154537437987	139.05891439283866	145.30626833635654	112.55083265482575	121.08132094098565	103.57977270253245	114.96280374319981	98.62349544213393	0	113.71489861331418	128.57574879930823	113.28226870990933	108.81816359304075	168.431025971669	169.79392124661416	186.62970739998477	141.0639521292998	270.8312597069486	273.0400737301582
P45	146.28652055216642	119.1056027210385	97.38092563173468	105.33179585948865	97.87628795645	103.59045642480024	112.78158867711949	94.75655341317287	131.93228666821585	113.71489861331418	0	93.39859273866031	122.94784830769507	77.0568096525206	128.52453180090822	124.09065163129796	134.89801774846848	88.9633581210017	227.2497682944643	231.80651928718757
P46	139.32393060655605	99.49807039228385	86.21805752816893	101.47608482469074	88.81708374110967	105.19857349188155	128.67488462898157	83.89293808492843	142.95316559166233	128.57574879930823	93.39859273866031	0	132.5978913996428	108.18075986874365	137.196420364157	120.59205192915246	116.54110091994251	90.48541937843362	211.34142541828928	212.87993139213316
P47	208.64400500557193	176.34598247751566	151.63900697450288	153.66900468865046	134.27732253041108	131.22496210957763	107.44463254692954	139.82814062163044	115.96958297546172	113.28226870990933	122.94784830769507	132.5978913996428	0	105.50137577295118	170.3100546487847	161.73310558660378	189.94644106838726	144.4640805503588	277.7392853546677	280.89479015401764
P48	171.14401226059408	145.56293640045484	111.59020849276752	120.5139931746602	107.26033634430595	105.95776740294012	99.77257890024323	112.65481182811257	123.23046167687379	108.81816359304075	77.0568096525206	108.18075986874365	105.50137577295118	0	135.85683321317487	135.33995329539798	154.2865112440087	103.52667521949543	246.7290432504246	253.41609311557463
P49	134.52334659198635	131.4179461321478	139.27963480070633	108.32056641538145	143.77433785567737	122.8024917671721	176.80669645931147	129.95225431882997	175.01200293115423	168.431025971669	128.52453180090822	137.196420364157	170.3100546487847	135.85683321317487	0	100.27826090707003	131.39787509243783	122.21954203362267	208.16299314954043	217.5336724810516
P50	141.30868759759525	104.54922196552648	127.8904346811731	93.45655171998703	137.98604124949492	116.76313871552135	165.22687834150034	116.29471276119808	178.9086546377413	169.79392124661416	124.09065163129796	120.59205192915246	161.73310558660378	135.33995329539798	100.27826090707003	0	107.66577031619305	100.51534996341134	185.6285728994495	189.11075605224775
P51	130.06124890028158	79.01459461887232	109.16279192057684	104.83097683845273	138.2195258286858	141.89203607953297	178.16762112173592	120.28209661218501	200.54619527445516	186.62970739998477	134.89801774846848	116.54110091994251	189.94644106838726	154.2865112440087	131.39787509243783	107.66577031619305	0	88.136943799579	153.5402677729048	158.81821066430655
P52	148.23624444608723	99.57851825285552	79.70929757182331	100.04408500172384	104.08064490383323	115.39016647656896	119.5224932210177	96.52010669322951	160.40033644607982	141.0639521292998	88.9633581210017	90.48541937843362	144.4640805503588	103.52667521949543	122.21954203362267	100.51534996341134	88.136943799579	0	197.5426404671542	204.36593345603615
P1G	174.88509328710748	167.98127616614732	196.8946893176633	188.49857834289736	221.74526513318241	223.7946046203677	266.5374992091652	206.72191130233566	282.8615107645902	270.8312597069486	227.2497682944643	211.34142541828928	277.7392853546677	246.7290432504246	208.16299314954043	185.6285728994495	153.5402677729048	197.5426404671542	0	74.45763585419567
P2G	178.75771617081557	165.57762378604775	203.4980832623746	189.87427163345484	224.73499358803528	225.19286005729433	271.4714008086385	206.83652635995838	284.52874950287804	273.0400737301582	231.80651928718757	212.87993139213316	280.89479015401764	253.41609311557463	217.5336724810516	189.11075605224775	158.81821066430655	204.36593345603615	74.45763585419567	0
