method	contrast	direction	ontology	GO_ID	Description	pvalue	p.adjust	qvalue	Count	signed_effect	p_adjust_fmt	signed_effect_fmt
ORA	N_OD_vs_N_BL	all	MF	GO:0008201	MF: heparin binding	2.44232021580444e-08	5.51964368771804e-06	5.01318360086175e-06	11	8.46109282422646	5.52e-06	8.46
ORA	N_OD_vs_N_BL	all	BP	GO:0006729	BP: tetrahydrobiopterin biosynthetic process	1.11759739989291e-08	6.99615972332964e-06	6.31736635518416e-06	6	30.3690322580645	7.00e-06	30.37
ORA	N_OD_vs_N_BL	all	CC	GO:0062023	CC: collagen-containing extracellular matrix	5.91397469089675e-08	8.75268254252719e-06	8.15505983692078e-06	12	6.91235732009926	8.75e-06	6.91
ORA	N_OD_vs_N_BL	all	CC	GO:0005576	CC: extracellular region	7.68705362960739e-07	5.68841968590947e-05	5.3000211867293e-05	17	3.76634853979767	5.69e-05	3.77
ORA	N_OD_vs_N_BL	all	BP	GO:0030318	BP: melanocyte differentiation	2.72699206144305e-07	8.53548515231676e-05	7.7073407210259e-05	8	10.8460829493088	8.54e-05	10.85
ORA	P_OD_vs_P_OL	all	CC	GO:0062023	CC: collagen-containing extracellular matrix	8.55315337051114e-07	0.000109480363142543	9.63355169099676e-05	10	7.15833333333333	1.09e-04	7.16
ORA	P_OD_vs_P_OL	all	CC	GO:0016459	CC: myosin complex	7.89249545224453e-06	0.00042098304485306	0.000370437383217742	7	9.17476525821596	4.21e-04	9.17
ORA	P_OD_vs_P_OL	all	CC	GO:0036379	CC: myofilament	9.86679011374358e-06	0.00042098304485306	0.000370437383217742	4	26.5880952380952	4.21e-04	26.59
ORA	P_OD_vs_P_OL	all	MF	GO:0005509	MF: calcium ion binding	6.24033244620298e-06	0.00113574050520894	0.0010510033593605	16	3.30713760117734	1.14e-03	3.31
ORA	P_OD_vs_P_OL	all	BP	GO:0055005	BP: ventricular cardiac myofibril assembly	2.81711942227922e-06	0.00134940020327174	0.00126622104559287	4	34.3757575757576	1.35e-03	34.38
ORA	P_BD_vs_P_BL	all	CC	GO:0030057	CC: desmosome	3.63628370056376e-06	0.000276357561242845	0.000256453692566075	4	33.9426523297491	2.76e-04	33.94
ORA	P_BD_vs_P_BL	all	BP	GO:0045104	BP: intermediate filament cytoskeleton organization	6.66002511237096e-06	0.00147852557494635	0.00136705778622351	4	27.054698457223	1.48e-03	27.05
ORA	P_BD_vs_P_BL	all	BP	GO:0008544	BP: epidermis development	0.000631737607228214	0.0698952735466714	0.0646257863518299	3	15.0546305931322	6.99e-02	15.05
ORA	P_BD_vs_P_BL	all	BP	GO:0006892	BP: post-Golgi vesicle-mediated transport	0.00129621259145115	0.0698952735466714	0.0646257863518299	2	31.1129032258065	6.99e-02	31.11
ORA	P_BD_vs_P_BL	all	BP	GO:0007043	BP: cell-cell junction assembly	0.00165566905757436	0.0698952735466714	0.0646257863518299	3	10.8533383345836	6.99e-02	10.85
ORA	P_OL_vs_P_BL	all	CC	GO:0031012	CC: extracellular matrix	4.49057843107042e-07	2.51472392139944e-05	2.22165459221379e-05	8	10.4018867924528	2.51e-05	10.40
ORA	P_OL_vs_P_BL	all	MF	GO:0050840	MF: extracellular matrix binding	5.18389362060693e-06	0.000461366532234017	0.000425624949902464	4	28.9082628497072	4.61e-04	28.91
ORA	P_OL_vs_P_BL	all	CC	GO:0062023	CC: collagen-containing extracellular matrix	2.11338281356484e-05	0.000541505040481146	0.000478397310199509	6	9.67617376042124	5.42e-04	9.68
ORA	P_OL_vs_P_BL	all	CC	GO:0036379	CC: myofilament	2.90091985972043e-05	0.000541505040481146	0.000478397310199509	3	44.5795148247978	5.42e-04	44.58
ORA	P_OL_vs_P_BL	all	BP	GO:0031101	BP: fin regeneration	7.02556137425452e-06	0.00107902433792985	0.0009378722133568	6	11.9733001067996	1.08e-03	11.97
ORA	P_BD_vs_P_OD	all	CC	GO:0030018	CC: Z disc	1.03400502326757e-06	3.82581858609e-05	3.04759375278862e-05	11	4.70712250712251	3.83e-05	4.71
ORA	P_BD_vs_P_OD	all	CC	GO:0030017	CC: sarcomere	0.000300823288734512	0.0051077112296644	0.00406873156274831	6	5.00666666666667	5.11e-03	5.01
ORA	P_BD_vs_P_OD	all	CC	GO:0005865	CC: striated muscle thin filament	0.000414138748351167	0.0051077112296644	0.00406873156274831	5	5.96031746031746	5.11e-03	5.96
ORA	P_BD_vs_P_OD	all	MF	GO:0051371	MF: muscle alpha-actinin binding	0.000347061848397649	0.00694123696795297	0.00547992392206814	5	6.44444444444444	6.94e-03	6.44
