contrast	short_label	direction	display_label	gene_id	baseMean	log2FoldChange	padj	best_description	log2FoldChange_fmt	padj_fmt
N_OD_vs_N_BL	Normal: ocular oscura vs ciega clara	up	tyrp1b / ENSSMAG00000012712	ENSSMAG00000012712	247.489096803996	8.39326635304814	1.92614492751522e-23	Ensembl REST display name: tyrp1b	8.39	1.93e-23
N_OD_vs_N_BL	Normal: ocular oscura vs ciega clara	up	ENSSMAG00000017854	ENSSMAG00000017854	745.241378086194	8.32894441525775	1.4189699295668e-11	No functional description available from local Salmon/GTF annotation	8.33	1.42e-11
N_OD_vs_N_BL	Normal: ocular oscura vs ciega clara	up	tmem130 / ENSSMAG00000009625	ENSSMAG00000009625	81.5130834669582	4.54896506582134	2.79078522559048e-11	Direct local gene symbol: tmem130	4.55	2.79e-11
N_OD_vs_N_BL	Normal: ocular oscura vs ciega clara	up	si:dkey-251i10.2 / ENSSMAG00000018926	ENSSMAG00000018926	490.82212946062	9.57477281138618	4.55992053824512e-10	Ensembl REST display name: si:dkey-251i10.2	9.57	4.56e-10
N_OD_vs_N_BL	Normal: ocular oscura vs ciega clara	up	KIF5B / ENSSMAG00000003556	ENSSMAG00000003556	131.636831255241	3.6283593432013	9.5548430464285e-10	Direct local gene symbol: KIF5B	3.63	9.55e-10
N_OD_vs_N_BL	Normal: ocular oscura vs ciega clara	up	ENSSMAG00000030081	ENSSMAG00000030081	96.1665214298879	3.09321019757318	9.5548430464285e-10	No functional description available from local Salmon/GTF annotation	3.09	9.55e-10
N_OD_vs_N_BL	Normal: ocular oscura vs ciega clara	up	RGS2 / ENSSMAG00000009108	ENSSMAG00000009108	50.2348617730764	7.06071785168826	3.9713445737687e-09	Direct local gene symbol: RGS2	7.06	3.97e-09
N_OD_vs_N_BL	Normal: ocular oscura vs ciega clara	up	ENSSMAG00000004209	ENSSMAG00000004209	324.855247671703	7.14186766897311	4.97397694979666e-09	No functional description available from local Salmon/GTF annotation	7.14	4.97e-09
P_OD_vs_P_OL	Pseudoalbino: ocular oscura vs ocular clara	down	dgat2 / ENSSMAG00000001438	ENSSMAG00000001438	406.917357693487	-4.81407396299183	6.64971545170154e-15	Direct local gene symbol: dgat2	-4.81	6.65e-15
P_OD_vs_P_OL	Pseudoalbino: ocular oscura vs ocular clara	up	col10a1a / ENSSMAG00000018410	ENSSMAG00000018410	715.546795088718	5.61905415129651	1.07876452840245e-13	Direct local gene symbol: col10a1a	5.62	1.08e-13
P_OD_vs_P_OL	Pseudoalbino: ocular oscura vs ocular clara	up	col5a2b / ENSSMAG00000011709	ENSSMAG00000011709	123.273421131811	4.40503381905311	1.49684489169467e-12	collagen, type V, alpha 2b [Source:ZFIN;Acc:ZDB-GENE-110406-2]	4.41	1.50e-12
P_OD_vs_P_OL	Pseudoalbino: ocular oscura vs ocular clara	up	col10a1b / ENSSMAG00000018381	ENSSMAG00000018381	112.493279947856	4.55127248708222	1.21769240761913e-09	Direct local gene symbol: col10a1b	4.55	1.22e-09
P_OD_vs_P_OL	Pseudoalbino: ocular oscura vs ocular clara	up	cilp2 / ENSSMAG00000012136	ENSSMAG00000012136	327.128892354758	3.22079283202131	2.29647535814006e-09	Direct local gene symbol: cilp2	3.22	2.30e-09
P_OD_vs_P_OL	Pseudoalbino: ocular oscura vs ocular clara	up	olfml2bb / ENSSMAG00000001466	ENSSMAG00000001466	273.921511446991	3.17582714437558	6.14026739052312e-08	olfactomedin-like 2Bb [Source:ZFIN;Acc:ZDB-GENE-070912-266]	3.18	6.14e-08
P_OD_vs_P_OL	Pseudoalbino: ocular oscura vs ocular clara	down	crabp1a / ENSSMAG00000005604	ENSSMAG00000005604	107.996822041723	-3.88293766332687	4.18502769116539e-06	Direct local gene symbol: crabp1a	-3.88	4.19e-06
