collection	direction_filter	intersection	n_genes	genes
primary_pigmentation_axis	all	N_OD_vs_N_BL	172	ENSSMAG00000000015;ENSSMAG00000000410;ENSSMAG00000000432;ENSSMAG00000000615;ENSSMAG00000000622;ENSSMAG00000000859;ENSSMAG00000000904;ENSSMAG00000000942;ENSSMAG00000001089;ENSSMAG00000001302;ENSSMAG00000001348;ENSSMAG00000001376;ENSSMAG00000001723;ENSSMAG00000001831;ENSSMAG00000002036;ENSSMAG00000002151;ENSSMAG00000002679;ENSSMAG00000002694;ENSSMAG00000002892;ENSSMAG00000002908;ENSSMAG00000003010;ENSSMAG00000003250;ENSSMAG00000003292;ENSSMAG00000003444;ENSSMAG00000003556;ENSSMAG00000003603;ENSSMAG00000003984;ENSSMAG00000004057;ENSSMAG00000004209;ENSSMAG00000004292;ENSSMAG00000004443;ENSSMAG00000004497;ENSSMAG00000004540;ENSSMAG00000004659;ENSSMAG00000004722;ENSSMAG00000004772;ENSSMAG00000004895;ENSSMAG00000005323;ENSSMAG00000005625;ENSSMAG00000005794;ENSSMAG00000005807;ENSSMAG00000006227;ENSSMAG00000006243;ENSSMAG00000006278;ENSSMAG00000006312;ENSSMAG00000006462;ENSSMAG00000006615;ENSSMAG00000006732;ENSSMAG00000006821;ENSSMAG00000006952;ENSSMAG00000007192;ENSSMAG00000007213;ENSSMAG00000007286;ENSSMAG00000007651;ENSSMAG00000007711;ENSSMAG00000007727;ENSSMAG00000007875;ENSSMAG00000008146;ENSSMAG00000008195;ENSSMAG00000008529;ENSSMAG00000008725;ENSSMAG00000008785;ENSSMAG00000009108;ENSSMAG00000009260;ENSSMAG00000009599;ENSSMAG00000009625;ENSSMAG00000009635;ENSSMAG00000009710;ENSSMAG00000009988;ENSSMAG00000010049;ENSSMAG00000010076;ENSSMAG00000010080;ENSSMAG00000010104;ENSSMAG00000010205;ENSSMAG00000010306;ENSSMAG00000010312;ENSSMAG00000010321;ENSSMAG00000010391;ENSSMAG00000010424;ENSSMAG00000010439;ENSSMAG00000010598;ENSSMAG00000010605;ENSSMAG00000010622;ENSSMAG00000010783;ENSSMAG00000010977;ENSSMAG00000011261;ENSSMAG00000011353;ENSSMAG00000011803;ENSSMAG00000012120;ENSSMAG00000012341;ENSSMAG00000012613;ENSSMAG00000012712;ENSSMAG00000013137;ENSSMAG00000013232;ENSSMAG00000013572;ENSSMAG00000013726;ENSSMAG00000013748;ENSSMAG00000013767;ENSSMAG00000013926;ENSSMAG00000014164;ENSSMAG00000014239;ENSSMAG00000014738;ENSSMAG00000014740;ENSSMAG00000015194;ENSSMAG00000015617;ENSSMAG00000015637;ENSSMAG00000015926;ENSSMAG00000015984;ENSSMAG00000016015;ENSSMAG00000016075;ENSSMAG00000016146;ENSSMAG00000016255;ENSSMAG00000016467;ENSSMAG00000016691;ENSSMAG00000016737;ENSSMAG00000016887;ENSSMAG00000017056;ENSSMAG00000017059;ENSSMAG00000017129;ENSSMAG00000017397;ENSSMAG00000017823;ENSSMAG00000017854;ENSSMAG00000018351;ENSSMAG00000018384;ENSSMAG00000018647;ENSSMAG00000018660;ENSSMAG00000018772;ENSSMAG00000018926;ENSSMAG00000019284;ENSSMAG00000019300;ENSSMAG00000019308;ENSSMAG00000019328;ENSSMAG00000019336;ENSSMAG00000019548;ENSSMAG00000019613;ENSSMAG00000020550;ENSSMAG00000020791;ENSSMAG00000020885;ENSSMAG00000020991;ENSSMAG00000021035;ENSSMAG00000021220;ENSSMAG00000021352;ENSSMAG00000022132;ENSSMAG00000022426;ENSSMAG00000022874;ENSSMAG00000023265;ENSSMAG00000023300;ENSSMAG00000024100;ENSSMAG00000024461;ENSSMAG00000024651;ENSSMAG00000026244;ENSSMAG00000026422;ENSSMAG00000026477;ENSSMAG00000027273;ENSSMAG00000027780;ENSSMAG00000028093;ENSSMAG00000028209;ENSSMAG00000029192;ENSSMAG00000029823;ENSSMAG00000029827;ENSSMAG00000030081;ENSSMAG00000030508;ENSSMAG00000031631;ENSSMAG00000031647;ENSSMAG00000033070;ENSSMAG00000034605;ENSSMAG00000034712;ENSSMAG00000034755;ENSSMAG00000036716;ENSSMAG00000037348;ENSSMAG00000037383;ENSSMAG00000037690
primary_pigmentation_axis	all	P_OD_vs_P_OL	136	ENSSMAG00000000444;ENSSMAG00000000485;ENSSMAG00000000778;ENSSMAG00000000807;ENSSMAG00000000889;ENSSMAG00000000959;ENSSMAG00000000976;ENSSMAG00000000978;ENSSMAG00000001145;ENSSMAG00000001272;ENSSMAG00000001298;ENSSMAG00000001383;ENSSMAG00000001397;ENSSMAG00000001428;ENSSMAG00000001466;ENSSMAG00000001588;ENSSMAG00000001682;ENSSMAG00000001733;ENSSMAG00000002162;ENSSMAG00000002502;ENSSMAG00000002557;ENSSMAG00000002571;ENSSMAG00000002756;ENSSMAG00000003003;ENSSMAG00000003085;ENSSMAG00000003086;ENSSMAG00000003260;ENSSMAG00000003386;ENSSMAG00000003548;ENSSMAG00000003701;ENSSMAG00000003888;ENSSMAG00000003930;ENSSMAG00000004294;ENSSMAG00000004319;ENSSMAG00000004733;ENSSMAG00000005142;ENSSMAG00000005193;ENSSMAG00000005313;ENSSMAG00000006127;ENSSMAG00000006286;ENSSMAG00000006335;ENSSMAG00000006434;ENSSMAG00000007636;ENSSMAG00000007807;ENSSMAG00000007890;ENSSMAG00000008364;ENSSMAG00000008403;ENSSMAG00000008539;ENSSMAG00000008717;ENSSMAG00000008849;ENSSMAG00000009447;ENSSMAG00000009712;ENSSMAG00000009729;ENSSMAG00000009733;ENSSMAG00000009975;ENSSMAG00000010100;ENSSMAG00000010200;ENSSMAG00000010340;ENSSMAG00000010649;ENSSMAG00000010660;ENSSMAG00000011180;ENSSMAG00000011239;ENSSMAG00000011491;ENSSMAG00000011686;ENSSMAG00000011804;ENSSMAG00000011882;ENSSMAG00000011891;ENSSMAG00000012136;ENSSMAG00000012266;ENSSMAG00000012452;ENSSMAG00000012487;ENSSMAG00000012569;ENSSMAG00000012692;ENSSMAG00000013458;ENSSMAG00000013743;ENSSMAG00000013946;ENSSMAG00000014438;ENSSMAG00000015109;ENSSMAG00000015992;ENSSMAG00000016262;ENSSMAG00000016312;ENSSMAG00000016482;ENSSMAG00000017004;ENSSMAG00000017321;ENSSMAG00000018381;ENSSMAG00000018410;ENSSMAG00000018423;ENSSMAG00000018615;ENSSMAG00000018620;ENSSMAG00000018656;ENSSMAG00000019070;ENSSMAG00000019135;ENSSMAG00000019154;ENSSMAG00000019283;ENSSMAG00000019636;ENSSMAG00000019662;ENSSMAG00000019832;ENSSMAG00000020033;ENSSMAG00000020322;ENSSMAG00000020351;ENSSMAG00000020427;ENSSMAG00000020753;ENSSMAG00000020908;ENSSMAG00000020918;ENSSMAG00000021158;ENSSMAG00000021288;ENSSMAG00000021482;ENSSMAG00000021718;ENSSMAG00000021778;ENSSMAG00000023056;ENSSMAG00000023258;ENSSMAG00000023344;ENSSMAG00000023716;ENSSMAG00000024089;ENSSMAG00000024350;ENSSMAG00000025377;ENSSMAG00000025819;ENSSMAG00000025841;ENSSMAG00000025941;ENSSMAG00000025976;ENSSMAG00000026011;ENSSMAG00000027117;ENSSMAG00000028240;ENSSMAG00000028359;ENSSMAG00000029625;ENSSMAG00000030079;ENSSMAG00000031300;ENSSMAG00000031399;ENSSMAG00000032516;ENSSMAG00000033228;ENSSMAG00000034190;ENSSMAG00000034682;ENSSMAG00000034763;ENSSMAG00000035246;ENSSMAG00000037541;ENSSMAG00000037908
primary_pigmentation_axis	all	P_BD_vs_P_BL	73	ENSSMAG00000000242;ENSSMAG00000001824;ENSSMAG00000001938;ENSSMAG00000001974;ENSSMAG00000002376;ENSSMAG00000003869;ENSSMAG00000004014;ENSSMAG00000004377;ENSSMAG00000004529;ENSSMAG00000005120;ENSSMAG00000005258;ENSSMAG00000005381;ENSSMAG00000005426;ENSSMAG00000005723;ENSSMAG00000005786;ENSSMAG00000008154;ENSSMAG00000008284;ENSSMAG00000008442;ENSSMAG00000008536;ENSSMAG00000009128;ENSSMAG00000009203;ENSSMAG00000009214;ENSSMAG00000009643;ENSSMAG00000010101;ENSSMAG00000010629;ENSSMAG00000010634;ENSSMAG00000010678;ENSSMAG00000010947;ENSSMAG00000011551;ENSSMAG00000011936;ENSSMAG00000012025;ENSSMAG00000012262;ENSSMAG00000012839;ENSSMAG00000012936;ENSSMAG00000013103;ENSSMAG00000013626;ENSSMAG00000013776;ENSSMAG00000014148;ENSSMAG00000014180;ENSSMAG00000014539;ENSSMAG00000015210;ENSSMAG00000015219;ENSSMAG00000015802;ENSSMAG00000015980;ENSSMAG00000016128;ENSSMAG00000016186;ENSSMAG00000016229;ENSSMAG00000017033;ENSSMAG00000017506;ENSSMAG00000017734;ENSSMAG00000017919;ENSSMAG00000018182;ENSSMAG00000018666;ENSSMAG00000018900;ENSSMAG00000019091;ENSSMAG00000019309;ENSSMAG00000019466;ENSSMAG00000019649;ENSSMAG00000020424;ENSSMAG00000020880;ENSSMAG00000021188;ENSSMAG00000022401;ENSSMAG00000023012;ENSSMAG00000024407;ENSSMAG00000025657;ENSSMAG00000026669;ENSSMAG00000026740;ENSSMAG00000027979;ENSSMAG00000028969;ENSSMAG00000029322;ENSSMAG00000030879;ENSSMAG00000035677;ENSSMAG00000035755
primary_pigmentation_axis	all	N_OD_vs_N_BL & P_OD_vs_P_OL	15	ENSSMAG00000001765;ENSSMAG00000002690;ENSSMAG00000005197;ENSSMAG00000005705;ENSSMAG00000008125;ENSSMAG00000011709;ENSSMAG00000013331;ENSSMAG00000014545;ENSSMAG00000014712;ENSSMAG00000017787;ENSSMAG00000019773;ENSSMAG00000020606;ENSSMAG00000021034;ENSSMAG00000021558;ENSSMAG00000033259
primary_pigmentation_axis	all	P_OD_vs_P_OL & P_BD_vs_P_BL	5	ENSSMAG00000001438;ENSSMAG00000005604;ENSSMAG00000028534;ENSSMAG00000030798;ENSSMAG00000033283
primary_pigmentation_axis	all	N_OD_vs_N_BL & P_BD_vs_P_BL	1	ENSSMAG00000031091
pseudoalbino_within_and_surface	all	P_OD_vs_P_OL	102	ENSSMAG00000000807;ENSSMAG00000000889;ENSSMAG00000000959;ENSSMAG00000000978;ENSSMAG00000001298;ENSSMAG00000001588;ENSSMAG00000001682;ENSSMAG00000002162;ENSSMAG00000002502;ENSSMAG00000002557;ENSSMAG00000002690;ENSSMAG00000002756;ENSSMAG00000003003;ENSSMAG00000003085;ENSSMAG00000003086;ENSSMAG00000003260;ENSSMAG00000003386;ENSSMAG00000003701;ENSSMAG00000003888;ENSSMAG00000004294;ENSSMAG00000004319;ENSSMAG00000004733;ENSSMAG00000005142;ENSSMAG00000005193;ENSSMAG00000005197;ENSSMAG00000005705;ENSSMAG00000006127;ENSSMAG00000006286;ENSSMAG00000006335;ENSSMAG00000006434;ENSSMAG00000007636;ENSSMAG00000007807;ENSSMAG00000008125;ENSSMAG00000008717;ENSSMAG00000008849;ENSSMAG00000009447;ENSSMAG00000009712;ENSSMAG00000009729;ENSSMAG00000009733;ENSSMAG00000009975;ENSSMAG00000010100;ENSSMAG00000010200;ENSSMAG00000010340;ENSSMAG00000010649;ENSSMAG00000010660;ENSSMAG00000011686;ENSSMAG00000011882;ENSSMAG00000011891;ENSSMAG00000012266;ENSSMAG00000012452;ENSSMAG00000012487;ENSSMAG00000012569;ENSSMAG00000012692;ENSSMAG00000013331;ENSSMAG00000013458;ENSSMAG00000013946;ENSSMAG00000014545;ENSSMAG00000014712;ENSSMAG00000015109;ENSSMAG00000015992;ENSSMAG00000016262;ENSSMAG00000016312;ENSSMAG00000016482;ENSSMAG00000017004;ENSSMAG00000017321;ENSSMAG00000017787;ENSSMAG00000018620;ENSSMAG00000018656;ENSSMAG00000019070;ENSSMAG00000019135;ENSSMAG00000019283;ENSSMAG00000020033;ENSSMAG00000020322;ENSSMAG00000020351;ENSSMAG00000020427;ENSSMAG00000020606;ENSSMAG00000020753;ENSSMAG00000020918;ENSSMAG00000021034;ENSSMAG00000021158;ENSSMAG00000021482;ENSSMAG00000021718;ENSSMAG00000023056;ENSSMAG00000023258;ENSSMAG00000023344;ENSSMAG00000023716;ENSSMAG00000024089;ENSSMAG00000025377;ENSSMAG00000025819;ENSSMAG00000025941;ENSSMAG00000025976;ENSSMAG00000026011;ENSSMAG00000028240;ENSSMAG00000029625;ENSSMAG00000031300;ENSSMAG00000033259;ENSSMAG00000034190;ENSSMAG00000034682;ENSSMAG00000034763;ENSSMAG00000035246;ENSSMAG00000037541;ENSSMAG00000037908
pseudoalbino_within_and_surface	all	P_BD_vs_P_BL	70	ENSSMAG00000000242;ENSSMAG00000001824;ENSSMAG00000001938;ENSSMAG00000001974;ENSSMAG00000002376;ENSSMAG00000003869;ENSSMAG00000004014;ENSSMAG00000004377;ENSSMAG00000004529;ENSSMAG00000005120;ENSSMAG00000005258;ENSSMAG00000005381;ENSSMAG00000005426;ENSSMAG00000005723;ENSSMAG00000005786;ENSSMAG00000008154;ENSSMAG00000008284;ENSSMAG00000008442;ENSSMAG00000008536;ENSSMAG00000009128;ENSSMAG00000009203;ENSSMAG00000009214;ENSSMAG00000010101;ENSSMAG00000010629;ENSSMAG00000010678;ENSSMAG00000010947;ENSSMAG00000011551;ENSSMAG00000011936;ENSSMAG00000012025;ENSSMAG00000012262;ENSSMAG00000012839;ENSSMAG00000012936;ENSSMAG00000013103;ENSSMAG00000013776;ENSSMAG00000014148;ENSSMAG00000014180;ENSSMAG00000014539;ENSSMAG00000015210;ENSSMAG00000015219;ENSSMAG00000015802;ENSSMAG00000015980;ENSSMAG00000016128;ENSSMAG00000016186;ENSSMAG00000016229;ENSSMAG00000017033;ENSSMAG00000017506;ENSSMAG00000017734;ENSSMAG00000017919;ENSSMAG00000018182;ENSSMAG00000018666;ENSSMAG00000018900;ENSSMAG00000019091;ENSSMAG00000019309;ENSSMAG00000019466;ENSSMAG00000019649;ENSSMAG00000020880;ENSSMAG00000021188;ENSSMAG00000022401;ENSSMAG00000023012;ENSSMAG00000024407;ENSSMAG00000025657;ENSSMAG00000026669;ENSSMAG00000026740;ENSSMAG00000027979;ENSSMAG00000028969;ENSSMAG00000029322;ENSSMAG00000030879;ENSSMAG00000031091;ENSSMAG00000035677;ENSSMAG00000035755
pseudoalbino_within_and_surface	all	P_BD_vs_P_OD	44	ENSSMAG00000000804;ENSSMAG00000002492;ENSSMAG00000002590;ENSSMAG00000003332;ENSSMAG00000004446;ENSSMAG00000004928;ENSSMAG00000004960;ENSSMAG00000005014;ENSSMAG00000005085;ENSSMAG00000005670;ENSSMAG00000006177;ENSSMAG00000006257;ENSSMAG00000006288;ENSSMAG00000006685;ENSSMAG00000007412;ENSSMAG00000008007;ENSSMAG00000008196;ENSSMAG00000008209;ENSSMAG00000008464;ENSSMAG00000008470;ENSSMAG00000008659;ENSSMAG00000008758;ENSSMAG00000008810;ENSSMAG00000010343;ENSSMAG00000010620;ENSSMAG00000010764;ENSSMAG00000011237;ENSSMAG00000013960;ENSSMAG00000014093;ENSSMAG00000014525;ENSSMAG00000014766;ENSSMAG00000014936;ENSSMAG00000016387;ENSSMAG00000016537;ENSSMAG00000016571;ENSSMAG00000016826;ENSSMAG00000016974;ENSSMAG00000018337;ENSSMAG00000019451;ENSSMAG00000019804;ENSSMAG00000020308;ENSSMAG00000021113;ENSSMAG00000032054;ENSSMAG00000032275
pseudoalbino_within_and_surface	all	P_OD_vs_P_OL & P_OL_vs_P_BL	43	ENSSMAG00000000444;ENSSMAG00000000485;ENSSMAG00000000778;ENSSMAG00000001145;ENSSMAG00000001272;ENSSMAG00000001383;ENSSMAG00000001397;ENSSMAG00000001428;ENSSMAG00000001466;ENSSMAG00000001765;ENSSMAG00000002571;ENSSMAG00000003548;ENSSMAG00000003930;ENSSMAG00000005313;ENSSMAG00000007890;ENSSMAG00000008364;ENSSMAG00000008403;ENSSMAG00000008539;ENSSMAG00000011180;ENSSMAG00000011709;ENSSMAG00000011804;ENSSMAG00000012136;ENSSMAG00000013743;ENSSMAG00000014438;ENSSMAG00000018381;ENSSMAG00000018410;ENSSMAG00000018423;ENSSMAG00000018615;ENSSMAG00000019154;ENSSMAG00000019636;ENSSMAG00000019662;ENSSMAG00000019832;ENSSMAG00000020908;ENSSMAG00000021288;ENSSMAG00000021558;ENSSMAG00000021778;ENSSMAG00000024350;ENSSMAG00000025841;ENSSMAG00000027117;ENSSMAG00000028359;ENSSMAG00000030079;ENSSMAG00000032516;ENSSMAG00000033228
