method	contrast	effect_direction	ontology	GO_ID	term_label	term_clean	pvalue	p_adjust	qvalue	count	effect	signed_effect	primary_category	category_label	effect_fmt	padj_fmt
GSEA	N_OD_vs_N_BL	NES_positive	CC	GO:0005739	CC: mitochondrion	mitochondrion	1.46525646481362e-33	7.37024001801253e-31	6.35458593161277e-31	459	2.60205200459289		mitocondria_metabolismo	Mitocondria/metabolismo	2.60	7.37e-31
GSEA	N_OD_vs_N_BL	NES_positive	CC	GO:0005743	CC: mitochondrial inner membrane	mitochondrial inner membrane	6.05482301453175e-13	7.61393994077367e-11	6.56470284733442e-11	82	2.63986806629285		mitocondria_metabolismo	Mitocondria/metabolismo	2.64	7.61e-11
GSEA	N_OD_vs_N_BL	NES_positive	MF	GO:0003735	MF: structural constituent of ribosome	structural constituent of ribosome	4.80168741025761e-13	1.27404772618835e-10	1.09175208485857e-10	161	2.39619843567569		traduccion_ribosoma	Traduccion/ribosoma	2.40	1.27e-10
GSEA	N_OD_vs_N_BL	NES_positive	BP	GO:0006412	BP: translation	translation	1.68279982300641e-12	1.32885092690073e-09	1.10946697102774e-09	158	2.34449761837495		traduccion_ribosoma	Traduccion/ribosoma	2.34	1.33e-09
GSEA	N_OD_vs_N_BL	NES_positive	CC	GO:0005840	CC: ribosome	ribosome	8.9989875840315e-11	7.54415125794641e-09	6.50453137652803e-09	165	2.22937336724209		traduccion_ribosoma	Traduccion/ribosoma	2.23	7.54e-09
GSEA	N_OD_vs_N_BL	NES_positive	CC	GO:0005747	CC: mitochondrial respiratory chain complex I	mitochondrial respiratory chain complex I	3.63938781837406e-10	2.6151601037745e-08	2.25477861830092e-08	44	2.4918761991727		mitocondria_metabolismo	Mitocondria/metabolismo	2.49	2.62e-08
GSEA	N_OD_vs_N_BL	NES_positive	MF	GO:0016491	MF: oxidoreductase activity	oxidoreductase activity	1.42751229051666e-10	2.84074945812814e-08	2.43428411645998e-08	209	2.15964999094501		mitocondria_metabolismo	Mitocondria/metabolismo	2.16	2.84e-08
GSEA	N_OD_vs_N_BL	NES_positive	CC	GO:0005762	CC: mitochondrial large ribosomal subunit	mitochondrial large ribosomal subunit	7.16696550359397e-09	4.50622956038471e-07	3.88524972036936e-07	58	2.38692705325434		mitocondria_metabolismo	Mitocondria/metabolismo	2.39	4.51e-07
GSEA	N_OD_vs_N_BL	NES_negative	CC	GO:0062023	CC: collagen-containing extracellular matrix	collagen-containing extracellular matrix	1.90474913359261e-26	4.79044407098541e-24	4.13029812126398e-24	130	-3.01138025464727		matriz_adhesion	Matriz extracelular/adhesion	-3.01	4.79e-24
GSEA	N_OD_vs_N_BL	NES_negative	CC	GO:0005576	CC: extracellular region	extracellular region	1.85629945229419e-16	3.11239541501326e-14	2.68349254156213e-14	338	-2.24728574741379		other	Otros	-2.25	3.11e-14
GSEA	N_OD_vs_N_BL	NES_negative	MF	GO:0008201	MF: heparin binding	heparin binding	1.12475615826859e-15	8.95305901981799e-13	7.67202095324261e-13	98	-2.70026086068901		matriz_adhesion	Matriz extracelular/adhesion	-2.70	8.95e-13
GSEA	N_OD_vs_N_BL	NES_negative	MF	GO:0005509	MF: calcium ion binding	calcium ion binding	3.49716339892742e-13	1.27404772618835e-10	1.09175208485857e-10	477	-1.95936033885977		other	Otros	-1.96	1.27e-10
GSEA	N_OD_vs_N_BL	NES_negative	BP	GO:0030199	BP: collagen fibril organization	collagen fibril organization	1.24657770002386e-12	1.32885092690073e-09	1.10946697102774e-09	61	-2.71976321461375		matriz_adhesion	Matriz extracelular/adhesion	-2.72	1.33e-09
GSEA	N_OD_vs_N_BL	NES_negative	BP	GO:0007155	BP: cell adhesion	cell adhesion	1.42397853442404e-12	1.32885092690073e-09	1.10946697102774e-09	216	-2.24057221396867		matriz_adhesion	Matriz extracelular/adhesion	-2.24	1.33e-09
GSEA	N_OD_vs_N_BL	NES_negative	CC	GO:0031012	CC: extracellular matrix	extracellular matrix	4.16199326450396e-11	4.18696522409098e-09	3.60998152626449e-09	169	-2.24382142104305		matriz_adhesion	Matriz extracelular/adhesion	-2.24	4.19e-09
GSEA	N_OD_vs_N_BL	NES_negative	BP	GO:0007411	BP: axon guidance	axon guidance	1.32508098316609e-10	7.84779212280114e-08	6.55217675623441e-08	181	-2.18119140398335		neural_desarrollo	Neural/axon/cresta	-2.18	7.85e-08
ORA	N_OD_vs_N_BL	all_DEGs	MF	GO:0008201	MF: heparin binding	heparin binding	2.44232021580444e-08	5.51964368771804e-06	5.01318360086175e-06	11	8.46109282422646	9.12041540937681	matriz_adhesion	Matriz extracelular/adhesion	9.12	5.52e-06
ORA	N_OD_vs_N_BL	all_DEGs	BP	GO:0006729	BP: tetrahydrobiopterin biosynthetic process	tetrahydrobiopterin biosynthetic process	1.11759739989291e-08	6.99615972332964e-06	6.31736635518416e-06	6	30.3690322580645	13.9242131330983	pigmentacion_melanocito	Pigmentacion/melanocito	13.92	7.00e-06
ORA	N_OD_vs_N_BL	all_DEGs	CC	GO:0062023	CC: collagen-containing extracellular matrix	collagen-containing extracellular matrix	5.91397469089675e-08	8.75268254252719e-06	8.15505983692078e-06	12	6.91235732009926	8.35174880874492	matriz_adhesion	Matriz extracelular/adhesion	8.35	8.75e-06
ORA	N_OD_vs_N_BL	all_DEGs	CC	GO:0005576	CC: extracellular region	extracellular region	7.68705362960739e-07	5.68841968590947e-05	5.3000211867293e-05	17	3.76634853979767	6.4600480517434	other	Otros	6.46	5.69e-05
ORA	N_OD_vs_N_BL	all_DEGs	BP	GO:0030318	BP: melanocyte differentiation	melanocyte differentiation	2.72699206144305e-07	8.53548515231676e-05	7.7073407210259e-05	8	10.8460829493088	9.09823980854382	pigmentacion_melanocito	Pigmentacion/melanocito	9.10	8.54e-05
ORA	N_OD_vs_N_BL	up	BP	GO:0006729	BP: tetrahydrobiopterin biosynthetic process	tetrahydrobiopterin biosynthetic process	1.34604286509398e-09	6.21871803673421e-07	5.73839326697962e-07	6	43.5851851851852	43.5851851851852	pigmentacion_melanocito	Pigmentacion/melanocito	43.59	6.22e-07
ORA	N_OD_vs_N_BL	up	BP	GO:0030318	BP: melanocyte differentiation	melanocyte differentiation	1.77021580406216e-08	4.08919850738359e-06	3.77335474023777e-06	8	15.5661375661376	15.5661375661376	pigmentacion_melanocito	Pigmentacion/melanocito	15.57	4.09e-06
ORA	N_OD_vs_N_BL	up	CC	GO:0033162	CC: melanosome membrane	melanosome membrane	1.00543238341431e-06	0.000122662750776546	0.000115360136623326	4	42.9888888888889	42.9888888888889	pigmentacion_melanocito	Pigmentacion/melanocito	42.99	1.23e-04
ORA	N_OD_vs_N_BL	up	BP	GO:0042416	BP: dopamine biosynthetic process	dopamine biosynthetic process	2.12688233020175e-06	0.00032753987885107	0.000302241173239196	4	36.320987654321	36.320987654321	pigmentacion_melanocito	Pigmentacion/melanocito	36.32	3.28e-04
ORA	N_OD_vs_N_BL	up	CC	GO:0042470	CC: melanosome	melanosome	5.48802043733772e-06	0.000334769246677601	0.000314839067194637	6	12.1666666666667	12.1666666666667	pigmentacion_melanocito	Pigmentacion/melanocito	12.17	3.35e-04
ORA	N_OD_vs_N_BL	down	MF	GO:0008201	MF: heparin binding	heparin binding	1.27049076316997e-12	9.52868072377479e-11	7.62294457901983e-11	10	25.3669127225358	-25.3669127225358	matriz_adhesion	Matriz extracelular/adhesion	-25.37	9.53e-11
ORA	N_OD_vs_N_BL	down	CC	GO:0005576	CC: extracellular region	extracellular region	8.8137506647685e-12	5.55266291880415e-10	4.91714510771295e-10	14	10.2290066725419	-10.2290066725419	other	Otros	-10.23	5.55e-10
ORA	N_OD_vs_N_BL	down	CC	GO:0062023	CC: collagen-containing extracellular matrix	collagen-containing extracellular matrix	3.06923995006361e-11	9.66810584270039e-10	8.56156407123008e-10	10	18.9967266775777	-18.9967266775777	matriz_adhesion	Matriz extracelular/adhesion	-19.00	9.67e-10
ORA	N_OD_vs_N_BL	down	BP	GO:0007155	BP: cell adhesion	cell adhesion	4.21309925946276e-08	1.074340311163e-05	8.47054693218303e-06	9	10.4326241134752	-10.4326241134752	matriz_adhesion	Matriz extracelular/adhesion	-10.43	1.07e-05
ORA	N_OD_vs_N_BL	down	CC	GO:0005581	CC: collagen trimer	collagen trimer	8.32071586860933e-07	1.74735033240796e-05	1.54736119661858e-05	6	16.648816638776	-16.648816638776	matriz_adhesion	Matriz extracelular/adhesion	-16.65	1.75e-05
