method	contrast	effect_direction	ontology	GO_ID	term_label	term_clean	pvalue	p_adjust	qvalue	count	effect	signed_effect	primary_category	category_label	effect_fmt	padj_fmt
GSEA	P_BD_vs_N_BL	NES_positive	CC	GO:0005739	CC: mitochondrion	mitochondrion	9.46926461698966e-32	4.6683474561759e-29	3.65812643624758e-29	453	2.67786823915823		mitocondria_metabolismo	Mitocondria/metabolismo	2.68	4.67e-29
GSEA	P_BD_vs_N_BL	NES_positive	CC	GO:0030018	CC: Z disc	Z disc	2.98291248274243e-31	7.35287926996008e-29	5.76173095350774e-29	127	3.37190242480242		musculo_sarcomero	Musculo/sarcomero	3.37	7.35e-29
GSEA	P_BD_vs_N_BL	NES_positive	BP	GO:0045214	BP: sarcomere organization	sarcomere organization	4.49750416210239e-20	1.03082795395387e-16	9.10862948198421e-17	90	3.10342291693109		musculo_sarcomero	Musculo/sarcomero	3.10	1.03e-16
GSEA	P_BD_vs_N_BL	NES_positive	BP	GO:0006936	BP: muscle contraction	muscle contraction	6.90203003713891e-18	7.90972642256119e-15	6.98921357445014e-15	76	3.0466643595272		musculo_sarcomero	Musculo/sarcomero	3.05	7.91e-15
GSEA	P_BD_vs_N_BL	NES_positive	CC	GO:0031430	CC: M band	M band	2.34337072475475e-15	3.85093922434697e-13	3.0176037052105e-13	37	3.02688752098916		musculo_sarcomero	Musculo/sarcomero	3.03	3.85e-13
GSEA	P_BD_vs_N_BL	NES_positive	BP	GO:0007519	BP: skeletal muscle tissue development	skeletal muscle tissue development	5.66516026475794e-16	4.32818244227507e-13	3.82448012259448e-13	105	2.81943896318297		musculo_sarcomero	Musculo/sarcomero	2.82	4.33e-13
GSEA	P_BD_vs_N_BL	NES_positive	CC	GO:0005865	CC: striated muscle thin filament	striated muscle thin filament	6.26478014294934e-15	7.72134152618506e-13	6.05045871700634e-13	36	2.99463132018633		musculo_sarcomero	Musculo/sarcomero	2.99	7.72e-13
GSEA	P_BD_vs_N_BL	NES_positive	MF	GO:0051371	MF: muscle alpha-actinin binding	muscle alpha-actinin binding	4.73884009290622e-15	3.64416803144488e-12	3.1675404831531e-12	38	2.99086353273813		musculo_sarcomero	Musculo/sarcomero	2.99	3.64e-12
GSEA	P_BD_vs_N_BL	NES_negative	CC	GO:0005764	CC: lysosome	lysosome	5.29992166889592e-10	3.26607672845711e-08	2.55930427958526e-08	185	-2.18232012865386		inmunidad_inflamacion	Inmunidad/inflamacion	-2.18	3.27e-08
GSEA	P_BD_vs_N_BL	NES_negative	BP	GO:0035556	BP: intracellular signal transduction	intracellular signal transduction	2.63107578918901e-09	3.76901606801326e-07	3.33038803842083e-07	384	-1.89786575617305		other	Otros	-1.90	3.77e-07
