method	contrast	effect_direction	ontology	GO_ID	term_label	term_clean	pvalue	p_adjust	qvalue	count	effect	signed_effect	primary_category	category_label
GSEA	P_BD_vs_N_BL	NES_positive	BP	GO:0045214	BP: sarcomere organization	sarcomere organization	4.49750416210239e-20	1.03082795395387e-16	9.10862948198421e-17	90	3.10342291693109		musculo_sarcomero	Musculo/sarcomero
GSEA	P_BD_vs_N_BL	NES_positive	BP	GO:0006936	BP: muscle contraction	muscle contraction	6.90203003713891e-18	7.90972642256119e-15	6.98921357445014e-15	76	3.0466643595272		musculo_sarcomero	Musculo/sarcomero
GSEA	P_BD_vs_N_BL	NES_positive	BP	GO:0007519	BP: skeletal muscle tissue development	skeletal muscle tissue development	5.66516026475794e-16	4.32818244227507e-13	3.82448012259448e-13	105	2.81943896318297		musculo_sarcomero	Musculo/sarcomero
GSEA	P_BD_vs_N_BL	NES_positive	BP	GO:0006941	BP: striated muscle contraction	striated muscle contraction	6.60178959526709e-14	3.78282543808804e-11	3.34259031086681e-11	27	2.95225688053279		musculo_sarcomero	Musculo/sarcomero
GSEA	P_BD_vs_N_BL	NES_positive	BP	GO:0055003	BP: cardiac myofibril assembly	cardiac myofibril assembly	1.38595462850575e-13	6.35321601707037e-11	5.61384569525277e-11	45	2.91521154282612		musculo_sarcomero	Musculo/sarcomero
GSEA	P_BD_vs_N_BL	NES_positive	BP	GO:0030241	BP: skeletal muscle myosin thick filament assembly	skeletal muscle myosin thick filament assembly	5.68371891138425e-13	2.11373840457721e-10	1.86774717112453e-10	33	2.93306222405859		musculo_sarcomero	Musculo/sarcomero
GSEA	P_BD_vs_N_BL	NES_positive	BP	GO:0030240	BP: skeletal muscle thin filament assembly	skeletal muscle thin filament assembly	6.45557104364766e-13	2.11373840457721e-10	1.86774717112453e-10	40	2.89368904293051		musculo_sarcomero	Musculo/sarcomero
GSEA	P_BD_vs_N_BL	NES_positive	BP	GO:0071688	BP: striated muscle myosin thick filament assembly	striated muscle myosin thick filament assembly	3.5716567614464e-12	1.02327966215439e-09	9.04193106450379e-10	24	2.85826637450506		musculo_sarcomero	Musculo/sarcomero
GSEA	P_BD_vs_N_BL	NES_positive	BP	GO:0048739	BP: cardiac muscle fiber development	cardiac muscle fiber development	1.11636021226167e-11	2.55869760650375e-09	2.26092320883311e-09	29	2.85588727415941		musculo_sarcomero	Musculo/sarcomero
GSEA	P_BD_vs_N_BL	NES_positive	BP	GO:0006412	BP: translation	translation	1.02533909760938e-11	2.55869760650375e-09	2.26092320883311e-09	158	2.42144958743819		traduccion_ribosoma	Traduccion/ribosoma
GSEA	P_BD_vs_N_BL	NES_positive	BP	GO:0048741	BP: skeletal muscle fiber development	skeletal muscle fiber development	6.95922317645957e-11	1.45004904731321e-08	1.2812962097137e-08	64	2.68357683261061		musculo_sarcomero	Musculo/sarcomero
GSEA	P_BD_vs_N_BL	NES_positive	BP	GO:0030239	BP: myofibril assembly	myofibril assembly	1.12034744070266e-10	2.13986361174207e-08	1.89083199641396e-08	59	2.66827516087388		musculo_sarcomero	Musculo/sarcomero
GSEA	P_BD_vs_N_BL	NES_positive	BP	GO:0014866	BP: skeletal myofibril assembly	skeletal myofibril assembly	2.22398954865986e-10	3.92106465040647e-08	3.46474161264905e-08	28	2.74091602232053		musculo_sarcomero	Musculo/sarcomero
GSEA	P_BD_vs_N_BL	NES_positive	BP	GO:0060047	BP: heart contraction	heart contraction	7.92689683511393e-10	1.29774625329151e-07	1.14671800832776e-07	86	2.47670768299133		musculo_sarcomero	Musculo/sarcomero
GSEA	P_BD_vs_N_BL	NES_positive	BP	GO:0055008	BP: cardiac muscle tissue morphogenesis	cardiac muscle tissue morphogenesis	1.30645174379964e-09	1.99625826452584e-07	1.76393905618982e-07	46	2.62806161811041		musculo_sarcomero	Musculo/sarcomero
GSEA	P_BD_vs_N_BL	NES_negative	BP	GO:0035556	BP: intracellular signal transduction	intracellular signal transduction	2.63107578918901e-09	3.76901606801326e-07	3.33038803842083e-07	384	-1.89786575617305		other	Otros
GSEA	P_BD_vs_N_BL	NES_positive	BP	GO:0007517	BP: muscle organ development	muscle organ development	5.47215853597685e-08	7.37775727321115e-06	6.5191535747489e-06	60	2.42679213331177		musculo_sarcomero	Musculo/sarcomero
GSEA	P_BD_vs_N_BL	NES_negative	BP	GO:0006955	BP: immune response	immune response	7.41335061773115e-08	9.43966645324434e-06	8.34110326813728e-06	85	-2.26568200775959		inmunidad_inflamacion	Inmunidad/inflamacion
GSEA	P_BD_vs_N_BL	NES_negative	BP	GO:0042981	BP: regulation of apoptotic process	regulation of apoptotic process	2.8630458803051e-07	3.45373745139963e-05	3.05180070565486e-05	136	-2.06279482952989		other	Otros
GSEA	P_BD_vs_N_BL	NES_negative	BP	GO:0007165	BP: signal transduction	signal transduction	3.7330914567981e-07	4.27812280949062e-05	3.78024629625239e-05	378	-1.73482925588202		other	Otros
GSEA	P_BD_vs_N_BL	NES_positive	BP	GO:0048769	BP: sarcomerogenesis	sarcomerogenesis	5.18783200602283e-07	5.66214807514492e-05	5.00320239578342e-05	15	2.44758472675278		other	Otros
GSEA	P_BD_vs_N_BL	NES_negative	BP	GO:0045087	BP: innate immune response	innate immune response	1.30466777479729e-06	0.000135922660901608	0.000120104344435884	103	-2.05940894243405		inmunidad_inflamacion	Inmunidad/inflamacion
GSEA	P_BD_vs_N_BL	NES_negative	BP	GO:0008544	BP: epidermis development	epidermis development	1.37845604219156e-06	0.000137366141247959	0.00012137983639252	33	-2.31416769197195		epidermis_epitelio	Epidermis/epitelio
GSEA	P_BD_vs_N_BL	NES_positive	BP	GO:0015986	BP: ATP synthesis coupled proton transport	ATP synthesis coupled proton transport	1.96316269274612e-06	0.000187482037157254	0.000165663378107172	21	2.42522890722539		mitocondria_metabolismo	Mitocondria/metabolismo
GSEA	P_BD_vs_N_BL	NES_positive	BP	GO:0032981	BP: mitochondrial respiratory chain complex I assembly	mitochondrial respiratory chain complex I assembly	2.21090584033301e-06	0.000194899853309356	0.000172217928615413	33	2.364493436928		mitocondria_metabolismo	Mitocondria/metabolismo
