method	contrast	effect_direction	ontology	GO_ID	term_label	term_clean	pvalue	p_adjust	qvalue	count	effect	signed_effect	primary_category	category_label	effect_fmt	padj_fmt
GSEA	P_BD_vs_P_BL	NES_positive	CC	GO:0030018	CC: Z disc	Z disc	1.42577475845526e-25	6.48727515097143e-23	5.76313165522968e-23	115	3.14150311464831		musculo_sarcomero	Musculo/sarcomero	3.14	6.49e-23
GSEA	P_BD_vs_P_BL	NES_positive	BP	GO:0006936	BP: muscle contraction	muscle contraction	7.7819544631489e-15	1.54938713361295e-11	1.3958368847585e-11	70	2.88044949645227		musculo_sarcomero	Musculo/sarcomero	2.88	1.55e-11
GSEA	P_BD_vs_P_BL	NES_positive	BP	GO:0045214	BP: sarcomere organization	sarcomere organization	6.0684474861284e-13	6.04113947244083e-10	5.44243921913832e-10	82	2.68822913962714		musculo_sarcomero	Musculo/sarcomero	2.69	6.04e-10
GSEA	P_BD_vs_P_BL	NES_positive	CC	GO:0031430	CC: M band	M band	6.93522934367829e-12	1.57776467568681e-09	1.40164635156445e-09	34	2.79266340739143		musculo_sarcomero	Musculo/sarcomero	2.79	1.58e-09
GSEA	P_BD_vs_P_BL	NES_positive	MF	GO:0051371	MF: muscle alpha-actinin binding	muscle alpha-actinin binding	4.63104928788008e-12	3.12595826931905e-09	2.8858749246579e-09	32	2.74097696310628		musculo_sarcomero	Musculo/sarcomero	2.74	3.13e-09
GSEA	P_BD_vs_P_BL	NES_positive	CC	GO:0005865	CC: striated muscle thin filament	striated muscle thin filament	4.75554045226771e-11	7.21256968593936e-09	6.40746503042386e-09	33	2.73740875844295		musculo_sarcomero	Musculo/sarcomero	2.74	7.21e-09
GSEA	P_BD_vs_P_BL	NES_positive	BP	GO:0030240	BP: skeletal muscle thin filament assembly	skeletal muscle thin filament assembly	2.79636035854763e-11	1.85585115795611e-08	1.67192914068953e-08	35	2.69217160504677		musculo_sarcomero	Musculo/sarcomero	2.69	1.86e-08
GSEA	P_BD_vs_P_BL	NES_positive	CC	GO:0062023	CC: collagen-containing extracellular matrix	collagen-containing extracellular matrix	2.77053738945757e-09	3.07974688577845e-07	2.73596947169213e-07	114	2.25692643114865		matriz_adhesion	Matriz extracelular/adhesion	2.26	3.08e-07
GSEA	P_BD_vs_P_BL	NES_negative	CC	GO:0030057	CC: desmosome	desmosome	1.32340852389212e-07	8.60215540529879e-06	7.64193794247481e-06	18	-2.39446255964592		epidermis_epitelio	Epidermis/epitelio	-2.39	8.60e-06
GSEA	P_BD_vs_P_BL	NES_negative	BP	GO:0008544	BP: epidermis development	epidermis development	3.10012954730425e-08	8.81765418383252e-06	7.94379059940819e-06	31	-2.38896775329221		epidermis_epitelio	Epidermis/epitelio	-2.39	8.82e-06
GSEA	P_BD_vs_P_BL	NES_negative	BP	GO:0042981	BP: regulation of apoptotic process	regulation of apoptotic process	9.17011319122713e-07	0.000140443810490255	0.000126525286460332	114	-1.9895710665112		other	Otros	-1.99	1.40e-04
GSEA	P_BD_vs_P_BL	NES_negative	CC	GO:0005923	CC: bicellular tight junction	bicellular tight junction	2.91001301538007e-05	0.00101850455538303	0.000904813763486598	70	-1.98242527011709		other	Otros	-1.98	1.02e-03
GSEA	P_BD_vs_P_BL	NES_negative	BP	GO:0042742	BP: defense response to bacterium	defense response to bacterium	1.21906412229163e-05	0.00127745087762243	0.00115085056198611	35	-2.11398434925213		other	Otros	-2.11	1.28e-03
GSEA	P_BD_vs_P_BL	NES_negative	BP	GO:0044030	BP: regulation of DNA methylation	regulation of DNA methylation	1.55739455666083e-05	0.00155038628115586	0.00139673701292108	10	-2.02774379830436		other	Otros	-2.03	1.55e-03
GSEA	P_BD_vs_P_BL	NES_negative	CC	GO:0005802	CC: trans-Golgi network	trans-Golgi network	0.000132015865427523	0.00353336580997194	0.00313895308508785	102	-1.80023840865918		other	Otros	-1.80	3.53e-03
GSEA	P_BD_vs_P_BL	NES_negative	BP	GO:0031532	BP: actin cytoskeleton reorganization	actin cytoskeleton reorganization	6.67635769521299e-05	0.00492319561895151	0.00443528791915904	57	-1.90473787464082		other	Otros	-1.90	4.92e-03
ORA	P_BD_vs_P_BL	all_DEGs	CC	GO:0030057	CC: desmosome	desmosome	3.63628370056376e-06	0.000276357561242845	0.000256453692566075	4	33.9426523297491	11.7617368222772	epidermis_epitelio	Epidermis/epitelio	11.76	2.76e-04
ORA	P_BD_vs_P_BL	all_DEGs	BP	GO:0045104	BP: intermediate filament cytoskeleton organization	intermediate filament cytoskeleton organization	6.66002511237096e-06	0.00147852557494635	0.00136705778622351	4	27.054698457223	10.9385052278445	epidermis_epitelio	Epidermis/epitelio	10.94	1.48e-03
ORA	P_BD_vs_P_BL	up	BP	GO:0006094	BP: gluconeogenesis	gluconeogenesis	0.000577582540742886	0.0217412135897908	0.0104389945214138	2	47.6296296296296	47.6296296296296	other	Otros	47.63	2.17e-02
ORA	P_BD_vs_P_BL	up	BP	GO:0006096	BP: glycolytic process	glycolytic process	0.000762849599641781	0.0217412135897908	0.0104389945214138	2	41.4838709677419	41.4838709677419	other	Otros	41.48	2.17e-02
ORA	P_BD_vs_P_BL	up	CC	GO:0030017	CC: sarcomere	sarcomere	0.002678900083228	0.0481011983096899	0.0414268693576277	2	23.8238993710692	23.8238993710692	musculo_sarcomero	Musculo/sarcomero	23.82	4.81e-02
ORA	P_BD_vs_P_BL	up	CC	GO:0005811	CC: lipid droplet	lipid droplet	0.00437283620997181	0.0481011983096899	0.0414268693576277	2	18.5686274509804	18.5686274509804	lipidos	Lipidos	18.57	4.81e-02
ORA	P_BD_vs_P_BL	down	CC	GO:0030057	CC: desmosome	desmosome	1.18295826614197e-06	7.3343412500802e-05	6.47513998309288e-05	4	44.7754137115839	-44.7754137115839	epidermis_epitelio	Epidermis/epitelio	-44.78	7.33e-05
ORA	P_BD_vs_P_BL	down	BP	GO:0045104	BP: intermediate filament cytoskeleton organization	intermediate filament cytoskeleton organization	2.1216906627228e-06	0.00037129586597649	0.000310436844335231	4	35.6891766882516	-35.6891766882516	epidermis_epitelio	Epidermis/epitelio	-35.69	3.71e-04
