method	contrast	effect_direction	ontology	GO_ID	term_label	term_clean	pvalue	p_adjust	qvalue	count	effect	signed_effect	primary_category	category_label
GSEA	P_BD_vs_P_OD	NES_positive	BP	GO:0007015	BP: actin filament organization	actin filament organization	2.10280920408056e-05	0.001514022626938	0.00110674168635819	23	1.75844608106057		musculo_sarcomero	Musculo/sarcomero
GSEA	P_BD_vs_P_OD	NES_positive	BP	GO:0045214	BP: sarcomere organization	sarcomere organization	6.51232151695159e-05	0.00234443574610257	0.00171376882025042	35	1.70418825473282		musculo_sarcomero	Musculo/sarcomero
GSEA	P_BD_vs_P_OD	NES_positive	BP	GO:0055003	BP: cardiac myofibril assembly	cardiac myofibril assembly	0.000535547242635193	0.00963985036743348	0.00704667424519991	19	1.66669429287498		musculo_sarcomero	Musculo/sarcomero
GSEA	P_BD_vs_P_OD	NES_positive	BP	GO:0030240	BP: skeletal muscle thin filament assembly	skeletal muscle thin filament assembly	0.000521543465998439	0.00963985036743348	0.00704667424519991	17	1.6650617340929		musculo_sarcomero	Musculo/sarcomero
GSEA	P_BD_vs_P_OD	NES_positive	BP	GO:0030036	BP: actin cytoskeleton organization	actin cytoskeleton organization	0.000794125269162249	0.00979680610405947	0.0071614079708037	15	1.6687225565448		other	Otros
GSEA	P_BD_vs_P_OD	NES_positive	BP	GO:0006936	BP: muscle contraction	muscle contraction	0.000816400508671622	0.00979680610405947	0.0071614079708037	27	1.65254486699849		musculo_sarcomero	Musculo/sarcomero
GSEA	P_BD_vs_P_OD	NES_negative	BP	GO:0015986	BP: ATP synthesis coupled proton transport	ATP synthesis coupled proton transport	0.00119317477661292	0.0102214470918934	0.00747181804962967	11	-1.97747536112864		mitocondria_metabolismo	Mitocondria/metabolismo
GSEA	P_BD_vs_P_OD	NES_positive	BP	GO:0006096	BP: glycolytic process	glycolytic process	0.00116903565021678	0.0102214470918934	0.00747181804962967	12	1.64193074609093		other	Otros
GSEA	P_BD_vs_P_OD	NES_positive	BP	GO:0055008	BP: cardiac muscle tissue morphogenesis	cardiac muscle tissue morphogenesis	0.00127768088648667	0.0102214470918934	0.00747181804962967	11	1.62811421122894		musculo_sarcomero	Musculo/sarcomero
GSEA	P_BD_vs_P_OD	NES_positive	BP	GO:0048741	BP: skeletal muscle fiber development	skeletal muscle fiber development	0.00165954074097391	0.0119486933350122	0.00873442495249428	13	1.63626301235368		musculo_sarcomero	Musculo/sarcomero
GSEA	P_BD_vs_P_OD	NES_positive	BP	GO:0014866	BP: skeletal myofibril assembly	skeletal myofibril assembly	0.00207474814440975	0.0135801696725002	0.00992702461440071	11	1.60811956659106		musculo_sarcomero	Musculo/sarcomero
GSEA	P_BD_vs_P_OD	NES_positive	BP	GO:0007519	BP: skeletal muscle tissue development	skeletal muscle tissue development	0.00233105678611941	0.0139863407167165	0.0102239332724536	18	1.58347226650934		musculo_sarcomero	Musculo/sarcomero
GSEA	P_BD_vs_P_OD	NES_negative	BP	GO:0042776	BP: mitochondrial ATP synthesis coupled proton transport	mitochondrial ATP synthesis coupled proton transport	0.00464571350296283	0.025730105554871	0.0188085566921572	10	-1.77755374033978		mitocondria_metabolismo	Mitocondria/metabolismo
GSEA	P_BD_vs_P_OD	NES_positive	BP	GO:0005975	BP: carbohydrate metabolic process	carbohydrate metabolic process	0.00537701503118106	0.0266920251382221	0.0195117142823261	12	1.57582735326344		other	Otros
GSEA	P_BD_vs_P_OD	NES_positive	BP	GO:0060047	BP: heart contraction	heart contraction	0.00556083857046294	0.0266920251382221	0.0195117142823261	18	1.52530864404373		musculo_sarcomero	Musculo/sarcomero
GSEA	P_BD_vs_P_OD	NES_positive	BP	GO:0030241	BP: skeletal muscle myosin thick filament assembly	skeletal muscle myosin thick filament assembly	0.00661141930674694	0.0282457547227516	0.0206474815224792	13	1.57090328706098		musculo_sarcomero	Musculo/sarcomero
GSEA	P_BD_vs_P_OD	NES_positive	BP	GO:0030239	BP: myofibril assembly	myofibril assembly	0.00666913653176079	0.0282457547227516	0.0206474815224792	20	1.53802601184875		musculo_sarcomero	Musculo/sarcomero
GSEA	P_BD_vs_P_OD	NES_positive	CC	GO:0030018	CC: Z disc	Z disc	6.20447528505965e-08	4.03290893528877e-06	3.26551330792613e-06	39	1.83740666067435		musculo_sarcomero	Musculo/sarcomero
GSEA	P_BD_vs_P_OD	NES_positive	CC	GO:0030017	CC: sarcomere	sarcomere	0.000197519521843806	0.0064193844599237	0.00519788215378437	20	1.70931219002654		musculo_sarcomero	Musculo/sarcomero
GSEA	P_BD_vs_P_OD	NES_negative	CC	GO:0005747	CC: mitochondrial respiratory chain complex I	mitochondrial respiratory chain complex I	0.000324718174335696	0.00703556044394007	0.00569681007606484	12	-2.09617053859645		mitocondria_metabolismo	Mitocondria/metabolismo
GSEA	P_BD_vs_P_OD	NES_positive	CC	GO:0005865	CC: striated muscle thin filament	striated muscle thin filament	0.000802757065566186	0.0130448023154505	0.0105625929679761	14	1.62612191020303		musculo_sarcomero	Musculo/sarcomero
GSEA	P_BD_vs_P_OD	NES_positive	CC	GO:0031430	CC: M band	M band	0.0015146753764924	0.0196907798944011	0.0159439513314989	12	1.61635050116273		musculo_sarcomero	Musculo/sarcomero
GSEA	P_BD_vs_P_OD	NES_positive	MF	GO:0051371	MF: muscle alpha-actinin binding	muscle alpha-actinin binding	0.000307296611602566	0.0147502373569232	0.012615334581579	13	1.66027279874995		musculo_sarcomero	Musculo/sarcomero
GSEA	P_BD_vs_P_OD	NES_positive	MF	GO:0008307	MF: structural constituent of muscle	structural constituent of muscle	0.000967067180026104	0.0232096123206265	0.0198503263268516	15	1.64232306710162		musculo_sarcomero	Musculo/sarcomero
GSEA	P_BD_vs_P_OD	NES_negative	MF	GO:0046933	MF: proton-transporting ATP synthase activity, rotational mechanism	proton-transporting ATP synthase activity, rotational mechanism	0.00256166187306186	0.0245919539813938	0.0210325922209289	10	-1.85258304969968		other	Otros
GSEA	P_BD_vs_P_OD	NES_positive	MF	GO:0016887	MF: ATPase activity	ATPase activity	0.00254497889392796	0.0245919539813938	0.0210325922209289	10	1.5697632408446		other	Otros
