method	contrast	effect_direction	ontology	GO_ID	term_label	term_clean	pvalue	p_adjust	qvalue	count	effect	signed_effect	primary_category	category_label
ORA	P_BD_vs_P_OD	all_DEGs	BP	GO:0006936	BP: muscle contraction	muscle contraction	0.00041891246620892	0.0146619363173122	0.00926017030567085	7	4.39588477366255	4.65192283553078	musculo_sarcomero	Musculo/sarcomero
ORA	P_BD_vs_P_OD	all_DEGs	BP	GO:0007015	BP: actin filament organization	actin filament organization	0.00110526640762715	0.0157469928451952	0.00994546916538646	6	4.4231884057971	4.31589320915003	musculo_sarcomero	Musculo/sarcomero
ORA	P_BD_vs_P_OD	all_DEGs	BP	GO:0030240	BP: skeletal muscle thin filament assembly	skeletal muscle thin filament assembly	0.00167911330893554	0.0157469928451952	0.00994546916538646	5	4.98692810457516	4.29632873965404	musculo_sarcomero	Musculo/sarcomero
ORA	P_BD_vs_P_OD	all_DEGs	BP	GO:0055008	BP: cardiac muscle tissue morphogenesis	cardiac muscle tissue morphogenesis	0.00216809685134325	0.0157469928451952	0.00994546916538646	4	6.16565656565657	4.44859724881417	musculo_sarcomero	Musculo/sarcomero
ORA	P_BD_vs_P_OD	all_DEGs	BP	GO:0045214	BP: sarcomere organization	sarcomere organization	0.00224957040645646	0.0157469928451952	0.00994546916538646	7	3.39111111111111	3.77012627333295	musculo_sarcomero	Musculo/sarcomero
ORA	P_BD_vs_P_OD	all_DEGs	BP	GO:0055003	BP: cardiac myofibril assembly	cardiac myofibril assembly	0.00289782238255102	0.0169039638982143	0.010676187725188	5	4.46198830409357	3.95590059446082	musculo_sarcomero	Musculo/sarcomero
ORA	P_BD_vs_P_OD	all_DEGs	BP	GO:0030241	BP: skeletal muscle myosin thick filament assembly	skeletal muscle myosin thick filament assembly	0.00432144342352869	0.0216072171176435	0.0136466634427222	4	5.21709401709402	3.96092829418805	musculo_sarcomero	Musculo/sarcomero
ORA	P_BD_vs_P_OD	all_DEGs	CC	GO:0030018	CC: Z disc	Z disc	1.03400502326757e-06	3.82581858609e-05	3.04759375278862e-05	11	4.70712250712251	6.64730992074478	musculo_sarcomero	Musculo/sarcomero
ORA	P_BD_vs_P_OD	all_DEGs	CC	GO:0030017	CC: sarcomere	sarcomere	0.000300823288734512	0.0051077112296644	0.00406873156274831	6	5.00666666666667	5.06439411689279	musculo_sarcomero	Musculo/sarcomero
ORA	P_BD_vs_P_OD	all_DEGs	CC	GO:0005865	CC: striated muscle thin filament	striated muscle thin filament	0.000414138748351167	0.0051077112296644	0.00406873156274831	5	5.96031746031746	5.19194743282443	musculo_sarcomero	Musculo/sarcomero
