method	contrast	effect_direction	ontology	GO_ID	term_label	term_clean	pvalue	p_adjust	qvalue	count	effect	signed_effect	primary_category	category_label	effect_fmt	padj_fmt
GSEA	P_OD_vs_P_OL	NES_positive	CC	GO:0005739	CC: mitochondrion	mitochondrion	6.39092990958944e-38	3.13155565569882e-35	2.70437244595258e-35	449	2.75844727814739		mitocondria_metabolismo	Mitocondria/metabolismo	2.76	3.13e-35
GSEA	P_OD_vs_P_OL	NES_positive	MF	GO:0003735	MF: structural constituent of ribosome	structural constituent of ribosome	8.9537673589234e-18	6.91230840108887e-15	6.25821213297383e-15	159	2.66853733458821		traduccion_ribosoma	Traduccion/ribosoma	2.67	6.91e-15
GSEA	P_OD_vs_P_OL	NES_positive	CC	GO:0005840	CC: ribosome	ribosome	5.4688609673016e-15	1.33987093698889e-12	1.15709584676592e-12	158	2.48686881166516		traduccion_ribosoma	Traduccion/ribosoma	2.49	1.34e-12
GSEA	P_OD_vs_P_OL	NES_positive	CC	GO:0005743	CC: mitochondrial inner membrane	mitochondrial inner membrane	1.83072788020533e-13	2.99018887100203e-11	2.58228985207909e-11	80	2.62344536811041		mitocondria_metabolismo	Mitocondria/metabolismo	2.62	2.99e-11
GSEA	P_OD_vs_P_OL	NES_positive	BP	GO:0006412	BP: translation	translation	2.12769560844176e-14	4.92987072475955e-11	4.44352430226152e-11	156	2.50202556348625		traduccion_ribosoma	Traduccion/ribosoma	2.50	4.93e-11
GSEA	P_OD_vs_P_OL	NES_positive	CC	GO:0005747	CC: mitochondrial respiratory chain complex I	mitochondrial respiratory chain complex I	4.43364760253097e-13	5.43121831310044e-11	4.69033246373014e-11	43	2.6838327098304		mitocondria_metabolismo	Mitocondria/metabolismo	2.68	5.43e-11
GSEA	P_OD_vs_P_OL	NES_positive	CC	GO:0005762	CC: mitochondrial large ribosomal subunit	mitochondrial large ribosomal subunit	2.85493248934112e-11	2.7978338395543e-09	2.4161744436108e-09	58	2.54833270918378		mitocondria_metabolismo	Mitocondria/metabolismo	2.55	2.80e-09
GSEA	P_OD_vs_P_OL	NES_positive	CC	GO:0030018	CC: Z disc	Z disc	5.34572494498873e-11	4.36567537174079e-09	3.77014285593942e-09	129	2.34782864670026		musculo_sarcomero	Musculo/sarcomero	2.35	4.37e-09
GSEA	P_OD_vs_P_OL	NES_negative	CC	GO:0030057	CC: desmosome	desmosome	4.31414267555146e-08	2.11392991102021e-06	1.82556353218072e-06	20	-2.31100516417296		epidermis_epitelio	Epidermis/epitelio	-2.31	2.11e-06
GSEA	P_OD_vs_P_OL	NES_negative	BP	GO:0035556	BP: intracellular signal transduction	intracellular signal transduction	8.90676096086376e-08	2.9481378780459e-05	2.65729530020356e-05	381	-1.78711799607466		other	Otros	-1.79	2.95e-05
GSEA	P_OD_vs_P_OL	NES_negative	CC	GO:0005911	CC: cell-cell junction	cell-cell junction	7.72870552199994e-07	3.15588808814997e-05	2.72538563144208e-05	156	-1.94166822551254		epidermis_epitelio	Epidermis/epitelio	-1.94	3.16e-05
GSEA	P_OD_vs_P_OL	NES_negative	MF	GO:0004674	MF: protein serine/threonine kinase activity	protein serine/threonine kinase activity	5.15436546665069e-07	7.95834028050866e-05	7.2052603575917e-05	342	-1.72698121442144		other	Otros	-1.73	7.96e-05
GSEA	P_OD_vs_P_OL	NES_negative	CC	GO:0016324	CC: apical plasma membrane	apical plasma membrane	3.32599784293688e-06	0.000116409924502791	0.00010053016036546	128	-1.92924140315872		other	Otros	-1.93	1.16e-04
GSEA	P_OD_vs_P_OL	NES_negative	BP	GO:0098609	BP: cell-cell adhesion	cell-cell adhesion	5.99458830835379e-07	0.00012626782827687	0.000113811131136593	86	-2.14020977353539		matriz_adhesion	Matriz extracelular/adhesion	-2.14	1.26e-04
GSEA	P_OD_vs_P_OL	NES_negative	BP	GO:0030216	BP: keratinocyte differentiation	keratinocyte differentiation	8.08663204927399e-07	0.000156139387151399	0.000140735771804909	52	-2.20325381328403		epidermis_epitelio	Epidermis/epitelio	-2.20	1.56e-04
GSEA	P_OD_vs_P_OL	NES_negative	BP	GO:0030182	BP: neuron differentiation	neuron differentiation	1.20739823684491e-06	0.000215195516520742	0.00019396583821055	105	-2.06408641177614		neural_desarrollo	Neural/axon/cresta	-2.06	2.15e-04
ORA	P_OD_vs_P_OL	all_DEGs	CC	GO:0062023	CC: collagen-containing extracellular matrix	collagen-containing extracellular matrix	8.55315337051114e-07	0.000109480363142543	9.63355169099676e-05	10	7.15833333333333	7.56830357489068	matriz_adhesion	Matriz extracelular/adhesion	7.57	1.09e-04
ORA	P_OD_vs_P_OL	all_DEGs	CC	GO:0036379	CC: myofilament	myofilament	9.86679011374358e-06	0.00042098304485306	0.000370437383217742	4	26.5880952380952	10.2134728304844	musculo_sarcomero	Musculo/sarcomero	10.21	4.21e-04
ORA	P_OD_vs_P_OL	all_DEGs	CC	GO:0016459	CC: myosin complex	myosin complex	7.89249545224453e-06	0.00042098304485306	0.000370437383217742	7	9.17476525821596	7.39247579496491	musculo_sarcomero	Musculo/sarcomero	7.39	4.21e-04
ORA	P_OD_vs_P_OL	all_DEGs	MF	GO:0005509	MF: calcium ion binding	calcium ion binding	6.24033244620298e-06	0.00113574050520894	0.0010510033593605	16	3.30713760117734	5.724368240129	other	Otros	5.72	1.14e-03
ORA	P_OD_vs_P_OL	all_DEGs	BP	GO:0055005	BP: ventricular cardiac myofibril assembly	ventricular cardiac myofibril assembly	2.81711942227922e-06	0.00134940020327174	0.00126622104559287	4	34.3757575757576	11.8721480419798	musculo_sarcomero	Musculo/sarcomero	11.87	1.35e-03
ORA	P_OD_vs_P_OL	up	CC	GO:0062023	CC: collagen-containing extracellular matrix	collagen-containing extracellular matrix	1.20387163212595e-07	8.78826291451942e-06	7.34995312245316e-06	9	10.7375	10.7375	matriz_adhesion	Matriz extracelular/adhesion	10.74	8.79e-06
ORA	P_OD_vs_P_OL	up	CC	GO:0036379	CC: myofilament	myofilament	1.43134577747523e-06	5.22441208778459e-05	4.36937132071386e-05	4	44.3134920634921	44.3134920634921	musculo_sarcomero	Musculo/sarcomero	44.31	5.22e-05
ORA	P_OD_vs_P_OL	up	BP	GO:0055005	BP: ventricular cardiac myofibril assembly	ventricular cardiac myofibril assembly	3.77544085802858e-07	0.000114395857998266	0.000102135610580352	4	57.2929292929293	57.2929292929293	musculo_sarcomero	Musculo/sarcomero	57.29	1.14e-04
ORA	P_OD_vs_P_OL	up	CC	GO:0016459	CC: myosin complex	myosin complex	5.51010774013327e-06	0.000134079288343243	0.000112135525939554	6	13.1068075117371	13.1068075117371	musculo_sarcomero	Musculo/sarcomero	13.11	1.34e-04
ORA	P_OD_vs_P_OL	up	BP	GO:0003009	BP: skeletal muscle contraction	skeletal muscle contraction	1.8825729299865e-06	0.000285209798892954	0.000254642759477121	5	22.5079365079365	22.5079365079365	musculo_sarcomero	Musculo/sarcomero	22.51	2.85e-04
ORA	P_OD_vs_P_OL	down	CC	GO:0008305	CC: integrin complex	integrin complex	6.104182145107e-06	0.000470022025173239	0.000404803658043938	4	30.0188172043011	-30.0188172043011	matriz_adhesion	Matriz extracelular/adhesion	-30.02	4.70e-04
