method	contrast	effect_direction	ontology	GO_ID	term_label	term_clean	pvalue	p_adjust	qvalue	count	effect	signed_effect	primary_category	category_label
GSEA	P_OD_vs_P_OL	NES_positive	BP	GO:0006412	BP: translation	translation	2.12769560844176e-14	4.92987072475955e-11	4.44352430226152e-11	156	2.50202556348625		traduccion_ribosoma	Traduccion/ribosoma
GSEA	P_OD_vs_P_OL	NES_positive	BP	GO:0015986	BP: ATP synthesis coupled proton transport	ATP synthesis coupled proton transport	2.10080223848101e-11	2.43377939328025e-08	2.19367981112965e-08	21	2.67133029616952		mitocondria_metabolismo	Mitocondria/metabolismo
GSEA	P_OD_vs_P_OL	NES_positive	BP	GO:0045214	BP: sarcomere organization	sarcomere organization	4.31194254142445e-11	3.33025695616015e-08	3.00171719374951e-08	92	2.47439445871822		musculo_sarcomero	Musculo/sarcomero
GSEA	P_OD_vs_P_OL	NES_positive	BP	GO:0042776	BP: mitochondrial ATP synthesis coupled proton transport	mitochondrial ATP synthesis coupled proton transport	2.34283034292454e-10	1.35708447613904e-07	1.22320405272692e-07	15	2.59094912792401		mitocondria_metabolismo	Mitocondria/metabolismo
GSEA	P_OD_vs_P_OL	NES_positive	BP	GO:0032981	BP: mitochondrial respiratory chain complex I assembly	mitochondrial respiratory chain complex I assembly	2.35358679996734e-09	1.09065212310487e-06	9.83056044449517e-07	33	2.56267448808439		mitocondria_metabolismo	Mitocondria/metabolismo
GSEA	P_OD_vs_P_OL	NES_positive	BP	GO:0030240	BP: skeletal muscle thin filament assembly	skeletal muscle thin filament assembly	8.8864292551846e-08	2.9481378780459e-05	2.65729530020356e-05	42	2.41094694570222		musculo_sarcomero	Musculo/sarcomero
GSEA	P_OD_vs_P_OL	NES_negative	BP	GO:0035556	BP: intracellular signal transduction	intracellular signal transduction	8.90676096086376e-08	2.9481378780459e-05	2.65729530020356e-05	381	-1.78711799607466		other	Otros
GSEA	P_OD_vs_P_OL	NES_positive	BP	GO:0048741	BP: skeletal muscle fiber development	skeletal muscle fiber development	3.11175918521519e-07	8.99608184226477e-05	8.10859158851205e-05	65	2.29412019980799		musculo_sarcomero	Musculo/sarcomero
GSEA	P_OD_vs_P_OL	NES_positive	BP	GO:0060047	BP: heart contraction	heart contraction	3.49437792750897e-07	8.99608184226477e-05	8.10859158851205e-05	87	2.12621346918127		musculo_sarcomero	Musculo/sarcomero
GSEA	P_OD_vs_P_OL	NES_positive	BP	GO:0006936	BP: muscle contraction	muscle contraction	4.13645130099504e-07	9.58415766440552e-05	8.63865198018334e-05	81	2.18230304695456		musculo_sarcomero	Musculo/sarcomero
GSEA	P_OD_vs_P_OL	NES_negative	BP	GO:0098609	BP: cell-cell adhesion	cell-cell adhesion	5.99458830835379e-07	0.00012626782827687	0.000113811131136593	86	-2.14020977353539		matriz_adhesion	Matriz extracelular/adhesion
GSEA	P_OD_vs_P_OL	NES_negative	BP	GO:0030216	BP: keratinocyte differentiation	keratinocyte differentiation	8.08663204927399e-07	0.000156139387151399	0.000140735771804909	52	-2.20325381328403		epidermis_epitelio	Epidermis/epitelio
GSEA	P_OD_vs_P_OL	NES_negative	BP	GO:0030182	BP: neuron differentiation	neuron differentiation	1.20739823684491e-06	0.000215195516520742	0.00019396583821055	105	-2.06408641177614		neural_desarrollo	Neural/axon/cresta
GSEA	P_OD_vs_P_OL	NES_positive	BP	GO:0006099	BP: tricarboxylic acid cycle	tricarboxylic acid cycle	2.97517210171518e-06	0.000472696049374236	0.000426063176956811	43	2.24659367080481		other	Otros
GSEA	P_OD_vs_P_OL	NES_positive	BP	GO:0060048	BP: cardiac muscle contraction	cardiac muscle contraction	3.06018158852548e-06	0.000472696049374236	0.000426063176956811	49	2.21316567428025		musculo_sarcomero	Musculo/sarcomero
GSEA	P_OD_vs_P_OL	NES_positive	BP	GO:0001937	BP: negative regulation of endothelial cell proliferation	negative regulation of endothelial cell proliferation	3.50136378614159e-06	0.000507041243280628	0.000457020115243744	25	2.3258684658641		other	Otros
